8/3q2k1/6p1/4b3/2Q5/6P1/6KP/8 w - -,c4e4
r2qkb1r/ppp1pppp/2n2n2/3p1bB1/3P4/2P2N2/PP1NPPPP/R2QKB1R b KQkq -,h7h6
1r1b1rk1/5ppp/3p4/2nRp3/1p6/4B3/RPP1BPPP/6K1 b - -,d8c7
r3r1k1/5ppp/p1p1qn2/1p4R1/2bB4/P1N4P/1PQ2PP1/3R2K1 w - -,c2d2
8/6k1/2B5/5K2/1P2P2p/8/5b2/8 w - -,f5e6
4rqk1/1p3nbp/p1ppn1p1/8/1PP5/Q1N3B1/1P3PPP/2R2BK1 w - -,c1d1
r1bq1rk1/ppp2pbp/3p1np1/2n5/2PNP3/2N3P1/PP3PBP/1RBQ1RK1 b - -,f8e8
r4r2/p2b1p1k/2pq2pB/N2nb3/8/8/PP2BPPP/R1Q1R1K1 b - -,e5h2
8/8/4k3/4R3/5K2/8/3N4/3r4 b - -,e6d6
rn1q1rk1/ppp2ppp/5n2/3p4/1b1P2b1/2NB4/PPP1NPPP/R1BQ1RK1 w - -,f2f3
4r2r/pkp2pp1/1p6/P3Pb2/1bP2P1p/2N4P/1BP1R1P1/5RK1 b - -,b4a5
r2q1rk1/pppbnpbp/3p1np1/3Pp3/4P3/2N1BN1P/PPPQ1PP1/R3KB1R w KQ -,a2a4
r2qk2r/1b1nppbp/p2p1np1/1ppP4/4PP2/P1NBBN2/1PP3PP/R2QK2R w KQkq -,h2h3
q1b2rk1/pp1pppbp/6p1/8/4P3/1N1Pn2P/PP1Q1PP1/2R1K2R w K -,f2e3
2rrb1k1/ppq1bpp1/2n1p2p/4P3/4Q3/1BP1BN2/P4PPP/2R1R1K1 b - -,e7f8
8/8/3pk3/p2Np1pp/Pr3p2/5P1P/3RK1P1/8 b - -,b4a4
4b1nR/2k1qrr1/1p1p2p1/p1pP1pP1/P1P1pP2/1P2P2B/3QN2R/6K1 b - -,e7d7
2rq1rk1/pp2ppbp/2n3p1/2pB4/3PP1b1/2P1BN2/P4PPP/1R1Q1RK1 b - -,d8c7
r7/2R2p2/4p1k1/1R2K2p/4P1p1/P4r2/1P6/8 b - -,h5h4
8/pp2Rk1p/2p2pp1/8/5P2/bP4PP/P5B1/6K1 b - -,f7e7
r1bq1rk1/1p3pbp/p2p1np1/2pP4/Pn2PP2/2N2N1P/1P4P1/R1BQRBK1 b - -,b7b6
r2qr2k/6b1/3Q1npp/p7/1p1Pp3/4B1N1/PP4PP/2R1K2R w K -,d6d8
1r4k1/3nqbp1/2p2p1p/p3pP2/2p1P3/P2p1NPP/3R2B1/RrNQ3K w - -,a1b1
b6r/6k1/P5p1/2p2p2/3bp3/6NP/2P1B1P1/3R3K b - -,f5f4
rn1qk2r/1b1nbppp/p2pp3/8/R2NP1P1/2N4P/1PP2PB1/2BQ1RK1 w kq -,d1e2
8/k4Np1/pp2p3/2P3p1/1P6/P4PP1/8/2K5 w - -,f7g5
r2qk2r/pp3p2/2n4p/2Pp1bp1/1b2n3/2NBP1B1/PPQ1NPPP/R3K2R b KQkq -,d8a5
r4rk1/pp1qbpp1/4p1p1/8/3N4/2P1n3/PPQ2PPP/3RR1K1 w - -,e1e3
7r/1p1k4/p2qQpb1/3p1p1p/3P1N1P/6P1/PPP2P2/2K1R3 b - -,d6e6
rn1q1rk1/2p1bppp/p1b1pn2/1p6/P1QP4/2N2NP1/1P2PPBP/R1B2RK1 w - b6,c4d3
8/8/5R2/6p1/7p/KB2kP2/P6r/8 w - -,a3b4
8/8/b7/6K1/5R2/4k3/7r/8 w - -,f4h4
2r2k2/2N2pp1/3n3p/1p2p3/1P2P1P1/2P3P1/5P1K/3R4 b - -,d6e4
3k4/5R1P/1r2p1N1/6p1/8/2b1PP2/6K1/8 w - -,e3e4
r1bqr1k1/ppp2p1p/3pnnp1/2PNp3/3PP3/2P2PP1/P2QBR1P/R1B3K1 b - -,e6g7
1r1q1rk1/b1p2ppp/p1np1n2/Pp2p3/3PP1b1/1BP1BN2/1P3PPP/RN1QR1K1 b - -,g4f3
6k1/p6p/8/3Pppr1/8/1P1P1K1P/P7/3R4 b - -,g5h5
8/8/p4p2/2p1kP2/2P1p2r/4K1RP/P7/8 b - -,e5f5
r1b2rk1/pp3pbp/2np2p1/3N4/7N/8/PPP2PPP/2KR1B1R b - -,c8g4
3R1nk1/p4p2/b2p2p1/3Nb1P1/4P2p/4B2P/P4KB1/3r4 w - -,d5f6
2b5/6kp/p4pp1/3Pp3/1R6/6N1/3q1PPP/4R1K1 w - -,b4b1
4k3/1R3Np1/p1rbp2p/P7/8/3K4/1P3PPP/8 w - -,f7d6
2r3r1/3k4/p1R1bq2/1p1p3p/1P1P4/P3Q3/6BP/2R4K w - -,e3c3
r4rk1/p1pbq2p/1bp5/P2pP1p1/4pP2/1N2B3/1PPQ2PP/R4RK1 b - -,g5f4
r1r5/1p2kppp/1pn5/1B1pb3/8/4PP1P/PP1BKP2/R1R5 w - -,c1b1
r1b1kbnr/pp3ppp/2n5/2pq4/5p2/3P1N2/PPP1B1PP/RNBQK2R w KQkq -,c1f4
r5k1/2pq1pp1/2p4p/p6R/PP1N1P2/2Pp3P/3B2P1/R5K1 b - -,a5b4
8/8/4PK1p/p1p4P/2P3P1/1k6/8/8 b - -,a5a4
8/kpq4p/p5pP/4n3/3pP1P1/3P1r2/PP3NKQ/5R2 w - -,h2h4
r2r2k1/pp3pb1/2p3pp/7n/2PpP3/P1N2PPN/1P2K2P/R2R4 w - -,c3a4
r4rk1/1p2ppbp/pq4p1/2p3Bn/P1B1PP2/2P2NPb/1P2Q2P/R3K2R b KQ -,b6c7
6k1/5p2/2B1n1p1/6r1/5bK1/3R4/7P/8 w - -,g4f3
3r1rk1/2b2p1p/1p1p4/pPp1p3/P3P3/1b2N3/1B1R1PPP/R5K1 b - -,f7f6
8/6p1/2k1p2p/2p1P2P/1b1p1Bn1/3P1N2/1KP5/8 w - -,f3h4
3rr1k1/pp1q2pp/2pbbpn1/8/3P4/P1P1BN1P/2Q2PP1/R3RBK1 w - -,f3d2
r1bq1rk1/2p1npbp/pn1pp1p1/4P3/3PNBP1/R4N1P/1PP1BP2/2QR2K1 b - -,c8b7
1r2kr2/2q1b1p1/p2p2P1/3Rp3/1p2P1Q1/1P3P2/PNP5/1KR5 b - -,f8f4
4rrk1/1ppb1p2/p2p2q1/P3bP1n/6N1/2P5/1PB2PP1/R1BQR1K1 b - -,g6h7
r2r2k1/p3bppp/1p1ppn2/1Nn5/2P2B2/1PN2PP1/P4P1P/3R1RK1 b - -,f6e8
r3k3/pp2qp2/8/2pn3r/4n1Qp/5N1P/PP2NPP1/R4RK1 b q -,d5f6
r1br2k1/1p2qppp/p1n1p3/8/3P2n1/PQN2N2/1P2BPPP/2RR2K1 w - -,c3a4
r3r1k1/2p1bppp/p4n2/1p1P4/5q2/2N2BP1/PPP2P1P/2KR3R w - -,g3f4
r4rk1/1p1qp1b1/p1np3p/6p1/5Pn1/1NNb2B1/PPPQ2PP/R4RK1 w - -,c2d3
8/2R4p/5N1k/2p1P1p1/2BbP3/1P1K1qn1/3B4/6r1 w - -,d3c2
8/1p3p1p/2p2kp1/p2p4/3P4/PP6/5PPP/5K2 w - -,f1e2
1N6/5k1p/p1p1p3/P1P2p2/1n4P1/4PP1P/3K4/8 b - -,f7f6
1k6/1b1n1p2/pPq1p3/4P3/2PQ1p1N/5N2/1R4rP/7K b - -,g2g4
5r1k/6pp/pq6/8/8/1P1Q1pPb/P1P4P/2KR3R b - -,b6f6
r1bq1rk1/pp1nb1pp/2p1p3/3PNp2/3Pn3/6P1/PPQNPPBP/R1B2RK1 b - -,d7e5
8/3n1pk1/1pQp2p1/3Pb2p/1PP4P/5BP1/5BK1/1q6 b - -,b1b2
r5k1/pppn3p/3b4/3P1p1n/2BPRpp1/3N4/PPPB2P1/6K1 w - -,e4e1
r1b2rk1/pp2b1pp/1q2pn2/5p2/1P1R4/3BBN2/P1P1QPPP/R5K1 b - -,b6c7
1r1r2k1/p2q3p/2p1p1b1/2R3B1/3b4/7Q/PP3PPP/R5K1 w - -,g5d8
r3r1k1/5pp1/5b1p/pqNp1b2/8/2P1B2P/1P1Q1PP1/R4RK1 w - -,d2d5
8/4n3/3kp1p1/3r4/1Q3PP1/5K2/6P1/8 b - -,d6d7
6k1/6p1/2q4p/p1Nn4/2Q5/1P3PP1/5K2/8 b - -,g8h8
rn1qk2r/pb1p1pbp/1p4p1/2pN4/8/3BPN2/PP3PPP/R1BQ1RK1 b kq -,b7d5
1r1q1rk1/2nn1pbp/pp1p2p1/2pp4/P1P1PPP1/2N4P/1P1BQ1B1/R4RK1 w - -,e4d5
r2q1rk1/pb2pp1p/2p2npb/1pp5/4P2P/2NP1N2/PPPQ1PP1/R3K2R w KQ -,d2h6
r4rk1/1ppq2pp/pbnppn2/8/1PP5/P1N1PB2/1B3PPP/2RQR1K1 b - -,a8b8
8/8/1k6/5R2/6K1/6P1/5r2/8 b - -,f2h2
r1b2rk1/pp1n1qpp/8/2p3B1/2P5/P1PQ1N2/6PP/R4RK1 b - -,f7g6
r1r3k1/pp1bppbp/3p1npB/q3n3/3NP3/1BN2P2/PPPQ2PP/2KR3R w - -,h6g7
