8/8/8/1P2n1p1/3k2P1/1K6/4B3/8 b - -,d4c5
r5k1/p3pp1p/1n2n1p1/Nr2P3/1R6/1P3P2/1P1B1P1P/R5K1 b - -,b5b4
r3r1k1/2pqb1p1/2n1pn1p/p2pp3/PpP1P3/3P1NN1/1P3PPP/R1BQR1K1 w - -,c4d5
8/p2rk3/2R1p1p1/2p3rp/8/1P3PK1/P1R3PP/8 w - -,g3h3
2r2rk1/1p2n1pp/p2qp3/n2p1p2/P2P1P2/2PB1R2/P5PP/1RBQ2K1 w - f6,d1e1
5rk1/p5rp/1p2q3/2p2pPQ/2P1p2R/3nP1B1/PP3PK1/1R6 w - -,b2b3
rn2k2r/1bq1bppp/pp1ppn2/8/2PNP3/P1N1BP2/1P1QB1PP/R3K2R b KQkq -,b8d7
R2qr1k1/4bpnp/2b1p1p1/1p2P3/2pPN1P1/2P1BP2/2B1Q2P/1R4K1 b - -,d8a8
5bk1/pp5p/2p3p1/2qPp3/1n4P1/2N3P1/P5KP/1R3Q2 w - -,f1f3
1q1r2k1/5p1p/1pRbpnp1/1P1p2N1/3P1P2/1P4P1/2Q1P1BP/6K1 w - -,g5f3
1r4k1/5p2/1r2pqp1/pBR3R1/4Q2P/5P2/K1P5/8 w - -,h4h5
6k1/p4p1p/1p1p2p1/8/3nRPP1/8/P4K1P/3r1B2 b - -,d6d5
r1b3k1/5ppp/pnp1p3/8/PbN1P3/6P1/1P3PBP/3R2K1 w - -,d1d8
r4rk1/1p2bpp1/p1n1pn1p/7b/6P1/1P2PN1P/PB1NBP2/2RR2K1 b - g3,h5g6
rn3Q2/pp1kp3/2p1b1pB/q2pP2n/8/8/PPPNNPPP/R3K2R b KQ -,a5d8
rn3rk1/pp1qbppp/3ppn2/8/2PNP3/2N1B3/PP3PPP/R2Q1RK1 b - -,b8c6
rnbqkb1r/ppp2ppp/4pn2/3p4/5P2/1P2P3/PBPP2PP/RN1QKBNR b KQkq f3,f8e7
8/5kp1/3rp3/B4p2/2P1nPp1/6P1/7P/3R1K2 w - -,f1e2
1r1r2k1/p2qppbp/n1pp1np1/8/1PpPP3/P1NQBBP1/5P1P/R3R1K1 w - -,d3c4
6k1/4b3/4P3/2p1Bp2/1pPp3p/1P1P4/6K1/8 b - -,g8h7
2r2rk1/p2q3p/1p2bppb/3p1n2/1PnP3P/2BN1NPB/Q1P2P2/R3R1K1 b - -,c8c7
3r1b1r/p4kpp/2p5/2Pn1p2/3B1P1n/2N5/PP2N1PP/3R1RK1 b - -,f8e7
rn1qkb1r/1bp2ppp/p3pn2/1p6/3P4/1BN1PN2/PP3PPP/R1BQ1RK1 b kq -,b8d7:c7c5
r1b1kb1r/5ppp/p1np1q2/4p3/1pP1P3/8/PPNB1PPP/R2QKB1R b KQkq -,a6a5
8/7p/1n2kp2/6p1/r2R4/P5P1/3N1K1P/8 w - -,d4a4
3q1rk1/1QR2pbp/4pnp1/3pB3/1p1PnN2/1P2PB1P/P4PP1/6K1 b - -,e4d6
6k1/1pr2p2/p3b1p1/3p3p/1PnN1P2/P1R1P1PP/6B1/6K1 w - -,e3e4
r4rk1/1R3ppp/p1N1pb2/2Pp4/3P1B2/2n5/P2K1PPP/7R b - -,c3b5
r3kb1r/1bq2ppp/p3pn2/4p3/2pN1P2/2N1B3/PPPQ2PP/2KR3R w kq -,f4e5
5rk1/4Rp2/p3p3/3p2p1/8/3r2P1/6KP/5R2 w - -,g2h3
3r1rk1/pb2qppp/1p1n4/2pPp3/P1N1P3/2PB4/4QPPP/R4RK1 b - -,f7f5
4r3/1b2rpk1/p3pb1p/Pp1p2p1/1N3PP1/2P3P1/1PN5/3RRK2 b - -,e8c8
8/8/5Rp1/2k2b1p/6rP/2P1K3/8/8 w - -,f6f7
8/2kR4/2p5/6B1/5P1P/8/p1r5/K7 b - -,c7d7
3r1rk1/ppq2p1p/2n2bp1/2p1p3/2B1P3/2P2N1P/PP2QPP1/R3R1K1 b - -,d8d6
2r2rk1/Q5bp/1p6/1Bnp1qp1/8/6B1/5PPP/1R2R1K1 b - -,g7d4
6k1/r3p1bp/3pP1q1/1BpP4/Pp4Q1/1P5P/8/5RK1 b - -,g7f6
8/3q2pk/Qp2pn1p/p4p2/3P4/1P4PP/3B1P1K/8 b - -,f6d5
rnbqkb1r/1p3ppp/p4n2/2ppN3/3P4/2N1P3/PP2BPPP/R1BQK2R b KQkq -,f8d6
1r1q1rk1/p1pbbppp/4pn2/2P5/1p1P4/2N3P1/PP3PBP/R1BQ1RK1 w - -,c3e4
r1bqk2r/pp2bppp/2n1p3/3nP3/2B5/5N2/PP2QPPP/RNB2RK1 b kq -,d8c7
rnb2r2/ppn3bk/4p1p1/2p1q3/2B2N2/5P2/PPQ1N1P1/R1B1K3 w Q -,f4g6
r1b1k2r/1pqp1ppp/p1n1pn2/8/1bPNP3/2N1BP2/PP2B1PP/R2QK2R b KQkq -,e8g8
1r6/3r1nkp/1p3qp1/1bpP1p2/2N2P2/1PR1P3/3Q2BP/R5K1 w - -,a1a2
r1bq1rk1/ppp1b1pp/4p3/1B1pn3/3N4/2P5/PP1N2PP/R1BQK2R w KQ -,d1h5
2br1rk1/1p2R1p1/2pB1nqp/8/1PPQ3P/6P1/5PB1/4R1K1 b - -,f6g4
r4k1r/1b2bpp1/1qp1p2p/3p4/p3NBPP/P4Q2/1PP1BP2/2KR3R b - -,d5e4
rn2kb1r/pp2pppp/2p2n2/q4b2/2BP4/2N5/PPPBQPPP/R3K1NR b KQkq -,a5c7:e7e6
4r3/2q3kp/1p3np1/p1p1pp2/8/PP3PP1/2Q1BP1P/3R2K1 w - -,c2c3
r4rk1/1bpnq1pp/1p1pp3/p4p2/1PPPn3/P3PN2/1BQ1BPPP/R4RK1 w - -,a1d1
8/2b2qpk/p3p2p/2p2p2/P1N1bP2/1PB1P1QP/6PK/8 w - -,g3f2
8/7p/4p3/3p2k1/p1r5/R3K1P1/P6P/8 w - -,e3f3
r2qkbnr/pppn1ppp/2b1p3/8/3PN3/3B1N2/PPP1QPPP/R1B1K2R b KQkq -,c6e4:g8f6
r1bq1rk1/pp2n1bp/3pn1p1/2pNp3/1PP1P3/4B1P1/P3NPBP/2RQ1RK1 b - -,b7b6
r2q1rk1/1pp2pp1/1pnpbn1p/4p3/2B1P3/P2P1N1P/1PP2PP1/R1BQ1RK1 w - -,c4e6
r3rbk1/p1qb1pp1/1pp2n1p/3p4/3P1P2/P2Q2N1/1PPB1NPP/R3R1K1 w - -,d3f3
8/r5pk/1Np4p/P1q4P/4pP2/3bP3/3Q1K2/7R w - -,d2b2
1r2r1k1/1p1bqpb1/p2p2pp/3Pp3/1PN1P3/4B3/P1Q2PPP/R1R3K1 w - -,c4b6
5k2/4qp1p/p2p2p1/3Pn3/bPN3P1/4QB1P/5PK1/8 w - -,c4e5
rn1q1rk1/pp2bpp1/2p1pn1p/4Nb2/2BP1B2/2N4P/PPP2PP1/R2QR1K1 w - -,d1d2
r1b2rk1/2qn2pp/p1pb4/2pppp2/8/1P1PPN1P/PBPN1PP1/R2Q1RK1 w - f6,c2c4
6k1/r7/3R4/p3p3/n2b1PP1/8/3B4/5K2 w - -,f4e5
8/1p1r1n2/p2pNk1p/3P1pp1/1P1P4/2R3PP/P5K1/8 w - -,c3c8
r1bq1rk1/pp2ppbp/2p3p1/4P3/8/2PPBN1P/P3QPP1/R4RK1 b - -,d8a5
r5k1/3bb1pp/2q1p3/3p2P1/1pPP1P1n/BQ3B1N/4RK2/1R6 b - -,a8a3
5b2/2B4p/8/6p1/1Pk1pp2/P4P1P/4K1P1/8 b - -,e4e3
8/p1p1kp2/Bp6/7b/5K2/P1P5/1P6/8 b - -,h5d1
4rrk1/pp4pp/2p2q2/3p4/3P3n/2PQ1N1P/PP3PP1/R1BB2K1 b - -,e8e1
r1bq1rk1/pp2ppbp/2np1np1/2p5/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w - -,d2d3:a2a3:d2d4:b1c3:e2e3
r2q1rk1/1p1bbppp/p1pp4/2n5/2PQP1nN/1PN3P1/PB3PBP/R3R1K1 w - -,c3d5
8/6pk/6qp/p2PP3/P3Q2R/3n4/2r3NK/8 b - -,d3e5
8/P6p/4pkp1/2r5/6RP/5P2/r1pK2P1/2R5 b - -,h7h5
2Rr2k1/pb3ppp/1p2pb2/8/3nB3/4BN2/PP3PPP/3R2K1 b - -,d4f3
8/p2k1p2/2n5/2RN2pp/4Nb2/8/PPP1b3/1K6 w - -,d5f6
8/8/1p1Rp3/4P2K/3pkPP1/6r1/P5r1/8 b - -,g3g4
8/3k1n2/pp4R1/2p1p3/P1b1P3/2P2K2/8/8 b - -,c4e6
8/6p1/4pk1p/1p6/1N6/1P1p1P2/P1rb2PP/4RK2 w - -,e1e4
r1bqkb1r/1p1npp2/p1p3pp/2P4n/3PN3/5N2/PP1B1PPP/R2QKB1R b KQkq -,f8g7
6k1/4R3/4N2p/6p1/1Bp5/2P3q1/2P5/2K5 w - g6,c1b2
8/PQ3pk1/7p/1K2p1p1/8/3q2PP/8/8 w - -,b5c6
r4rk1/2p1npb1/qp2p1pp/p2pP3/PnPP4/1PQ1BN2/5PPP/R1R2NK1 w - -,f1g3
r4bk1/3n1pp1/p1n1b2p/1p2p3/2p1P3/2P3NP/PPB2PP1/1RB2NK1 b - -,d7c5
3r2k1/5pbp/5Qp1/4p3/r3B3/1K3N2/1PP3PP/3R3R b - -,d8b8
r1r3k1/pq1n1pbp/1p1p2p1/4p3/3PPB2/3Q1N1P/PP3PP1/R2R2K1 w - e6,d4e5
