3R4/5pk1/6p1/P6p/3p1K1P/2r5/2P5/8 b - -,c3c2
rn1q1rk1/pbpp1ppp/1p2pn2/8/2P5/2P2NP1/P2PPPBP/R1BQ1RK1 w - -,d1b3
8/8/2n5/6k1/3rK3/8/8/5R2 w - -,e4e3
1r3r1k/1n1bn1pp/4pq2/p2p4/1p3P2/1N3NP1/PPPQ2BP/1K1RR3 b - -,a5a4
r1b1k1nr/3nppb1/p2p2pp/qppP4/4P3/P1N1BP1N/1PPQ2PP/1R2KB1R b Kkq -,g8f6
1k4r1/1bb5/1p2P3/2pR1B2/2P1N3/1P3K2/8/8 b - -,b7d5
8/2r1kp1p/p2r1p2/2n1p3/2P2P2/R3P1P1/1R2B1KP/8 w - -,a3a5
r1q3k1/p2n1ppp/1pb1pn2/2b5/2N1PB2/1QN3P1/PP3PBP/3R2K1 w - -,d1d2
6R1/p7/1pp1p3/4P1r1/6k1/8/4r3/1K3R2 b - -,g5g8
r1qr2k1/1p2bppp/p3p1b1/2n1n3/4PB2/2N3P1/PP2QPBP/2RR2K1 w - -,f4e5
6r1/6bR/p1bppk2/1p4N1/4PP2/P1P1K3/1P2B3/8 w - -,h7h2
rqb2rk1/pp3ppp/1nn5/1N2P3/1b3B2/1B3NP1/PP3P1P/R2Q1K1R b - -,c8e6
r1b1kb1r/ppqppp1p/1nn5/4P3/2p3p1/N1P2N2/PPBPQPPP/R1B1K2R w KQkq -,a3b5
r1q1r1k1/2pn1pbp/1p2n1p1/p2Np3/P3P3/1PP2N2/2Q2PPP/R1BR2K1 w - -,c1a3
1r4k1/5ppp/2Qbp3/7q/2P2P2/7P/P2r2P1/R4RK1 w - -,a1b1
r6r/1pqbkpp1/p3p2p/3nP3/4N3/4nN2/PPPR2PP/1K2QB1R b - -,d7b5
8/5pk1/4p1q1/3rP1Pp/5Q2/5R1K/6P1/8 b - -,g6f5
4r1k1/1p3p1p/p1pq2p1/3p4/5P2/7P/PP2RP2/R5K1 w - -,e2e8
2k4r/ppp1qp2/2n1b2p/4P3/1PPN2p1/P3Q3/4BPPP/3R2K1 b - -,c6d4
r1r3k1/pp1b1ppp/4Bn2/2B5/P7/2P1P1N1/5PPP/R2K3R b - -,f7e6
8/8/7Q/3bk1p1/4pq2/7P/6P1/6NK b - -,e4e3
r4rk1/1bqnbppp/pp1pp3/4n3/N1PNP3/4BP2/PP2B1PP/2RQ1RK1 w - -,b2b3
r2q1rk1/1b1n1ppp/p2p4/4b3/p2NPB2/7P/1PBQ1PP1/R3R1K1 w - -,d4f5
r2r4/2kp2pp/p1n5/8/1P2q3/6PP/PP1R1P2/2RQ2K1 w - -,d2d4
R7/prk1p3/3p1p2/6b1/KPPn4/2N5/8/7R b - -,c7d7
8/7p/5Bk1/r1p3P1/2P1r3/1P1K4/7R/8 b - -,e4f4
Q7/3nk3/3q1p1p/3Pp1p1/2P1P3/4P2P/6PK/8 w - -,a8g8
3r2k1/1pp2rb1/2n3np/p3p1p1/P1N1Pp2/BPP2NPP/5PK1/3R1R2 b - -,f7d7
5rk1/8/2q3p1/2p5/p1Pb4/3P1R2/Q5K1/4R3 w - -,e1e4
3r3r/p2k4/1p2p3/1Rq4p/2P1QPpP/P7/5PB1/7K b - -,c5f2
n6k/P5b1/3B2Np/8/2qp4/3R4/1P4PP/R5K1 b - -,h8h7
3r1k2/1p4p1/1R5p/r1nN1p2/4P3/P3KPP1/1P6/2R5 w - -,e3d4
r4r1k/ppq2pp1/1np2np1/4p3/Pb1P4/1BN1P2P/1PQ2PP1/R1BR2K1 w - -,a4a5
2kr1bnr/pp3ppp/2p1b3/4P1N1/Pnp2B2/8/1P2PPPP/R2NKB1R w KQ -,d1e3
2r1r1k1/1p1q2bp/p4pp1/Pb1p2P1/3P1B2/5N1P/1P1Q1P1K/R3R3 w - -,g5f6
4rk2/p1q2ppp/5n2/3r4/8/NP3P2/P1N3PP/R4Q1K b - -,d5h5
6k1/R4p2/2B1p1pp/P1p5/2P5/1rb1P1P1/5P1P/6K1 b - -,g8f8
r2qr1k1/pp1n1ppp/2pbp3/3pNb2/3Pn3/PP2PN2/1BP1BPPP/R2Q1RK1 b - -,f7f6
r2qkb1r/p4pp1/2p1b2p/3np3/4N3/1P1P1Q2/1PP2PPP/RNB2RK1 b kq -,d8d7
2q3k1/3bn2p/p2p2r1/3P2b1/3BPpP1/2N2B1P/P2Q4/6RK w - -,c3e2
b1r2rk1/4bppp/pq2pn2/4p3/2PN1P2/2NB4/1P4PP/R2Q1R1K w - -,f4e5
r1b5/p2n1k2/1p2ppr1/3p1P2/1B6/P7/2P1N3/R4K1R b - -,e6f5
5rk1/pq5p/4RnpQ/1pPb1p2/3P4/5P2/P4NPP/2R3K1 w - -,e6e2
8/8/5p2/r5k1/8/5RPP/6K1/8 b - -,f6f5
4rq2/1b1k4/1B1b4/pP1P1p1p/P1P3pP/1Q4P1/2B5/1K1R4 w - -,d1f1
1rr3k1/5p1p/5bp1/p3p1q1/N3Q3/5P2/PPP3PP/2KR3R w - -,f3f4
6k1/6pp/b3pn2/8/3P4/1p6/5KPP/4N3 b - -,b3b2
8/4P3/8/4r3/2K5/P7/1kp4p/7R w - -,h1h2
r4rk1/1p2npbp/2pqb1p1/1P2p3/3PP3/2B2N2/4BPPP/2RQK2R b K -,e5d4
2r2k2/2qn1pp1/p2pp2p/1p6/3N1P1B/8/PPP1N1PP/2KR2R1 w - -,c2c3
8/6p1/3p2pk/3P1p2/4qP2/p5P1/P2Q3P/6K1 b - -,e4f3
1rb1k2r/p2pppbp/2p2np1/q7/2P1P3/2N5/PPQ1BPPP/R1B2RK1 b k -,e8g8
1rb1n1k1/2q5/p2p2p1/4n3/NpPQ4/1P4NP/P5B1/5RK1 w - -,g3e4
1r3k1r/3q1p2/3P1p1b/p3pN1p/1p2P3/1P5Q/P4PPP/R2R2K1 w - -,h3h5
r1b1q3/pp6/2n3pk/3Q4/2P1r3/6P1/P3PP1P/R4RK1 b - -,e4d4
rnb1kbnr/ppq2ppp/2pp4/4p3/2PP4/2N3P1/PP2PPBP/R1BQK1NR b KQkq -,f7f5:f8e7
rb2r1k1/1p3p1p/p3B2p/P2p4/1P5N/8/5PPP/4RRK1 b - -,f7e6
r4rk1/pb1nqppp/1p2pn2/8/1PP5/4PN2/1BQ1BPPP/R4RK1 b - -,e6e5
8/1k3p2/7p/2RPp1pP/4P1P1/5r2/1PK5/8 w - -,d5d6
rnb3k1/pp4bp/4pqp1/3p4/3P4/2N3P1/PP2P1BP/R1BQ2K1 w - -,e2e3
4brk1/6pp/4p1r1/pp3pPQ/2pP1q1P/P1P2P2/2B1RK2/4R3 w - -,d4d5
r2qkb1r/pbnp1ppp/1p3n2/2pp4/2P4N/2N3P1/PP2PPBP/R1BQ1RK1 b kq -,g7g6
2rq1rk1/1p1b2pp/2p2n2/pPRp1p2/3NpP2/PP2P3/1B1P2PP/3QK2R w K -,b5c6
r1bq1rk1/1p3ppp/1p3b2/3n4/8/P1N5/1P2NPPP/R2Q1RK1 w - -,d1d5
r1b2k1r/ppNp1ppp/2n1pq2/8/1b2nB2/2N2Q2/PPP2PPP/R3KB1R w KQ -,a2a3
2N2rk1/5p1p/p1R5/8/1P3P2/6P1/P2pp1P1/3R2K1 w - -,c6c1
3r3k/p4rpp/1p1P4/2n4q/2Q5/5R2/P4PPP/4R1K1 w - -,f3f7
5k2/5pp1/8/7P/1P3K2/r7/7P/1R6 w - -,b4b5
2b5/2P1Kp2/8/6kP/5p2/8/4B3/8 w - -,e7f7
2kr2r1/1p3pbp/p1b1p3/3p2B1/7P/2N3R1/PP1K1PP1/4R3 b - -,f7f6
7R/1Pb1k3/1r4p1/3B1p1p/5P1P/3K2P1/8/8 w - -,d3c4
6n1/p1p5/3k4/2p3K1/2p1P3/1P1N4/P7/8 w - -,b3c4
r4rk1/4p3/2qpP1p1/2p5/P7/2P4P/4Q1PK/R4R2 w - -,e2g4
r1bqk1nr/pp2ppbp/1np3p1/8/2BPN3/5N1P/PPP2PP1/R1BQK2R w KQkq -,c4b3
3n4/p1q2k1p/2p3p1/5p2/5P2/4Q1P1/PPP4P/2KN4 b - -,d8e6
r3r1n1/7Q/2p1k1p1/p2pB3/P2P2p1/2P2P2/7P/7K w - -,h7g6
r2qk2r/pp2b1pp/2p1Nn1n/8/3P1B2/3Q1N1P/PPP2PP1/R5K1 b kq -,d8b6
2r5/2p1k2N/R5p1/1p6/8/3b3P/PP6/6K1 w - -,h7g5
1r3bk1/1q4pp/5p2/p2ppNQ1/2p5/P1Pn3P/BP4PK/5R2 w - -,g5g4
8/4nkpp/p4p2/2QP1q2/8/P3B1P1/5PKP/8 w - -,d5d6
rnb1k2r/pp2ppb1/3p3p/2pP4/1q2P1nR/2N3B1/PPPQNPP1/R3KB2 b Qkq -,g7f6
1n6/p4pk1/1p1bq1p1/3P2Qp/8/2PB3P/P2B1PP1/6K1 b - -,e6f6
r3kb1r/1p6/p1bqpp2/3p3p/3P2p1/1QNNP1P1/PP3PP1/R4RK1 w kq h6,f1e1
5k2/p4p1p/4p1p1/8/1N6/1Br4P/P4PPK/8 b - -,f8e7
6k1/Rp1r2p1/2p3bp/8/2P4P/3n1NP1/7K/5B2 b - -,g6h5
r1b2rk1/ppq1bpp1/2n1pn1p/3p4/1PP5/3P1NP1/3NPPBP/1RBQ1RK1 b - -,c6b4
