8/7R/4k3/6K1/6P1/2r5/8/8 w - -,h7a7
r2q1rk1/2p1bppp/p2pbn2/1pn1p3/4P3/P2P1N2/BPP2PPP/R1BQRNK1 w - -,a2e6
6k1/5p1p/3p2p1/2rP4/8/4P1P1/5P1P/1R3K2 w - -,b1d1
8/5pk1/6p1/ppp4p/8/1PP1PP1P/P2Q2PK/1q6 b - -,a5a4
8/5pkp/6p1/p2Pn3/5P2/P1R3PP/8/3r1BK1 b - f3,e5d7
r3k2r/pp1qbppp/4pn2/2n5/3N4/2P3N1/PP2QPPP/R1B1R1K1 b kq -,e8g8
r3r3/1p3pk1/p1p1b1pR/4p3/1PB1P3/P2P2P1/3K1P2/1R6 w - -,b1h1
6R1/p2r3p/1p6/6k1/4pp2/4Np2/PP3P2/4KN1r b - -,g5h5
r2qkb1r/3n1p2/p3p2p/1ppbP1p1/P1pP4/6B1/1P1NBPPP/R2Q1RK1 w kq -,e2f3
r2qkb1r/pp2pppp/2n2n2/3p3b/3P4/1BP2N1P/PP3PP1/RNBQK2R w KQkq -,c1f4
2rrbk2/p4ppp/1p2pn2/2b1N3/P7/1P4P1/1B2PPBP/R1R3K1 w - -,e5d3
4r2r/1pq5/p3pkp1/5P2/2Pp1b2/3P1R2/PP2Q1B1/4R1K1 b - -,g6f5
r3r1k1/1pqnppb1/2p3p1/p1n4p/2P5/1PN1Q1PP/PB2PPB1/3R1RK1 b - -,c7e5
6r1/Rb5k/3npp1p/1p6/2pPpP2/2P1P2R/1P1NKNrP/8 b - -,f6f5
1k5r/1ppn2bp/p2p2p1/3P4/P3q3/R3B3/1PP3PP/3Q1BK1 b - -,d7e5
3R4/4K1pk/4r1Np/7P/8/8/8/8 w - -,e7d7
1r3r1k/6pp/4bP2/8/1p3P2/n2BN3/P1P2KPP/R2R4 b - -,g7f6
1r6/2p3k1/2p2b1p/2Bb1Bp1/p5P1/1P5P/P4K2/4R3 w - -,b3a4
8/8/8/8/P1k5/2N1K2n/8/8 b - -,h3g5
2rq1rk1/pb1nbpp1/3n3p/2p5/N2pPP2/1P1B4/PBQN2PP/R4RK1 b - -,d7b6
2rr2k1/p1b3p1/3qb1pp/4N3/3P4/4Q2P/PB3RP1/5RK1 w - -,f1c1
8/2p2kp1/p1R4p/3n4/3r1P2/1P3KP1/P6P/4B3 b - -,d4d1
2r3k1/p4pb1/1p2p1pp/2B5/P1P5/1P1RP1P1/5PBP/6K1 b - -,b6c5
2r3k1/p1r2pbp/1p1qp1p1/1P1n4/3p1P1Q/P2B4/1BPP2PP/R4RK1 w - -,f4f5
2r2rk1/1p3p1p/pb2pp2/8/P7/1N6/1PP2PPP/2RR2K1 w - -,d1d7
r3kb1r/1b1npp1p/p2P1np1/qp6/3Q4/1BN2N2/PB3PPP/R4RK1 b kq -,e7e6
rn1qkbnr/1b1p1ppp/p3p3/1pp5/3P1B2/3BPN2/PPP2PPP/RN1QK2R w KQkq c6,c2c3
1r2r3/5p1k/p1q1bQpp/8/Pp6/1P1P3P/5Pp1/1B1RR1K1 w - -,d3d4
2r2bk1/1p1q3p/4bpp1/4p3/1P2P3/4Q1P1/5P1P/R3BBK1 b - -,d7d4
5b1k/p6p/R6N/6pn/8/4B2P/1qP2PP1/5RK1 w - -,h6f7
3q2k1/1r2bb1p/p3p1pB/3p3n/2pP4/2N1P2P/PPQ3P1/1B3R1K w - -,f1f3
2r1rbk1/1b4p1/p1q1pn1p/2n5/1pP5/5PN1/P1B1QNPP/R1B1R1K1 w - -,c1b2
1r1r3k/1p4p1/p3npqp/P2N1b2/3Pn3/1Q1NP2P/1R2BPP1/2R3K1 w - -,d5e7
r1b1r1k1/ppp2pbp/3q1np1/8/3pPB2/1N4PP/PP3PB1/R2QR1K1 b - -,d6e7
8/p7/3k4/6p1/PP2K2P/2bN4/8/8 w - -,h4g5
1R6/4pk1p/5bp1/5p2/5P2/3R1K2/2r3PP/8 w - -,b8d8
3r1r2/3n1pkp/3pbnp1/q1pN4/1p2P3/1P3NPP/P2Q1PB1/2RR2K1 b - -,e6d5
r1q1k2r/p1pn1pb1/1p1pp1pp/8/2PPbB2/5NP1/PP1QPPBP/2R2RK1 w kq -,f1e1
r5k1/p4pb1/2p3p1/4n1Np/8/B3P1PP/P4P2/1R4K1 w - -,b1b7
8/3B4/5N2/p7/2k1pK2/4P3/2bn4/8 b - -,c4c5
r1b1r1k1/pp3ppp/2n2n2/5q2/3p4/1Q2PNP1/PP1B1PBP/2RR2K1 b - -,d4e3
1n2r3/2k2p2/p2p4/3Pn1p1/RP2Pp2/5P1P/6K1/4NB2 b - -,c7b6
r2q1rk1/ppp1ppbp/2np1np1/3P4/2P5/2N2PP1/PP3PBP/R1BQ1RK1 b - -,c6a5
r4rk1/p2qbppp/1pn5/2p1Pb2/2Pp1B2/1Q1P4/P2NBPPP/1R3RK1 b - -,a8e8
8/6p1/5p2/p4k1p/7P/r5P1/P3RP2/6K1 b - -,f5g6:a3c3
4n3/4r1k1/pp3p2/2p1q2p/P1P1p2R/1P2Q2P/6P1/5R1K w - h6,h4f4
8/5ppk/7q/p1b5/P4P2/1P1Rn1QB/2P4P/7K b - -,e3c2
1r1b2k1/3q1pp1/p2P4/1p1Qp3/1B2P3/6PP/P1R3K1/8 b - -,a6a5
4r1k1/5pp1/p7/6Pp/3bN2P/1b1q1PQ1/1P2N3/2R2K2 b - -,b3c4
r5k1/4b1qp/p1Q1p1b1/1pn3P1/7P/P1N5/1PP5/2KR1R2 b - -,a8b8
r2k3r/pppbbppp/2p5/4Pn2/8/2N2N1P/PPP2PP1/R1BR2K1 b - -,d8c8
8/2p5/1pP5/P1kpr2p/8/5K2/1R5P/8 w - -,a5b6
r3r1k1/pp1q1bbp/2pp1pp1/8/P2PPBP1/2Q4P/1PP3B1/4RR1K b - a3,a8d8
r2r2k1/1pn2pb1/4bnpp/p1p1p3/2P5/1NN1B3/PP2BPPP/R4RK1 w - -,b3c5
r1bq1rk1/1pp2pbp/2np2p1/p3p2n/2P5/P1NP1NP1/1P2PPBP/1RBQ1RK1 w - -,b2b4
3k4/2R4p/1P2p1p1/5p2/2P2P2/6P1/5K1P/1r6 w - -,c4c5
3rk2r/1pp2pp1/p1p5/4P2p/1bPNbPP1/1P2B2P/P4K2/3R1R2 w - -,d4f3
7k/p7/1p2p3/5p2/P2b1K1P/8/8/8 b - -,a7a6
8/3r2k1/3Pqp2/6p1/p5P1/3Q1P2/3R2K1/8 w - -,d2d1
4r2k/1p4p1/2b4p/3r4/P3pq1P/1P4PB/4R2K/4R3 w - -,g3f4
6k1/1p2bnp1/2r4p/p7/P1N1pP2/4B1P1/1P2P1K1/2R5 b - -,e7b4
8/5p2/3npk2/6pp/1p1b1P2/1B3KPP/P7/4R3 b - -,d6f5
r1bq1rk1/pp1n1pbp/2pp1np1/8/2Pp4/1P4P1/PBQNPPBP/RN1R2K1 w - -,b2d4
8/5k2/8/p2r1p1R/P3p3/1P2P1P1/5P2/5K2 b - -,f7g6
r5rk/3R1pbp/p7/1p2pP2/8/Pq2B3/1P3QPP/5RK1 b - -,a8d8
8/8/1p1p1k1p/pKbB1P1P/2P3P1/1P6/P7/8 b - -,f6g5
2rr4/2k1p1Np/p3p1p1/8/1p2Q2P/2q5/PP3PP1/6K1 w - -,b2c3
8/pp5Q/2p2r1p/7k/2P1P3/4B3/PP5K/3r4 w - -,e4e5
r7/1pbb2pk/2p2p2/p7/P1P5/1P3N1P/6P1/B4RK1 w - -,f1d1
R7/5pk1/1p2p3/pr2P3/6PP/5K2/8/8 w - -,f3f4
2b1r3/pp4kp/P1p3p1/3rp3/6pq/3PQP2/1P3P1P/2R1RBK1 w - -,c1c4
r3k2r/1bqp1pp1/p1nbP2p/1p5Q/3pP2B/1B1P4/PPP3PP/RN3RK1 b kq -,d7e6
1r1b4/2n3pp/p1k2p2/2Pp1P2/PPb1p1P1/2B1P3/1R5P/2R3K1 b - -,d8e7
5rnk/p6p/1p2Qp2/2p1p2P/8/2P1q1P1/PP4K1/5RN1 b - -,e3e4
r1bq1r1k/1p2b1pp/n1n2p2/p3p3/2PpN1P1/PP1P4/2N2PBP/1RBQR1K1 b - -,d8d7
8/1p3ppp/1p2p1b1/2k4P/P1Pr4/5P2/4K1P1/2R5 w - -,h5g6
r1b1qrk1/pp2b1pp/2ppPn2/2n2p2/2P5/2N2NP1/PPQ1PPBP/R1B2RK1 w - -,f3d4
8/2p1kr2/1p1p2Qp/pPbP1p2/P3pPp1/4P1Pq/2R4P/6RK b - -,e7f8
r1q1r1k1/1p1b1pp1/p1p2nnp/2Pp4/PP1P4/2Q1BPP1/6BP/1R1R1NK1 w - -,d1e1
2b1r1k1/7p/6p1/p1pP1p1q/PpPbpQ2/1P4P1/R4P2/1B2RK2 b - -,g6g5
r4q1k/pbp2rbp/np1p2p1/1N1N4/1PPB1n2/P6P/2Q1BPP1/3R1RK1 b - -,f4e2
1r2k2r/1b2bpp1/p3p2p/1q1p4/5P2/P1PQ1B2/1P4PP/1NKRR3 b k -,b5d3
rr1q2k1/pp3pp1/2p1b2p/P1Q5/1R6/4PB2/1P3PPP/R5K1 b - -,d8c7
