8/R7/p2r1nk1/8/6KP/5P2/8/8 w - -,g4g3
r3k2r/p3bpp1/2p1pn1p/1p1qN2P/3P4/3Q4/PPPB1PP1/1K1R3R b kq -,f6e4
r2r2k1/4bppp/p2p4/3Qp1P1/2P1P2P/5q2/PB3P2/3RR1K1 b - -,f3g4
r1b2rk1/1pq1bppp/p1n1p3/4P3/3NpPP1/4B3/PPP1B2P/R3QRK1 w - -,c2c3
r1bqkb1r/ppp2ppp/2n5/3np3/8/2N3P1/PP1PPPBP/R1BQK1NR w KQkq -,g1f3
1rbr2k1/ppp1qppp/2nppn2/2P5/3PP3/1NP3P1/P4PBP/R1BQ1RK1 w - -,d1e2
r1bqr1k1/p1pp1pp1/2p2n1p/8/1b2PB2/2NB1Q2/PPP2PPP/R4RK1 b - -,d7d6
8/7r/3pPk2/2pP1p1p/R7/1P3KPP/P7/8 w - -,a4c4
rn3rk1/pb3ppp/1p2p3/3q4/3P4/P1B5/1P2BPPP/R2QK2R w KQ -,e2f3
r1bqk2r/pp3pbp/2n1p1pn/3pP3/3N1P2/2N1BQ2/PPP3PP/2KR1B1R b kq -,f7f6
r1bq1rk1/2p1n1pp/p2b1p2/1pp1p1B1/4P3/N1PP1N1P/PP3PP1/R2Q1RK1 w - -,g5h4
rn2k2r/ppq1bppp/4pnb1/3p4/3P3N/1QN1PPP1/PP5P/R1B1KB1R w KQkq -,e3e4:h4g6
4R3/1rq2p2/1k6/2p5/1p6/1P1Q1P1P/6P1/7K b - -,b7a7
r1b1kb1r/pp3ppp/1qn1p3/2pp4/3P4/2P1PNP1/PP3PP1/RNQ1KB1R w KQkq d6,b1d2
r2k4/2Pn2p1/Pp3p1p/4p3/1B6/7P/P4PP1/2R3K1 b - -,d8c8
6k1/3q1pp1/7p/8/2Q5/1P1P3P/4r1P1/5R1K w - -,b3b4
r5k1/1p4p1/2q1p2p/p4r1Q/1nPB4/1P4PK/P4b1P/3R1R2 w - -,h5g4
3r3r/3qnkp1/p4n1p/1pBp4/4pP2/1BP3Q1/P5PP/3RR1K1 w - -,g3f2
2rr4/pp2npk1/1n1R2p1/2p4p/4P2P/5P1N/PPP1B1P1/1K5R w - -,h1d1
8/8/1k4p1/Np1p1p1p/1PbP1P1P/6P1/2K5/8 w - -,a5c6
4rrk1/1bqp2p1/1p5p/1Pn1pp2/PR3P1B/8/2B1Q1PP/5R1K w - -,f4e5
8/Q5pk/8/5p1p/4p1qP/6P1/5P1K/8 w - -,a7e3
r3r3/kpQ5/4NB2/p1pP1p1q/2P5/2P4P/P7/2K4R b - -,h5f3
8/5pkp/1p4p1/2b2r2/1p3Pr1/1PP2R1P/1P1Q4/7K b - -,g4g1
r2q1rk1/p3npbp/bpnpp1p1/2p5/4PP2/2NP1NP1/PPP2BBP/R2QR1K1 b - -,a8c8
r4b1k/p5qp/8/1b2BQ2/8/4P3/PP3PPP/6K1 b - -,a8d8
8/1r5p/2p4R/p1P1kp2/2K1p3/1P6/P4P1P/8 b - -,b7g7
8/KPk5/5pp1/8/2R4P/p5P1/1r6/8 b - -,c7d7
3R4/2pb1pp1/3k3p/p1p5/2P5/1P6/r4PPP/3BK3 b - -,d6e7
2rr2k1/1q2ppbp/1pbp2p1/p1nN2B1/P1P1P3/1PN2P2/3Q2PP/1R1R2K1 b - -,d8d7
r2qk2r/1p1nppbp/p2p1np1/2pP4/2P1P3/2N4P/PP1B1PP1/R2QKB1R b KQkq -,e8g8
6k1/p4p1p/6p1/8/8/2b2B2/6PP/1K2R3 b - -,c3e1
8/8/8/8/7p/5p1K/3r1k2/1R6 w - -,b1a1
r4rk1/1b3ppp/1n2p3/pN6/4n3/1N2P3/1PR1BPPP/R5K1 b - -,a5a4
r3k2r/1pqn1ppp/2p1p1b1/p1n1P3/P1B1PP2/2N5/1P2Q1PP/R1BR2K1 b kq f3,e8g8
r1bqr1k1/1p3p1p/p2p1bpB/2pP3n/P3P3/2N2B1P/1P3PP1/R2QR1K1 b - -,e8e5:h5g7
r2qk2r/4bpp1/p1p1b3/4Pp2/P1PP4/2p1B3/2P2P1P/R1Q2RK1 w kq -,d4d5
1rr3k1/3n1ppp/2p1p3/p1qpPP2/3n4/P5P1/1B2Q1BP/1R2R2K w - -,b2d4
r4r1k/1pqbbppp/p2ppn2/8/P2NPP2/2NnB1Q1/1PP3PP/R4R1K w - -,c2d3
1k6/1pp3pp/5p2/PP6/7P/3Q2P1/5PK1/4q3 b - -,e1a5
rnq1r1k1/p4ppp/bp6/2Pp4/QP2nB2/P3PNP1/5PBP/R3K2R b KQ b3,e8e7
8/p1kb1p1p/2p5/p7/P1PR1N2/4PP2/3K3P/6r1 w - -,c4c5
8/8/5BP1/1pp5/8/1kP2n2/r7/1K5R b - -,f3d2
1r1q1rk1/4ppbn/3p2pp/1npPP3/2B2PPB/6NP/1P1Q4/R3K2R w KQ -,d2a5
2r3k1/6pp/P3p2r/8/2bP1pNq/1R2PP2/P2KQ1RP/8 w - -,g4h6
r1b2rk1/pp2ppbp/2np1np1/q1p5/2PPP3/2N1BP2/PP1QN1PP/R3KB1R w KQ -,a2a3:d4d5
r4rk1/pp1nqppp/2n4b/2p1p3/2PpP2P/P2P2PB/1P1N1PQ1/R1B2R1K b - -,a8d8
6k1/R4p2/6p1/6P1/1P4PP/P7/1r1p4/3K4 w - -,h4h5
r4rk1/p3bppp/1q2pn2/8/1p1P4/1p2P3/1P1BBPPP/R2Q1RK1 b - -,a7a5
r3k2r/1ppq2pp/p1npbp2/3N4/4PP2/6R1/PPPQB1PP/R5K1 b kq -,e8g8
rn1qkb1r/pp3ppp/2p1pn2/3p3b/2P5/1P2PN1P/PB1P1PP1/RN1QKB1R w KQkq -,f1e2
6k1/pp3p2/1b1np3/3r3p/1P4P1/P6P/1BQ2P2/6K1 w - -,g1g2
6k1/2p3pp/5pb1/P7/6P1/5P2/4nBP1/R1r4K w - -,a1c1
r5k1/1b1q1pbp/p3p1p1/1p1rPn2/4BB2/P4N2/1P3PPP/R2QR2K w - -,e4d5
5rk1/1pnr1pp1/1qp1p2p/p1bpPb2/P7/1P1P1QP1/1BP1NPBP/3R1RK1 b - -,d5d4
6k1/5ppp/1q2p3/p1pr2B1/7P/3B2Q1/5PP1/6K1 w - -,g5f6
rr4k1/5npp/p2p1p2/R1nPp3/7P/2R1PPB1/4B1P1/6K1 b - h3,b8b2
r3kb1r/1pqnnppp/p3p1b1/2NpP1B1/3P3N/2P5/PP2BPPP/R2Q1RK1 b kq -,d7c5
r1bq1rk1/2pp1ppp/p1n2n2/1pb1p3/4P3/1B1P1N2/PPP2PPP/RNBQR1K1 w - -,c1g5
2r4k/pp3p1p/5NpP/6P1/3r4/P4P2/1nP1NK2/7R w - -,e2d4
2k1r3/8/4rn2/p3p1Rp/8/1P3b2/PBP4P/2K1R3 w - -,g5e5
5k2/4pr1p/3p4/1npP1p2/1p3P1P/1P2R1P1/P5B1/2r1R1K1 w - -,e3e2
r4rk1/3nqppp/1pp1p1b1/p7/R1PP4/4PPB1/3QB1PP/5RK1 w - -,c4c5
6R1/8/p1br3k/8/1P4N1/5P2/4n1PK/8 b - -,h6h7
r2qk2r/4bppp/p1p1bn2/2pp2B1/3P4/2N1PN2/PP3PPP/R2Q1RK1 w kq -,f3e5
rq4k1/1b1nbppp/p3p3/3pP3/1PrB1P2/2N2B2/1PPQ2PP/3R1R1K b - -,e7b4
1r2q2k/2b3pp/1p2bp2/8/PpNR4/1P4PP/2Q2PBK/8 b - -,b8d8
8/8/6p1/2k5/6r1/P1K3B1/7P/8 w - -,g3f2
3r1r2/1Q3pkp/p2qpnp1/2N2n2/P1BP4/8/5PPP/3RR1K1 b - -,g7h6
2r2bnk/pq4pp/1p3p2/8/P1b2p2/1PP5/5RPP/2BQ2NK w - -,b3c4
r1bqk1nr/1p1p1pbp/2n3p1/p1p1p3/2P5/P1NP1NP1/1P2PPBP/R1BQK2R b KQkq -,g8e7
r1bq1rk1/pp2ppbp/2n3p1/3N4/3N4/4B3/PPPQBPPP/R3K2R b KQ -,d8d5:c6d4
r3k2r/3b1pp1/2p4p/pp2p3/P3P3/1B6/1PP2PPP/R4RK1 b kq a3,e8e7
1r1r4/2k3pp/q1p2p2/p1B1b3/P3N1P1/2PbP2P/2QR4/2K1R3 w - -,c2a2
r4kr1/p3ppb1/1p5p/1n5b/3P4/1B3N2/PB4PP/4RRK1 b - -,a8d8
6k1/8/1r1q4/3P2p1/R1pQ1P2/p1P4P/6PK/8 w - g6,a4a8
r1b1r1k1/1p3pbp/2pp1np1/2n5/pqPNPP2/2N1B1PP/PPQ3B1/3RR1K1 w - -,a2a3
r1b1k2r/2qnbpp1/pp1ppn1p/8/P3PPP1/1NNBB3/1PP4P/R2Q1RK1 w kq -,d1e2
6R1/8/8/4r3/p5k1/6p1/4p3/4K3 b - -,e5g5
8/1p5k/7p/3R1N2/1p4P1/1Pb2K1P/P1r5/8 w - -,d5d7
3r1n2/1p6/1k2b3/6Rp/8/1P1BR3/1K5P/8 b - -,h5h4
r2qr1k1/1pp3pp/pbn1n1b1/3pP3/1P1P2P1/1NQ1BN2/P4P2/3RRBK1 b - -,e8f8
