8/8/5Pp1/pk2b3/8/4BK2/8/8 w - a6,f6f7
5nk1/5pp1/p6p/1p3P2/1P2P2P/2BQb1P1/2P3K1/2q2B2 b - -,f8d7
r2qr1k1/ppnnppbp/3p2p1/2pP4/P1P1P3/2N1B3/1P1QNPPP/R4RK1 b - a3,b7b6
rn3rk1/pp3ppp/5n2/2p3P1/5N2/2PPN3/P3K2P/R6R b - -,f6d7
8/5p2/2bk2pp/pp6/1b2p2P/1P2P1PN/P1B1KP2/8 w - -,h3f4
6r1/8/b1p5/3pk3/1P2pP2/7r/P1KR1P2/3BR3 b - -,e5f4
6k1/p2r1p1p/bp3bp1/8/N7/1B4P1/PP3P1P/2R3K1 w - -,a4c3
r7/ppq2pkp/2p1bnp1/4r3/4P3/2Q3P1/PP1N1PBP/2R2RK1 w - -,f2f4
r5k1/3pq2p/1p1Np1b1/2n3r1/p1P2p2/P1Q2P2/1P2BRPP/3R2K1 b - -,e7g7
r4rk1/pp1b2bp/4p1p1/3pP1qn/2P5/1P4PP/PB1NQ1BK/R4R2 w - -,e2d3
3r1rk1/pb3ppp/np1p4/b1pPp3/2P3Pq/P1NBPQ2/1P1B1P1P/R3K1R1 b Q -,b7c8
5r1k/qp2n1pp/2n2p2/r3p2b/P3P3/R2P1NPB/1Q1N1P1P/1R4K1 b - -,b7b5
r4r1k/p1p1n1pp/2ppbp2/8/4PP2/2N1P3/PPP1B2P/2KR2R1 w - -,e2f3
1k6/1p3R2/p2K4/2pP3p/2P5/3r2P1/PP5P/8 w - -,f7f8
3r1kr1/p1p2p1p/1p1pnq2/3Q3R/2P1PP2/5BP1/PP3K2/3R4 w - -,d5d2
2r2rk1/1bq1bppp/p2p4/4n1P1/1p2PB1P/2N3QB/PPP5/2KR3R w - -,h3c8
8/7P/2B5/p7/P2b1k1P/4pp2/8/5K2 w - -,c6b5
r1bqk2r/pp3ppp/2nbpn2/8/2B5/2P2N2/PP2QPPP/RNB1K2R b KQkq -,e8g8
3N4/1k6/4p1p1/1p1nP1P1/3PKP2/6r1/3b4/R7 b - -,b7b6
r1bn4/p4pk1/1p2pn1p/4N3/2B3pB/2R4P/PP3PP1/6K1 w - -,e5g4
5kr1/bppbnnr1/p3p2p/3pPp2/1P1P1P2/P1NB1N1P/2P1KB2/6RR w - -,g1g7
4r3/3rk1pp/4P3/1pN5/2b4P/P4R2/5PPK/8 w - -,e6d7
1r1rb1k1/2p2p1p/2p1P1pq/p2p1P2/P2Q4/6R1/4N1RP/6K1 w - -,f5g6
r2q1rk1/p2b1n2/np1p2pb/2pPpp1p/1PP1P3/P1N2P2/2QNBBPP/1R3RK1 w - -,c3b5
r1r5/3nkppp/1n2p3/p1p5/4P3/BPN2P2/P5PP/R2R2K1 w - -,a1b1
2r5/7p/2N2k2/p4p2/4p3/2R3P1/4KP1P/8 b - -,a5a4
r1bq1rk1/ppbn2pp/2p5/1PPppp2/3Pn3/3BPN2/P3NPPP/R1BQ1RK1 w - -,f3e1
2q2rk1/p3Qp1p/1p1p2p1/3P4/3N2n1/1P4P1/Pb2P1BP/3R2K1 b - -,f8e8
2R2nk1/5p1p/3ppbp1/8/3PP3/2B3P1/rP3P1N/6K1 w - -,h2g4
2b2r1k/4r1p1/1p3q1p/4p3/1Q3p1P/P4BP1/1P2PP2/R2R2K1 w - -,d1d6
8/pp1k4/3p4/6r1/7R/P7/1PPK2b1/8 b - -,a7a6
7k/p5pp/2q5/2b1P3/8/2B2PPb/1P5P/3Q3K b - -,h7h6
r4qk1/1pnnp1bp/p2p2p1/2pP4/P3Nr2/4N1B1/1PP1QPPP/3R1RK1 w - -,g3f4
3r1rk1/1B1q1ppp/p7/2p5/P2n1P2/8/1PP3QP/R1B2RK1 b - -,f8e8
5rk1/p1q1n1p1/4br1p/3pp2P/P7/2P5/2P1BPPN/1R2QRK1 w - -,c3c4
r1b1r1k1/1pbnqpp1/p1p4p/2P3N1/N2BP3/1Q1B3P/P4PP1/2R2RK1 b - -,h6g5
r4rk1/1p3pp1/p1n1bn1p/q2pN3/Qb5B/2N1P3/1P2BPPP/R4RK1 w - -,e5c6
2r2rk1/1q1bppbp/3p1np1/pp2n3/3NP3/N1P1BP1P/PPBQ2P1/R3R1K1 w - -,c2b3
2b3k1/p1p1qp1p/2P3p1/1r2p3/8/2Q4P/PP3PB1/3RR1K1 w - -,c3d3
8/2p5/2P2k2/1pR1p1p1/p3b3/8/PP1K1P2/2N4r b - -,f6e6
1rr4k/p4qpp/5p2/Q2n4/2b1p3/PP2B1P1/3RPP1P/3R2K1 w - -,b3c4
1r1q1r1k/2n3bp/p2p2p1/4pb2/1pPp1P2/1P1P2PP/PN1Q2BK/4RRB1 w - -,f4e5
rn1q1rk1/pbp1bppp/1p3n2/3p4/8/2N2NP1/PP1PPPBP/R1BQR1K1 w - -,d2d4
r2qnrk1/p2p1ppp/bp2p3/n1P5/2P1P3/P1PBBP2/4N1PP/R2Q1RK1 b - -,a5c4
r5k1/3n2pp/4p2n/p2NP3/1p1P1P1q/1P4r1/P2Q1RB1/R5K1 w - -,d5e3
3r4/4kpp1/p2p3p/1prB2P1/2P1PP1P/1P4K1/P7/3R4 b - -,b5b4
rn1qkb1r/pp2pp1p/3p1np1/8/3NP1b1/2N3P1/PPP2P1P/R1BQKB1R w KQkq -,f2f3
6k1/7p/p7/1p6/1P4P1/P1PqRNP1/5K2/8 b - -,d3c2
8/4b3/8/4pkpp/1p1p4/1P1P1KPP/2PN1P2/8 w - -,d2f1
2kr3r/pp2pp1p/2p2p2/4N2P/3PNq2/Q2K4/P1P3P1/7R b - -,f6e5
8/7Q/4B3/8/8/1p2K3/1k6/q7 w - -,h7g7
7k/3Q4/4K3/5P2/8/1p6/1Pq5/8 w - -,f5f6:d7d4
2r2rk1/pb2ppbp/1p1q1np1/4N1B1/Q2P4/P1n4P/BP3PP1/2R1R1K1 w - -,b2c3
1r1qr1k1/R2bb1p1/3p3p/1p1Ppp2/1PP5/1Q2BP2/3N2PP/5RK1 b - c3,b5c4
r7/7p/2p1pk2/1bP1Np2/5KP1/4R2P/8/8 w - -,g4f5
4k3/2p3pp/2p1b3/p1p5/8/PP2KP2/4N1PP/8 w - -,e2c1
3k4/2n2pp1/p1p2r2/2R2P1p/PP6/4N2P/5P2/5K2 w - -,f1e2
1k1r4/1p1r3p/1p2pp2/5p1B/3nPP2/4K2P/PP1R4/2R5 b - -,e6e5
4r3/1p3k2/pB6/Pb1Ppp1P/2p3p1/2Pn2P1/3RB3/6K1 b - -,e8h8
r3r1k1/p2RBp1p/1p1R2p1/5q2/8/5QP1/1b2PP1P/6K1 w - -,f3b3
r1bq1rk1/1p1pppbp/2n2np1/p7/P2NP3/1BN1B3/1PP2PPP/R2QK2R b KQ a3,f6g4:c6b4
r1q2rk1/p2n1ppp/1p2pn2/1Nb5/2Q2B2/4PN2/PP3PPP/2RR2K1 b - -,c8b7
r1q3k1/2Nnb2p/p4r2/1p3p2/8/2N3P1/PPP2PKP/R2Q1R2 b - -,c8c7
2k5/7R/8/8/P2r4/8/1KP5/8 b - -,d4a4
r7/3nkpp1/2pb1n1p/1p1p4/3PP3/1PN2BP1/3B1P1P/1R2K3 b - e3,d5e4
r1b1k2r/1p2bpp1/pq1ppB1p/2n5/3NP3/1BN5/PPPQ1PPP/2KRR3 b kq -,e7f6
3rkb1r/1p1qnppp/p7/P1pNpP2/8/1QPP3P/1P1B1P2/R3KB1R b KQk -,d7d5
r2r4/2n1nkp1/5b2/P1Pp1P2/Bp1P1N1p/2B1P3/5K2/R6R w - -,c3b4
r1b2rk1/p1pnqpbp/1p1p1np1/4p3/2PP4/2N1PNB1/PP2BPPP/R2Q1RK1 w - -,c3b5
r2qk1nr/ppp1n2p/3p1pp1/3N2P1/2PP1P2/8/PP3P2/R2QKB1R w KQkq -,d1e2
8/8/1R2p2k/p1Pp4/1n2p2b/8/1P3PP1/3R2K1 b - -,h4g5
8/5p2/4p1k1/1R2P1p1/3r4/5PKP/8/8 b - -,d4d5
r3r1k1/pp1n1pbp/2p3p1/6P1/3PpP2/1P3B1P/PBP5/2KR3R w - -,f3g4
r1b1r1k1/1p1n1pbn/p2p2pB/q1pP3p/P3P3/R1N2PN1/1P1Q2PP/4KB1R b K -,g7h8
7r/2p1k2p/1pb1npp1/p3p3/2B1P3/1PPN1P2/P1KR2PP/8 b - -,h7h5
4rrk1/p1p3pp/5p2/8/2n5/3N4/PPP3PP/4RRK1 w - -,g1f2
6r1/p1r1kp2/bp1Np3/5p1p/1PPR3P/PK4P1/5P2/4R3 b - -,e7f6
rq2k2r/pp1bbppp/2nppn2/1N6/2B1P3/2N5/PPP2PPP/R1BQR1K1 w kq -,c1g5
rnbqkbnr/pp3ppp/4p3/2pp4/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq d6,d1e2:b1d2
5rk1/p3bppp/4bn2/qQ2p3/8/4PBP1/P4P1P/1R3RK1 b - -,a5b5
1rnqk2r/pp1bbppp/3p1n2/3Pp3/4P3/1QN1BN1P/PP2BPP1/R3K2R w KQk -,f3d2
3rr3/pp3kp1/2n4p/2b5/3ppP2/P3P1P1/1P1B2BP/R3R1K1 b - -,d4d3
1r6/2pR1pk1/4bp2/2p5/2P1BP2/1p2R1P1/P4P1P/6K1 b - -,e6d7
