8/2K1kP2/1p2B3/1P3P2/n7/8/8/8 b - -,e7f8
2rqr1k1/pp2p2p/4bppB/n2P4/4PN2/3B1P2/P5PP/Q4R1K b - -,e6d7
r1b1qrk1/ppp2pbp/2n3p1/4p1B1/2B1Pn2/1N2QN2/PPP2PPP/3R1RK1 b - -,c8g4
2kR4/pp2b1pp/2n2p2/4p3/2B5/1P2BP2/1PP3PP/2K5 b - -,c8d8
6k1/pp5p/6p1/2pP1pq1/2Pbr3/8/PPB3PP/3QR2K b - -,e4h4
r1r3k1/1R3pp1/4p1q1/p1PpB2b/3P3P/2R1PP2/6QK/8 b - -,a5a4
1R1Q4/r3p1bk/3p2p1/1b1P1p1p/1q3P2/1P2P1P1/r4N1P/1R3BK1 w - -,f2h3
rn2kb1r/1b2pp1p/1q1p1np1/2pP4/4P3/2N5/PP3PPP/R1BQKBNR w KQkq -,g1f3
2rqk2r/1b1nppbp/p2p1np1/1p1P4/3NP3/P1N1BP2/1P1Q2PP/R3KB1R w KQk -,a1c1
1Q6/1b3p1k/1p4p1/p2p4/3P2P1/7B/1P3K1P/2q5 b - -,c1b2
r2qr1k1/1p1n2bp/p2p2p1/2pP1p2/Pn2PPP1/2N1BB1P/1P2Q3/R4RK1 w - f6,g4f5
r2qk2r/1p1n1pp1/p2bpnp1/2p5/P1BP4/2N1P2P/1P1B1PP1/R2Q1RK1 b kq a3,e8g8
r4rk1/p2qbppb/2p1p2p/3p4/2P5/1P1BP2P/PB3PP1/R2Q1RK1 b - -,h7d3
2qr2k1/1pb3p1/p2P1pp1/P1Q1p3/7P/n2P2P1/5PB1/2R3K1 b - -,a3b5
8/kn6/8/2N5/PK6/8/8/8 w - -,c5d7
rn1q1rk1/1b2bpp1/p1pppn1p/1p6/2PP3B/4PN2/PP1N1PPP/1BRQ1RK1 b - -,b8d7
r5q1/2nkpQ2/3p1P2/P1pP4/4r3/8/R5PP/5RK1 w - -,f7h5
r4k2/6r1/ppR1p2p/3p1pp1/5qP1/5P1Q/PP2B2P/5R1K b - -,f4e3
6R1/2Pk4/8/p7/P6b/2r3B1/6K1/8 w - -,g3h4
1r6/2r2pk1/1q1p1pp1/7p/1P1RP3/5PP1/1Q1R2KP/8 b - -,c7c6
r1b1kb1r/2q2ppp/p1pppn2/8/2P1P3/2NB4/PP2QPPP/R1B2RK1 b kq -,f8e7
q5k1/3b3n/6p1/2pP4/3bN3/4Q1Pp/1P3N1P/5RK1 w - -,e3b3
8/6k1/p3R3/Pr4p1/6P1/4P1K1/5P2/8 b - -,b5a5
5rk1/p5p1/7p/2N2p2/5R2/P3n1PP/1P1rP1K1/2R5 w - -,g2f3
6k1/5pp1/2p4p/p3p3/8/2Pr1P1P/Pr3K1P/R6R w - -,f2g3
r3k2r/pppnqppp/2p5/2b1p2b/4P3/3PBN1P/PPPNQPP1/R3K2R w KQkq -,d2c4
2n1R3/2r3kp/1p3Np1/p2PP3/P2p3P/1P6/6P1/6K1 b - -,c7c2
2r4r/3b1pk1/1p1ppnp1/p7/P1nNP3/1P4R1/R1P3BP/3N3K b - -,c4e5
r3knr1/ppqbnp2/4p3/P2pP2Q/8/P1p2N2/2P2PPP/1RBK1B1R b q -,f8g6
r2r2k1/5pbp/pp4p1/4p3/2RP4/P3BN2/n4PPP/R5K1 w - e6,a1a2
1r1r2k1/1p3p1p/p2qb1p1/8/1P1pR3/5B2/1P1Q1PPP/3R2K1 b - -,d4d3
r1bq1rk1/1pp1bppp/2n5/p2n4/3p4/1NP2N2/PP2BPPP/R1BQ1RK1 w - -,b3d4
7k/2q2r1p/p3R3/2pP1n2/5r2/3B4/PP5R/2K3Q1 w - -,g1e1
rn1q1rk1/pp1bppb1/2p2npp/3p2N1/2PP4/2NBP2P/PP3PP1/R1BQ1RK1 w - -,g5f3
4r3/2q2pkp/2b2np1/p1p1p3/Pb1pP3/1P1B1NPP/4QP1K/2RR4 w - -,f3e1
2r2rk1/1p3ppp/p2pb3/P3p1b1/1q2P3/R1NB4/1PP1QPPP/1R4K1 w - -,g2g3
8/p7/1p1kRp2/1P3P2/Pr6/3K4/8/8 b - -,d6d5
7k/1p2B3/4P3/4p2p/2r1P3/4bPp1/PP4P1/3R1K2 b - -,e3d4
r1bqr1k1/5pbp/pn1p1np1/2pP4/8/1NN3P1/1P2PPBP/R1BQ1RK1 b - -,b6c4:c8f5
4rbk1/2B2p2/2r4p/p2nP1p1/P1n5/2P2NNP/5PP1/R3R1K1 w - -,c7d6
r2q1rk1/2pn2b1/p2p2pp/1p1pPp2/3P1P2/P2QBN2/1PP3PP/R4RK1 b - -,d7b6
3r1rk1/1b3ppp/pq2pn2/1p6/1bpPP3/2N1BP2/1P2B1PP/R1Q2R1K w - -,f1g1
2r5/1p2ppk1/b2n3p/3P2p1/1Q4P1/1P3B1P/5P2/6K1 w - -,b4d4
r6r/1bq1kp1p/pn2p1p1/2ppP3/5P2/1P1B4/PNP1Q1PP/4RRK1 b - -,d5d4
8/8/1p6/pPk1r3/P2r4/7P/2Q3PK/8 b - -,d4c4
8/2B5/5b2/3k2pp/1p3p2/3K1P1P/6P1/8 b - -,h5h4
5k2/4bppp/1p2p3/p2pP2P/Pn1P2P1/1P2BN2/3K1P2/8 b - -,b4c6
2r1kb1r/pq3pp1/4pn2/Np5p/n7/4B1P1/PPQ1PP1P/RN1R2K1 b k -,b7a6
6r1/3k4/1p2n1R1/p1p1p1BP/P1P1P1K1/2P2P2/8/8 b - -,g8f8
2k4r/1b3pp1/p3r2p/Pp1p1pPP/1P1P1P2/2N2P2/3K4/3R3R w - -,d1e1
r2qk2r/pp1nppbp/3p1np1/2pP4/2P1P1b1/2NB1N1P/PP3PP1/R1BQK2R b KQkq -,g4f3
r4qk1/1p3p1p/p1b1r1pQ/6P1/4Pp2/2BB4/PPP4P/4R2K w - -,h6h4
1qr2nk1/3r1ppp/p1bppb2/2p5/2P1PP2/1R4N1/PPQ1N1PP/1B2R2K b - -,b8c7
r1bq3r/1p2kpb1/p3p1pp/2p5/7P/P3PQ2/BPPP2P1/R1B1K2R w KQ -,e1g1
r1bqr1k1/2p2pbp/p2p1np1/4n3/4P1P1/N1N1BP2/PPPQB2P/2KR3R b - -,a8b8
rn1qkb1r/pp2pppp/2p2n2/3b2N1/2p1P3/6P1/PPQP1PBP/RNB1K2R b KQkq e3,h7h6
5qk1/pp1b2bp/2n1p1p1/3p4/3P4/2N1P1P1/PP1BQ1BP/6K1 w - -,e2g4
rnbqk1nr/p2p1pbp/4p1p1/2p4P/4P3/2N2N2/PPP2PP1/R1BQKB1R b KQkq -,c8b7
1r6/2k3pp/2pn1p2/p3p3/n3P3/P4P2/2PNNKPP/3R4 w - -,d1b1
8/3R3p/6pk/5p2/rN2p3/4P3/4K1P1/8 w - -,b4d5
2r3k1/4bpp1/4pn1p/3rB3/1p3P2/1P6/qN2Q1PP/4RR1K w - -,e2f3
rn1q1r1k/5pp1/3Np2p/2PnP3/p2P4/1p3N2/1Q3PPP/R4RK1 w - -,a1a3
Q7/1p1qbkr1/6p1/p2pp3/P1pNnPP1/2P1PK2/1P6/R1B4R b - -,e5d4
r2q1rk1/pbnpb1pp/1pp1pn2/5pB1/2PP4/P2BPN2/1PQ1NPPP/R3K2R w KQ -,e1c1
r1b2rk1/pp1nqpp1/2p4p/4p3/2BP4/1QP1P3/P2N1PPP/R4RK1 b - -,d7b6
1rr3k1/2qn1pp1/1p1p3p/pR1Pp3/R1P1P3/4BP2/3QB1PP/6K1 b - -,b8b7
r1bqkb1r/ppp1nppp/2n5/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 b kq -,g7g6
7R/p7/4pPk1/5pp1/2K5/5P2/P6P/6b1 b - -,g6f6
5r1k/4p1bp/2bpQ1p1/1N5r/2P5/5Pq1/PP2R1PP/1R3B1K w - -,h2h3
2k4r/ppp5/q7/3n1p2/1P1Pp3/P3P1p1/2Q1KPBb/5R1R w - -,e2d2
q5rr/3nkp2/p3p3/1pb2p2/7P/2N1P3/PP2QPNP/3R1RK1 w - -,f2f3
8/4ppk1/6p1/1p1Pq2p/r6P/p1PR2P1/Q4P2/6K1 b - -,e5e1
rn3rk1/p4ppp/bp2pB2/8/8/4PN2/PPB2PPP/R3K2R b KQ -,g7f6
r2q1rk1/p1pn1pbp/1pb3p1/3N4/3P1B2/1P4P1/P3PPBP/R2Q1RK1 b - -,c6d5
3r2k1/4q1pp/2n5/1p1np3/1Pb1Q3/P5PB/1B3N1P/2R3K1 b - -,h7h6
rn2r1k1/ppq2ppp/2pbbp2/8/3P4/2NBPN2/PP3PPP/R2QR1K1 w - -,d1c2
r3r2k/1p3pb1/3p2pp/p1pP3n/2PpPP1q/5Q1B/PP1B1P1P/4R1RK b - -,h4e7
2r3k1/pp1qnpb1/2r1p1pp/3pP3/3P4/BPNQ3P/P1R2PP1/2R3K1 w - -,g2g4
1r3rk1/pp1b2pp/2p5/5p2/2Pp1NnP/3P2P1/PP2P1B1/1K2R2R b - -,b8e8
5rk1/N3ppb1/3p2pp/4n3/1P2P3/4B1P1/P1r1B2P/4R1K1 b - -,c2a2
1n2rqk1/3bbpp1/2p4p/1pPp1P2/1P1P2N1/r1NBR1PP/4Q3/4R1K1 w - -,c3b1
