5k2/4b2p/5p2/pBn2P2/P2P3P/5K2/8/8 b - -,c5b7
r1b2r2/p5bk/2p2p2/1p3PR1/8/1BP3P1/PP2p3/2K1R3 w - -,g5h5
2rq1rk1/pp2ppbp/1n2b1p1/8/1Q1PP3/B4N2/P3BPPP/R4RK1 b - -,e6c4
6k1/p2r1pp1/2bnp3/2p4q/2P5/2Q1PPPp/PP2BK1P/2N2R2 b - -,h5f5
8/8/6k1/5R2/6P1/1r6/6K1/8 w - -,f5f3
1NQ5/6bk/7q/3Pr3/8/3P3p/4P2P/4R2K w - -,e2e4
b5k1/6b1/p3Q3/q2pN3/3P1P2/Ppr5/1P3PP1/6K1 b - -,g8h7
rnbqk2r/pp2bppp/2p2n2/3p4/2PP4/2N2N2/PP2BPPP/R1BQK2R b KQkq -,d5c4:e8g8
8/P7/8/1K2pk2/5n2/8/1P1R4/r7 w - -,b5b6
6k1/3rn3/7p/1R3p2/1P1B2p1/4PBP1/r4P1P/6K1 w - -,f3b7
5k2/1q2p3/3p1n1p/2pP1P1P/2P2P2/4R3/6QK/8 w - -,g2e2
1rbr3k/bpR3p1/p6p/2N5/2P1B1p1/8/P1P2P1P/1R4K1 b - -,d8d6
rn1qk2r/p2nbppp/1p2p3/2ppP3/3P1P2/2N1BN2/PPP1b1PP/R2Q1RK1 w kq -,c3e2
6k1/3qbppb/1np1p2p/ppn1P3/3N4/PP4P1/1BPN1PBP/3Q2K1 b - -,b6d5
1r3qk1/r3p1bp/n1Bp2p1/p1pPPp2/P1R2P2/7P/1P2Q1P1/2R1B1K1 b - -,a6b4
3r1rk1/2pqb1pp/p1n2p2/1p2p3/1P6/PbPP1NNP/1B2QPP1/3RR1K1 w - -,d1d2
8/8/5p2/1p1kp2p/p1b4P/P3KP2/8/4N3 b - -,c4b3
2kr3r/pp1n1p2/2p1bq2/3p1Bp1/3P2Pp/2N1PPbN/PPQ3P1/2KR3R w - -,c1b1
2R5/p4kp1/1pn5/5p2/P4P2/1rr2BK1/8/7R w - -,c8c7
r1bqr1k1/4npp1/p2p1n1p/1ppPp3/4P3/2P1RN2/PPBN1PPP/R2Q2K1 w - -,a2a4
5rk1/1ppR1rpp/p4p2/8/P4Q2/3R3P/1Pq2PP1/6K1 w - -,d7f7
r1b1k2r/1pq1bppp/p1nppn2/8/2B1PB2/2N2N2/PP2QPPP/R2R2K1 w kq -,a1c1
4qrk1/pbr1ppb1/1p4pp/n2nN3/3P4/B1P2N1P/B3QPP1/2R1R1K1 b - -,e8a4
2N5/6k1/p1q3p1/2P1p3/1P2P2p/Pb5P/3Q2P1/6K1 w - -,c8d6
3Q1r2/pNk2n2/6r1/1p2ppp1/8/2P5/P1P2PP1/3RR1K1 b - -,f7d8
3q4/5p2/k3p1b1/2pnQ1P1/1pNp2P1/pP1P4/P1PB1K2/8 b - -,d8c7
2rq1rk1/3b1pb1/pp2p1pp/8/nPBN4/2P5/P2BQPPP/R3R1K1 w - -,c4a6
6rk/1p3q2/3p4/P2N2p1/2PPQp2/5P2/6K1/8 b - -,g8e8
rn2n1k1/p1q2ppp/1pp5/3p4/Q2P1P2/B1P3P1/P4PBP/R5K1 w - -,g2d5
7k/1p1q2p1/3P1r2/7p/1P1Q4/P5P1/5P1P/3R2K1 b - -,b7b5
r1q1k2r/p1p1bppn/2pp2bp/4p3/2PP4/1PN1P1P1/PB3P1P/R1NQ1RK1 w kq -,d1f3
r2k3r/pp1P1ppp/q1b1p3/2p1P1P1/7b/2P1B3/P4PBP/1R1QR1K1 w - -,g2c6
1r1qk2r/2pb1pp1/1bnp1n1p/1p2p1B1/4P3/1BPP1N2/1P1N1PPP/R2Q1RK1 w k -,g5e3
4qr1k/4b1p1/1r5p/p2pP3/Pn1Pb3/1B2RN2/4QP1N/3R3K b - -,f8f4
2r1r1k1/p4R2/1p1p2p1/2pP2Np/4P3/1P1Pn1RP/P7/6K1 b - -,e8e5
8/5Bp1/7p/8/3nk1P1/2K4P/8/8 w - -,h3h4
5k2/5p2/8/R2K4/P5P1/8/8/r7 b - -,f8g7
r1br2k1/2q1ppbp/p1n3p1/1p6/2pPP3/2P1B3/P2QNPPP/1BRR2K1 b - -,a6a5
r1bq1rk1/2p2pp1/pbpp1n1p/8/3PP3/5N1P/PP1N1PP1/R1BQ1RK1 w - -,d1c2
1n4k1/1rp5/b5p1/2RPppq1/2N1Pn1p/3N1P2/2Q3PP/5B1K b - -,f5e4
1r1r2k1/p1p2ppp/8/8/2bnB3/2N5/P4PPP/2R1R1K1 b - -,g7g6
8/4k3/1R1n1pp1/1p2r3/6P1/3K3P/8/8 b - -,e7e6
8/8/5nk1/4K2p/6p1/4N1P1/8/8 b - -,g6g5
rn2kb1r/pp3ppp/2p2n2/q3pb2/2B5/2NP2N1/PPP2PPP/R1BQ1RK1 b kq -,f5g6
2r1k2r/1p3ppp/p1nqpn2/3p1b2/3P3N/2N1P3/PP2BPPP/2RQ1RK1 b k -,f5e4
r2qkb1r/1p3ppp/p1nppn2/2p4b/4PB2/1BPP1N1P/PP1N1PP1/R2QK2R b KQkq -,f8e7
8/R7/5pk1/P7/1r4P1/5PK1/8/8 b - -,b4a4
rn1q1rk1/pp2ppbp/2p2np1/3p4/5Pb1/1P2PN1P/PBPPB1P1/RN1Q1RK1 b - -,g4f3
4r2k/4q1pp/2p4n/1p1bPP2/p7/P3R1QP/1PP2RP1/7K b - -,e7c7
8/8/8/1P1K1k2/1r6/3P2R1/8/8 b - -,b4b5
r1bnr3/pp4k1/3B1p1p/4pP2/2P1B2p/7R/P5P1/4R1K1 b - -,d8f7
8/8/8/r1pK2p1/6k1/P4R2/6PP/8 w - -,d5c6
4bk2/2p3p1/2np1p1p/2q2P1n/2P1P3/1rBP1N2/3Q3P/3B2RK b - -,b3b1
r3k1nr/bpp2ppp/p1np1q2/8/3pP3/1NP2N2/PP3PPP/R1BQ1RK1 w kq -,c3d4
r3rnk1/p1pb2qp/1pn3p1/2Pp4/3P1N1b/PP1BBRNP/5QP1/5RK1 b - -,b6c5
8/5pkp/4b1p1/8/2p1R1P1/r1N2P2/P6P/6K1 w - -,e4e3
2r3k1/7p/4p1pb/ppN1pq2/8/1P1R2P1/P4P1P/4Q1K1 w - -,d3c3
3r2k1/1q2r1p1/1p2p2p/p2bQp2/P2P4/2RB1P2/1P4PP/2R3K1 b - -,b7b8
4r1k1/5p2/p5p1/Pp1p1P2/5R2/1bP3P1/3K2BP/8 b - -,b3c4
8/1p3p2/p1k1p3/4r1p1/2R4p/1PP4P/P4PP1/5K2 b - -,c6d6
3r4/8/2P1pk2/P4b2/2R3pp/1p6/1N5K/8 w - -,c6c7
1r2r1k1/p1pnqp1p/3p2p1/1p1QP3/1P3P2/5B1P/P1P3P1/3RR1K1 b - -,d7b6
r2q1rk1/p1p2pbp/1p4p1/3b4/3N1B2/2P2P2/PP4PP/R2Q1RK1 w - -,d4b5
8/8/3k4/p1p1b1Pp/1pB4P/3K4/8/8 b - -,e5g3
r2r2k1/pp4bp/n1p1bpp1/8/2P1PP2/1PN2N2/P5PP/R1B2RK1 w - -,c1a3
2r1rbk1/1b1n1ppp/p2p4/qp3QP1/4P3/P1N1B3/1PP3BP/3R1R1K b - -,d7e5
8/p4p2/P2Bp3/3pPk2/4n1np/4P3/2K3B1/8 b - -,g4e3
6R1/pp2kp2/2p1p3/4P3/1P2KP2/P1P5/r7/8 w - -,g8b8
rnbq1rk1/pp2bppp/3ppn2/8/3NP3/3B4/PPPNQPPP/R1B1K2R w KQ -,g2g4
2rr2k1/1bq1ppbp/pp3np1/3Pp3/N1P5/3QB2P/PP2BPP1/3RR1K1 b - -,d8d6
1k6/8/P7/8/r3BK1p/4N2P/8/8 b - -,a4a6
rnbq1rk1/pp1p1ppp/4pn2/1N6/1bP5/P1N5/1P2PPPP/R1BQKB1R b KQ -,b4c3
1r3rk1/1b2qpbp/3pp1p1/2n1N3/1p2P3/1P2B1PP/R1PQNPB1/5RK1 b - -,g7e5
1r3rk1/1p1q4/p1pn2R1/P4pp1/1Q1P4/R5P1/1P3PKP/8 b - -,g8h7
5rk1/p2r4/2bp3q/2p1bp2/2P2Np1/4P1P1/P1BQ1PP1/1R2R1K1 w - -,f4d5
r1bqkb1r/pppn2pp/3ppn2/5pB1/3P4/2NQ1N2/PPP1PPPP/R3KB1R w KQkq -,e2e4
rnbq1rk1/ppp1ppbp/3p1np1/6B1/3PP3/3B1N2/PPPN1PPP/R2QK2R b KQ -,h7h6
r1bqk2r/2pnb1pp/p1p1p3/3pP3/2P5/5N2/PP1N1PPP/R1BQ1RK1 w kq -,f3d4
2r2rk1/1p2pp2/p6b/P2p4/1QpPq1n1/2P2RB1/1P4K1/R4N1N b - -,e4e2
4N3/2p5/1p1p4/p1nP4/2Pk2P1/8/2K5/8 b - -,c5e4
8/5pB1/1k6/1P2K2p/4P3/5P1P/6n1/8 b - -,b6b5
4r1k1/pp3p1p/2p1BB2/5p2/P2R4/1P4q1/2P1R1P1/6K1 b - -,f7e6
3r3k/q5p1/1pp1pb1p/2r1p3/P3P3/NQ1P2P1/4RP1P/1R4K1 w - -,b3e6
2b2rk1/p1p1q1bp/2P3p1/QN1Pp3/1B2np2/Pr3N1P/5PP1/2R1K2R b K -,e7f7
8/6k1/p1Q5/3B2n1/p4p2/2P2P2/1P5q/2K5 b - -,h2g1
8/6p1/2p1p1p1/3pPpP1/3P1P1P/1kbK4/5B2/8 w - -,f2g3
8/pp2r1p1/2p1k2p/5p2/8/2R3P1/P1P2P1P/5K2 w - -,c3e3
8/5k2/R7/8/p3N3/5K2/1nr5/8 w - -,f3e3
1r6/5k2/pr1p1bp1/5p2/1B1Nn3/P1P5/KP3R2/3R4 w - -,f2h2
