6k1/5p2/4nQ2/4P1p1/2K5/r5PP/8/8 b - -,a3g3
4kn2/1p3p1p/1Np1rP2/1p2nR1P/4P3/1P2K3/PP2B3/8 w - -,e3f4
rnbqkb1r/pp1p1p1p/5pp1/2p5/2P5/1P2P3/P2P1PPP/RN1QKBNR b KQkq c3,f8g7
8/8/1R6/p1pk4/P7/1Pb1K3/8/8 w - -,e3d3
3r4/1p1npkb1/p1np2pp/2P1p3/1P2N2P/4P1PB/P4P2/2RR1K2 b - -,d7f6
1k1r3r/pp1b4/2pb1p2/4qPp1/1P2P1Pp/P2B3P/2Q1NR2/2R4K b - b3,h8e8
r7/pp2kpp1/3rB2p/2p5/4R3/2P5/PP3PPP/2K1R3 b - -,d6e6
5rk1/p7/1pp3pp/3p1n2/P1nP1B1P/1RP2PP1/4NK2/8 w - -,b3b1
r1b1kb1r/2qp1ppp/p1p1p1n1/2p1P3/2P5/1PNP1N2/P3QPPP/R1B2RK1 b kq -,f8e7
5k2/pb3pb1/7p/1p6/1N2P3/2nBBP2/P6P/5K2 b - -,a7a6
r4k1r/1pp1qp1p/p2p1np1/1B1Pn3/8/4N3/PPP1QPPP/4RRK1 w - -,f2f4
2rr2k1/pbq3pp/4p3/1ppnP1b1/3PN3/P1PB4/1B2Q1PP/3R1RK1 b - -,g5e3
2R5/3r4/2p1k1p1/pp2p3/P7/2P3P1/1P2KP2/8 b - -,b5a4
r2qkb1r/1b4pp/p2pp3/2n3P1/P1pNP3/2N1B3/1PPQ3P/R3K2R w KQkq -,d2g2
b7/4q1bk/1pP3p1/1N1Pp2p/1N4p1/1Q6/5PPP/6K1 b - -,e7c5
7R/6k1/8/8/5K2/1r5p/8/8 w - -,h8h5
3r4/1br1kpQ1/pp1pp3/6b1/N1P1PPB1/1P2q1P1/PB6/5K1R w - -,g7g5
2R5/p5r1/5n2/8/2P1pk2/1P6/P3KN2/8 b - -,f6g4
B7/7p/8/1n2kpp1/8/4K1P1/7P/8 b - -,b5c3
r2q1rk1/pp2ppbp/2p1bnp1/8/2N5/3P2P1/PPQBPPBP/R4RK1 b - -,f6d5
8/5p1k/6p1/1Q1b3p/3Pq3/1p5P/1r3BP1/3R2K1 w - -,b5f1
r6k/1b1n1p1p/pp1b1q1p/2pPpN2/P1B1P2N/1P6/3Q1P1P/6RK b - -,a8g8
1r2k2r/pp2ppbp/3n2p1/2N3P1/2n5/4P1P1/PP3PB1/R1BR2K1 w k -,a1b1
2r2rk1/5pb1/3np2p/ppq5/1N3PQ1/1BP5/PP3RPP/4R1K1 w - -,b4d3
8/5pk1/6p1/4r2p/8/4N1PP/5P2/1B4K1 b - -,e5c5
8/6k1/p6p/1p3p1K/1P3B2/P7/8/8 b - -,g7f6
4k3/5p1p/1p1Qp1p1/qP1n4/3P4/p6P/P2N1PP1/6K1 w - -,d2f3
rnbqkb1r/ppp3pp/3ppn2/6B1/2PPp3/2N5/PP3PPP/R2QKBNR w KQkq -,c3e4
r1r3k1/1p2pp1p/2npb1pb/1N6/p1P1P3/1PB2P2/P1R3PP/3R1BK1 b - -,h6e3
2Q1n1k1/p4ppp/2bq4/8/2Pp4/6P1/PP3P1P/R5K1 w - -,a1e1
1rb2rk1/Qp1pppbp/5np1/1N6/2q5/6P1/PP2PPBP/R1B2RK1 w - -,b5a3
r1q1k2r/pbp3bp/2pp2p1/Q3Pp2/2P2P2/BP3B2/P5PP/2KR3R b kq -,d6e5
r5k1/pp1b1pp1/4p2p/1q6/3QNP2/7P/PP3RP1/6K1 b - -,d7c6
8/1k4pp/1P6/1R2p3/2p4P/r7/P4PP1/4K3 b - -,a3a2
8/8/5p2/R4k2/8/2r5/P3KP2/8 b - -,f5e4
r1b1k2r/pp1pppb1/1nn4p/8/8/2P2N2/PP2BPPP/RNB1K2R w KQkq -,b1a3
r1bq1rk1/p2p2pp/2p1pP2/b7/8/2PB2Q1/P1PB1PPP/R3K2R b KQ -,d8f6
6qk/r4rb1/3p1p1p/1bnPpP1Q/pp2P2N/7R/PPB2P1P/1K4R1 b - -,g8h7
r2N1rk1/pp2ppbp/3p2p1/8/2P1P3/2N1B3/PP3PPP/R2b1RK1 b - -,d1g4
4kb1r/p3p1p1/2p5/1q2BN1p/1p2PQ1P/3r4/P2P1PPK/7R b k -,h8g8
5n1k/5P1p/1pp1r3/p3q1P1/P3pRQP/4R3/1Pr5/6K1 w - -,e3e4
r4rk1/1b1nqp1p/pp1b1np1/4p3/P1BN4/1P2PN1P/1B2QPP1/R4RK1 w - -,d4c2
8/2p3p1/5p1p/8/p1K3P1/k4P2/7P/8 b - -,a3b2
2rr2k1/1p3pp1/p2pn3/4p1p1/2q1P3/2P3P1/1PN1QP1P/R2R2K1 w - -,e2c4
r1bq1rk1/1p1n1ppp/p1p1pn2/3p4/PbPP4/2N2NP1/1PQ1PPBP/R1B2RK1 b - -,f8e8
6k1/pB2qpp1/1p2p2p/2p1P3/2P5/1P1Q2P1/P4P1P/6K1 b - -,e7b7
r1bq1rk1/1p1nbppp/p3pn2/2p5/2QP4/5NP1/PP2PPBP/RNBR2K1 w - -,c4c2
4bk2/1p5r/p1p1p3/2PqN2r/PP1PQPp1/2K1P1p1/6R1/6R1 w - -,e4d3
3k4/8/3pR2p/3Pb3/8/6PP/2K1r3/8 w - -,c2d3
4b3/2p4B/3k1p2/p1p4p/1p2PP1P/P1P1K3/1P6/8 w - -,h7g8
8/1R3ppk/p3p1bp/2r2q2/2PQ3P/5P2/6P1/3R2K1 w - -,d1c1
3r2k1/1p2qp2/6p1/p1N2n1p/3p2r1/PP2PQ2/1BR2P2/2R2K2 w - -,b2d4
k6r/Pp3ppp/3rp3/3n3q/3P4/P4N2/2Q1B1PP/1R3RK1 b - -,d5f4
r2q1rk1/pp1nbppp/2p2nb1/1P1p4/3P4/P1N1P1N1/4BPPP/R1BQ1RK1 b - -,c6b5
8/5p2/p2B2kb/7p/2p3p1/2P3P1/rP3K2/3N4 b - -,h6c1
8/p1R5/2p1Bp2/2q1kP2/4p3/8/P1P1K3/8 w - -,c2c4
1Q6/pb2r2p/1k2rR2/2p1P3/P7/1PK5/8/8 b - -,e6c6
r1bqrnk1/pp3ppp/2p2b2/3p4/3P4/2NBPN1P/PPQ2PP1/R3K2R w KQ -,e1c1
3r1rk1/pb2Npp1/1p2qn1p/2ppB3/1n1P4/2N3P1/PP2PPBP/1Q1R1RK1 b - -,e6e7
8/8/8/1p3r2/3PRk1p/3K4/8/8 b - -,f4g5
1rr2qk1/3nbp2/1p1pp1p1/p7/NPP2P2/P3Q1P1/4BPK1/2RR4 w - -,a4c3
6k1/3n1p2/6p1/1bpP4/5P1B/p4B2/3K2PP/8 w - -,d2c2
6Q1/4q3/5kp1/2pB1p2/p1P3n1/2P3P1/P4PK1/8 w - -,g8h8
8/1Q4pk/4Rbqp/6pn/2r5/7P/6PB/5R1K w - -,b7a8
3k4/5p2/4p2p/4P1p1/R4P2/P4rP1/1K5P/8 w - g6,a4c4
r2q1rk1/bb3ppp/p1N1pn2/1p6/1P1p4/P2Q1NP1/1B2PPBP/R4RK1 b - -,b7c6
4k3/1p2b1p1/p3b3/1q1p4/N2Pp2r/1P2P3/P1Q3BP/5RK1 b - -,b5d7
4qr1k/1N4bp/2r2np1/pQ6/2p5/P3PPBP/6P1/1R1R2K1 w - -,d1d8
r2qr1k1/pp3p2/5pp1/4b3/8/3R2P1/PP3PBP/R2Q2K1 b - -,d8a5
r1bqkb1r/pp4pp/2n1pn2/3p1p2/8/2N1P1P1/PP1PNPBP/R1BQK2R w KQkq -,b2b3
rnbqk2r/pp2ppbp/2p2np1/3P4/2B5/2NP1N1P/PPP2PP1/R1BQK2R b KQkq -,c6d5
3R4/1Npr2kp/6p1/5p2/1P1b1P2/r2P1KP1/7P/2R5 b - -,a3d3
b4r1k/p3r3/2p4p/2Nn1p2/2B1p3/1P4P1/P4P1P/3RR1K1 w - -,f2f3
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P4/5NP1/PPP1PPBP/RNBQK2R w KQkq -,e1g1
r2r2k1/p3bpp1/2n2n1p/q1p5/2B4B/P3PN2/1pQ2PPP/3R1RK1 w - -,c2b2
r2r2k1/1bqnbp1p/p3p1p1/1p1pP1P1/5P2/P1NBB2R/1PP1Q2P/R5K1 w - -,a1f1
r7/2P4p/2k4P/3b4/8/6B1/6PK/3R4 w - -,g3e5
r3r1k1/1b2qppp/4p3/p3N3/1nBP4/R7/1P1Q1PPP/3R2K1 b - -,e8c8
4r1k1/2q2p1p/p3b1p1/2p2n2/PpNp4/1P1P2P1/2PQ1PBP/4R1K1 w - -,g2d5
r2q1rk1/1b3pp1/3ppn1p/p7/1p2PP2/1N1QR3/PPP1N1PP/2KR4 w - -,c1b1
8/R4kpB/4pn2/4n3/8/6R1/P2r2P1/6K1 b - -,f7f8
6k1/2p5/b7/4B3/8/4b3/1p4PP/3R3K b - -,e3c1
r4r2/1p3pbk/nB1R2pp/p3p3/2P1b3/5N1P/PP2BPP1/4R1K1 b - -,a6b4
rnb3k1/pp2qppp/2p5/2br4/3N4/1P2PB2/P4PPP/R1BQ1RK1 b - -,c5d4
3r4/2p2R2/1p5k/4b3/1P4pP/2P1p3/1B2K3/3B4 w - -,b2c1
