4R3/5pk1/p5p1/2p2r2/P1P3KP/8/2P5/8 b - -,f5f1
8/1P4R1/5p2/5k1p/1r3P2/6KP/8/8 w - -,g3h4
r4rk1/pb2qppp/1pn2n2/2bp4/8/P1NQPNP1/1P1B1PBP/R2R2K1 b - -,f8d8
r1b2rk1/1p2bppp/1qn1pn2/pB1pN3/P2p1B2/2P1P3/1P1N1PPP/1R1QK2R w K -,e3d4
rnbqkbnr/3p1ppp/p3p3/1pp5/4P3/2NP2P1/PPP2P1P/R1BQKBNR w KQkq -,f1g2
5k2/p1r1qp1p/np2p1p1/8/1P2QP2/4P3/P4PBP/3R2K1 w - -,a2a3
3r1rk1/4nppp/p3p3/1q6/1p1PNQ2/1P5P/1P3PP1/R2R2K1 b - -,e7f5
r1bqk2r/p1p1b1pp/2p5/3n1p2/3Pp3/6P1/PP2PPBP/RNBQ1RK1 w kq -,d1c2:f2f3
r2qkbnr/pp2pppp/2n5/3p3b/3P4/2P2N1P/PP3PP1/RNBQKB1R w KQkq -,f1d3
r3k2r/1pp2pp1/p1n1bq1p/2bpp3/4P1P1/1BPP1Q2/PP1N1PP1/R1B1K2R b KQkq -,f6f3
1n2rk2/5p2/p1p1r1p1/1pP5/1P1RP3/1N6/P4KPP/4R3 b - -,f8e7
5nk1/1p2Qpb1/p2p2pp/3P4/q5P1/2PB3P/r7/1K1R3R w - -,e7b7
2r5/5ppk/p3n3/1p2PN2/6P1/2B2K1P/PP3P2/8 b - -,e6g5
r2qk2r/ppp2ppp/5n2/2Pp4/1n1Pp3/1P6/PB1PQPPP/RN3RK1 b kq -,b4c2
6k1/p3bp1p/1p2b1p1/4B3/5P2/1P4P1/P4KBP/8 w - -,g2c6
r2q2k1/1p3bBp/p1n2pp1/8/2p5/2N2QPP/PP3PB1/R5K1 b - -,g8g7
r2bb1k1/5rp1/4p2p/p2p4/3P4/1PR2NB1/2R2PPP/6K1 w - -,c3c8
1r3r2/2qbppkp/p1p3p1/2P5/4pP2/1P4P1/P5BP/R2Q1RK1 w - -,d1d4
5q2/pr1n3p/6pk/2bQp1N1/4P2P/6N1/5PP1/R3R1K1 w - -,g5f3
r7/p1p2rk1/R2p4/1P1P1bp1/2P4p/4RP1P/3N2K1/8 b - -,g7f6
3r2k1/2Q2bp1/pp6/4p2p/2P2b1P/5NN1/PP4PK/3r4 b - -,d1d7
8/2p2kpp/2p2p2/n1P1P3/5P2/Pq4P1/1B3R1P/2R4K w - -,c1e1
q1r2bk1/1b1n1p1p/1np3p1/4p3/1PN1P3/r1NBB2P/2Q2PP1/1RR3K1 b - -,b6c4
6k1/R4pp1/3r1r1p/8/3N1P2/3KP1P1/P5P1/1R6 b - -,g8h7
3r1rk1/4qp1p/2Q1pbp1/p1p5/PpPP4/1P2P1P1/1B3R1P/3R2K1 b - -,f6g7
r1b2rk1/2q1bp1p/p1p1nnp1/1p2p3/4P3/2PBBNNP/PP2QPP1/R3R1K1 b - -,c8b7
2kr1b1r/1ppb2pp/p1p2pn1/8/3NP3/2N1B3/PPP2PPP/2KRR3 w - -,a2a3
8/1p3p2/p1p5/2P3k1/1P2Kp2/2P5/P7/8 w - -,e4f3
r5k1/pp1q1nbp/2pp2p1/5N2/1PP1r2B/P7/3QBPPP/4RRK1 b - -,g6f5
r4k1r/pb3qp1/1ppb3p/5B2/1n1P4/1P4PQ/PBP2P1P/R4RK1 w - -,a1e1
r1b2rk1/1pqn1pb1/p2pPnpp/2p5/2P1P2B/1NN5/PP2BPPP/R2QK2R b KQ -,f7e6
r7/1p2k3/3p3p/2nP1pp1/1R5P/4P1P1/r4PB1/3R2K1 b - h3,a8a4
r4rk1/pppq3p/4b3/2PpPppn/3P4/2NB4/PPQ3PP/R4RK1 b - -,h5f4
8/3R4/5p2/2N1bkp1/3p4/4r3/5K2/8 b - -,g5g4
6bk/4q1p1/7p/1p6/pP2PQ2/P6P/1B3RPK/1r6 b - -,g8h7
rnbq1rk1/pp2ppb1/6p1/2ppP2p/3P3P/2NB1N2/PPPQ1PP1/R3K2R w KQ -,d4c5
b4b2/2q3kp/B5p1/2pP1r2/2N1QP2/2P3P1/1P6/3R2K1 w - -,a6b5
4r1k1/4qp1p/2R3p1/1P1pr3/3N1n2/7P/3Q2P1/3R1K2 w - -,b5b6
3b1rk1/q4ppp/pN1r4/Pp2n3/1P2P3/1B4QP/5PP1/3R2K1 w - -,d1d6
1rr1bb1k/1q3p1p/4pP2/1p1p3P/1R4Q1/2NB4/2P2PP1/4R1K1 b - -,c8c3
8/2n2Bp1/1p4P1/4K3/P5kP/8/8/8 b - -,c7a6
8/8/2Q3k1/5prn/8/4K1p1/8/8 b - -,h5f6
1qr3k1/5p1n/1nbp2p1/Rp2p1Bp/1P2P3/1BNQ1P1P/2P3P1/6K1 w - -,g5e7
R3R1nk/3q2p1/1pp2p1p/3p4/8/6N1/PP3PPP/6K1 b - -,h8h7
1R6/1p3k1p/p1p1b1p1/8/2P1P3/1P5P/P4rBK/8 b - -,b7b5
r1qr2k1/1p1n1b2/4p2p/1PPp1pp1/3P3P/2RB2B1/4QPP1/4R1K1 w - -,h4g5
8/1p3k1p/p2q2p1/3PRr2/5P2/6B1/P3Q1K1/8 w - -,e5f5
4kn1r/2b5/1pR1p3/4P3/3P2p1/P5P1/1B3P2/6K1 b - -,c7d8
3r1nk1/1q3p2/p2P1Pp1/1pp2r2/P7/1PN1R3/5Q1P/3R2K1 w - -,f2h4
q4nk1/p3rp2/1p2pp1p/1B6/2PP4/4QP2/P4P1P/3R2K1 w - -,d4d5
8/r3bk1p/3p2p1/1r1Ppp2/1P2p3/P1R4P/5PP1/B2R2K1 w - -,a1b2
r5k1/2p1q1pp/1p2b1r1/2n1p3/p1P1Pp2/P1R4P/1PBNQPP1/3R2K1 w - -,g1h2
1r1r2k1/b1p1qpp1/p1bn1n2/1p2pPp1/P3P2P/1PP5/1N1NQ1BK/R1B2R2 w - -,h4g5
r1bqr1k1/pp1nbpp1/2p1pn1p/8/2BP3B/2N1PN2/PP3PPP/R2QR1K1 b - -,b7b5
2R5/1pp2kpp/1p6/8/2PP2NP/5P2/r3n3/2K5 w - -,c1b1
r1bq1rk1/2p2pb1/ppPp2pp/1P1Np3/P1BnP3/3Q4/2P2PPP/R1B2RK1 b - -,a6b5
r1b1r1k1/pp3ppp/2p2n2/q2P4/4P3/1P2BP2/2Q1BKPP/2RR4 b - -,c6d5
3r4/p3p3/1p3kpp/3r1p2/P7/5N2/4RPPK/5N2 b - -,d5a5
rnbq1rk1/pp2ppbp/3p1np1/8/2Pp4/1P3NP1/PB2PPBP/RN1QK2R w KQ -,f3d4
3r1rk1/pb3p2/Bpq1p2p/2b2p2/8/P4N2/1PP1QPPP/R3R1K1 b - -,b7a8
1b2R3/1p1r1kp1/r2p1p2/1N1P2n1/1P4P1/P6p/1B5P/4R2K b - -,b8a7
1r4k1/4qp1p/Q2p2p1/2pPb3/1rn1PB2/2N4P/RP3PP1/3R2K1 w - -,f4e5
8/5kp1/3R3p/5P2/5K2/r5PP/8/8 b - -,a3a4
r3k2r/2qb1pp1/p1nppn2/7p/R1P1PP2/1N1B4/2PBQ1PP/5RK1 w kq -,d2e3
8/6pp/3K1p2/kP6/2b1PP2/3p2P1/3R3P/8 b - -,a5b5
8/1prR1pkp/6p1/1p4r1/8/P4P2/1P1R1KPP/8 b - -,g5c5
r2r1nk1/pp5p/3b1pp1/P2P1P2/1PB1N3/2B4q/1Q3P2/R3R1K1 b - -,d6h2
2br1rk1/1pq2pb1/p1p2npp/P1N5/1PBP4/1Q3N1P/5PP1/2R1R1K1 w - -,c1c3
8/5k2/3p4/3P4/2P5/8/8/5K2 w - -,f1g2
r2r2k1/pb2pp1p/1p3bp1/2n5/5B2/2P2N1P/PPB2PP1/3RK2R w K -,e1g1
r4rk1/2q2bpp/2pn1p2/p1N1p3/Pp2P3/3BQ3/1PP2PPP/R4RK1 w - -,f1d1
r1b2rk1/pp3ppp/5n2/3pq3/8/2PB2P1/PP1N1PP1/R2Q1RK1 w - -,d2f3
r2q1rk1/1p1bbppp/p3pn2/4N3/PnBP4/2N5/1P2QPPP/R1BR2K1 w - -,c1g5
8/6b1/5pk1/2B2p1p/2K2P1P/1R4P1/8/3r4 b - -,g6f7
r4rk1/pb1q1pbp/1pnpp1p1/2p5/2PnPP1N/P1NP2P1/1P3BBP/1R1QR2K b - -,a7a6
2rr4/p3bppk/bp2n2p/8/3B2Q1/P3P3/1P3PPP/4R1K1 b - -,e6d4
4kr2/p3np1Q/2p1p3/2P1P1N1/8/P5P1/5PKP/3r4 b - -,d1d4
4brnk/4q2r/1p1p1p2/p2PpP1p/2PpP2P/7B/PP1QN1RK/6R1 b - -,g8h6
5kr1/4pp1R/3p2p1/pprn2P1/7R/P1P2P2/1P6/1K3B2 w - -,a3a4
3q2n1/1p4k1/2ppbrpp/5p2/1PPP4/2Q3P1/3NP1BP/r4RK1 w - -,f1a1
1rq1r1k1/ppp2pbp/2np1np1/4pb2/2PP4/1PN2NP1/PB1QPPBP/R3R1K1 w - e6,d4d5
rn1qk2r/pp3ppp/2p2n2/3p1p2/1bPP4/2NBP3/PP3PPP/R1BQK2R b KQkq -,g7g6
r2qrbk1/1bp2pp1/p1np1n1p/1p2p3/3PP3/1BP2NN1/PP3PPP/R1BQR1K1 b - -,c6a5
