8/5p2/R7/2K2kpp/8/2P1P1P1/7r/8 w - -,c3c4
8/5k2/7R/5K2/8/6b1/8/8 w - -,h6h3
r5k1/p4p1p/6p1/8/3Rp3/8/PPr2PPP/3R3K w - -,d4d2
r1bqr1k1/3nppbp/p1p2np1/1p1p4/2PP4/1PN1PN2/PBQ1BPPP/R4RK1 w - -,a1c1
r3qrk1/pbpnnpp1/1p2p2p/8/2BPP2B/P4P2/1P1Q2PP/R3K1NR b KQ -,c7c5
r1nbr1k1/3b1pp1/3p2qp/p1pPp3/2N1P2P/PPR3P1/3BBPK1/2RQ4 w - -,c3e3
rnbq1rk1/pp2bppp/4pn2/3p4/2Pp4/1P1BPN2/PB3PPP/RN1QK2R w KQ -,e3d4
r1r3k1/p4p1p/b4p2/6q1/1Q4RN/8/PP3PPP/5RK1 b - -,a6f1
8/1R1b4/3P2k1/4p1nN/5pP1/7P/8/6K1 b - -,g5h3
r3nrk1/7p/pq2pbp1/1p1p4/2nP1P2/2NBPR2/PP2Q2P/2R1B2K b - -,e8g7
1R3nk1/4rbp1/4p2p/3pP2P/2pP1NB1/2P5/6P1/6K1 b - -,f7e8
r4rk1/2qb1pbp/pp2pnp1/4p3/P3P3/N1P1B1P1/1P3PBP/R2Q1RK1 w - -,d1b3
8/1R3p2/3p3p/3k1Pp1/P7/3K3P/5P2/r7 w - -,b7f7
r1bq1rk1/1ppn2bp/p2p1np1/4ppB1/1PP5/2NP1NP1/P3PPBP/1RQ2RK1 w - -,e2e4
5r1k/p1p1q2p/1p1ppnr1/2P2p1n/1P1P1N2/P3PNP1/2Q4P/3RR1K1 b - -,g6g4
4r1k1/ppr2p1p/3b1np1/3p4/8/PP3qPB/1B1Q1P1P/R4RK1 w - -,d2g5
2r2rk1/pp2ppbp/1n4p1/3q1b2/3P4/Q4N2/PP3PPP/R1B1RBK1 b - -,f5g4
r1bqk2r/1pp1b1pp/2nppn2/p4p2/2P5/P1NP1NP1/1P2PPBP/1RBQK2R b Kkq -,e8g8
r2q1rk1/p3bppp/2p1pn2/6B1/8/3B4/PPP1QPPP/R2R2K1 b - -,d8b6
2r1r1k1/1ppqbpp1/2n4p/1BPpN3/QP1PbB2/7P/5PP1/R2R2K1 b - -,d7f5
1rq3kb/p1p4p/2pp2pB/5p2/2P1rP2/1P2R3/P2Q2PP/4R2K w - -,e3e4
8/4r1k1/p1pN1pp1/2P1q3/Pr2P3/6P1/7P/2Q1R1K1 w - -,a4a5
2b2rk1/3q1p2/n2P2pp/r1p5/N3P3/P3Q3/B5PP/B2R1RK1 b - -,a5a4
2b1rrk1/1pq3b1/p2p1n1p/n1pP2p1/P1P1Pp2/2NB3P/1PQN1BP1/4RRK1 b - -,f6d7
r4rk1/2qnbpp1/b1p5/p1Pp3p/3Pp1n1/1RB1P1P1/P1QN1PBP/1R2N1K1 w - -,b3a3
5rk1/Rb4pp/3q4/1p2p3/1PpPp3/2P1PpPP/2B2P2/2Q3K1 b - -,d6b6
3r1rk1/p5bp/1pp1qpp1/3nP3/2pPN3/4BR1P/PPPQ2P1/R5K1 w - -,a1f1
r4rk1/p1npqppp/1p2p3/3bP3/3P4/P1N2N2/1P3PPP/2RQ1RK1 b - -,a8c8
8/3k3p/2np2p1/5pN1/4pP2/2B3P1/5K1P/8 b - -,h7h5
q3k2r/1b2bp1p/r3nnpB/3pN3/p1pP3N/2P3P1/RPQ2PBP/4R1K1 w k -,e1a1
rnbq1rk1/pp2bppp/4pn2/2p5/2P5/5NP1/P2PPPBP/RNBQ1RK1 w - c6,c1b2
8/1p4k1/p1p5/P1P2p2/8/4N1PK/5P1P/3r4 b - -,d1c1
r1bq1rk1/2pn2pp/2p2b2/p2pP3/P4B2/1NP2N2/1P3PPP/R2QK2R b KQ -,f6e7
8/pk3pp1/1p6/1P1N1r1p/3R4/4P1P1/2r2PKP/8 w - -,d5f4
5r2/p6p/4k1p1/1P1nP3/2p2P2/2P1q3/1P2Q2P/R6K w - -,e2c4
1r2rnk1/4npp1/4p1p1/pp1pP1N1/2q2P2/2P1B2P/PP3QP1/R3R1K1 w - -,e3c5
r1bq1rk1/p3ppbp/2pp1np1/2p5/4PP2/1PN5/PBPPQ1PP/R3K1NR w KQ -,g1f3
r2qk2r/pb1pbppp/1pn1pn2/8/3P1B2/4PN1P/PP1NBPP1/R2QK2R b KQkq -,e8g8
r1r3k1/3qbnpp/p2ppn2/1p2p3/1PP1P3/P2Q1NN1/3B1PPP/R3R1K1 w - -,a1c1
8/2N2k2/5n2/p1Rp1n2/3P4/4PB2/1r3PK1/8 w - -,f3d5
r2qk2r/1p1nbpp1/2p1pnbp/p7/P1QPP3/2N2NP1/1P3PBP/R1B2RK1 w kq -,c4e2
6k1/6p1/2q1r2p/1pb1p1B1/8/2Q5/1PP3PP/R6K w - -,g5d2
r1bq1rk1/pp1nppbp/3P1np1/1B6/4P3/P1N2N2/2PP1PPP/R1BQK2R b KQ -,e7d6
1k1r1r2/1p2n3/p2q2p1/3p1pPp/7P/P2QP3/KP2NP2/2R4R b - -,d8c8
rnbqkb1r/1ppppppp/p4n2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq -,g1f3:b1c3
r3r1k1/p1p3pp/2p1p1n1/5p2/Q2P2n1/2PB2N1/PP3PPq/R1B1RK2 w - f6,a4c6
r1k4r/p1pbbpp1/1pp5/4Pn1p/8/1PN2N1P/PBP2PP1/3R1RK1 w - -,c3e4
5rk1/5ppp/4p3/p3b3/PpQPP3/4q1P1/1P4BP/3R2K1 w - -,g1f1
8/7p/6k1/2R2p2/p4N1P/2P2K2/8/r7 b - -,g6f6
r3kbr1/p2p1p2/n2Pp1N1/q1p3QR/bpP3p1/1P4P1/P3PPP1/2R1KB2 b q -,g8g6
r1bq1rk1/pp1nbpp1/2p1pn1p/3p4/2PP1BP1/2N1PN2/PPQ2P1P/R3KB1R b KQ g3,b7b6
rnb2rk1/ppp1qppp/3p4/3P4/2P1n3/P1B2N2/1PQ1BPPP/R3K2R w KQ -,e1g1
7r/3k4/2n1pb2/5p2/b2p2p1/P3P1P1/B1N1R1PN/6K1 w - -,c2e1
r4rk1/5pp1/1B6/P1R1p3/4QbP1/2P5/2PRKP2/2q5 w - -,d2d1
r2qnrk1/4bppp/3pb3/2n3P1/4PB2/Pp6/1P1QN1BP/1KNR3R b - -,d6d5
5bk1/5p2/7p/P3pp1P/3p4/3P1BP1/r4P2/5RK1 w - -,f1c1
4rrk1/1b4pp/p1qb4/Npp2p1Q/n1P3N1/3P1P2/PP1B2PP/R3R1K1 b - -,e8e1
3kbQ2/bp3p2/p1pN4/3qP1p1/P1pP2p1/5PB1/4K1P1/3r4 b - -,g4f3
3r1k2/3r1p2/Q5p1/p3q1Pn/Pb2N3/4BP2/1P5P/R4R1K w - -,a6c4
8/5p1p/3k2p1/p2p4/Pp1p1N1P/1Pr3P1/3K1P2/3B4 w - -,f4d3
r4r2/ppp1k1p1/1B1bp2p/4p2n/2N1P3/5PP1/PPP1KN1P/R6R b - -,a7b6
6k1/1p1r3p/rpppbq2/4n1pn/P1P1Pp2/1PN2P2/2NQBRPP/3R2K1 b - -,a6a8
4r1rk/p5qp/P1pbpp2/1p1nN2b/3P4/1B4NP/1P2QPP1/2RR2K1 w - -,e2h5
8/2P3bk/1p4p1/7p/4p1p1/Q5P1/5PKP/4q3 b - -,g7d4
4r1k1/pr2qp1p/R5p1/3np3/3pB3/1P2bPB1/2P1Q1PP/R6K b - -,d5c3
r1bqkbnr/p4ppp/1pn5/2pp4/3P4/1P3N2/PBP2PPP/RN1QKB1R w KQkq -,d4c5
2n2r2/3R1rbk/qp4pp/p1p1p3/P1P1P3/1QPR1PP1/5B2/5BK1 w - -,d7f7
r1q2rk1/p4pbp/4p1p1/8/1R2PP2/4B3/P3nP1P/3Q1RK1 w - -,d1e2
3b4/6k1/8/5Kp1/6P1/4NP2/8/8 w - -,e3c4
6k1/3q4/7p/Qp1P3r/8/3p2bP/PP1N4/5R1K w - -,h1g1
8/p1r4p/2k3p1/R7/8/7P/P3KPP1/8 w - -,e2d2
2r2rk1/1pp1qpp1/p1n1b2p/2P1p3/1P2P3/P4N1P/2Q1BPP1/R4RK1 b - -,c8d8
r3r1k1/2n2pp1/2p3bp/pp6/PbBBPN2/5PP1/1P5P/R2R2K1 w - b6,c4b3
r2qk2r/pp2bppp/2p1p1n1/2p1P3/5P2/3P3P/PPPNQP2/R1B1K1R1 w Qkq -,d2e4
3bk3/2p5/1pPp4/3P2p1/4K1P1/1P2B3/2r2R2/8 b - -,c2c3
3qr2k/2p3b1/1p1p2p1/p3r2p/1P1PP3/4P2P/P1Q1b1P1/3R1RBK w - -,c2e2
2k1r3/1pn2qpp/1BpRpp2/2P5/8/1Q6/PP6/2K5 b - -,f7e7
r2q1rk1/1p2ppb1/2p1bnpp/p7/Q2PP3/P3BN1P/1P1N1PP1/2RR2K1 b - -,a8a6
3r4/p4p2/2Bb1kp1/1P1P4/1P2R1PP/8/6K1/8 w - -,g2h3
r1b1k2r/pp3ppp/4p3/2npP3/3N1P2/6P1/PPP4P/R3KB1R b KQkq -,c8d7
6k1/pp2bpp1/1nq1p2p/8/1P1PpP2/PQ5P/4N1P1/4B1K1 b - -,c6c4
1b6/4n1pk/p3p2p/1pP2p2/1P1NqP2/4Q1PP/5B1K/8 b - -,e6e5
4k3/4b3/2R5/5P1p/4NK2/4B2P/6P1/4rb2 b - -,f1g2
2r2rk1/1b2qpb1/1p2p1pp/pN1pBn2/2PPn3/PP3N1P/2Q1BPP1/R2R2K1 w - -,e5g7
