8/6k1/4qp1p/p2n1p2/1P1Q4/8/3N4/3K4 w - -,d4a7
4r2k/p5rp/1pp2pn1/8/2P1PP2/2NR4/P5PP/4R2K b - -,g6f4
r3k2r/ppqn1ppp/2pbpn2/8/3P4/P1NBBQ1P/1PP2PP1/R4RK1 w kq -,f1e1
r1b1k2r/p2n1ppp/2q1p3/1p1pP3/2pP1P2/2P5/PPQN2PP/R3KB1R w KQkq b6,f1e2
1r4k1/5p2/p3pQpp/4P2q/5B2/8/5PP1/2R3K1 w - -,f2f3
r3kb1r/pp3pp1/1qn1p2n/2PpPb1p/5P2/2PB1N2/PP4PP/RNBQ1RK1 b kq -,f8c5
rnbq1rk1/ppp1bppp/4pn2/3p4/2PP4/P1N1P3/1P3PPP/R1BQKBNR w KQ -,c4c5
6k1/3q4/3r2p1/1P1P3p/5Q1P/6P1/3R1PK1/8 b - -,g8h7
1rbq1rk1/1p2npbp/3p2p1/4p3/1RPn4/2NPN1P1/4PPBP/2BQK2R b K -,b7b5
8/5kp1/R3p3/8/8/Pr5P/6K1/8 b - -,f7f6
2r3k1/p4p2/3bq1p1/1Q1p1n1p/3P1P2/P1N1PR1P/3B2P1/6K1 b - -,f5e7
2k1rb1r/pppbq1pp/2np1p2/3Qp3/PPB2B2/2P2N2/2P2PPP/R3R1K1 w - -,a4a5
r6k/p4rpp/1pp2p2/2p5/P2nP1q1/3PN2P/1PP2RP1/R5K1 w - -,e3g4
3rk2r/4ppbp/p1P2np1/1p2pn2/4NP2/5N2/PPP2BPP/R3K2R w KQk -,e4f6
r1qr2k1/pp3pbp/n1p1pnp1/P3N3/R1NP4/1Q4P1/1P2PPKP/2B1R3 w - -,c1g5
rnbq1rk1/1p2bppp/3p1n2/p3p3/2P1P3/1N2BP2/PP4PP/RN1QKB1R w KQ -,b1c3
r3k1nr/pb1nq1pp/2p1pp2/1p6/PbpP4/2N1PNQ1/1P2BPPP/R1B1K2R b KQkq -,d7b6
r5k1/1q1nppbp/r2p1np1/2pP4/2N1P3/2N5/PP2QPPP/1RB2RK1 w - -,b2b3
1br4k/5pp1/p6p/1p1R4/1P1P1P2/2P4P/3BrRP1/6K1 b - -,e2e4
5bk1/p4p2/1p3q2/7r/4p1b1/PP2P1P1/3R1PBK/2Q1R3 w - -,h2g1
1r4k1/4pp1p/p2p2p1/3P4/1q2n3/1P6/5PPP/3RQ1K1 w - -,e1e2
2r1rqk1/1R1n2B1/4b1pp/2p5/2P2p2/2R2N2/3Q1PBP/6K1 b - -,f8g7
rn1qkb1r/pbp2p1p/1p2pnp1/3pN3/2PP4/3BP3/PP3PPP/RNBQ1RK1 b kq c3,f8g7
8/5b1R/p3pkn1/1pp3p1/6P1/2P1K3/P3B2P/8 b - -,g6f8
r3k2r/1p3ppb/1pp1p2p/4P2P/2B2P2/2P1n1N1/PP4P1/R3K2R w KQkq -,c4b3
6k1/p4b2/1p1bqp2/6p1/2rP2PB/2P2Q2/P7/4RRK1 b - -,e6d7
3rr1k1/1b3ppp/pq3n2/1p3N2/2pP1Q2/2P2P1P/PPB3P1/R3R1K1 w - -,c2e4
8/5pk1/p1r2np1/1p5p/5P2/6PP/2P1R2K/R7 w - -,h2g2
r4rk1/2q2pp1/2p4p/Np1b4/1PpP1b1P/2P2N2/1KQ2PP1/4R2R w - -,c2d1
r2bqrk1/2p4p/1p1ppnp1/pNn2p2/2P2P2/1P1PPR1P/PBQ2NP1/R5K1 b - -,e8d7
6k1/2p2pb1/P4np1/3P4/1Q3P1P/1PN4P/3q1rB1/6RK b - -,g7f8
br1nn1k1/Q3qppp/1B2p3/1P6/1b2N3/1P2N1P1/2R2PBP/6K1 b - -,e7a7
r4rk1/1q4bp/3p2p1/p1p1pp1n/N1P1P3/5NPP/PP2QP2/R3R1K1 w - f6,a4c3
rn1qk2r/pb1pppbp/1p3np1/8/2PQ4/5NP1/PP2PPBP/RNB2RK1 w kq -,b1c3
r3nrk1/1bp1qpb1/pp3npp/4p3/4P3/2P2PB1/PPQNB1PP/3RNRK1 w - -,c2b1
r4rk1/1pq2ppp/p4n2/5b2/B1nBp3/P3P2P/3N1PP1/2RQ1RK1 b - -,b7b5
8/2Rn4/1p1Bk1p1/p2p1pP1/3P4/P3PPK1/4r3/8 w - -,c7c6
r1b2rk1/b4ppp/p1p1p3/5q2/2P1NP2/8/PP2Q1PP/R1B1R2K w - -,e4d6
8/4kpp1/7p/8/2n5/3N2P1/4PK1P/8 w - -,f2f3
5rk1/5ppp/2N2n2/p7/3pn3/2r2BP1/P3PP1P/R1R3K1 b - -,c3a3
r2qk2r/1bp1bppp/p1nppn2/1p6/4PB1P/1BNP4/PPPQNPP1/R3K2R b KQkq h3,h7h5
3r3r/5kp1/p1q2n2/1p1p3p/3QRP2/1BP5/P5PP/3R2K1 b - -,f6e4
8/7p/8/1k2bNPP/1p6/1K1p4/8/8 b - -,d3d2
8/8/1n3k2/N4p2/p1pp2p1/P2P2P1/2P2P2/4K3 b - -,c4d3
r2q1rk1/1b2npbp/pp2p1p1/2pp4/2Pn1B2/P1NP1NP1/1P1QPPBP/1R1R2K1 w - -,f3d4
r5k1/1b3pbp/1p2p1P1/3pP3/rP1N1PP1/P1P1QRK1/q7/1N5R b - -,h7g6
3nr1k1/p1p2qp1/1p1ppr1p/8/2PP1R1P/2P3P1/P3QP2/2B1R1K1 b - -,e6e5
r1bqk2r/p3nppp/4p3/2bpP3/8/2NB4/PP3PPP/R1BQK2R w KQkq -,e1g1
r2qr1k1/p1p1bppp/2bp4/4P1B1/6n1/2N5/PPP2PPP/R2QR1K1 w - -,g5e7
5r1k/6pp/7b/3BRr2/8/8/5PP1/5RK1 w - -,e5f5
r3r1k1/pp3ppp/2nq1n2/8/3p1B2/P2B4/1PPQbPPP/R3R1K1 b - -,d6d7
3rqrk1/2n1b1pp/bp2p3/p1ppP3/P4P1P/2P1B1P1/1P1N2BK/R1RQ4 b - -,e8g6
1nkr4/1pB5/1Kp1pR2/5p2/P1PP4/3B1P2/8/8 b - -,b8d7
8/7p/1p1p3P/pPpk2r1/P5pR/4K1P1/8/8 b - -,d5e5
5k2/p4r2/6rp/4Q3/1P4PK/8/8/8 b - -,f8g8
8/p3kp1p/1pp3p1/4p3/N1P1P1nP/3P1KP1/P4P2/8 b - -,g4f6
1rq4r/6k1/p2p1nPp/1p2pQ2/2n5/1BN2P2/PPP3P1/2KR3R w - -,f5d3
8/r7/P7/2kN1p2/1N4p1/4K1P1/8/8 w - -,e3f4:e3d3
8/6bk/1P1B2p1/3Np3/2RnP2p/1q1K1p1P/5N2/4Q3 w - -,c4c3
3r1rk1/p1p1bppp/1p6/4n3/1Bp1P3/P2qP1N1/1P4PP/R2Q1RK1 b - -,d3e3
3R4/5kpp/5B2/2p5/8/2N2K2/Pq6/8 b - -,g7f6
r4k2/2q4p/p1ppB1p1/5p2/5Pnb/8/PPP3PP/R2Q2BK w - -,d1f3
2rq1rk1/1p2ppb1/p2p1npp/4n3/2P1P3/1PN1QbP1/PB3PBP/R3R1K1 w - -,g2f3
r1bqkb1r/1pppnp1p/p1n3p1/3N4/B2pP3/5N2/PPP2PPP/R1BQK2R b KQkq -,f8g7
2rr2k1/4bppp/p1n1p3/1p1q3b/1P1P4/P2QBN1P/4BPP1/2RR2K1 b - -,h5g6
1rbq1rk1/pp3pbp/4p1p1/3pPn2/3n1P2/2N3P1/PPP2BBP/R2Q1RK1 w - -,f2d4
5rk1/p5q1/1p1Rpp1p/6p1/2r5/P3P1P1/1P3PP1/3Q1RK1 b - -,c4e4
1rb2rk1/1pqnbppp/p2pp3/8/3BPPPP/2N5/PPP1Q1B1/2KR3R b - -,b7b5
6k1/2pb1p1p/3p2p1/1p1n4/1P3P2/1NbNn1P1/r4BBP/2R3K1 w - -,c1c3
r1b2r1k/1pR3pp/p2p1q2/3Pp3/4P3/3QB1P1/PP4PK/2R5 w - -,a2a4
8/8/5k2/1PR3p1/1r4P1/5K2/5P2/8 b - -,b4b3
8/1p1rbk2/p1b3pp/4p3/4PpP1/PqN2P1P/1P2QBK1/2R5 w - -,g2f1
3r1b2/1pqr2pk/p1n1p2p/P1PnPp2/5P2/1N3Q2/1P3NPP/2RRB1K1 b - -,g7g5
r1bqk2r/pp2bpp1/4p1np/3B4/3Q4/2N3B1/PP3PPP/2KR2NR b kq -,e6d5
r1b2rk1/pp4p1/3q4/3p3p/8/1P4N1/P3BPPn/1R1Q1RK1 w - -,g1h2
3rr1k1/Q4ppp/2q5/8/N1p1pB2/bP1bR2P/P4PP1/2R3K1 w - -,c1d1
rnbqk2r/pp2ppbp/5np1/2p5/3p1P2/3P1NP1/PPP1P1BP/RNBQ1RK1 w kq -,a2a4
6b1/7p/1pk3p1/1N1pK3/5P2/1P4P1/P6P/8 w - -,b5d4
3rrqk1/1pp2p2/1n1p1nbp/pP2p1p1/P2PP3/2PQ2B1/B2N1PPP/R3R1K1 w - -,d3f3
r1B2rk1/1pq2ppp/2p2b2/p1n1p3/P3P3/2B2NP1/1PP1QP1P/R4RK1 b - -,f8c8
1k1r4/3N4/pq2r2p/1p6/4Qp2/1P6/6PP/4RK2 b - -,d8d7
1n6/5k2/2pP2pp/Pp2Bp2/5P2/1P3KP1/7P/8 b - -,f7e6
2r2k1r/4bp1p/p2qbp2/2pp3Q/3N4/1P2P3/P3NPPP/2R2RK1 w - -,d4f5
r2q1rk1/1p2p1bp/p1np2p1/3N3n/2P5/3bQN1P/PP3PP1/1RB2RK1 w - -,e3d3
4r3/p4kpp/1p2b3/P1p2p2/5B2/7P/1PP2PP1/3R2K1 b - -,e8e7
1rr2bk1/R1R2p1p/2n1p1p1/3pP3/1q1N1PP1/1P2B3/7P/Q6K w - -,c7f7
r3qrk1/1ppb2b1/n2p1npp/p2Ppp2/2P1P2B/PPN2P2/3NB1PP/R2Q1RK1 w - -,h4f2
1r4k1/1p3p2/pQ2p1p1/8/1P2p1N1/6PP/P4PBK/2q5 b - -,c1b2
