4r3/2R1N2k/8/5pp1/2pK4/2p5/8/8 w - -,e7f5
4r1k1/1bR2pp1/5n1p/3qpn2/PB6/1P4PP/3Q3K/5R2 w - -,d2d5
8/8/2r2Pk1/4R3/PB6/1K2p3/8/8 w - -,b4e7
r1bq1rk1/ppp2pbp/2np1np1/4p3/2P5/1P1P1NP1/PB2PPBP/RN1QK2R w KQ -,e1g1
4R3/1p3rpk/p1p4p/2n5/4P1P1/6BP/1P3PK1/8 b - -,h7g6
1r5k/2p3b1/3p4/p1pP3p/2P1Np2/3K3P/PP3P2/7R w - -,b2b3
rnbqk2r/pp2npb1/3p2p1/2pPp2p/2P1P2P/2N2N2/PP3PP1/R1BQKB1R w KQkq h6,f1e2
rnb1kb1r/pp2Bppp/1qp5/3pp3/6P1/3P3P/PPP1PPB1/RN1QK1NR b KQkq -,f8e7
8/5k2/1r2pqp1/b2p3p/P1pP1P2/6PB/4R2P/1r1R2QK b - -,b1d1
2r3k1/6b1/1p1p2pp/3Pp3/2B1P3/8/PP4PP/2R2rK1 w - -,g1f1
3k4/p1r4p/5R2/2BP1p2/PPK3p1/6P1/5P1P/1r6 b - -,a7a5
8/6k1/1p1p1np1/2nP1p1p/2PN1P2/4K1PP/2B5/8 b - -,g7f7
b2n1r1k/1q6/3Q3p/1pPp1Pp1/1PpN2B1/2P5/6PP/R5K1 w - -,d6h6
8/1p3pk1/6pp/3n4/2N5/1n1r2P1/3NR1KP/8 w - -,d2b3
r2q1rk1/4b1pp/bpn1pn2/p1pp4/P2P4/2P1BNP1/1P3PBP/RNRQ2K1 w - -,f3e5
2r2k2/1P3p1p/6p1/4p3/Q6P/2qp4/P4PP1/1R4K1 b - -,c8b8
8/6pp/1p6/3p1k2/Pp1P1p2/1P3P2/4K1PP/8 w - -,e2f2
r1bqkb1r/pp1p1ppp/2n5/2p1P3/5pn1/1P3N2/PBPP2PP/RN1QKB1R w KQkq -,f1c4
1qrr2k1/p3bppp/2ppbn2/4p3/N1P5/BP2P3/P1Q1BPPP/2R2RK1 b - -,e7f8
8/4k3/p1r1p3/7R/8/2P5/1P5r/1K6 w - -,h5h2
3k4/7R/6r1/3BK3/8/8/7p/8 w - -,d5e4
5k1b/2p2p1p/1r1p1npP/3Pp1B1/4P3/1P1B2N1/5PP1/5RK1 b - -,b6b3
5k2/r2n1pp1/Prqpp2p/2p5/R3P3/2Q3PP/2P2P1K/R4B2 b - -,f8g8
r1bqk2r/pp1n1pbp/2pp1np1/4p3/P2PP3/2N3P1/1PP1NPBP/R1BQK2R w KQkq -,e1g1
r2qbrk1/5p1p/p3pbpP/8/1p2P3/1P2BN2/1PPQN3/1K1R3R b - -,d8b8
4kr2/4bpR1/p7/4PQ1R/1p2K3/1P2B3/P5r1/5q2 b - -,f1f5
1B6/2k5/5pp1/p2Bp1p1/2K1P3/1P3P2/8/8 b - -,c7b8
r3k2r/ppqn1pp1/2p2np1/6P1/PbBpP3/2N2P2/1P2Q2P/R1B2RK1 w kq -,g5f6
8/3b1pk1/5qp1/1ppPp3/2p1Pb1p/2P4P/1P2QPP1/rB1R1N1K b - -,f6g5
2r2bk1/1p1qBp1p/3P2p1/6P1/1P6/7P/4QP2/3R2K1 w - -,e2g4
5k2/8/7p/5Pp1/1p2N3/2pK1P1P/r1B5/8 b - -,a2b2
5k2/3r2pp/2p1p3/pp2P3/Pb6/1PN1R2P/2P2PP1/5K2 w - -,a4b5
rnbqk1nr/pp1pppbp/6p1/2p5/1P2P3/P7/2PP1PPP/RNBQKBNR w KQkq -,c2c3:b1c3
4b3/4k1p1/4p2p/1p2P3/1pn1B2P/3N2P1/P4K2/8 w - -,f2e1
1r1rn1k1/p3bppp/2pp4/q7/2P1PP2/1PN1Q3/P3BP1P/3RK1R1 w - -,e1f1
7R/3r1q2/p1p1pBkp/P1P1Pp2/5n2/3r3P/4Q1P1/1R4K1 w - -,e2f2
4rrk1/6bp/1ppqb1p1/p1p1p3/P3P3/1P1P1N1P/2PB1RP1/4QRK1 b - -,e6d7
r2qk1nr/pp1n2pp/2pbp3/3p1p2/2PP2b1/4PN2/PP1NBPPP/R1BQK2R w KQkq -,h2h3
2R5/8/2k3p1/4bp1p/8/1KBr1P1P/6P1/8 b - -,c6b5
3rr1k1/5p1p/1p4p1/pPnp4/P4N2/2b2NPP/4PP2/3R1RK1 b - -,d5d4
r1bq1rk1/ppp1ppbp/2np1np1/8/3PP3/2PB1N2/PP3PPP/RNBQR1K1 b - -,e7e5
r4rk1/1p1nbpp1/1qp1pnp1/p7/2PP4/1P3BN1/PB3PPP/R2Q1RK1 b - -,f8d8
1r4k1/5pp1/7p/1Nn3n1/P7/8/BP5P/5R1K w - -,b5d6
4r3/1nk2b2/2p1npPp/2p1p3/2P1P1P1/1P1N2N1/2K1BP2/R7 b - -,f7g6
4r1k1/p5p1/2p3bp/8/1p6/1P1P4/P1P1N1PP/2R3K1 w - -,g1f2
r3k2r/pbqnppbp/2pp1np1/1p6/3PP3/3BBN1P/PPPQNPP1/R4RK1 b kq -,c6c5
2b2nk1/5ppp/3B4/p2p4/P7/4P2P/1P2BPPK/8 b - -,f8d7
r1b1kb1r/1pp2pp1/2p4p/p3Pn2/5B2/2N2N1P/PPP2PP1/R2R2K1 b - -,c8e6
N5k1/ppRb3p/3P4/3P4/4Pp2/4bPrQ/PP2BR2/7K b - -,d7h3
2rq1r2/3bppkp/3p2p1/p2P4/1p6/PB3P2/1PPQ2PP/2KR3R w - -,a3b4
8/5p1k/6p1/p4r2/PpBQ1n1P/1P3P2/5P2/4K3 b - -,h7g8
r3kbnr/pp1q1ppp/4p1b1/2pP4/2PN2P1/7P/PP2BP2/RNBQK2R b KQkq -,c5d4
2r2qk1/1b4p1/3n3p/P1np1p2/2p2P2/8/PBQ2PPP/1BR2RK1 w - -,b2e5
2r1q1k1/1bpnb1pp/p3pr2/Bp1n4/1P1PQ3/P4NP1/3N1PBP/R4RK1 w - -,h2h4
2r3k1/1b3pp1/1p1qp1p1/p2p3n/3P3Q/PPrBR2N/2P2PPP/4R1K1 b - -,a5a4
3r1rk1/1p2n1B1/1qp4p/p4P2/2P1pN2/PP6/2Q3BP/R6K b - -,f8f5
5q1k/p2r1r1p/1p1p2p1/n1pQ1NB1/2n1P3/2P2P2/P5PP/3RR1K1 w - -,f5h6
7k/6p1/4P3/p6p/1p1q2r1/1Pp5/P1R1Q1KP/8 w - -,g2h3
8/5p2/2k1p3/2Np4/1P1n2n1/2N3P1/8/6K1 b - -,g4e5
r1b1k2r/pp1nppbp/1qp2np1/3p4/5P2/1QPP1NP1/PP2P1BP/RNB1K2R w KQkq -,b1d2
r1b2rk1/pppnqpbp/6pB/4p3/8/5NP1/PPPQPPBP/R4RK1 w - -,h6g7
r2q1rk1/1p2n1pp/p1n2p2/2bpp2b/1P6/P3PNPP/1BPN1PB1/R3QRK1 b - -,c5a7
r2q1rk1/pppnppbp/2np2p1/3P4/2P1P3/2N1Bb2/PP2BPPP/R2Q1RK1 w - -,e2f3:g2f3
2r2r2/pp5k/7p/4Pp1n/1P2R3/P2P3P/4N1R1/7K w - -,e4h4
rn3rk1/pbn1b1pp/1p6/4pp1q/2P5/PP1B2P1/2QNNP1P/R1B2RK1 w - -,f2f3
3q4/3P4/3QpkP1/2p5/8/8/pK6/8 b - -,a2a1q
2rb2k1/1pp2r2/p2p3p/3Pp1p1/6P1/4B1KP/PPR2P2/2R5 w - g6,a2a4
2r1r1k1/ppq2pp1/2n1p3/2npP2p/6P1/2P2N2/PP2QP2/R1B1R1K1 w - -,g4h5
r7/5k1p/3p2p1/p1pP1p2/P1B2Pnq/1P6/3QR3/3N2K1 w - -,d2d3
r3r1k1/1bq2pp1/p6p/1pP1P3/1n2Nn2/1B3N1P/PP2R1P1/R2Q2K1 w - -,e2e3
r2qkb1r/1b1n1ppp/p1p1pn2/1p4B1/3P4/1Q3NP1/PP2PPBP/RN3RK1 b kq -,c6c5
8/8/5pp1/5k1p/1Br2P2/8/P3K3/4R3 b - -,c4b4
6r1/2nk2P1/3p4/R2P1N1p/p3K3/8/8/8 b - -,c7e8
8/2p3k1/2Pp2B1/p3b3/r4qQp/7P/6P1/4R2K w - -,g6h5
8/6k1/7p/5K1P/R4P2/6r1/8/8 b - -,g3b3
r5k1/pp1n1pp1/1b1p3p/3n4/1P1Nr3/4P1B1/4NPPP/3R1RK1 w - -,d4f5
2r2qk1/pbr2p1p/1p2p1p1/n2PN3/7Q/P1P1R3/B4PPP/R5K1 b - -,b7d5
r7/5p1k/4p1pp/p1Q5/2PN1P2/4P3/PqR3PP/6K1 b - -,b2b7
8/1p6/p1pkp3/5pp1/P2q1n1p/1P1B1P1P/K1PQ2P1/8 w - -,d2a5
5r2/8/1pk5/p2Rp2p/P1P3PP/5PK1/8/8 b - -,h5g4
