R7/8/8/3bP3/1p1k1K2/8/p2N4/8 w - -,a8a5
4r3/bp1bqpk1/p1p4p/3pP1n1/2PP3Q/1P5P/P5BK/3RBR2 w - -,f1f6
4b3/6kp/1ppr4/7P/pP1p1NP1/P3rP2/6B1/R5K1 w - -,g1f2
1n4k1/5pBp/pp2pPp1/3p2N1/3P4/6P1/P1r2P1P/4R1K1 w - -,g5f3
r1b2rk1/p2nq1bp/1ppNppp1/3nP1B1/3P4/1Q3N2/PP2BPPP/R4RK1 w - -,g5h4
2r1k1nr/p3ppbp/1pb3p1/2pNP1B1/8/3R1N1P/PPP3P1/2K4R w k -,h1d1
1br2rk1/p4ppp/2pq2n1/3p4/6b1/2P1BNP1/PP2BP1P/R2QR1K1 w - -,b2b4
5k2/7p/3n2p1/4p3/4P3/3pqPPP/r4N2/1R3QK1 w - -,b1d1
r1b2rk1/1p4pp/pq2p3/4Pp2/5PP1/PP1Bn2Q/1B5P/2R3RK b - -,c8d7
8/1p1k4/p1p5/3p1N2/2r1nB2/2P4K/PP6/5R2 w - -,f5g3
r1k4r/pp1n1p1N/2p1N1p1/4P3/4P3/1P6/P1PR1RPP/4K3 w - -,f2f7
2r3k1/8/3p2p1/1R2b3/P2pP3/8/5P2/5BK1 b - a3,c8c1
7k/8/2P1K3/8/4Bb1P/8/8/8 b - -,f4c7
8/5pk1/1p4n1/p2QP3/3P2P1/5K2/R4R2/2r4q w - -,f2g2
r3kb1r/p2n1ppp/2p1p3/2p3R1/Q2P4/2P1BN1q/PP2KP1P/R7 w kq -,a4c6
kb6/3R4/K7/8/8/P7/8/8 b - -,b8h2
1r1q1rk1/R1pbb1pp/1p1n1p2/3Pp3/1P6/1QN1PNP1/5PBP/5RK1 b - -,g8h8
2r4k/p6p/8/2p2p2/3p4/8/PPP3PP/4R1K1 b - -,c5c4
8/8/ppb1p1k1/2b1Pp2/P1P2P2/3K4/8/2BB4 b - -,a6a5
2r2k2/6p1/1q3pb1/2bp1N2/P2p1QP1/1P4N1/2PR1PK1/8 b - -,c8e8
r1r2bk1/2qn1p1p/3p1np1/pR1Pp3/P3P3/B2N2P1/5PBP/1Q3RK1 w - -,f1c1
rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/2PB1N1P/PP3PP1/RNBQK2R b KQ -,c7c6:b8c6
6k1/p5pp/bpp5/3p4/2P1p2q/7r/PPQ1P3/R2K2RB b - -,h3h1
2k5/K7/P7/8/1P6/1r6/8/8 w - -,b4b5
r2qk2r/ppp1bppp/2n1p3/3n1b2/3P1B2/2N1PN2/PP3PPP/R2QKB1R w KQkq -,f4g3
r1bq1rk1/1p1nbppp/p1p2n2/3p2B1/3P4/2NBPN2/PP3PPP/2RQK2R w K -,d1c2
1r3k2/1qr1ppb1/3p1npp/1p1P2B1/8/1B1Q3P/RPP2PP1/4R1K1 w - -,g5h4
r7/pp3ppp/2r1kn2/2P1p3/1P6/P1N1P3/4K1PP/2RR4 w - -,c1c2
8/Q4bk1/6B1/6Kp/7P/8/8/5r2 w - -,g6h5
2r2bk1/1q3p1p/p5p1/1p1p4/3Nn3/4PNP1/PP2QP1P/3R2K1 w - -,f3e1
6k1/3b1p1p/4p1p1/n2p4/3P4/6PB/3N1P1P/6K1 w - -,f2f4
r1b5/2p1qrk1/B1Rp4/P2P1p2/4p2p/2R4P/1P2QPP1/6K1 b - -,c8a6
3N1nrk/2r2pbp/p5p1/2Ppp3/8/1P2B1PP/P3PP2/3RK2R w K -,d1d5
7Q/7p/p3q1k1/1pP2p2/4p2P/6P1/P4PK1/8 w - -,h4h5
8/1p3R2/4p3/1r1bk1R1/6P1/8/2K5/8 b - -,e5d4
3r4/6bk/1p4p1/2p1p1Pp/B3P2P/2P2P2/1P6/3N2K1 b - -,b6b5
1r4k1/1pn1rppp/p1pn3q/2Np4/PP1P4/2N1P1P1/5PP1/R1RQ2K1 b - -,b8e8
4n3/1p6/1pk5/4pBp1/PPP1P1P1/6P1/2K5/8 b - -,c6d6
2q3k1/1pr2pp1/1b1r1nn1/1B2p1Bp/4P3/PRN3PP/2Q2P1K/2R5 b - -,b6a5
2rqk2r/pp2nppp/2npb3/3Np3/2P1P3/2NB4/PP3PPP/R1Q2RK1 b k -,e6d5
r1bqr1k1/1p1nppbp/3p2p1/p2P4/1PPN4/P3BB1P/3Q1PP1/1R3RK1 w - -,f1c1
8/1p3R1p/7K/6PP/p3k3/8/7r/8 w - -,f7b7
rnb1kbnr/ppp2ppp/8/3q4/3p4/4B3/PPP2PPP/RN1QKBNR w KQkq -,d1d4
1n1Q1bk1/1b1n4/p5pp/1pp5/1P1pPP2/P2P3q/1B6/2R1RNK1 b - -,h3g4
2r1r1k1/p2n1ppp/2pqb3/2Rp4/N2P4/1P6/P3BPPP/3Q1RK1 w - -,c5a5
r2qk2r/pb2npb1/1p1pp1pp/2p5/1PP5/P1NP1nP1/3BPPBP/1R1Q1RK1 w kq -,e2f3
k2r3r/1bpnqpbn/pp1pp1p1/7p/2PPP2P/2N1BPPB/PP1Q4/1KNRR3 w - -,c1b3
3r1rk1/1pp1qpbp/1nn1b1p1/p3p3/4N3/PP1PP1PP/1BQ1NPBK/1R3R2 b - -,c6b8
6k1/5pp1/6n1/6P1/1pB1Q3/1P3Pq1/P7/2K5 w - -,e4d5
8/8/4k2p/1pp1P3/p4K2/P1N5/1Pb5/8 b - -,b5b4
8/2k4p/2p3p1/2Pp2P1/pK1P3P/P4N2/2b5/8 w - -,f3e1
2r3k1/r1q2pbp/p2p2p1/P1pP1P2/1pn5/3B4/1PP2PPP/R2Q1RK1 w - -,d3c4
4rn2/p1q3kp/1p1N2p1/2pQPp2/5P2/2P4P/P5PK/4R3 b - -,e8e6
Rn1r1r2/1p2q3/1Q6/1Ppk3p/2N1p1pP/4P1B1/6P1/6K1 w - -,a8a4
1r1q1rk1/2pbppb1/3p2pp/3P4/1P6/1Q4PP/1NR1PPB1/5RK1 b - -,b8b7
r1bqr1k1/pp1n1pbp/3p2p1/2pPp2n/2P1P3/1PN2NP1/P1Q2PBP/R1B2RK1 w - -,c1g5
5rk1/3RK3/5P2/8/8/8/8/8 w - -,d7d1
r3q1k1/5rnp/2p1p1p1/PbRpP1B1/1Q4PP/5PK1/P5B1/7R b - -,f7a7
8/8/4k3/1p3p1p/P2K1B1P/P4PP1/8/5b2 b - -,b5a4
1r6/5BP1/8/8/3pp3/6K1/2pk2P1/7R b - -,c2c1q
r1b1qrk1/ppp2pb1/2n2npp/4p3/4P2B/2PB1N2/PP1NQPPP/R3K2R w KQ -,h4f6
1k2r3/1pb2p2/2p3q1/4nR2/4Q3/2P1N3/1PK3N1/8 b - -,g6e6
1rq3k1/6p1/p1p1pr1p/2PpN1n1/8/5P2/PPPQ2PP/R3R1K1 b - -,b8b2
5r1k/p2n3p/7N/P1pPp1R1/1pP5/4p3/2K5/8 b - -,e5e4
7r/pp2rpkp/2p2np1/4n3/1PPRPp1P/P1N2P2/4B3/2KR4 w - -,c3a4
8/8/5pk1/P2Rp2p/4P3/6P1/r3KP2/8 w - -,e2d3
8/2n4p/p1p3p1/P1P1K3/1PN2P2/6k1/2b5/8 b - -,c7d5
rn1qkb1r/pb1p1ppp/1p2pn2/2p5/3P4/4PN2/PPP1BPPP/RNBQ1RK1 w kq c6,c2c4
3r2k1/5p2/4q1p1/2P1p2p/3R4/5PP1/1Q5P/2R3K1 b - -,e5d4
7k/p2b4/3p1qr1/2pP1p2/2N2Q2/1P5P/P5P1/4R2K b - -,h8g8
8/1r3p2/4p1p1/2k1P1Bp/2p2P1P/r3K3/2bR4/2R5 w - -,e3f2
r3r1k1/1p2qppp/p3p3/1bP5/8/2Q1PN2/PP3PPP/3RR1K1 b - -,a8c8
r4r2/2p2ppk/1p3nnp/p1N1p3/P1q1P3/1PP1B1QP/5PP1/R3R1K1 b - -,c4c3
8/5p2/P2p4/2kq1p2/8/8/5Q2/4K3 b - -,c5c6
8/2B5/1p4kp/p1p3p1/P1P4P/1P2np2/4r3/1R5K w - -,c7g3
1r3rk1/p1p1b1p1/4p2p/N4p2/P2PN1q1/1p2P3/1P3PBP/R4QK1 w - f6,a5c6
5rk1/5p2/5qpp/1PN5/3r1pP1/2Q2K2/1P2R2P/8 b - -,f6d6
1r1r2k1/p3qpnp/2pp1bP1/8/N1P1PP1P/1P2Q3/P3B3/3R1KR1 b - -,f7g6
r4r2/ppp3k1/7p/1P4N1/1Ppp1B2/6Pb/1P2Kn1P/R7 w - -,g5f3
3r4/3Pk3/4n3/R7/B4p2/P6P/8/5K2 b - -,e7d6
1rR4k/pB6/6p1/2p2n2/2P5/5P2/P4K2/6N1 b - -,b8c8
6k1/4n3/7p/6p1/2N3K1/P1P1b2P/8/8 w - -,c4e3
r2q1rk1/pb2bppp/4pn2/1p6/2pP1B2/2P2N1P/PP3PP1/RB1Q1RK1 b - -,b7f3
r1bq1rk1/4bpp1/p1pB1n1p/8/2B1P3/2N5/PPPQ1PPP/2KR3R b - -,e7d6
5b2/2pr1kpp/1pn2p2/p1p1pNP1/P1P1P3/2P4P/1P1BKP2/5R2 b - -,g7g6
8/1R6/4pkp1/8/p5P1/P3P2P/1P3PK1/2r5 b - -,c1c4
