8/3N1n2/5P2/3K2k1/3NP3/8/1b6/8 b - -,g5g6
r2brk2/3n3p/pp5N/6p1/2P1Np1P/2B5/PP4P1/5R1K w - -,e4g5
8/2b5/3pk2p/p7/1pN2Pp1/1P4P1/P3K3/8 w - -,c4e3
1r3rk1/1b1p1p1p/p3p1p1/np4PB/3NPP2/2P1B3/P1P4P/1K1R3R b - -,g6h5
2rqr3/1p1pkppp/p1n1pn2/8/1bP5/2N1P3/PP1B1PPP/R2QKB1R w KQ -,a2a3
1r1r2k1/2p1bppp/1np1p3/p7/Pn1PN3/4P1P1/1P3P1P/2BRRBK1 w - -,b2b3
r3kb1r/ppp2ppp/1nn1p3/4P3/2PP1q2/2N2P2/PP2BB1P/R2QK2R w KQkq -,d1c1:c4c5
2b1rbk1/1p1nqppp/2pp4/8/1PP1P3/2N1BP2/2N1Q1PP/R5K1 b - -,e7e5
2b2rk1/p4ppp/5n2/2b1p3/2p5/4P1P1/Pr1B1PBP/RN1R2K1 w - -,d1c1
1rb5/2k2Npp/p2bp3/3p4/1PpPn3/4P3/4BPPP/R3B1K1 b - -,d6b4
2b2nk1/q3bp2/1pp3p1/3pPpPp/1P1P1P2/2PNB3/N3Q2P/6K1 b - -,c8a6
r2qk2r/pp2ppbp/5np1/3pn3/3P2b1/2PB4/PPQ2PPP/RNB2RK1 w kq -,d4e5
r1bq1rk1/pp4bp/1npp1np1/6B1/4p3/2NP2PP/PPPQN1B1/4RRK1 w - -,g5f6
r4k2/1p3p1p/p3p1p1/4P1N1/P4R2/8/1n4PP/7K w - -,f4f7
r2q1rk1/pp1b1pb1/3pp1pp/4n3/B3P3/2BP1N2/PP3PPP/R2QR1K1 w - -,a4d7
r1bq1rk1/pp2npbp/2np2p1/2p1p3/P3P3/2PP1NP1/1P1N1PBP/R1BQ1RK1 b - a3,h7h6
2r2rnk/3bqpb1/2p2npp/Pp6/3pPp2/1Q1P1NP1/3B2BP/RR1N2K1 w - -,d2f4
1k1r1r2/p4p2/1p1pB2p/6p1/8/1P6/P4RPP/3R2K1 b - -,f7e6
r2q2k1/1b3p2/p5pp/1p1PQ3/P2pNP2/4nB2/1P4PP/5R1K w - -,f1g1
3R4/6r1/4k3/1nP2p1p/1P3P1P/3K2P1/8/5N2 b - -,b5c7
5rk1/1q2bpnp/2bp2pB/4p3/1pP5/2P1N3/1PB1QPPP/4R1K1 w - -,c4c5
1rb1nrk1/1p2qp1p/p2p2p1/P1pPb3/2N5/R1N1P2P/1P2BPP1/3QK2R b K -,c8d7
2b2rk1/r2n1pp1/ppB1p1np/8/3PP3/q4NB1/3Q1PPP/2R2RK1 w - -,d4d5
2r4k/pp3Qpp/5b2/1q1p1n1P/5B2/2Pn1NP1/PP3P2/1K2R2R w - -,e1e2
1r3r1k/p1Q4p/6pn/5p2/3P1N2/4PR1P/qP6/5RK1 b - -,a2f7
rn1qkb1r/ppp2ppp/1n2p3/8/2PP2b1/4BN2/PP2BPPP/RN1QK2R b KQkq -,b8c6
r3k2r/3pbpp1/2b1pn2/p4P1p/PpNBP3/1P1B4/2P1Q1Pq/2KR1R2 w kq -,f5e6
5rk1/2B2pp1/p4n1p/1p6/2p5/P1P4P/1P3PP1/n2R2K1 w - -,d1a1
r2q1r1k/pbpnb1pp/1p1pp3/5p2/2PP4/3BPN1P/PPQ2PPB/2KR3R b - -,d8e8
2rq1rk1/pb2bppp/1pn1pn2/8/3P4/P1NQ1N2/1PB2PPP/R1B1R1K1 b - -,f8e8
r1bq1rk1/pp1n1ppp/3ppn2/2p3B1/2PP4/P3PN2/1PQ2PPP/R3KB1R b KQ -,d8a5
8/4k3/1p1bp3/p7/2P1P3/PP3Nr1/3R1K2/8 b - -,g3h3
2b2R2/1k5r/8/KP6/8/8/7B/8 w - -,h2f4
r1b1kb1r/pp1nqp1p/3p2p1/1B1n4/3P4/6B1/PP2QPPP/RN2K1NR b KQkq -,a7a6
r1bq1rk1/ppp3bp/2np1np1/3Ppp2/2P5/2N1PNP1/PPQ2PBP/R1B1K2R b KQ -,c6b4
4r1k1/p2rp1np/1nN2pp1/Nq1Pp3/1P3P2/7P/P1Q3P1/3RR1K1 w - -,f4e5
r2qk2r/pp2bppp/3B4/3pn2b/8/5N1P/PPP2PP1/R2QR1K1 w kq -,d6e7
5r2/1p6/p2R4/3N1p1k/P3pK2/8/8/8 w - -,d5e3
5n2/1p4k1/p5P1/P3bK2/1P2Pp2/8/8/4N3 w - -,f5e5
8/7k/4pB1n/1p1p3Q/1P1P1pq1/2P5/6P1/6K1 w - -,h5g4
6k1/p2n1p1p/1r3Bp1/8/B1K5/6P1/P4P1P/8 w - -,f6d4
2kr4/4Rp1r/1pp3p1/p7/3R3p/2P4P/PP3PP1/2K5 w - -,d4d8
2kr3r/p4pp1/b1p2b1p/2p2P2/2P1Pp2/8/PP1N1NPP/R2R2K1 w - -,a1b1
8/p3bpkp/4pp2/1p6/4N3/1P2P1P1/P4PKP/8 w - -,g2f3
3rrbk1/ppqn1pp1/2n1b2p/2p1pN2/4P3/P1P2Q1P/1PB2PP1/R1B1RNK1 b - -,g8h7
r1b2rk1/pp3p1p/6p1/1R6/8/4b1P1/P4PBP/5RK1 w - -,f2e3
6k1/1B1brp2/p6p/3R2p1/P7/1P3PP1/4n2P/7K w - -,b7a6
8/pk3r2/1p3p2/5P2/3P4/P1P1Q2K/5RbB/7q w - -,f2g2
r3kb1r/pp1npppp/1qp2n2/5b2/3P4/3N1N2/PPP2PPP/R1BQKB1R w KQkq -,g2g3
8/1R3N2/2k1pn1p/3p4/P2n1p1P/6P1/5P2/6K1 w - -,f7d8
r1b1k2r/pp2nppp/8/3qP3/4p3/2B5/PP2BPPP/R2QK2R b KQkq -,e8g8
3r4/6bk/1p4pp/p1p2p2/8/2Pp1NP1/1PqQ1P1P/4R1K1 b - -,c2d2
rnbqk2r/pp2ppb1/2p3pn/3pP2p/3P1P2/2N2N2/PPP3PP/R1BQKB1R w KQkq -,c1e3:f1d3
8/5k2/3R2p1/4K2p/3PPP2/8/8/7r b - e3,h5h4
3r1r2/5p1k/R1np1bpp/1p6/3pPB2/PQ1B4/1P3K1P/8 b - -,c6e5
rnbq1rk1/pp4pp/2p1pn2/4Pp2/2P5/2P2NP1/P4PBP/R1BQ1RK1 b - -,d8d1
b3r1k1/2nqppbp/p2p2p1/2pPP3/P1B5/2P2N1P/3Q1PPB/4R1K1 w - -,d2d1
2rqr1k1/2bn1p2/p5p1/1ppP2Pp/3pN2Q/PB1P2P1/1PP2P2/R4RK1 w - -,d5d6
4k3/8/2p5/1p1p4/1P1P1K1R/2PrN3/8/8 b - -,d3c3
1B6/1p6/p3k3/8/7b/2P1K2n/P6N/2n5 w - -,h2f3
r1bq1rk1/1ppn2bp/3p2p1/p1nPpp2/2P1P3/2N2P2/PPQBB1PP/R3NRK1 b - -,f5f4
8/8/1r2k1B1/R2b3p/3p2p1/6P1/4K3/8 b - -,b6b3
rnbqkb1r/pp1ppp1p/5np1/8/2PN4/4P3/PP3PPP/RNBQKB1R b KQkq -,f8g7
2krr3/5p1p/p1p5/1p6/8/1Pn2PBP/P1P2PK1/R6R b - -,d8d2
5k2/1r5p/6p1/2p5/2Rb4/p5P1/P4PKP/5R2 w - -,c4a4
r4rk1/pbq1bppp/2n1p3/1pp1P1N1/3p3P/1PnP2P1/PBPNQPB1/R3R1K1 w - -,b2c3
r2qk2r/1p2bppp/p1nppn2/8/2P1P1b1/1PN2N2/P2QBPPP/R1B1K2R w KQkq -,c1b2
r5k1/3bP2p/3p2p1/3P4/1p1N1Q2/1P3P2/qP5P/1K1R4 w - -,b1c2
8/7p/4p2P/ppPkb1p1/3p4/P7/1KP2N2/8 w - -,f2g4
r1bqr1k1/ppp2pbp/2n3p1/8/4PPn1/Q1N5/PP2B1PP/2BRK1NR w K -,e4e5
8/8/4k3/p4pK1/4b3/P1R5/1P4r1/2B5 w - -,g5f4
r4rk1/4bppp/2R5/4B3/5n2/1P3B2/P5PP/5RK1 b - -,f4d3
8/p1R3pk/5n1p/3P4/5P2/6NP/P4KP1/3r4 b - -,d1d2
8/1p2n3/p7/4k2p/3p2p1/1P1P2P1/1PN1K2P/8 b - -,e7g6
rnb2rk1/ppq3bp/2pp1np1/3P1p2/2P1p3/1PN2NP1/PB1QPPBP/R4RK1 w - -,f3d4
3rbrk1/1p1nqpbp/pN1p2p1/PnpP4/4PB2/5PN1/1P2B1PP/R2QR1K1 w - -,b6c4
3rr1k1/qp1n1pp1/2pb1nb1/3p3p/pP1N4/P2P1NPB/2Q1PP1P/B1R2RK1 w - -,f3h4:c2d2
2r3k1/p4p2/1p1Rpqp1/7p/2r4P/2P1Q1P1/PP1R1P2/6K1 b - -,g8g7
8/3r1k2/p2rb1p1/np2Rp1p/P2p1P1P/8/1RPK1B2/5B2 b - -,e6c4
1r1q1rk1/p4pp1/2pbbn1p/3p4/7B/3B1Q1P/PPP2PP1/3NRRK1 b - -,b8b4
3r4/5R1p/pnk3p1/2qp2P1/2p2R2/8/1PP5/1K2Q3 b - -,c6b5
3r4/Rb2r3/1p2n1kp/1P1p1pp1/8/3NP1P1/2R1P1BP/6K1 b - -,g6f6
rn1qr1k1/p1pp1ppp/1p2pb2/3P4/2P1b3/2B2NP1/PP2PPBP/2RQ1RK1 w - -,f3e1
r5k1/6pp/8/p2R4/PbN5/1P4P1/5P1P/6K1 b - -,g8f7
r1bqkb1r/pppn1pp1/2n1p3/3pP2p/8/1P4Q1/PBPP1PPP/RN2KBNR w KQkq -,g1f3
rq2r1k1/4bppp/p2p1n2/Rb1Pp3/1P2P3/3BB2P/3N1PP1/Q3R1K1 w - -,d3b5
rn1q1rk1/pp2p1b1/1np1b1pp/8/3Pp2P/2NB1N2/PPQ2PP1/R1B1K2R w KQ -,d3e4
