7k/8/p2r4/6R1/2Bb4/P7/7P/r5BK b - -,d4b6
8/7p/8/2P2p2/4kP1K/7P/8/8 b - -,e4d5
r1b1nbk1/N2q1r2/3p2n1/1N1Pp1pp/4Pp2/5P2/4BBPP/2RQ1RK1 w - -,a7c8
r4rk1/4qpp1/2p5/1p2p3/4P1b1/1PN1Q1P1/2P4P/R4RK1 w - -,c3e2
r2r2k1/4pp1p/1pp3p1/pPn1P3/P6P/1R2P1P1/1Bn2PBK/5R2 w - -,b3c3
8/1p6/p1b5/P1Bq1kpp/1P3p2/7P/4Q1PK/8 w - -,e2c2
2q1r3/p5kp/1p3pp1/8/2bR1N1P/6Q1/P4PP1/6K1 b - -,b6b5
6k1/1pr2bpp/1n2p3/pP1pP1qP/P2P2B1/5Q2/1B1bN1P1/R5K1 w - -,b2a3
2r2qk1/5p2/p3pB1p/1p2P2p/2b2P2/2Rr4/PP3QP1/1B4K1 b - -,d3c3
rnbk3r/1p5p/p3q3/3Np1Q1/8/8/PPP2R1P/2K5 b - -,d8d7
4R3/8/1p5r/2p2k2/2P5/1K6/8/8 b - -,h6e6
r4rk1/pbpqppbp/1p4p1/n7/3PP3/2P1BN2/P1Q2PPP/3RKB1R w K -,f1e2
rnbqkb1r/ppp2ppp/4pn2/8/3Pp3/4B3/PPPN1PPP/R2QKBNR w KQkq -,f2f3
2r5/5p1p/1p1kp1p1/8/2P1p3/4P1P1/P1R2PKP/8 w - -,c2d2
r1r3k1/1p3pp1/3p1q1p/p1nPp3/2P2n2/PPR1BP2/3Q2PP/4RBK1 b - -,a5a4
3r1rk1/2q2ppn/pn1p3p/1p2pQb1/4P3/P2B3P/1PP1NPP1/R1BR2K1 b - -,g7g6
3b4/p7/8/3N1p1p/PP1P2k1/4K3/5P2/8 w - -,e3e2
1k6/4R3/b4r2/P4R2/3P1K2/2P5/8/8 b - -,f6c6
8/8/1r1kN1pp/1P3p2/p1B2P1P/P2K2P1/1P6/8 b - -,h6h5
r2q1rk1/p1pn1ppp/1p1ppn2/6B1/2PPb3/P3P3/1PQ1NPPP/R3KB1R w KQ -,c2d2
rr6/3kp3/p2p4/1bP2p1p/1P3P1P/R1B1K1P1/1R6/8 b - -,b8g8
5k2/pb3p1p/1p3p2/4b3/NP6/P3P1P1/5P1P/3B2K1 b - -,b7c6
r4rk1/1ppqnpp1/1bnpb2p/1R2p3/N1P5/P2PPNP1/5PBP/2BQ1RK1 b - -,e5e4
5rk1/5pbp/p1q2np1/P1N1pP2/1P6/4B3/1P4PP/3Q1RK1 w - -,d1e2
4R3/8/8/6p1/r6k/7p/5K1P/8 b - -,a4f4
4rrk1/pb1nq1p1/1pp4p/3np3/3PN3/3Q1NP1/PP2RPBP/R5K1 b - -,c6c5
r3r1k1/1p2qp1p/nPp5/3p4/1P1Rp3/1Q2B1PP/P3N1B1/6K1 w - -,a2a3
6k1/5p2/2r3pB/4p3/4P2P/5P2/r1b1N1P1/2R1K3 w - -,h6d2
4Rrk1/p6p/2p2qpP/2Q5/8/8/P4PP1/6K1 w - -,e8e7
r4rk1/p1p3p1/1p2pq1p/n1Pp4/3P1P2/P1PbB1P1/4Q2P/R4RK1 w - -,e2d3
rnbqkb1r/pp1p1ppn/7p/2pQP3/8/8/PPP2PPP/RNB1KBNR b KQkq -,f8e7
b2q4/3r1pbk/Bpp3pp/p3n3/P3Pp2/1NP2P2/1PN1Q1PP/4R2K b - -,g7f6
2r2rk1/p1n1pp1p/3q2pb/B1Np1b2/8/1P2PP2/P2QB1PP/2R2R1K b - -,c7e6
r3k2r/ppp2ppp/1n2b3/2b1P3/1nP2P2/1P2N3/P5PP/R1B1KBNR w KQkq -,a2a3
2r1r1k1/p2n1p1p/4qbp1/2p1p2n/1p4NQ/1P1P2P1/PBRNPP1P/2R3K1 w - -,g4f6
4q3/r2r3k/p1p1p1np/P1P1Pp2/4pP1B/8/1R2Q1PP/1R4K1 w - -,b2b8
r7/1pq2pk1/p1b3p1/4p3/4P2Q/1PN2P2/1PP4R/2K5 w - -,c3d1
r2qk2r/p2pbppp/b1n1pn2/2p5/2P5/1P3NP1/P2NPPBP/R1BQ1RK1 b kq -,e8g8
1r1qn1k1/1ppbn1b1/p2p2r1/2PPp1pp/PP2Pp2/2N2P2/1N1QBBPP/2R1K2R w K -,a4a5
r1bqkb1r/6pp/p1np1p2/1p1Qp3/4P3/N3B3/PPP2PPP/R3KB1R b KQkq -,c8b7
8/6k1/2n2p2/p4Np1/2B4p/2K5/7P/8 b - -,g7f8
6k1/r1r4p/p6n/2N1ppp1/3bP3/1P4BP/1PR2PP1/2R3K1 b - -,f5f4
4r1k1/5ppp/1p6/1P2p3/3p2b1/2nP2P1/3NPPBP/2R2K2 w - -,f2f3
rnb1kb1r/1p3ppp/p3pn2/3q4/3N4/2NB4/PPP2PPP/R1BQ1RK1 b kq -,d5d7
1r1qkb1r/pp2pppp/2p3b1/P2n4/3P4/1QN5/1P2PPPP/R1B1KB1R w KQk -,h2h4
2r3k1/p4ppp/1p3n2/3p4/P2P4/4PP2/Rr1B2PP/6K1 w - -,a2b2
r2qr1k1/1b3pp1/1b3n1p/np1pp3/4P3/2Pp1NNP/1PB1QPP1/R1B1R1K1 w - -,c2d3
r2qk2r/p1ppnppp/bp3n2/3P4/8/1Q4P1/PP1NPP1P/R1B1KB1R w KQkq -,e2e4
8/8/pp1rpk2/7p/3PK3/2R5/PP4PP/8 w - -,c3c8
r2q1r2/p5k1/1p1pPn1p/n1pNpp2/2P5/1P5P/P3BPP1/1RQ2RK1 b - -,a5c6
1rbq1rk1/1p2npbp/p1n1p1p1/2pp1P2/P3P3/1BNP1N2/1PP3PP/R1BQ1R1K b - -,d5e4
r1bqr1k1/1p1n2np/p2p2p1/2pP1p2/P2bP3/4B2P/1PQNBPP1/R2NK2R w KQ f6,e1g1
r2qk2r/pp1n1pp1/2pbpn2/3p2p1/2PP2P1/2NBP2P/PP1B1P2/R2QK2R w KQkq -,d1f3
8/3k3p/3P1K2/p6r/3P4/1P2R3/P7/8 b - -,h5h6
r1b4r/5pk1/3p2p1/p1pPn3/PpP1Pp1p/1P1B3P/5PPN/3RR1K1 w - -,d3e2
2rr1nk1/p5p1/4ppq1/1p4Pp/2nPP2P/P4N1Q/4RP1K/2B1R3 b - -,f6f5
8/3Qpk1p/3p1pp1/1B1P4/3qP3/1p3PPP/7K/1b6 b - -,b3b2
r1r3k1/p1p2ppp/1p2pn2/8/3P4/P3P3/1P3PPP/2R2KNR w - -,c1c6
6k1/2r1p2p/1b4p1/N3p3/2p1P3/R1P2PP1/6KP/8 b - -,b6c5
r1bq3r/ppp3pp/2kbQ2n/4N3/4PB2/8/PPP2PPP/RN2K2R b KQ -,c6b6
r3k1r1/pppbq3/4p1p1/3pNp1p/3Pn2P/2P3P1/PPQ1PPB1/R3K2R b KQq -,e8c8
6k1/pp4b1/2p3p1/3b4/8/P1P4R/1P4P1/4K3 w - -,e1f2
3r2k1/6pp/4pp2/B7/2b5/4PP2/5P1P/6K1 w - -,a5d8
8/7r/B4p2/3pkN2/P5PP/2b2K2/2P5/8 b - -,c3e1
6k1/pprbq1pp/3b4/3p4/1P2p1n1/P3P1P1/1B1QNPBP/R5K1 b - -,e7f7
4r1k1/p4p1p/1p4p1/3Q4/6qP/4BnP1/P4P2/3R2K1 w - -,g1f1
3r3k/2R5/5P2/4p1pp/1p6/1B3KPP/8/8 w - h6,f3e4
6k1/1p1qp2p/1B1p2p1/5p1n/Ppr2P2/4Q3/1PP3PP/R5K1 w - -,a1e1
r1bq1rk1/2p2pbp/pp1p1np1/2nPp3/2P1P1P1/2N1BP2/PPB1N2P/R2QK2R b KQ -,a6a5
rn1q1rk1/2p1bppp/p3pn2/8/1p1Pb3/5NP1/PP1BPPBP/RNQ2RK1 w - -,d2g5
r3k2r/5pp1/p1p1pn1p/1pP1N2P/5q2/7R/1P3PP1/1K1RQ3 w kq -,h3f3
r2q2k1/1b3r1p/3p1pp1/nPpPp3/4N2Q/1P1P4/2B2PPP/R2R2K1 w - -,e4c3
8/8/6p1/6Bp/2kr1p1P/5P2/4K1P1/8 b - -,c4d5
r1bqk2r/ppp3pp/2np1n2/4pp2/2P5/P1bP2P1/1P1BPPBP/R2QK1NR w KQkq -,d2c3
8/3k1n2/1p6/1P1K1P1p/2P3pN/8/8/8 b - -,f7d6
3r2k1/4q2p/pb2Ppp1/1p2r3/8/1BP2QP1/P1R2P1P/3R2K1 b - -,g8g7
8/4k1pp/p3n3/3b1p2/5P2/1P1NK1PP/PB6/8 w - -,b2a3
r1bqk1nr/p2pp1bp/2p2pp1/8/2BQP3/8/PPP2PPP/RNB1K2R w KQkq -,b1c3
r2nk2r/pp1qb1pp/3p4/3Ppp2/6b1/PQ2P1P1/1P3PBP/R1B1K1NR w KQkq f6,f2f3
rnbqk2r/pp3ppp/2pp1n2/2b1p3/N3P3/6P1/PPPPNPBP/R1BQK2R b KQkq -,b8d7
1rbqr1k1/1pp2p2/3p1bpp/pP2p3/P1P1B3/3PP1P1/5P1P/1RBQ1RK1 w - -,b5b6
r3n1k1/2pr1p2/1pR1p1pP/pP2P1P1/P1R1K3/2B1P3/8/8 w - -,c4d4
8/3k4/3b4/5n1p/3pKPp1/p5P1/P2BN3/8 b - -,d7e6
r1bq1rk1/pp2ppbp/2npn1p1/8/2P1P3/2N1B1P1/PP2NPBP/R2Q1RK1 b - -,e6c5
4k2r/p1r1q1pp/Bnpbb3/4pp2/N7/4P3/PPQB1PPP/R2R2K1 b k -,e8g8
5r2/4R1p1/4p1k1/p3P1p1/2P5/1P1N3b/3K3P/8 w - -,c4c5
