R7/pr1kp2R/3p1p2/6b1/KPPn4/2N5/8/8 b - -,d7e6
2r3k1/5p2/2P1rp2/1p5p/p6P/P5P1/1PR1p1P1/4R1K1 w - -,c6c7
3q2k1/2r2pbp/p1r1p1p1/1p1pP1P1/3P4/1P3R2/P2Q3P/4NRK1 b - -,g7f8
4rnk1/1p3p1p/1r1qB1pQ/p1R3N1/P2P4/4P1P1/1p3P1P/1R4K1 b - -,f7e6
r5k1/3R3p/6p1/3p2P1/1R1P1P2/6PK/3r4/8 w - -,d7d5
8/2p5/1rnk3p/2N1pp2/2R2P2/1P4P1/2P3KP/8 w - -,c5a4
r3k2r/1b1nbppp/Nq2p3/3pP3/5P2/3B1N2/1PPnQ1PP/R4R1K w kq -,f3d2
1qr1bbk1/1pr2pp1/p3pn1p/2n1N3/2P2P2/1PN3PP/P3QBBK/2RR4 b - -,c5d7
1n1q1rk1/1p2bppp/4bn2/3pp1B1/P3P3/p4P2/P1PQ2PP/1KNR1B1R b - -,f6e4
5rk1/Qp3ppp/4b3/3p4/5N2/1P4P1/P1q1nPBP/5RK1 w - -,f4e2
Q2R1nk1/8/p3p3/8/b7/1N5P/5PP1/1q4K1 w - -,g1h2
8/1p2r3/p1p2k1p/2Pp4/PP1P1KP1/8/8/4R3 w - -,e1e7
6rk/6q1/pp1pr2b/3NpP1Q/P1P1P3/1P3K1P/8/1R2R3 w - -,e1g1
7k/2p5/p1pb3p/4p1p1/1P6/2P1P3/P1K5/7R b - -,h8g7
r3k2r/p2bp2p/2pp1p1q/4nPp1/4P1P1/1B2R2P/PPP5/R1B1Q1K1 w kq -,c1d2
r4rk1/p1p2pp1/1p1p4/3P2qp/6b1/1Q3BP1/PP3NKP/4R2R w - -,h2h3
r2q1rk1/pb1nbpp1/2p1pn1p/1p6/3PP2B/1QNB1N2/PP3PPP/R4RK1 b - -,a7a6
r5k1/4n1p1/2p1q3/1p6/3PP1Q1/5PP1/1B4K1/1R6 b - -,e6g4
2kn4/ppp2ppp/5rq1/3p4/3P4/2PQ2NP/PP3PP1/5RK1 w - -,d3b5
1r3r2/2q1npkp/1p2b1p1/pPpp4/P3PP2/1P1PN3/2Q3BP/1R3RK1 b - -,d5e4
r1bqk1nr/1ppnppbp/p2p2p1/8/P2PP3/2N1B3/1PPQ1PPP/R3KBNR b KQkq -,e7e5
r2q1rk1/pp1Nbpp1/4pn1p/2p4P/3P4/6N1/PPPBQPP1/2KR3R b - -,d8d7
8/p4r1p/2kp3R/2p5/6p1/PPK5/7P/8 w - -,c3c4
1r4k1/4qpbp/1r1p2pn/2pPP3/8/2N2N1P/PP2Q1P1/1R3R1K w - -,b2b3
7r/1pQnkp2/p2p2qr/P2PpR2/1B2P3/6P1/1P3KP1/4R3 b - -,h6h7
1Q6/7p/P1k5/8/4K3/7P/3q4/8 b - -,d2g2
r1bq1rk1/p3npbp/2p3p1/3p4/4n3/P1N2N2/1PQ1BPPP/R1BR2K1 w - -,c3e4
6k1/3n1p1p/4rnpb/qp1p4/1N1B4/PP3P2/1Q2B1PP/3R2K1 w - -,e2f1
8/2p3p1/1pk1p1n1/2p1P3/N1P2PP1/1P3R1K/r6B/4b3 b - -,a2e2
r1b1kb1r/pp3ppp/1qn1pn2/3p4/2PN4/6P1/PP2PPBP/RNBQ1RK1 w kq -,d4c6
6k1/5p2/p3r3/K7/1P6/8/8/Q7 w - -,a1g1
2rb3k/5rp1/7p/p2p4/P3p3/1PP1B1P1/2K1R2P/1N6 b - -,f7f3
r4rk1/p1q3b1/1pp1b1pp/2P1pp2/P3P3/4NN2/1PQ2PPP/R2R2K1 b - -,f5f4
6k1/p1pq1pp1/1p2n2p/3p4/3P1B2/2PP3P/P4PP1/4Q1K1 w - -,f4g3
r2q1rk1/4b1pp/pn1p4/1pp1P3/1n2P1B1/1PN5/PBPQ2PP/1K1R3R b - -,d6e5
8/1p1P3p/6p1/6k1/pP1p1n1r/P7/3R1P2/5BK1 b - -,h4g4
5rk1/1p3p2/pq4pp/4PQ2/3r4/1B6/PP4PP/5R1K w - -,f5f2
r4rk1/pb3ppp/1p3q2/8/8/P7/1P2QPPP/2KR1B1R b - -,f8e8
4r1k1/1b2qp1p/4p1p1/1p2P3/p2P1Q2/2P5/B5PP/5RK1 w - -,h2h4
2r4r/pp1bkppp/4p3/8/4P3/P3KNP1/1P3P1P/2R4R w - -,f3d4
3R4/4pk2/r4b2/4p1pp/p1r5/P1B4P/1P3PP1/3R1K2 w - h6,f1e2
8/pn3p2/3rnk1p/2p1p1p1/1pR1P3/3B1P2/PP2KBPP/8 b - -,e6f4
R2Q4/5kp1/7p/8/3K4/3n1PP1/6P1/6q1 w - -,d4d3
r3nrk1/pb1nqp1p/1p1p2p1/3pp1P1/2P4P/2N1PN2/PPQ1BP2/2KR3R w - -,c3d5
8/6rk/p1p2rp1/PpN3RP/1PqPpP2/4P3/6QK/8 w - -,c5e4
3kbn1r/np2b3/1q2p2P/rP1pP1P1/3P4/2NBB3/2N1Q3/1R3RK1 b - -,a7c8
8/7K/1p6/2k5/6P1/8/8/8 b - -,b6b5
2r1r1k1/pp3pb1/1q1pp1p1/2nn2N1/5P2/2P3P1/PPQB1P2/R3RBK1 b - -,a7a6
5k2/2p3p1/3p1p1p/7Q/3Pq2P/5R2/6PK/4r3 w - -,d4d5
5rk1/1p1qbppp/pnr1p3/3p4/3P4/3QP1BP/PPR1NPP1/2R3K1 b - -,f8c8
6k1/p4p1p/1pr2n2/6p1/2P3n1/5BK1/1B4P1/4R3 b - -,c6c4
4r3/5p1k/pR5P/8/8/2P5/PPr2PP1/3R2K1 w - -,b6f6
6k1/qb3p2/pb2p1p1/4p2p/1P2P2P/P3n1NN/3QBPP1/2r3K1 w - -,d2c1
2r5/5k1p/6p1/1B1p4/Pn5P/2p1PP2/8/2R2K2 w - -,f1e2
rnbqk2r/pp2npQp/4p3/3pP3/3p4/P1P5/2P2PPP/R1B1KBNR b KQkq -,h8g8
6k1/1p3p2/p5p1/2pq2Bp/3b3P/1P3QP1/P4PK1/8 b - -,d5f3
R7/5k2/8/4p3/4r1PK/6P1/8/8 b - -,e4e3
r1b2rk1/pp1n1ppp/2nppq2/2p5/2P5/PP1PPN2/RQ2BPPP/1N3RK1 b - -,f6b2
2kr4/pp1q1p2/2n1b3/2p5/3p1Qp1/3P2B1/PPP3BP/5RK1 b - -,a7a5
8/1k2r2p/3RPp2/p2p4/3P2P1/4PK2/8/8 b - -,a5a4
1r1r2k1/1pq1npbp/p5p1/P1B1p3/N1P1bn2/1N3Q2/1P3PPP/R2R2K1 w - -,f3e4
r2q1rk1/p1p1bppp/1p2pn2/n3N3/2P5/2N1P1P1/PB1P1P1P/R2Q1RK1 w - -,d1e2
r1bqrn2/1p3kp1/p2P1n2/4p2P/2P5/4PN2/PBQN1P2/R3K1R1 w Q -,f3e5
3r1rk1/ppn2p1p/2p3p1/4P2P/2qPB1P1/6R1/PP3Q2/5RK1 w - -,f1d1
4r1k1/5q1p/p5p1/3b4/1P1Qp3/P6B/6PP/4R2K w - -,h1g1
4r3/8/pp3pkp/2p4R/P1P1PPP1/4K3/8/8 b - -,e8c8
r1b1k2r/3p1pp1/p1nqp3/1p5n/4PP1p/2P1B2P/PPB1N1P1/R2Q1RK1 b kq -,d6c7
3r2k1/4b1Pp/p3p3/3r3p/1p6/1P1BB3/PPK5/3R4 w - -,e3h6
8/pp1r1k2/5ppp/3n1p2/1P1PrP2/P2RBKP1/2R4P/8 w - -,e3c1
r2q1nk1/ppb2ppp/2p1r1b1/1P1p4/3Pn3/BNNBP2P/P1Q2PP1/1R3RK1 w - -,c3e4
2r2nRb/2p5/3pk2B/p2bp3/Pp6/8/1PP2P2/1NK5 b - -,h8f6
3q1rk1/p3bpp1/bp2p2p/1Nr1P3/3pPBP1/PQ3P2/1P5P/3R1RK1 w - -,a3a4
5n2/5kp1/1pr1pnp1/pq1p4/3P4/2B1PP2/PP4B1/K1RQ4 b - -,b5a6
8/2p5/3p1kp1/bP1Pp2p/4P3/1R5P/2K1B1P1/r7 b - -,a1a2
r2q1rk1/1b3pbp/1n2pnp1/p3p3/Pp1P4/1N1B1N2/1P2QPPP/R1B1R1K1 w - -,d4e5
1r3k2/2q5/1pP3Q1/p3p2p/P3b3/1PR3P1/2P5/6K1 w - -,g6e4
8/Q4bk1/6B1/6Kp/7P/8/8/4r3 b - -,e1f1
r3k2r/3qbp2/pp1p3p/2pPp1p1/1PP1P3/P3QP1P/4n1PN/2RR2K1 w kq -,e3e2
4q1k1/pbp2ppp/1p1p1b2/5N2/5PPP/2PB4/PPP2Q2/1K6 w - -,g4g5
6k1/7p/pp1q2p1/2pP1p2/2P2Q1P/1P4P1/P4K2/8 b - -,d6f6
1nrq1rk1/p3bppp/1p1np3/3p4/3P4/2NQ2P1/PP1BPPBP/R2R2K1 w - -,b2b3
1k6/p2qn3/1p3p1p/3p1P1P/1PpPpP2/P1P4Q/6rK/5N2 w - -,h2g2
2kr3r/1p3q2/pn1b1p2/2pPp1p1/2P1N1Pp/3P2N1/PP3PP1/R1BQR1K1 w - -,g3h5
r2q1rk1/ppp1bppp/2n5/3b4/2B2p2/2P2N2/PP1PQ1PP/R1B2RK1 w - -,d2d4
1r4k1/1p2bppp/p3p3/4P3/P2R4/3NPKP1/1P5P/8 b - -,g8f8
1k1r3r/pp1q1p2/3bb1np/4p3/PP1pP1p1/3P1N2/3BBPPP/R2Q1RK1 w - -,f3e1
8/5p1p/1N2k3/8/7r/4N2P/4KP2/8 w - -,b6d5
8/5Qbk/p1Pp4/3P2Pp/1P5P/4qp2/2b1N1P1/4RK2 b - -,f3e2
