4r3/2k2Np1/1pp5/p7/8/5r2/PPPKR3/7R b - -,e8e2
rnbqkb1r/pp2pppp/3p1n2/2p5/3PP3/2N2N2/PPP2PPP/R1BQKB1R b KQkq d3,c5d4
8/1pk5/2p2p2/p3p1p1/P1P1Pnb1/1P1B1P2/3K3r/4NR2 w - -,d2c3
6k1/4q1p1/1r6/p1p1p3/2PpPp2/PP3P2/5Q1P/6RK w - -,f2a2
r1n1k2r/1p2q3/p1pbbpp1/P2p1p1p/1P1P3P/2PBP3/2QNNPP1/R3K2R b KQkq -,d6c7
1k4r1/1p1q4/p3Rp1r/1N1p1Q2/3P1P2/4R1p1/PP4P1/6K1 b - -,d7b5
r1bq1rk1/1p1nbppp/n1p1p3/8/p2PP3/P2NB1P1/1P1N1PBP/R2Q1RK1 b - -,b7b5
8/7p/2n2k2/5p2/5K2/7P/1B6/8 b - -,f6g6
2kr3r/ppp3pp/2n2p2/q2n4/1bQP4/2N2N2/PP1B1PPP/R4RK1 w - -,f1e1
r1bq1rk1/4b2p/p1p1p1pB/3pPp1n/6Q1/2NB4/PPP2PPP/R4RK1 w - f6,g4f3
r2r2k1/1pn1bpp1/4p2p/p1pq4/P2P1P2/2P3P1/1P2Q2P/R1BRN1K1 w - -,c1e3
r4rk1/1bq1bpp1/p3pn2/1p2p1Bp/4P3/6P1/PPPQNPBP/3R1RK1 w - -,g5f6
rnb1k2r/pp2ppbp/2pq2p1/3n4/2BP4/5N2/PPP2PPP/RNBQ1RK1 w kq -,f1e1:b1d2
1nb2rk1/r1q2pp1/p6p/4Q3/2N5/6P1/P3PPBP/1R3RK1 b - -,c8e6
r1bq1rk1/ppp3bp/2n1p1p1/3p1p2/2PPn3/1P2PNP1/PB3PBP/RN1Q1RK1 w - -,b1c3
r2qk2r/pb1nbppp/1p6/2pp4/3P4/P4NP1/1PQBPP1P/R3KB1R w KQkq -,f1g2
5rk1/1pb2p2/8/p1Pn2qp/1PQ1p3/1BP3P1/P4P2/3R2K1 w - -,d1d5
r1bqkb1r/pp3ppp/n1p2p2/3p4/3P4/4PN2/PPPN1PPP/R2QKB1R b KQkq -,a6c7
4n3/3r2b1/6k1/1p1Pp1P1/p3N3/P4P2/1P2B1K1/7R w - -,e2b5
5rk1/5ppp/p5b1/4N3/5bP1/P6P/1r3PB1/R2R2K1 w - -,e5g6
8/8/1p3r2/2P4p/PP1R1p1k/4pP2/4P1K1/8 b - -,b6c5
1rb1r1k1/1pqnbppp/2pp1n2/p3p3/P2PP3/1PN2NPP/2P2PB1/R1BQR1K1 w - -,c1a3
2qnQ3/1p2r1kp/r7/p1Pp1pp1/P2P4/5P2/1P4PP/4R1K1 w - -,e1e7
3b4/r6p/p1k2pp1/2p5/R1K1PPP1/2B5/1P5P/8 b - -,a6a5
r1b2rk1/pp1n2p1/3p1b1p/1q1P1p2/3B1P2/6P1/PP3NBP/R2QR1K1 b - -,f6d4
5r1k/r3qpp1/1p2p2p/1BnnP3/p5Q1/P4N1P/1P3PP1/2RR2K1 b - -,f7f5
r4rk1/p2nnp1p/1p3Np1/3pP3/q2p4/P4P2/1P1QN1PP/2R2RK1 b - -,d7f6
8/7p/p1pB4/2Pk2P1/P2p4/1P1K3b/7P/8 b - -,h3f5
7k/1ppr3p/1pnp1q1P/1N2n1r1/1P2P1pR/P1Q2pP1/1PB2P2/1K5R b - -,d7e7
8/4p1kp/2p2p2/p3n3/1p2P3/3r1pPP/2Q2P2/R5K1 b - -,b4b3
8/3k4/3p3p/pP2p3/Pr2Pp2/5P2/R2K3P/8 b - -,d7e6:h6h5
8/4k3/7p/p1rrP1p1/2B2bP1/1P3R1K/R7/8 w - -,c4d5
6k1/2R3p1/3N1p2/8/b4P2/2B3P1/4r3/6K1 w - -,d6f5
4b3/8/4kP2/1p4p1/1P6/P3KN2/8/8 w - -,f3g5
rnb2rk1/ppq1n1pp/4p3/3pPp2/3P4/P1P3Q1/5PPP/R1B1KBNR w KQ -,g1h3
r1bqk2r/pp3ppp/2n5/3p4/8/P7/1PP2PPP/R1BQKB1R w KQkq -,f1d3:f1e2
r3rbk1/1pq2p1p/p3p1p1/3b4/P4P2/1P1BB3/2P2QPP/3R1RK1 w - -,e3d4
r1bq2k1/pp2b1p1/2p1pn1p/1n3r2/3PN2N/2B3P1/PPQ2PBP/R3R1K1 b - -,f6e4
r2qk2r/1b1nppbp/p2p1np1/1pp5/3PP3/2PBBN1P/PP2NPP1/RQ2K2R b KQkq -,e8g8
1r3r2/6kp/6p1/p1p1p3/P2pP2P/1BnP2P1/2P3K1/R4R2 b - -,h7h6
2r1r1k1/p1p2p2/1p2b2p/6p1/P2R4/2P3BP/1PB3P1/R5K1 b - -,f7f5
2b3k1/2r2ppn/7p/1pq2P1P/1p2P3/1P3BQ1/6P1/4R2K w - -,e1d1
5rk1/1r4p1/2q1n3/1R1pBp2/p2P1Pp1/P2QP1P1/7P/1R4K1 b - -,b7b5
8/1p6/3Nk3/p4p1P/P2R4/4p1P1/1r3PK1/8 b - -,e3e2
8/1k6/2R2Bp1/1p4P1/p7/2P2K2/8/1r6 b - -,b7c6
r5k1/4Bp1b/8/1p2P1P1/2p2K2/P1P2p2/7R/8 b - -,a8e8
8/p4pbp/1p1kn1p1/1P2p1P1/4P3/3KBN2/2P2P1P/8 w - -,d3c4
8/8/1p1p3k/pPpP3n/P1P3P1/3BK3/8/8 w - -,g4h5
5rk1/p4rbp/2ppq1p1/4p3/1Ppn1P2/P2P2PP/R3N2K/2BQ1R2 w - -,e2d4
1n1r1rk1/pp5p/2p1R1p1/2P5/1P1pN3/6P1/P3PPKP/3R4 w - -,e4d6
r1k3r1/p1pqb2p/bp6/3Pn3/4PNn1/PQN1B3/1P3PPP/R3K2R w KQ -,e1c1
r1b1qrk1/ppp2pbp/n2p2p1/3N2B1/2PpP1n1/5N2/PP2BPPP/R2QR1K1 b - -,f7f6:c7c6
8/8/2k5/1p5R/n1p1p3/2P1P3/2K5/8 w - -,h5h6
2r2r2/ppqnbb1k/4p1pp/5p2/2PPpPP1/1P2N2P/P3N1R1/R1B1Q1K1 b - -,f8g8
1rq2rk1/p4ppp/4p3/N2n4/PbNR4/4PbP1/1P3P1P/R1Q2BK1 w - -,a5b3
8/5p2/1r4pk/p7/8/1P1R1KP1/1P6/8 b - -,f7f5
3r1rk1/5p1p/p4qp1/1ppB1b2/8/1P2P1P1/P3QP1P/3R1RK1 b - -,f5e6
2krr3/ppp2ppp/2n5/4P3/2R5/5N2/PP3PPP/5RK1 w - -,c4e4
6k1/p3pp2/1p4pb/2p1P1Np/P1P2P1P/1P6/4b1P1/4N1K1 b - f3,e2d1
8/3k1p2/2q1p3/2BpPp1p/1Q1P1P2/Nb5P/r5P1/3K4 w - -,b4b3
r1bq1rk1/pp2n1bp/2n2pp1/2p1p3/P1NpP3/3P1NP1/1PP2PBP/R1BQ1RK1 b - -,c8e6
r1bb1r2/ppq2pk1/2p3pp/4p3/P1B1P1n1/2P3P1/1PQ2PPN/3RRNK1 b - -,h6h5
6k1/2rqppbp/prn1n1p1/3pP3/3P4/2BBQNPP/1P3PK1/3RR3 b - -,c6b4
r1b1r1k1/2p3pp/2pqpb2/2Np4/1pPP4/P5P1/1BQ1RP1P/2R3K1 w - -,a3b4
1B6/8/8/1k3p2/4n1p1/5r2/R5K1/8 b - -,b5c4
rn2k2r/pp2q1pp/2pbbn2/5p2/2BP4/2N1PN2/PP1B1P1P/R2QK2R w KQkq -,c4e6
1r3rk1/1b2nppp/pp6/4P3/4p3/1P3NP1/P4PBP/R2R2K1 w - -,f3g5
8/1p3p2/1kp3p1/8/QPn5/1B2P1P1/3q1P2/5K2 b - -,d2d3
r1r5/1b3k2/p3p3/4Pp1p/1RpNpP2/2P3P1/1P3K1P/5R2 b - -,b7d5
8/3k2Q1/p1q2p2/8/r6p/4P3/5PP1/6K1 b - -,d7c8
kr5R/5R2/8/p1p1p2P/2PbP2B/8/r4PK1/8 w - -,h8b8
5r2/1k1rb3/1p2p1p1/p1pn2Pp/2R1N2P/P3BP2/1P2KP2/2R5 b - -,f8c8
7r/1p1bp3/3p1kp1/4r3/P2RP2P/2P5/1P1KB3/7R b - -,d7c6
2b5/5p2/5p1p/2P2P2/1K6/3B2Pk/7P/8 b - -,h3h2
r1bq1nk1/1p3p2/2p2n1p/p2p2p1/3P4/P1NBrNPP/1PQ3P1/1R3RK1 w - -,c2d2
1r6/4kp1b/7P/2NpP3/3P4/K3P1R1/8/8 b - -,b8b6
r2qnrk1/pp2ppbp/2p3p1/2p5/4P3/3P3P/PPP1QPPN/R1B2RK1 b - -,e7e5
8/p4kp1/1p2p2p/1n6/P7/1P1N3P/5PP1/6K1 b - -,b5d4
Q6R/1r6/2kq1p2/2rppP2/8/1Pp5/P1P3PP/5R1K w - -,b3b4
8/7R/1pkp4/4p2P/1KP5/4r3/P7/8 b - -,e3e2
1r2r1k1/p2b3p/2q2p2/1npNpP2/3bP3/3P4/P2B2BP/2RQ1R1K w - -,d1h5
2r1r1k1/2qn2pp/p3p3/P1n1p3/2R5/2P1N1P1/5P1P/1QB2RK1 b - -,c7a5
2r3n1/p3p1k1/1p1p1pp1/6r1/2PPP3/PQ3BPq/5P2/2RR2K1 w - -,f3g2
3r1rk1/pp4p1/7p/3np2P/2R5/1P4P1/1P3PB1/4R1K1 b - -,d5b6
r3nrk1/4bppp/pq2p3/1p1p2P1/2nP1P2/2NBP3/PP1BQ2P/2R2RK1 w - -,f1f3
r1bqr1k1/pp1n1ppp/2pbpn2/3p4/2PP4/1PNBPN2/PB3PPP/R2Q1RK1 b - -,e6e5
3r2k1/2q2pp1/1b3n1B/ppp1NP2/5n2/1PP4P/P1B2PP1/2Q1R1K1 b - -,g7h6
