8/5R2/4r2p/5kpP/8/6K1/8/8 b - -,f5e5
r1bq1rk1/p2nbpp1/2p1pn1p/1p6/3P1B2/2NBPN2/PP3PPP/R2Q1RK1 b - -,a7a6
5rk1/5p2/3b2pp/8/5Pn1/1P6/1PP1Q2P/1K6 b - -,h6h5
r4rk1/p1p1b1p1/3pqn1p/2p2N2/4P2B/3Q1R1P/PPP3P1/R5K1 b - -,f8f7
8/8/8/6pk/8/p2r2P1/P3R1K1/8 w - -,e2c2
8/pp3qnk/5ppp/1PP5/2pBQ3/5P2/P5PP/6K1 w - -,c5c6
3r3k/5Bbp/2Q3p1/1p2p3/4P1NP/6P1/5P1K/4q3 b - -,d8f8
r3k1nr/pp3ppp/4p3/n3P3/1bp1N3/5B2/PP1B1PPP/R3K2R b KQkq -,b4d2
2r2rk1/pbq2pp1/1p5p/3p4/1P1N2n1/P2BP1P1/1Q3P1P/3R1RK1 b - -,g4e5
8/7r/pp1P2p1/4k2p/2P3nP/5K1B/PP6/8 b - -,e5d6
r1bqr1k1/p2nbpp1/1pp2n1p/3p4/3P3B/2NBPP2/PPQ1N1PP/2KR3R w - -,h4f2
r7/P7/4pkp1/4p3/4K1Pp/5P1P/8/R7 b - -,g6g5
r1b1k2r/1pq2ppp/p1np1n2/4p3/2P1PP2/P1PB4/2N3PP/R1BQ1RK1 b kq -,f6g4
1r6/1P3p2/P1k5/7P/5K2/1R6/8/8 b - -,c6c7
rnb1r1k1/1p1p1ppp/p2Bp3/3BP3/3N4/2q3P1/P1P2P1P/R2Q1RK1 b - -,e6d5
3n2k1/3r2p1/6N1/3p1PP1/2b5/1p6/1P4B1/4R1K1 w - -,e1e8
r4r2/1pp2pk1/3p3p/1NnPpPb1/p1P1P3/P4B2/1PK3P1/3R3R b - -,a8c8
4q3/pb1r3k/1p1r3p/6p1/1P6/PBN1P2P/1Q1n1PP1/2RR2K1 w - -,b3c2
r2q1rk1/pb1nnppp/1p2p3/4P3/2BQ4/5N2/PP1N1PPP/R4RK1 b - -,e7c6
r4rk1/pb2q1pp/1pp1p3/2npP3/2PR4/1P3Pp1/PBQ1P1BP/5RK1 w - -,h2g3
rn1qk1nr/pbppppbp/1p4p1/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,f2f3
r2qkb1r/1p1b1ppp/p1nppn2/6B1/3NP3/2NQ4/PPP1BPPP/2KR3R b kq -,b7b5
2r5/1r1npk1p/3pp1p1/p7/N3P3/1PP2P2/3K2PP/2R2R2 w - -,c1b1
8/4k1p1/3b4/2p1pP2/1pP1P3/1P1R3p/2r1KB1P/8 w - -,e2e1
r5k1/p1rn1ppp/1np5/N3p3/1RP1P3/4B1P1/P4P1P/R5K1 b - -,c6c5
r1bq1rk1/1p1nppbp/p2p1np1/P1pP2B1/2P1P3/2N4P/1P3PP1/R2QKBNR b KQ -,b7b5
8/5pk1/P1p3p1/2Q4p/q3P1n1/6P1/5P2/5BK1 w - -,f2f3
2r2rk1/p3qpb1/2p3p1/1p2P1Nn/2nN1P1P/4B3/PP6/1KQR2R1 w - -,e3f2
2r1r3/1p3qpk/p3b2p/5p2/1bP1p3/1B4Q1/P4PPP/2BRR2K w - -,e1f1
3q4/5pk1/p3b1r1/1pQ4p/5Np1/8/PP3PP1/4R1K1 b - -,g6g5
r1b1k2r/ppp1q3/2np1p2/2b3pp/2B1P3/6B1/PPPQ1PPP/RN3RK1 w kq h6,h2h4
r1br4/ppk3pp/2nn1p2/8/2B1PPPP/BP6/P1P5/2KR2R1 w - -,c4d5
2kr3r/1pq2pp1/p3pn2/3p3P/2nP1b1B/P1N2B2/1PP1QPK1/1R5R b - -,g7g5
rn1qk2r/pb3pp1/1pp2b1p/3p4/3P4/2NBPN2/PPQ2PPP/R3K2R w KQkq -,g2g4
rnbq1rk1/pp2bppp/5n2/2pp2B1/8/2NP2P1/PPP2PBP/R2QK1NR w KQ -,g1e2
1r3Qk1/1p1b3p/3p2p1/p1pP4/P1Pb4/3B2BP/1P4PK/4R3 b - -,b8f8
8/p3rkn1/1p2p1p1/1Bq2p2/P7/6P1/4QP1P/4R1K1 b - -,g7e8
2r3k1/5p2/Q3p1p1/3pq3/1P2n3/P4R1P/3rN1P1/5RK1 b - -,c8c7
3r2k1/pp2rpbn/3p2p1/2pPn3/2P1NB1p/1P3P1P/1P2B1P1/4RRK1 w - -,f4d2
2q3k1/1pn2p1p/2p2p2/p1b2N1B/4PP2/PP4P1/6KP/1Q1r4 w - -,b1d1
6R1/2k1r3/8/1p4p1/1PP5/4r3/2K5/5B2 b - -,e7f7
r1bqkb1r/pp1n1p1p/3p1np1/2pP4/Q7/2N2N2/PP2PPPP/R1B1KB1R w KQkq -,c1f4
r1bq1rk1/pp4bp/2ppn1p1/4pp2/1PP1P3/P2P3B/4NPPP/R1BQ1RK1 w - -,a1a2
4rrk1/p5pp/1p1n4/2pPp3/4P2q/P1P2P2/4Q2P/2B1RR1K b - -,f8f6
r1b1k2r/ppp2qb1/3ppnpp/8/3P3P/2PB1NN1/PPQ2PP1/1K1R3R b kq -,e8g8
7R/8/5r2/p1p1k3/PpP5/1P3K2/8/8 w - -,f3e3
rnb1k2r/1p1nbppp/p2qp3/8/5P2/1NNB4/PPP3PP/R1BQ1RK1 w kq -,c3e4
2k2b1r/pp4pp/2p2p2/1Nn1nq2/P1r5/4B1P1/1P2PPBP/2R1QRK1 b - -,c6b5
3rrbk1/ppq2pp1/2p4p/8/2PBn3/6PP/PQ2NP2/2RR2K1 w - -,d4a7
rq3rk1/4bpp1/3pb2p/p3p3/PpP1PP2/1P1QB3/3N2PP/R4RK1 b - f3,e5f4
3r1rk1/ppp3pp/5n2/4p3/2Pn4/3B2NP/PP1R1PP1/4R1K1 b - -,f8e8
1nr1rbk1/1p3p1p/p1q1p1p1/4p3/2P1P1P1/1PNRBP1P/P3Q3/3R2K1 w - -,c3a4
8/8/p2B4/8/PP1b2K1/2p5/1k6/8 w - -,g4f3
rnbqk2r/p3ppbp/5np1/1ppP2B1/2p1P3/2N2N2/PP3PPP/R2QKB1R w KQkq b6,e4e5
8/4Pk1p/6p1/3N4/7B/p1P2K1P/6P1/4r3 w - -,d5b4
r1b1nrk1/2q2pb1/p2p2pp/2pPp3/2N1P3/2P1B2P/1PB2PP1/R2QR1K1 w - -,f2f4
8/p4k2/1b4r1/1Pp1p1p1/2P1Pp1p/3P1P1P/5R1K/3R4 w - -,f2a2
8/8/4k3/r5p1/6P1/1R2KP2/8/8 w - -,b3b6
6k1/p1p1rpp1/5b1p/3B4/r2P3P/4P1P1/P4K2/2R1R3 w - -,d5b3
3Q4/6bk/4q1p1/1pB4p/pNb1pp1P/P1P2PP1/1P4K1/8 w - -,d8d1
8/7p/3B3P/7k/6p1/p5K1/Pb6/8 w - -,d6f8
5rk1/1p5p/p2p2q1/3Pb2n/4p1b1/2N1B1P1/PPN4P/K3Q2R b - -,h5f6
1r1r1bk1/2p2n1p/p3p1p1/1QP1Pp2/n4P2/1N2B3/P1B3PP/R4RK1 b - -,a6b5
2rq1rk1/pb3pbp/2n1p1p1/1Bpp3n/3P4/1P3N2/PB1N1PPP/2RQR1K1 w - -,c1c5
r1b1k2r/pp3ppp/4p3/q2p4/1nPP4/PP3N2/3n1PPP/R2QKB1R w KQkq -,f3d2
b1rq1rk1/4pp1p/pp3npb/1N1nN3/P2P4/1Q3B1P/1P3PPB/R3R1K1 w - -,b5a3
8/1p1rk1pB/p7/6P1/8/PP2r3/K1P5/5R2 b - -,e3e5
3r1r1k/pp5q/4pp2/1PPp1bpn/3P2N1/1Q3PpP/PB3KP1/R3R3 w - -,f2e3
6k1/5p1p/rB2pn2/p2p2p1/Pp1P4/4PP2/N5PP/2R3K1 b - -,a6b6
2r3k1/7p/3p1n2/p2Ppp2/P6N/1p4P1/1P2RP1P/R1b3K1 w - -,h4f5
8/pr6/2pk1ppp/R7/PPK3P1/7P/5P2/8 b - -,b7e7
1r3rk1/2q1b1pp/4bp2/1pp1p1P1/4P2P/3P4/1PP1Q1BN/R4RK1 w - -,g5f6
r4rk1/p1p3pp/b1p5/2bp4/3Nn2q/2P1BP2/PP4PP/RN1QR1K1 b - -,c5d6
5k2/6bp/r4pp1/1q1p4/1prP4/4P1PQ/P1RR1P1P/4N1K1 b - -,a6c6
4rbk1/5pp1/p1q1rn1p/P1p1R3/1p6/1P4NP/1BP2PP1/3QR1K1 w - -,d1d3
2b5/7p/p2r4/5k2/1P3P1P/8/5PB1/2R3K1 w - -,c1c8
6k1/2R4p/2p3p1/1P1p4/8/1r5P/5PP1/6K1 w - -,b5c6
r4rk1/ppq1bpp1/2p1pnb1/7p/2QPn1P1/2N1P2P/PP3PB1/R1BRN1K1 w - h6,c4e2
4rk2/p2b1p2/3p2p1/3Pp2p/2PN3P/5P2/P5P1/1K2R3 w - e6,d4b3
r1b2rk1/ppp1ppbp/1nnq2p1/1B6/3PP3/1N2BN2/PP3PPP/R2QK2R w KQ -,d1d2
8/1n6/p1k5/Pp1pB1b1/1P4B1/1KP5/2P5/8 b - -,g5d2
4R1k1/1p3p2/8/p7/2PP4/4PK2/r5PP/8 b - -,g8g7
2rqnrk1/p2p1ppp/bp2p3/n7/2PPP3/P2B2N1/3BQPPP/R4RK1 b - -,a6c4
7r/1p1k2p1/3b1p1p/Rbpp4/1p6/3P2P1/1B1NPP1P/6K1 b - -,d7c6
r1q5/4Q1k1/p2Pp1p1/1p3p1p/n6P/8/2P2PP1/3RR1K1 b - -,g7h6
2r1r1k1/2b2ppp/p7/5R2/3P2P1/1q5P/6Q1/3R2BK w - -,d4d5
