8/2R2p1k/5bp1/7p/4Q3/1q4P1/5PKP/8 w - -,e4f3
rnbqk1nr/pp4pp/4pP2/2pp4/3P4/P1P5/2P2PPP/R1BQKBNR b KQkq -,g8f6
r4rk1/pp1qp2p/2npNn2/5p2/5P2/2P5/P1P1B1PP/R2Q1RBK b - -,d7e6
6k1/p7/3r2p1/8/2p1P2P/2p1K3/8/4N3 b - -,a7a5
rn2k2r/p1pq1pp1/1p2p1n1/3pP2p/Pb1P3P/2N2NQ1/1PPB1PP1/R4K1R b kq a3,b8c6
2q2rk1/1p1bn1bp/r2p1np1/P1pPpp2/2P1P3/1NN1BP2/4B1PP/1R1Q1RK1 w - -,d1d2
1r2rqk1/p1p2p1p/3p2p1/2p1P3/2Pn1P2/1PN3PP/P2Q2b1/4RRK1 w - -,g1g2
r1b2rk1/ppqn1pbp/2pp1np1/4p3/P2PP3/2N2N1P/1PP1BPP1/R1BQR1K1 w - -,c1e3:a4a5
r1bq1rk1/1p2bppp/p1np1n2/4p3/2B1P3/P1N2N2/1PP2PPP/R1BQ1RK1 w - -,c1g5
8/6p1/3p1p1p/1k1PpP1P/2R1P3/1P2q3/2K5/3B4 w - -,c4a4
2r5/4n3/3k4/p1rp2pp/P3pp2/1PP1KPPP/N1R5/1R6 w - -,g3f4
8/3kP3/3P2B1/1p2r3/1p6/6p1/P5K1/8 w - -,g6f7
r1k5/5p2/b1P5/p5p1/8/1Pb1B3/P4PPP/R3K2R w KQ -,e1d1
2r3k1/pp2bpp1/6q1/4P2p/8/3P4/2N2QP1/2KR4 b - -,g6g5
2q1rrk1/3np1bp/3p2p1/1p1P4/2p1PP2/2P1B2Q/1PB3P1/R4RK1 b - -,d7c5
r2qk2r/1p1nbppb/p1p1p2p/P2nP3/2BP4/1N3N2/1P1B1PPP/2RQ1RK1 w kq -,f3e1
8/6pk/5pbp/p2p4/1q1B3P/1Q3P2/1P3KP1/8 w - -,b3b4
5nk1/1b3qb1/3p1npp/2pP4/NpP2P2/1P5B/2QB2KP/4N3 b - -,f6d5
5b1k/p7/3nBBpp/2pPp3/2P1Pp2/R4P2/3r2PP/6K1 b - -,f8g7
r4rk1/1b1pnppp/p1n1p3/1pq5/3NP3/1PP2P2/P1NQB1PP/R4R1K w - -,b3b4
1rbqrbk1/1p1n1p1p/p2p1np1/2pP4/P3P3/2N3B1/1P1NBPPP/R2Q1RK1 w - -,d1c2
r2qk2r/pb1p1ppp/2n1pn2/2p5/2P1P3/P1N1B3/1PQ2PPP/R3KB1R b KQkq -,d7d6
2rqr1k1/pp3pp1/5np1/2PPn3/1P6/1RN1p1P1/P3B2P/3Q1R1K w - -,c3b5
r3r1k1/1bp2pp1/p1nb3p/1p1pp3/4P2q/2P3N1/PPB1QPPP/R1BR2K1 w - -,g3f5
6k1/1p4b1/6p1/2B1np2/4p3/6PP/r5B1/1R5K b - -,e5f3
8/8/p7/1p1b2kP/2p5/2P3K1/PP4P1/8 w - -,g3f2
r1bq1rk1/pp1n3p/2p1p3/3p1pp1/2PPNP2/5N2/PPQ1PPBP/R2R2K1 b - -,f5e4
1r6/Rb4k1/3b4/2p1pp1p/1pPp2P1/1P1P1P1P/3N1NK1/8 b - -,g7g6
rn1qk2r/pp2ppb1/2p3pn/3pPb1p/3P1P1N/2NB4/PPP2BPP/R2QK2R b KQkq -,e7e6
1r1qr1k1/R3b1p1/3p3p/1b1Ppp2/1PN5/1Q2BP2/6PP/4R1K1 b - -,e7h4
5rk1/6pp/1P1p1b2/p1r2p2/P2RpP2/4q1P1/6BP/3Q1R1K w - -,d4d6
4rrk1/pp3p1p/2b2Bp1/3qp3/3pR2Q/3P3P/PPP2PP1/5RK1 b - -,e8e6
1r2bkr1/p4pp1/2n1p2p/3pP1qB/2pP4/2p1N1R1/P1P2PPQ/R3K3 b Q -,g5d8
1rq2rk1/p3bppp/Q1B1pn2/1p6/1P6/4P1P1/PB3P1P/R2R2K1 w - -,c6b5
r5k1/p1pqr1bp/1p2bpp1/2p5/4P1P1/1P1PBR1P/P1P1Q1K1/3R3N b - -,a8e8
r2q1rk1/1b1nbppp/2p1pn2/pp4B1/3PP3/2NB1N2/PP3PPP/2RQ1RK1 b - -,d7b6
r3r1k1/1bq1bppp/p2pp3/1pn2PPP/2nNP3/P1N5/1PP3B1/R1BQ1RK1 w - -,f5e6
r4rk1/pp2bp1p/1qb2np1/1n1pN3/Q1pP2P1/2N1P1BP/PP3PB1/2KR3R w - -,e5c6
rn3rk1/1p1b1ppp/p3pn2/1P1pq3/3N4/1PBP4/3QBPPP/R1R3K1 b - -,h7h6
r1b2rk1/pp2q1bp/2pp1n1n/3PppN1/2P5/2NB1P2/PPQB2PP/R4RK1 b - -,g8h8
7r/6p1/3k1p2/4nK2/2p1R2p/P1B4P/6P1/8 w - -,c3e5
8/6k1/4R1p1/8/5brP/3Bp3/8/5K2 w - -,f1e2
6Q1/8/q6k/8/4P2P/1B4Pb/1PP5/6K1 w - -,g8h8
8/1r3pk1/5Rp1/p1p1n1P1/P2pp2P/2P5/R1K5/8 w - -,f6f4
r2qr1k1/pp3ppp/1b3n2/3p4/3N2b1/2P5/PP2BPPP/R1BQ1RK1 b - -,e8e2
r2bk1nr/pp1q1pp1/2pp2n1/3N3p/2PN1P2/1P2P1PP/PB4K1/R2Q1R2 w kq -,d5c3
8/p2r1kbp/6p1/1p3p2/3P4/P1B4P/1P2KP2/3R4 w - -,e2d3
2Q5/pp2q1kp/2p3r1/2b1p1r1/4P3/1BR3P1/PP3PK1/5R2 b - -,g6f6
rnbq1rk1/ppp2pbp/3p1np1/3Pp3/2P1P3/2NB3P/PP3PP1/R1BQK1NR b KQ -,b8d7
rn1qk2r/pp2bppp/2p2n2/3p1b2/5B2/2NP2P1/PP2PPBP/R2QK1NR w KQkq -,d1b3
r1b2rk1/ppbnqpp1/4p2p/2p5/2PPN3/Q4NP1/PP3PBP/3R1RK1 b - -,c7b6
2b2rk1/pp4p1/6p1/3p4/3N4/1P6/P4nPP/R3R1K1 w - -,e1f1
3q2k1/1n3p2/p4bp1/1p2p2p/4P2P/1pP2NPB/P1Q2P2/6K1 w - -,a2b3
6k1/1K4p1/PP3p2/2q5/4P3/8/5p2/8 w - -,a6a7
r2qr1k1/1p1b1pbp/p2p1np1/n1pPp3/2P5/1PN3PP/P1QNPPB1/1RB2RK1 b - -,b7b5
r3rnk1/1pq3p1/2p1bpQp/p7/2P2p2/1P3BnP/PB1N3K/3RR3 w - -,g6c2
r1bq1rk1/pppn1pbp/3p1np1/4p3/2PPP3/2N2NPP/PP3P2/R1BQKB1R w KQ -,f1g2
4b3/1rp2rk1/p3qn1p/2Rp2pP/3PpP2/B5N1/P1Q2PP1/2R3K1 b - -,g5f4
r3r1k1/ppq1bppp/2p2Nn1/4p3/2P3b1/1P2PN2/PBQ1BPPP/R2R2K1 b - -,e7f6
r1bq1rk1/ppp1nppp/2np4/4p3/2P1P3/2P2NP1/PP3PBP/R1BQ1RK1 b - -,c8e6
1rr3k1/p1q1p1bp/1p1pP1p1/2n3N1/2P2PP1/Q2bB2P/P5B1/2R2RK1 w - -,f1d1
3rr1k1/pp1q1pp1/2n2b1p/3pp3/5P2/1BPP2BP/PP3PQ1/R3R1K1 b - -,d5d4
r1b2kr1/3Rbp1Q/pp2p3/2q2pp1/8/2N5/PPP3PP/1K1R4 w - -,d7d8
8/8/1p1k1r1p/1P1b2p1/2pp2N1/P5P1/2P1RP2/4K3 b - -,f6f3
r1bqk2r/p3bppp/1nn1p3/3pP3/2pP4/2P5/P1BNNPPP/R1BQ1RK1 w kq -,f2f4
1r4k1/Q4pb1/4p1p1/8/b4qNp/5B1P/5PP1/3R2K1 w - -,d1e1
8/p4k2/1p3p1p/1P4pP/4PPK1/P7/8/8 b - -,f7e6
r4rk1/1bqn1ppp/p2bpn2/1pp1N3/5P2/1PNB4/PBPPQ1PP/4RRK1 b - -,a8c8
3r4/p1Rr1k1p/1p2bpp1/3ppn2/8/1P1PP1P1/P2NKPBP/2R5 b - -,f7e7
5k2/2R5/R4n2/8/1r4p1/8/5PK1/8 b - -,f6e8
r1bq1rk1/1pp2ppp/p4n2/4b3/Q1B5/2N1P3/PP1B1PPP/3R1RK1 w - -,f2f4
1R6/4pp2/p2p2pk/2p5/5r2/7P/4P1RK/8 w - -,b8b7
1Rb2r1k/5qpp/2Pp4/2pPp3/5pr1/6P1/1Q2PPBP/3R2K1 b - -,g4g6
rn3rk1/pp3pp1/2q4p/3p4/3P4/1Q2PN2/P4PPP/R4RK1 b - -,b7b6
7k/6pp/1p6/3K4/3N1P2/6P1/r6P/8 w - -,g3g4
1qr1k2r/1b1nbpp1/pp1ppn1p/8/1PP1P3/P1NB1N1P/1B2QPP1/2R2RK1 w k -,c3b1
r2q1rk1/p1p2pp1/1pNp1n1p/8/2Q5/2P4P/PPb2PP1/2BRR1K1 b - -,d8d7
3rb3/8/6p1/3pkp1p/pPpR3P/4P1P1/PK3PB1/8 w - -,a2a3
8/5p2/5r1k/8/3p2P1/5K2/8/3R4 w - -,f3e4
6k1/5pP1/8/6B1/3p2QK/6RP/8/4q1r1 w - -,g5f6
6r1/1ppk1pp1/3n3p/2r4N/p1P2P2/1P5P/P5P1/3RR1K1 w - -,g2g4
3r2kb/3n1r1p/1p2pPpP/pPp3N1/5P2/1P6/1BP2P2/3RR1K1 b - -,h8f6
8/1p4pB/2rnkp1p/p2p4/P2B4/1P2PP2/4b1PP/4R1K1 b - -,e2a6
r3r1k1/3bqpb1/pBppnnpp/P3p3/2P5/2NP1NP1/2Q1PPBP/1R3RK1 b - -,f6h7
2q5/p1r2bk1/3Rp1n1/3pPpPp/2pP1P2/Q1P1NK2/2P3B1/8 b - -,c8b8
7k/8/6pp/8/5n1P/5Nq1/1Q4B1/5K2 b - -,h8h7
3r1rk1/p4qpp/4p3/1p3n1N/2bP2QP/P3B2R/5PPK/3R4 b - -,d8d5
r1b2bk1/p1p2p1p/2B3p1/2P2q2/8/2P2p2/P4PPP/1R1Q1RK1 b - -,c8a6
6k1/5pb1/1Q4pp/1P1b2q1/4p2P/6B1/4rPP1/1N1R2K1 b - h3,g5f6
