8/8/6p1/5p2/4k1Pp/2q1p2P/4R1K1/5R2 w - -,e2a2
2k5/p1p2p2/7p/2p1P3/4bPp1/6P1/KP4P1/3R4 w - -,a2b3
r1bqr1k1/pp1n1pbp/3p1np1/3P4/2p1P3/2N2N1P/PPB2PP1/R1BQR1K1 b - -,d7c5
2r5/6pp/2k5/5R2/1pP5/3p4/PP4PP/6K1 b - -,c8e8
1R6/1pr2bkp/5p2/p4Pp1/2p3P1/1r3B2/1P1RP1KP/8 w - -,h2h4
rn1qk2r/pp2ppbp/2pp1np1/8/2PP4/2N1PB1P/PP3PP1/R1BQK2R b KQkq -,e8g8
1r1qr1k1/1ppb1p1p/p1nppbpB/8/2PP4/5NPP/PP2PPBK/2RQ1R2 b - -,e6e5
r2q1rk1/pp2bpp1/4pn1p/2p1N2P/3P4/3QB3/PPP2PP1/2KR3R b - -,d8a5
1R6/8/4p3/8/k7/2BK4/7r/8 w - -,d3c4
3r1rk1/pb4b1/1p1q3p/n1p2pp1/2N2P2/2PP3Q/PPB4P/R1B2RK1 b - -,a5c4
4r3/1p2r1k1/p1pn1n1p/P2p1pp1/N2P4/1P1BPP2/5KPP/2R1R3 b - -,e8f8
8/4r1k1/8/6p1/R5P1/5P2/5K2/8 b - -,g7f6
r5k1/p1pp2pp/1pn1p3/2P2P2/2PP4/4P1q1/P3Q1Nr/R1B2RK1 b - -,h2h3
8/5k2/3R4/2pP2p1/3r2P1/5K1P/8/8 b - -,d4f4
1r2b1k1/p1r1bp1p/1p2p1p1/n3P3/P2BR3/2P2N2/2B2PPP/3R2K1 w - -,h2h4
r1b2rk1/p4ppp/4pn2/qp1n4/1bpP4/2N1PNB1/1PQ1BPPP/2R2RK1 w - -,c1a1
2R5/1p6/pn1bk3/4pp1p/6p1/1P1PP1P1/1P1B2NP/5K2 b - -,b6c8
5bk1/1p1q2pp/p3rp2/8/1P2p3/PQ3PP1/5B1P/5RK1 w - -,f3e4
r1bq1rk1/ppp2pbp/2n2np1/3p4/3P4/1QN1PN2/PP1B1PPP/R3KB1R w KQ -,f1e2
rnbqk2r/ppppnpbp/4p1p1/6B1/2BPP3/2N5/PPP2PPP/R2QK1NR b KQkq -,h7h6
2r5/1bpr2kp/1p4p1/pP1p1p2/P7/3PPBP1/2R2P1P/2R3K1 w - -,f3g2
r1q2rk1/4bppp/p1b1p3/1p6/P1pBPP2/2P3P1/1P3QBP/R4RK1 w - -,f2e2
4r3/pp3p1k/1n3p1p/2pb4/8/4N2B/PPP2PPP/2KR4 b - -,d5e6
r1b2rk1/2q2ppp/p1p1p3/1p4Pn/1b2PP2/2N1B3/PPPQ3P/2KR1B1R b - -,e6e5
7R/6k1/4p1p1/4P2p/7P/4K1P1/1p5r/8 w - -,h8b8
rnb2rk1/p1qnppbp/2p3p1/2P1N3/5P2/2N1B3/PP1Q2PP/3RKB1R w K -,e5c4
4b3/4k2p/4Np2/2p2P2/5K2/5B2/6P1/2r5 w - -,g2g4
r1bqkb1r/1p1n1ppp/2n1p3/3pP3/p2p1P2/2PB1N2/PP2N1PP/R1BQK2R w KQkq -,c3d4
r3k1nr/1b1qbppp/pp1p4/3P4/P7/4R1P1/1PP2PBP/2BQR1K1 w kq -,d1d4
r1bqnrk1/1pp1bppp/2n1p3/p2p4/2PP4/PP1BPN2/2QN1PPP/R1B1K2R b KQ -,f7f5
r4rk1/3R3p/pb3pp1/2q1p3/4P3/PP3Q2/1B3PPP/2KR4 w - -,c1b1
1rr3k1/4bpp1/2q1p2p/3pP3/Np1Bn3/1P1Q3P/P3RPPK/3R4 w - -,f2f3
6k1/p3pq1p/1P1rprp1/2p5/3pR2P/1P1P1P2/2PQ2P1/4R1K1 b - -,a7b6
r1r3k1/1q2bpp1/2npp2p/2p5/p1P5/4PNP1/PP1RNPKP/2RQ4 w - -,e2c3
4rrk1/2pn1ppp/1p1bq3/p1p1p3/P1N1P3/1P1P1Q2/2PB1PPP/R4R1K w - -,f3g3
2r5/pb3pk1/1p3qpp/3p4/8/P2Q3P/BP2RPPK/8 b - -,f6d6
r2r1bk1/1pp2p2/pnn1b1pp/4p3/4N3/3P1NP1/PP1BPPBP/R2R2K1 w - -,d1c1
rnbqkb1r/pp3ppp/2p2n2/3p2B1/3P4/2N5/PP2PPPP/R2QKBNR w KQkq -,e2e3:d1c2:g1f3
r4rk1/4ppbp/2pq2p1/8/pp1P4/1PnNPQP1/5PKP/2RN1R2 w - -,d1c3
3r2k1/pbR2n1p/1p4p1/4p3/6P1/3P2BP/PP2K3/R7 b - -,b7g2
4b3/8/5k2/4b3/8/8/4N1K1/8 w - -,g2f3
2bq1r1k/7p/3p4/p2N2PQ/2n1p2R/2P1N3/8/1r2K2R w - -,e3d1
8/7p/4k1p1/2n2p2/4pP2/P2bP1P1/N1p4P/4KB2 b - -,c5b3
2rq2k1/3n1p1p/4p1pP/3pP3/RPr2QN1/3b1BP1/5P2/4R1K1 w - -,f4d2
8/1p5r/1r1p1kp1/p4p2/PnP2P2/1P3R2/2BR1KP1/8 w - -,f2g1
5R2/pR3ppp/2p1pk2/8/N1Pb1Pn1/6P1/P2r3P/7K w - -,f8f7
r1b2rk1/p2nppbp/q1pp1np1/8/2P5/2N3P1/PP1NPPBP/R1BQ1RK1 w - -,b2b4
r2qrbk1/pb1n1ppp/1p1ppn2/8/2PpP3/1P1B1N2/PB1NQPPP/3R1RK1 w - -,b2d4
r2q1rk1/1pp2p1p/2npb1p1/p1n5/2P1P3/1P3PP1/PNBQNR1P/R5K1 b - -,a5a4
r1b1r1k1/1p1nqpb1/6pp/p2Bp3/P7/4PN1P/QP3PP1/2RRB1K1 b - -,d7b6
r5k1/5pb1/p7/1np1N3/N1p1Rp2/P7/1P4PP/6K1 b - -,a8e8
r1bq1rk1/pp1n1pbp/2pp1np1/8/2PpP3/2N2NP1/PP3PBP/R1BQR1K1 w - -,f3d4
1rqr4/5p1p/ppP1nkp1/2p5/P3Q3/5B2/1P3PPP/R4RK1 b - -,c8c7
2N1nr1k/1R3ppp/4p3/p3P3/2p1PP2/6P1/6BP/2Bn2K1 b - -,f7f6
r6r/3bqpkp/pp4p1/3pPp2/3P4/1N3Q2/PP3PPP/2R1R1K1 b - -,e7e6
5rk1/2q1pp1p/1pr3p1/3p4/3P4/1RP1Q3/P4PPP/4R1K1 b - -,c6e6
rnbq1rk1/ppPp1pbp/2n3p1/1B6/4P3/5N2/PP3PPP/RNBQ1RK1 b - -,d8c7
3k3r/pp2b1p1/1q2pp2/3pP1p1/QP1n2P1/3BB3/P4PKP/2R5 w - -,e3d4
4r1k1/1p3p1p/p1p3p1/P2p1b2/1P6/2Q2P2/3B1qPP/3R1B1K w - -,d2h6
8/5k2/p5r1/P1p4p/1p2Np2/1PP1bP1b/4R2P/4R2K w - -,c3b4
4N3/1p2b3/4P1p1/6k1/4K3/8/p2r4/6R1 b - -,g5h4
r1r5/1p3pbk/2qpb1pp/P1n5/1QP3P1/R3BPNP/4B1K1/2R5 w - -,c1b1
b3r1k1/6bp/1PN3p1/1Pqp3n/2p5/6P1/2Q2PBP/1R1R2K1 b - -,d5d4
6k1/5b1p/p4qp1/1Np2p2/P7/1P5P/2P1QPP1/6K1 w - -,b5c7
r2q1rk1/p2n1ppp/1pb2b2/3N4/8/PQ3N2/1P2PPPP/3RKB1R b K -,c6d5
1r3rk1/3qn1bp/1pnpb1p1/2pN1p2/1PP1P3/2N1P1P1/3BQPBP/1R3RK1 b - -,f5e4
r2q1kr1/1p1b1p2/p2Np2p/8/3Q1P1p/8/PPP3PP/2K2B1R w - -,d6b7
r1bqkbnr/pp1p1p1p/2n3p1/2p1p3/4PP2/3P2P1/PPP3BP/RNBQK1NR b KQkq f3,e5f4
2kr3r/pp1nqpp1/2pb3p/8/3P4/3B1Q1P/PP3PP1/R1B2RK1 w - -,c1d2
8/2B5/p7/Pb1kp1pp/1P1p4/6P1/7P/4K3 w - -,h2h3
r1bqkbnr/1pp2ppp/2p5/p3p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq -,e1g1
r4rk1/3b4/p2bp2p/3p2p1/1p1P4/1B2RPP1/PP2NPK1/5R2 b - -,a8c8
r3k2r/1p4pp/pnpn1p2/3p1b2/1P1P4/2N1P3/1P1N1PPP/R3KB1R w KQkq -,f2f3
r2q1rk1/pp2n1bp/2pp1np1/3Pp3/2P1b3/2NBB3/PP3PPP/R2Q1RK1 w - -,d3e4
6k1/p4pp1/8/2Rn1q1p/1P6/R2r1PbP/KQ4P1/8 w - -,a3d3
5r2/pkq3p1/1p2p2p/3pPrnP/b1pP1N2/P1P1QB2/2P2RP1/R5K1 w - -,f3g4
3r3k/6p1/4pp1p/p7/2Kn1P2/1P2N1P1/5R1P/8 w - -,f2d2
r1bq1rk1/pp3ppp/2n1pn2/2p5/2pP4/P1P1PN2/4BPPP/R1BQ1RK1 w - -,e2c4
1rr3k1/7p/4bbp1/4Np2/1p6/3qP1P1/1Q3PBP/1R3RK1 b - -,d3c3
r4rk1/2qbb2p/2n1p1pP/pp1p2P1/1PnP1P2/P4N1B/R3N1K1/2BQ3R w - -,e2c3
r4r1k/1p1P1qbp/8/p1QN1p2/2P5/5pP1/PP1R1P1P/R5K1 w - -,d5f4
8/pb1nkppp/1p1bp3/4P3/2BP4/3R1P1P/P4KP1/4B3 b - -,d6c7
2k3rr/p1p1n3/Bpn2p2/P1Np4/1P1P1qpp/2P5/5PPP/R2Q1RK1 b - -,c8b8
1r6/8/2p1p3/R1PpP1k1/3P3p/1PKR2pP/5rP1/8 w - -,a5a7
3r2k1/p3rppp/1ppq1n2/3p4/3P4/P2NPP2/1PQ3PP/4RRK1 b - -,f6d7
8/5Rp1/2pkp2p/3b4/P6P/3B2P1/r7/6K1 b - h3,c6c5
8/1p5p/6k1/2BN4/8/1P1n2P1/r4PKP/8 w - -,d5f4
r3k2r/1bqn1p2/p3pn1p/1p6/4P1pN/2NB2P1/PP2QPP1/R3R1K1 b kq -,c7e5
