8/6p1/7p/7P/3b1PK1/1r2k1P1/R7/8 w - -,a2g2
5rk1/pp2ppb1/3q3p/r2Pn1p1/2p1P3/P1N1Q1PP/1P2BP2/3R1RK1 w - -,f2f4
5r2/1R6/3bk2p/2p4q/p4P2/2P1B3/P5Q1/3R2K1 w - -,g2e4
rn1qk2r/pp3ppp/3bbp2/3p4/3P4/2N1P3/PP3PPP/R2QKBNR w KQkq -,g2g3
r6k/r5pp/1Qp1qpb1/1R6/4P3/1PBP2R1/P5P1/6K1 w - -,b5c5
6r1/2p3r1/3p1k2/pPpPn1Pp/P3Pp2/5P2/1P2BKR1/6R1 b - -,g7g5
r4rk1/1p1n1ppb/1qp2n1p/p2pp3/2P5/QP1P2P1/P2NPPBP/3RNRK1 b - -,f8e8
1rbqr1k1/1p1nppbp/p1np2p1/2p5/2P1P3/P1NP2PP/1P2NPB1/1RBQ1RK1 w - -,b2b4
r4rk1/1p2bppp/2npbn2/q3p3/4P3/pPN1B2P/P1PQ1PP1/1KNR1B1R w - -,g2g4
r3r1k1/p2q2bp/2pp2p1/8/1PppPP2/1Q4P1/P2B2BP/5RK1 w - -,b3c4
6r1/1k1q2r1/2p1b1p1/1p1pPp1p/pPn2PP1/P1B1PBRP/6RK/2Q5 w - h6,g4h5
r3r1k1/1p3pbp/p2p1np1/q1p3B1/P2nP3/2N2P1P/1PPQB1P1/R2R2K1 b - -,a8b8
2rq1r1k/1p1n2nb/p2p2p1/3Ppp1p/1PP1P1Pb/3BNP1P/3NQ1KB/2R4R w - f6,d2b3
r4rk1/1b2bppp/p2qpn2/8/1n1P4/2N1BN1P/1P2QPP1/1B1R1RK1 b - -,a8c8
2R2bk1/Q4p1p/3p1Pp1/p2P4/P3p3/5qNP/1r3P2/6K1 b - -,b2b1
3r4/pp3r1k/2n1Q1bp/1q4p1/8/2Bp1PN1/PP4PP/3RR2K b - -,b5d5
3r4/1k3p2/1pp1p2p/p2rP1p1/P1RP1nP1/1P2RN2/5P1P/6K1 w - -,g1f1
6k1/1p4p1/p3N2p/8/8/3b3P/P1r2PP1/R5K1 w - -,a2a4
r1b2rk1/3n1pb1/1p4qp/pNpPp1p1/PnP1P2P/1R3N2/3BBPP1/1R1Q2K1 b - h3,g5g4
8/8/1k2p3/P6r/2K5/R4P2/8/8 b - -,b6a6
r1bq1rk1/1pp1b1pp/3pPn2/p4p2/1nP5/1PN2NP1/PB2PPBP/R2QK2R b KQ -,c8e6
1b2r1k1/1p3r2/p3b2p/3p2p1/1P1B1p1q/P1R1P2P/5PP1/1BR2QK1 w - -,b1g6
1r2rbk1/1bq2ppp/3p4/1p2nPP1/3B4/2N4Q/1PP3BP/R4R1K w - -,f1f2
2Q3k1/3nR1p1/3Ppn1p/B6q/5P2/8/1r1N2P1/6K1 b - -,g8h7
8/3B4/2P2k2/2r5/5K1p/7P/8/8 w - -,f4g4
8/8/p7/5N1k/1K4p1/8/8/8 b - -,h5g5
r2qr1k1/pb1n1ppp/1pn1p3/2ppP3/8/2PBPNB1/PP3PPP/R2Q1RK1 w - -,b2b4
5rk1/5ppp/4bb2/1Pp5/1pN1P3/1P3P2/r3NKPP/3R3R w - -,d1d2
3q4/pp1k4/P2p2p1/1P1Pp1p1/6P1/2Q2P2/6K1/8 b - -,d8c7
r1bq1rk1/pp1n1pbp/2p1pnp1/3p4/2PP4/5NP1/PPQ1PPBP/RNBR2K1 w - -,b1d2
r4rk1/ppp1bppp/1nnq4/4pb2/8/2PPBN1P/PPB2PP1/RN1Q1RK1 b - -,d6g6
r2r2k1/pp2bppp/3qpn2/6Bb/1n1P4/1QN2N1P/PP2BPP1/R2R2K1 w - -,a1c1
5rk1/1p4p1/1p2Bnp1/2b3P1/7P/4B3/rP3K2/3R2R1 b - -,g8h7
2r1rbk1/1bqn1p2/pp1ppnp1/2p3P1/P3PP2/2PP4/1P1NQ1BN/R1B1R1K1 b - -,f6h5
8/8/8/1p6/p1kN4/4K3/8/8 b - -,b5b4
r1b1r1k1/1p3p1p/pN1b1npB/4p3/8/5B2/PP3PPP/2R2RK1 b - -,a8b8
4rrk1/pnq2pbp/1p2p1p1/2pP2B1/2P1P1B1/8/P4PPP/2RQR1K1 w - -,d1d3
r3r1k1/1pp3pp/p1p5/4p1q1/2N1P1b1/1PQ5/P1P2PPP/R4RK1 w - -,c3g3
r1b1k3/4b1p1/1N2ppP1/p1p1q3/2QpP3/1B6/PPP4r/1K1RR3 b q -,a8b8
rr4k1/1p2qppp/2p2nb1/p7/P2Pp3/2P1P2P/2QNBPP1/RR4K1 w - -,b1b6
r1b1r1k1/p4ppp/1pn1p3/7n/8/BNPB4/P1P2PPP/3R1RK1 w - -,d3b5
r1bq1rk1/1p1n1pb1/2p1p2p/p5p1/PnNP4/1QN1P2P/1P2BPPB/R3R1K1 b - -,e6e5
8/3R2pk/7p/8/P2p1K2/6P1/4r2P/8 w - -,h2h4
r1b1kb1r/p2n1ppp/2p1pn2/qp6/3P4/4PN2/PP1NBPPP/R1BQ1RK1 b kq -,c8b7
r3kn1Q/1q3p2/p1Np4/2BP1b1p/2P1pP2/6P1/P3B2P/4K2R b Kq -,b7b1
1br3k1/pp1q1pp1/n1p3p1/8/1PQP4/P4N1P/5PP1/2B2RK1 b - -,d7d5
5k2/p6p/2r2ppb/4p3/2b1P2P/5P1N/PP4P1/1K1RR3 b - -,f8e7
r1bqk2r/pp3pp1/3Bpn1p/P1p5/R1NP4/2pBP3/1bQ2PPP/3K3R w kq -,d6c5
4k2r/pp1n1pp1/1q2pnbp/3pB3/Q1r3PP/P1N2N2/1PP1PbR1/2KR1B2 w k -,a4b3
3b4/3b4/3n1pkp/1ppPp3/2p1P1P1/2P1N3/1P1N1PK1/3B4 b - -,d8a5
1r6/3np1kp/1q1pprp1/1p6/1P6/4Q1P1/P3PPBP/1R3RK1 w - -,e3c3
2r1k2r/ppqnbp1p/1n1pb1p1/4p1P1/4P3/1NN1BQ1P/PPP2P2/1K1R1B1R w k -,h3h4
3rr1k1/ppnqp1bp/1np1bpp1/8/3PPB1P/1P3NP1/P3QPB1/1N1RR1K1 w - -,b1d2
3nb3/1p1n2p1/p2kpp1p/8/2P2P2/3NB3/PP2B1PP/6K1 w - -,e2f3
8/5p1k/2p3b1/1q1p4/p2P3P/P1P2PQ1/1r6/R2B2K1 w - -,g3e5
1r1q1r2/1ppb2kp/p1np2p1/3P1p1n/P3P3/2N2NP1/1P1Q1PBP/2R1R1K1 b - -,c6a5
r3k2r/pp2bppp/2n1pn2/5q2/8/2P1B3/PP2BPPP/RN1Q1RK1 w kq -,d1b3
4k1r1/1b2bp1p/p2p2p1/qr2pPP1/2N1P2P/6N1/PPP1Q3/1K1R3R b - -,a5b4
5rk1/ppp4p/4qrp1/5pB1/2B5/2Q4P/PP3PP1/6K1 w - -,g5f6
6kr/1p1qr1p1/p4nBp/2p1nN2/P2p4/1P5P/2PQ1PP1/R3R1K1 w - -,f5e7
4r1k1/5ppp/p2p1b2/P2P4/1P6/r2N2P1/5P1P/2RR2K1 b - -,f6c3
2r3k1/p3q1pp/1r2b3/3p1p2/3NpP2/1PP5/P2Q2PP/3RR1K1 b - -,g7g6
4kr2/4bpR1/p7/4PQ1R/1p6/1P2B2K/P1r5/3q4 b - -,d1h1
r2q1rk1/pppn1ppp/2np4/2bN4/2P1PP2/3BBQ1P/PP4P1/R4RK1 b - -,c5e3
3q2r1/pp3rbk/4p3/3p1b1p/3P1Pp1/BP1BR1P1/P2Q3P/2R3K1 b - -,d8f6
b4r2/7k/p2N4/3P1pq1/4Pn2/5Q2/P5B1/5RK1 b - -,f8g8
8/4qp1k/N4rp1/7p/1P1QP3/2P4P/5nP1/R5K1 b - -,f6f4
r4rk1/pbq1bppp/1n6/2p1p3/PpN1P3/1P1PB1P1/4QPBP/R4RK1 b - -,b6c4
rnbqkb1r/1pp1pppp/p7/3n4/3P4/5N1P/PP2PPP1/RNBQKB1R b KQkq -,c8f5
r1bqk2r/1p2bppp/p1n2n2/2p1p3/2BpP3/3P1NN1/PPP2PPP/R1BQ1RK1 w kq -,a2a4
r1b2rk1/p3bppp/1pn1pn2/8/2B5/1NN1P3/PP3PPP/R1BR2K1 w - -,c4e2
2R5/pr1n1ppk/4p2p/1B2n3/P6P/1P4P1/3N1P2/6K1 b - -,d7b6
r1b1r1k1/ppp1qpbp/3p1np1/8/2PBP3/2N2PP1/PPQ3BP/R2R2K1 b - -,c8e6
r4rk1/1p3pp1/p1N1bn1p/3p4/R6B/2b1P3/1P2BPPP/5RK1 w - -,c6e7
b5r1/4kp2/p2pp2b/1p6/4PP2/PP5B/1PK2R1P/4N3 b - -,a8e4
8/p4rk1/5r1p/R7/8/5BKP/P5P1/8 b - -,f6f5
8/p7/6B1/3Kp2P/5k2/4b3/R7/7r b - -,e5e4
r1b2rk1/pp3pp1/2n1pq1p/8/1bB5/2N1PN2/PPQ2PPP/2R2RK1 w - -,c3e4
3q1k1r/pQr1bpp1/5n2/3p3p/8/2N1p3/PPP1B1PP/3R1RK1 w - -,b7b3
8/2r1kp2/1R2P1p1/3p3p/p4P2/r5P1/P3RK1P/8 b - -,d5d4
r1bqnrk1/1ppn2bp/3p4/p2Ppp2/2P2P2/2NBB3/PP2N1PP/R2Q1RK1 b - -,e5e4
r1k4r/1pp1bpp1/2p1b2p/p3P3/5R2/1P5P/PBP1NPP1/R5K1 w - -,e2d4
1rb4r/p2pk1bp/4pp2/1Np5/1n2P3/8/PPPN1PPP/R3KB1R w KQ -,b5a3
r4rk1/pp5p/2p1qnp1/5p2/2Q5/1P2P1P1/P2P2BP/R4RK1 b - -,f8e8
2k5/1pb5/p3p1bp/3p4/8/2PN4/PPK1B3/8 w - -,c2d2
