1q6/8/4k3/2P2p1p/4p2P/2Q3P1/4K3/8 b - -,e6d5
5nk1/pp3pp1/2p5/2P2P1p/1P6/P3p3/1B3nB1/3Q3K w - -,h1g1
2rq1rk1/p3bp1p/1p2p1p1/3b4/2nPNB2/2P2B1P/PQ3PP1/3RR1K1 w - -,b2e2
r2qk2r/1p1nbppp/p1npb3/8/4PB2/1NN4P/PPP1Q1P1/2KR1B1R b kq -,c6e5
4rk2/p5pp/1pq2p2/8/P1nP1N2/1RP2PP1/7P/2Q3K1 b - -,c6f3
r1r2q2/1p1bppbk/3p2p1/p1n4p/2P1P3/1PN1BP2/P2Q2PP/2R1RB1K b - -,d7c6
1r5k/1p3qp1/p2r3p/2Nnnp2/1P2p3/P3P2P/1Q3PP1/2RRB1K1 b - -,b8e8
r5r1/2k2n2/1p2p2p/pb1pPp2/2pP1N1R/P5P1/2PKBP2/7R b - -,b5d7
rn1qk2r/ppp1ppb1/4bnpp/8/2pP3B/2N1PN2/PP2BPPP/2RQK2R b Kkq -,c7c6
r1r3k1/1pq1bppp/p2p1n2/P2P4/2B5/1P5P/5PPB/R2Q1RK1 b - -,f6d7
rn3rk1/1pq1bppp/p2pbn2/4p3/4P3/1NN1BP2/PPP2QPP/2KR1B1R b - -,b8d7
r2qr1k1/pb1nbppp/1p3n2/2pp4/3P4/1P1BPN2/PBQN1PPP/2R1K2R w K -,e1g1
2r3k1/1b2qp1p/1p2p1pb/p3Nn2/3PN3/PP1Q4/1B3PPP/4RK2 b - -,h6g7
3r4/p2q2k1/P1b2pp1/2P5/3rpQ1P/4R3/7P/1R3BK1 b - -,d7e7
5rk1/ppQb2bp/3p1r2/3Pp1q1/1P3p2/R5PP/P4PB1/2B1R1K1 b - -,d7c8
8/7k/1n1q2p1/p2p4/8/1B4PP/PP2QP1K/8 w - -,h3h4
6k1/1p4p1/2n2p2/p3pq1p/2P4P/PP1rP1P1/1Q2R1K1/4N3 b - -,d3d7
2n2rk1/1p3p1p/2p3p1/2Pp4/1P1N1P2/n5PB/5P1P/4R1K1 w - -,e1a1
8/1N4b1/1Pp1k2p/1r2p3/8/6Pp/8/2B2R1K w - -,c1e3
2rr2k1/3n1ppp/p1b1pb2/P7/Npp1PP2/4B1P1/1PP3BP/R2R2K1 w - -,e4e5
1qr4r/5pk1/p2b1p2/3Bp2p/1PPp4/P4QPP/4R3/2B4K b - -,c8g8
r2qk2r/pp2np2/3p2pp/4P3/2P5/6Q1/PP3PPP/R1B2RK1 b kq -,e8g8
2rq1rk1/R2nb1p1/2b1p2p/1pp4n/4P3/1P1P1NPP/2QB2B1/R4NK1 b - -,e7d6
2k5/p4b2/2pn1p2/1p3P1p/2prP3/P6R/1PK1BN1P/8 w - -,e2h5
b1r1r3/p2q1pk1/Pp4p1/1P1pb1p1/1R1NP1P1/3BP2P/3B1QK1/7R b - -,d5e4
rnbq1rk1/1p2ppbp/p1p2np1/3p4/2PP4/2N1PN1P/PP2BPP1/R1BQ1RK1 b - -,b7b5
3rk3/7p/p5p1/1p4B1/2p3P1/2P2K2/PP5P/8 w - -,g5d8
r7/6k1/1N3pp1/p3p2p/1p2b3/1P6/P2BBP1P/4K3 b - -,a8d8:a8a7
2rq2k1/2r4p/p1p3p1/1p1p1p2/PPnPn3/1NQBP2P/R4PP1/2R3K1 w - -,d3e4
8/3k4/p7/5K1R/4P3/8/r7/8 b - -,a2f2
8/R7/7K/5kPP/8/8/p6r/8 w - -,g5g6
3rrbk1/1bq2ppp/p3p3/2pp4/Pn2PP2/2N1BBQ1/1PPR2PP/3R3K w - -,e4d5
1r2n1k1/5q1p/1N1pb1p1/1BB5/4Pp2/5P2/3Q2PP/4R1K1 b - -,d6c5
r7/2pkr1p1/p2b1p1p/1p1Pn3/8/P3N2P/1PP1B1P1/1K1RR3 w - -,e3f5
8/4r3/3k2p1/p1rp1pPp/Pp5P/1P1R1P2/2PR1K2/8 b - -,d6c6
3q1rk1/1b2pp1p/p2p1np1/1pr2P2/4P3/2PB2N1/PP2Q1PP/R4R1K w - -,a2a4
2r5/1prnkp2/p1b1p1p1/P2pP2p/1P1N1P2/2P3PP/1KB2R2/5R2 w - -,f1c1
2Q5/8/5b1k/1p1q2p1/p5P1/P4N2/5PK1/8 w - -,c8f8
3r2k1/pR2ppbp/P5p1/2Bq4/Q3n3/7P/3rNPP1/4R1K1 w - -,c5e7
r6r/1qk2pp1/2bp1n1p/p1p1pP2/2P1P1P1/1PBB4/P3Q2P/1R2R1K1 b - -,h8g8
r2r2k1/1np1bppp/ppb1p3/4P3/2PRNP2/4P3/PBB3PP/3R2K1 w - -,g2g4
2rq2rk/p3pb1p/1Pp2n2/1P3p1p/P2PpP2/4P3/3QNNP1/2R2RK1 b - -,d8b6
3b1nk1/1q3pp1/2pBp3/1pPpP3/1P1P1nPp/1NN2P1P/Q6K/8 w - -,b3a5
3q1r1k/8/1p1p4/p1pP4/2P3P1/2R2pP1/PP1bpP2/1Q2R1K1 w - -,c3f3
1rq1k2r/3bppb1/2np2p1/1pp4p/1P4nP/P1NP1NP1/3BPPB1/1R1Q1RK1 b k b3,c5b4
8/p6p/1b3r1k/7r/3p1PK1/3B2R1/1P4P1/4R3 w - -,e1e7
r3r2k/6pp/p7/1p1QBp2/6q1/2P3P1/PP5K/R3R3 w - -,h2g2
r2q1rk1/pQ2n1pp/2pb1n2/3p1p2/1P1P1P1B/P1N1P3/5P1P/R3KB1R b KQ b3,g8h8
r3r1k1/1ppn1n2/p2p2p1/3P4/NPPN4/5P2/P2B2PP/5RK1 b - -,a8c8
rn1q1rk1/1p3pbp/p2p1np1/2pP4/P3P3/2N5/1P1NQPPP/R1B2RK1 b - -,b8d7
r7/1k1p3p/p3p3/2P1Ppp1/1P6/6PP/5K2/R7 b - -,b7c6
2br1k2/8/1pn3q1/p1p4N/P1P2PpQ/8/1P4P1/4R1K1 w - -,f4f5
5rk1/ppr2pp1/1n5p/1R1pN3/P1pP4/q1P1P3/5PPP/3Q1RK1 w - -,d1a1
r3kb1r/pp1n1pp1/n1q1p2p/2ppP1Bb/N2P4/2P2N1P/PP2BPP1/2RQ1RK1 w kq -,g5h4
2r2rk1/pR3ppp/8/4p3/3bP3/2N5/PP4PP/1K1R4 w - -,c3d5
8/4b3/8/3Bk1p1/2P3K1/6PP/8/8 b - -,e7d8
6r1/2p2p2/1b1p1k2/1P1Pn2p/p1B5/PP5P/2R1KP2/3R4 b - -,g8g2
1r6/3k1n2/2p1rp1n/1pBp4/pP1PP1Np/P1R2P1P/2R3K1/8 w - -,c3e3
r1b2b1r/pp1n1kp1/1q2p1pp/3pP3/3p3P/1P1QBN2/P1P2PP1/RN3RK1 w - -,e3d4
2rrb1k1/pp2qppp/1n2p3/1P2P3/5P2/P1N3P1/4Q1BP/2R2R1K w - -,c3e4
r4rk1/1p1n1ppp/1pp5/3p1b2/1b1P4/P1N2P2/1P1BP1PP/R3KB1R b KQ -,b4d6
8/1pb1kp1p/p1n1p3/P2p4/2r1P3/1NB2P2/1PPK3P/R7 w - -,e4d5
3q4/3P4/5kp1/1p1Q1p1p/p6P/P5P1/5P2/6K1 w - -,d5b5
rn2kb1r/1bqp1ppp/p3pn2/4P3/1p6/1NNB4/PPP1QPPP/R1B2RK1 w kq -,e5f6
7r/2k5/p5p1/2P4p/P1Nr1p2/8/5PPP/2R2RK1 w - -,f1e1
5k2/1R3p2/4p3/1P2P3/6KP/5P2/8/r7 w - -,b5b6
r2qk2r/p2bbppp/8/2ppP3/2pN1P2/2P5/P1P3PP/R1BQ1RK1 w kq c6,d4e2
b5k1/2p2p2/3p1B2/1p6/4r3/NBP5/6PP/4K3 w - -,e1d2
6k1/3b1pp1/1q6/1P6/6p1/3B2P1/2Q2P1P/6K1 b - -,g7g6
8/5pk1/4p1pp/1R6/4P2P/5P2/6K1/r7 b - -,a1e1
r3q1k1/ppp2rb1/2np1n1p/4p1p1/PPPP1P2/B3PQ2/3N1PBP/R4RK1 b - -,g5g4
8/8/8/6n1/5k2/3K4/4rpB1/5R2 b - -,e2e3
8/8/3p1k2/3P1p2/b1BN1b1p/p6K/7P/8 b - -,f4g5
1R6/3b1r1p/2q3p1/3NQ1Pk/8/7P/5PK1/8 w - -,g2g3
3r3r/pk1n1p2/3Qpb2/qp6/P1pp4/4B1P1/1P1R1P1P/4KB1R b K -,d4e3
8/4k3/p4p2/Pbp1pPp1/3pP1P1/8/3B1K2/r1NB4 w - -,f2e1
2b1n1k1/1q3pbp/3p2p1/1p2p3/3nP3/1PN1BPP1/2PQ2BP/3R2K1 b - -,e8c7
rnbqk2r/1p2bppp/2p1p3/p7/PnBPPB2/2N2N2/1P3PPP/R2Q1RK1 b kq -,e8g8
5rk1/3b1p2/1pp1nRp1/r2pP2p/7P/2PPN3/1P2N1P1/R5K1 w - -,a1a5
r1bqk2r/ppp2pb1/2n1p2p/6pn/3Pp3/2P2PP1/PP1N1B1P/R2QKBNR w KQkq -,f3e4
5bk1/2r4p/3pqpp1/3Rp3/2P1P1PP/3Q1P2/5NK1/8 b - -,e6c8
8/2k1p2p/3p1pp1/2nP4/pr1nP3/R3KPPP/2B5/1R6 w - -,e3d2
r3k2r/pp1qb1pp/2p2pb1/8/1Q1P1BPN/8/PP3P1P/R3R1K1 b kq -,a7a5
5k2/5p1p/2R1n1p1/r2p4/1b1P4/pBN1P1P1/P4P2/1K6 w - -,c3d5
2b1rnk1/5p2/p1pq1Pp1/2p1p1Bp/N1PbP2Q/5R2/P5PP/3R3K w - h6,h2h3
