8/8/8/5br1/4k3/R7/7K/8 w - -,a3g3
1rb2b1r/1p1pnkpp/q3pp2/1N2B3/2P5/1Q4P1/PP2PPBP/R4RK1 b - -,f6e5
4rrk1/pR1Q3p/3p3b/2p1p1q1/2PnP3/6P1/6BP/5RBK b - -,g5g6
8/3k1p2/7R/3pbp2/5P2/1r5P/4K1P1/8 w - -,f4e5
8/7Q/2p1rk2/2Pp2p1/5b2/8/P6P/7K w - -,h2h4
8/p5kp/1b1r4/7P/2rpB3/6RK/1P3PP1/4R3 b - -,g7h6
r2q2k1/ppb2rp1/2p1b2p/3n4/4B3/BP2N1P1/P1Q2P1P/3R1RK1 b - -,d8g5
2r3k1/5p2/p3p1pp/5n2/8/2QN3P/1P3PPK/5q2 w - -,c3c8
5nk1/1N2rpqp/2p3p1/r1P5/8/5Q1P/P4PP1/1R3RK1 b - -,a5a2
r1r4k/pQ2b1pp/2n2p2/2p5/3q1R2/3PN1P1/PP1BP2P/R5K1 b - -,d4d8
8/R4nr1/p2p2kp/Pp1P4/1Pp5/2P2PB1/5P1K/8 b - -,g6f5
8/k7/8/1Q2pq2/P5p1/6P1/3KN3/8 w - -,a4a5
4r3/5pk1/p1rpp1p1/P1n2q1p/2B2P2/4R2P/2P1Q1P1/5R1K w - -,g2g4
8/2k5/2p4p/1p5P/6pq/4R1N1/5K2/8 b - -,b5b4
8/R7/3k2pp/p4p2/2P5/r1bNP1P1/5P1P/5K2 b - -,c3b4
1r2r1k1/4Bpp1/6bp/1Pp1n3/4p1P1/1Nn1P2P/4BP2/R3K1R1 w Q -,e7c5
r4rk1/1pbb2q1/p1n1pp2/7p/2NPQ1pP/P5P1/1P2NKP1/2R2B1R w - -,e2f4
8/5pk1/3p1n2/2pPq2p/1r2P1p1/5P1P/1P1Q2P1/3NR1K1 w - -,h3h4
5bk1/pr3p2/1B2p1pp/3P4/2p5/P4P1P/1K4P1/2R1N3 w - -,c1c4
5r2/3rq1k1/p3bp2/1p1B2p1/3QP2p/P1R4P/1P4P1/2R3K1 b - -,e6d5
8/1p6/3q1p1k/5Qp1/6Pp/1P2P3/P4PK1/8 w - -,a2a4
r1bqk2r/pppn1ppp/4pn2/8/1bpP4/2N2NP1/PPQ1PPBP/R1B1K2R w KQkq -,e1g1
1r4k1/5pp1/3q3p/3P4/1pQR4/6PP/1P3P2/5K2 b - -,g8h7
r1br2k1/p1qn1p1p/1ppbpnp1/3pN3/3P1P2/3BP2R/PPPN2PP/R1B1Q1K1 w - -,e1h4
1n1r2k1/p4r1p/1p1Bp1p1/2pp4/5PP1/1P1PP2P/P7/2R2RK1 w - -,d6b8
r2q2k1/1p1bppbp/p2p2p1/3P4/P2NP3/1P2BP2/3QK1PP/2R5 b - -,a8c8
7R/8/8/5k2/8/5K2/r6p/8 b - -,a2a3
4n3/4k3/1p2p1p1/p2p3p/1n1P1PPP/1P3P2/1P1KB2B/8 b - -,e7f7
1r1qr1k1/1bnnbppp/p2p4/N2Pp3/1P2P1P1/3B1N1P/3Q1P1B/R4RK1 b - -,d7b6
r4rk1/1p1q1pp1/2nb1n1p/p1p2b2/2Pp4/PP1P1NPP/1BN2PB1/R2QR1K1 w - -,g1h2
r1r3k1/4bppp/p1q1p3/n1p5/1pP5/3P1NP1/PBQ1PP1P/2RR2K1 b - -,a5b7
6k1/7p/p2N1rp1/1pp1p3/8/1P1n4/P5PP/R6K w - -,d6e4
r1b1k2r/3n1ppp/1pn1p3/3pP3/pq1P1P2/3B1N2/PP1QN1PP/R3K2R b KQkq -,c8a6
1q2r1k1/3b1pbp/pn1p2p1/1p1Pp3/4P3/3QB1PP/PP1N1PB1/2R3K1 w - -,d3a3
r2r2k1/Nb3ppp/pP2p3/8/PPnN3b/2P1P3/4B1qP/R1K2Q1R b - -,c4b6
8/6pp/r2pk3/5p2/pR1R4/P3PK1P/1Pr3P1/8 w - -,b4b7
rq4k1/6p1/4pp1p/2Rp4/2bP2N1/1P4PP/2Q2P2/6K1 b - -,b8b3
3rr1k1/2p2q1p/1pP3p1/3ppn2/pP6/P5P1/Q2NPPKP/2RR4 w - -,d2f3
5Q2/7p/6k1/2p2p2/3q4/P5P1/4r2P/5R1K b - -,d4e4
6k1/p4p2/2p1p2p/2P1PP2/4P1K1/P7/7P/8 w - -,g4h4
6k1/5pp1/1n5p/3P4/7P/Bp4P1/5P2/5K2 b - -,b6c4
r5k1/p7/1p1n4/4N1PP/2pn4/3p4/PP3PK1/3R4 b - -,d4e6
8/p4rpp/3Pkp2/R3p3/P7/8/5PPP/6K1 w - -,a5a6
2r1kb1r/3q1p1p/1Qn1p1b1/1B1pP1B1/3P2P1/2N2P2/PP1N1K1P/R7 b k -,f8e7
3r2k1/7p/6p1/p3pp2/P1b5/2b1BBP1/2P2P1P/1R4K1 w - e6,b1d1
8/pp2kP2/7p/2p5/7R/PK4B1/1P6/r4r2 b - -,f1f3
6k1/2r3pp/p4p2/1p1r4/4N3/P1P5/1n1pR1PP/3R2K1 w - -,d1d2
3r2k1/q1rn1ppb/2p1p3/p1N5/P1PPB1P1/4Q3/1R3P2/3R2K1 w - -,e4h7
3r1k2/1ppr2p1/Pn3b2/3Pp2K/4Pp2/P2B4/1B2NP1P/2R3n1 w - -,e2g1
4n3/pb2kpp1/1p2p2p/2b5/2P5/1P1N1P2/PBB3PP/5K2 b - -,c5d6
2r5/pp1bp1kp/5pp1/n2P4/4P3/3BKN2/P4PPP/7R w - -,h2h4
1rbq1rk1/4nppp/p2p1N2/1p2p3/4P2P/2P5/PPN2PP1/R2QKB1R b KQ -,g7f6
r2qr1k1/pp3pp1/n1p2n1p/3p1b2/1b1P4/P1N1PPP1/1P1BN1BP/R2Q1RK1 b - -,b4f8
2r3k1/p2b1ppp/4pn2/8/5P2/4BBP1/Pr2P2P/R2R2K1 w - -,e3d4
rn1q1rk1/pp2bppp/2p2n2/3pN1B1/3P2b1/2N1P3/PPQ2PPP/R3KB1R b KQ -,g4h5
8/p7/P1n5/8/1P1p4/1K2k3/8/8 b - -,d4d3
r2R2k1/2q1bp2/p1p2np1/1p2p2p/P3P3/1PB2BPP/2P1QPK1/R7 b - -,a8d8
7R/pp6/2n1kr1p/4p3/8/5N1P/PP2PP2/6K1 b - -,e6d5
5k2/1pp1rp1r/p1bp4/P4PQp/2P1P3/3P4/1PB4K/8 b - -,h5h4
r4r2/pbqnp1k1/5p2/1Pp3p1/P1N1p2p/1NQ1P3/2P2PPP/R2R2K1 b - -,g5g4
8/1p2ppkp/5b2/1P2B1p1/P3R1P1/5Q2/3qPPKP/3r4 b - -,d2c1
8/Rb1r1pk1/2p1p1pp/1pP1P3/1P1PB1PP/2K5/8/8 b - -,g7f8
3rr1k1/p2q1pb1/B1p3pp/n3p3/5n2/BPN2Q2/P1PP1PPP/R3R1K1 b - -,f7f5
3r2k1/p1q2rpp/1p2Qb2/8/2pP4/B1P3P1/P6P/2R2RK1 b - -,h7h6
r1b2rk1/1pb1qp2/2p1p1pp/p7/3PP3/5N2/PPQ2PPP/1B1R1RK1 w - -,e4e5
r1bk4/1pqnbrpp/p4n2/6B1/2BN4/8/PPP2PPP/2KR3R w - -,d4e6
r3r1k1/1p1qn1b1/p1n1p1p1/2pp1pBp/4P2Q/P1NP1R2/BPP3PP/1R4K1 b - -,f5e4
8/2p3rk/PQ4p1/3B4/1P2P3/6P1/5PK1/8 b - -,c7b6
r2qr1k1/ppp2pb1/1nnp3p/5bp1/2PP4/2N2NBP/PP1QBPP1/2R1R1K1 b - -,d8f6
8/8/8/5p2/2Rrk3/8/8/4K3 w - -,c4d4
8/pp2p2p/4k3/4p1pb/1P2P3/4K1R1/8/8 w - -,g3g5
2k5/pp3p2/2p1pp2/4n3/4B2r/2P3K1/P1P2P2/4R3 b - -,h4g4
2r1kb1r/pp1qpp1p/2np1np1/8/4P3/5N2/PPP1QPPP/RNBR2K1 b k -,d7c7
7r/pB2kppp/4pn2/8/P1P3PP/b3KP2/8/R6R b - -,a3c5
8/pp1k1p2/3p2p1/b2K2Pp/3PP2P/1P1N1P2/P7/8 w - -,b3b4
bn3rk1/4bppp/1q3n2/1ppPN3/2p5/1PN1B1P1/5PBP/3Q1RK1 b - -,e7d6
r1b2rk1/2q4p/p1nppbp1/5P2/1p2B3/PN2B1Q1/1PP3PP/4RRK1 b - -,f6e5
8/8/1p2n3/1Rb5/3k1p2/5P2/4K1P1/8 w - -,b5b1
3b2k1/p5pp/2bp4/8/2P5/1P2R3/PB3PrP/3R1K2 b - -,d8h4
2b5/2r3rk/p3p1qb/2N1Pp2/1pR4p/1P3Q2/P3NPPP/4R1K1 w - -,g2g3
4rbk1/7p/Q5p1/1R2Pp2/2pr1P2/q4BP1/7P/5R1K w - -,f3d5
8/1R3pk1/7p/4PK2/5PP1/8/8/7r b - -,h1e1
2rq1rk1/1p3pbp/p1bpp1p1/6Pn/P3PP2/1NNQB2P/1PP5/R4RK1 w - -,b3d4
r1q1r1k1/pb1nppbp/1p3npB/2pp4/2P5/P1NP1NP1/1P2PPBP/1RQ2RK1 w - -,h6g7
