8/p1r1R2p/1k4pP/1p6/8/6P1/P4PK1/8 w - -,e7c7
2rq1r1k/ppnbb1pp/2n2p2/2p1p3/8/2NPB1P1/PP1NPPBP/2RQ1RK1 w - -,a2a3
8/8/8/1pNKP1kP/8/2r5/8/8 b - -,b5b4
5k2/1p3p1p/2p3p1/2Pr4/1P6/3n1P2/2N3PP/3R1K2 b - -,d3b4
2q3k1/1p2Rp2/p4Pp1/P1Pb4/1P3Q2/8/6PK/8 w - -,f4d6
r1bqr1k1/1pp2pbp/3pnnp1/p3p3/1PP5/P1NPP1P1/3N1PBP/1RBQ1RK1 b - b3,a5b4
1nbq1rk1/r4p1p/p1p1p1pb/3pP3/1P1P4/1NPB1PPN/4Q2P/R3R2K b - -,f7f6
r2qr1k1/ppbn1pp1/2p1pn1p/8/1PBP4/P1N1P2P/3B1PP1/2RQ1RK1 b - -,d7b6
1r4k1/5pb1/b1p1r1p1/p1q4p/2P1PB2/2P4P/P1Q2NP1/R2R2K1 b - -,b8e8
r4r1k/3b2pp/p3p3/3pPp1P/1q1P1Q1b/1n1B2R1/1P2NPP1/3R1K2 w - -,f4h4
6k1/1q4pp/p2Qp1p1/1p1b1rP1/3P3P/P1P1RP2/1P1N4/6K1 b - -,h7h6
8/8/8/p1k1r2p/6p1/2KB2P1/5P2/8 b - -,e5e6
n7/Pk5p/8/5N2/4pP2/8/6KP/8 w - -,g2f2
r5k1/3qnp2/1r4pQ/3pP2p/p2P1p2/8/3N1PPP/R1R3K1 w - -,a1a3
1q2rnk1/pb3pbp/3p2p1/6B1/N2P4/1PQ2N1P/P4PP1/2R3K1 b - -,f8e6
2r2r2/4R2k/2p2n1p/p4P2/2P4P/P6B/5P2/3R3K b - -,h7h8
r1bq1rk1/ppp2pbp/2np1np1/4p3/2PPP3/2N2N2/PP2BPPP/R1BQ1RK1 w - e6,d4d5
5nr1/p3b1pk/1p2p2p/2p1Pq2/2P1NP2/3r4/PP4QP/2B2RRK b - -,f8g6
1k4r1/1p5p/p2b2r1/2qQ4/2p5/2P1N1P1/PP4NP/5R1K w - -,d5c5
r1bqnrk1/p1p1ppbp/2p3p1/8/2BP4/2N5/PPP2PPP/R1BQ1RK1 w - -,c3e2
8/7p/1p6/p2bk1K1/8/P5P1/B7/8 w - -,a2b1
2rqk2r/p2nbppp/Ppnp4/2pB4/Q7/2P2b2/1P1P1PPP/RNB2RK1 w k -,d5f3
2k1r3/pp1r1ppp/n3q3/2pN4/1PP5/P4Q1P/5PP1/R4RK1 w - -,a1b1
8/8/5k2/3pbB2/3n2PP/4K3/5B2/8 w - -,f5c8
6k1/6p1/Q2bq3/7p/2N2p2/1P1p1b1P/P5P1/2B2K2 w - -,g2f3
6k1/1p3pp1/p6p/Pr6/1P1p4/3P1P1P/2P2P2/1R4K1 b - -,g8h7
2r5/1p2pk1r/p2n1p2/4p2P/2P5/8/PKP1B3/6RR w - -,b2b3
4rnk1/1p3ppp/3q4/1PpN1b2/2NPp3/r3P3/2Q2PPP/1R3RK1 b - -,d6d5
6r1/4p3/p2Rk3/2R1p3/1P2P1Pp/PK6/6P1/8 b - -,e7d6
r4rk1/p2qppbp/1pbp1np1/8/2P5/1P4P1/PB1NPPBP/R2Q1RK1 w - -,g2c6
r2q1rk1/1p1b1ppp/p2b1n2/3P4/3p4/1P1B1N1P/P1QB1PP1/3R1RK1 b - -,a8c8
8/7R/8/p1k5/P2p2p1/2r1n1P1/4PKBP/8 b - -,c5b4
r2bqrk1/1b1n1p1p/2n1p1pP/3pP1N1/pppP2Q1/4B1P1/PPP2PBN/R3R1K1 w - -,g2h3
7k/p1b1rp1p/8/8/3N2Q1/P4BPK/1q5P/8 b - -,c7d8
r3k2r/2p2p1p/bnp1q1p1/p2PP3/1b2QP2/1PNB4/P2B2PP/R3K2R b KQkq -,c6d5
1br3k1/p3qppp/1p6/1Q1p4/8/1P2PN2/P4PPP/3R2K1 w - -,b5d5
8/4kp2/B5p1/Pp6/1KnRP3/2N5/8/7r b - -,h1a1
6k1/p4pb1/1p2p1p1/3nP3/3rNPP1/P4QB1/1Pq3BK/8 w - -,e4g5
Q2qkr2/5p1p/p7/2pPP3/2p5/1P2P2P/P4KP1/n4B1R w - -,a8d8
8/6k1/8/p4pp1/2p5/2Pn1PKP/PR4P1/5N2 b - -,d3b2
rnbqk2r/ppb1nppp/4p3/1N1pP3/3p1P2/P4N2/1PPB2PP/R2QKB1R b KQkq -,b8c6
1r1nq2r/k3npp1/4p2p/pp1pP2P/b1pP4/P1P1NQPB/1RPB1P1K/6R1 b - -,e8g8
3r1b1r/p4kp1/1n1B1p2/1p1p1N1p/2pP3P/2P5/PP2RPP1/3K3R w - -,d6f8
3rk2r/1pp1bppp/4b3/pP2Pn2/2PB4/P3PNP1/3Nn2P/R3K2R w KQk -,e1e2
r5k1/1Q3pp1/3Npn1p/q7/3P4/4P1P1/5PKP/2R5 b - -,a5d5
6k1/2b4p/R5pB/2r1np2/1P2B3/6P1/P4P1P/6K1 b - -,c5b5
6k1/2p2pp1/7r/rp2P1Q1/2bq1P2/P5B1/6PP/R3R2K b - -,h6g6
2r5/b7/b2p1pkp/P1p1p3/2P1P1P1/2N4P/3N1K2/1R6 b - -,h6h5
r1r3k1/qppb1pbn/3p2p1/2nPp1Pp/p1P1P2P/2NNBP2/PP1QB3/1K1R3R b - -,h7f8
1r6/2p3k1/2Pp1b2/pp1P1B2/4R3/P7/KP5P/8 b - -,b5b4
r5k1/2qb3p/3b2p1/1p1P1p2/1Pp5/2P2Q1P/2B2PP1/4RNK1 b - -,a8a3
4r1r1/pp2k3/2pq1npQ/2N2p2/3P4/4PR1P/PP4P1/1R5K b - -,b7b6
3q2k1/1p2b1np/p2p2p1/2pPp1P1/4P2P/1PP3N1/P2Q1NK1/8 w - -,f2g4
r3r1k1/p5q1/5p2/2Bpp2Q/3P3P/3b2P1/5P1K/2R5 b - -,g7g6
8/8/8/7R/6pP/4p1r1/8/5K1k w - -,h5g5
1rb2r1k/ppq2pp1/2pN3p/4n3/1P1R4/P3P1P1/2Q1BPP1/5RK1 w - -,c2c5
r3br2/3n1pkp/p5p1/1qpPN3/1p2P3/1P2Q2P/4BPP1/2RR2K1 b - -,b5b6
b3Bn2/4bpk1/4p1p1/7r/2pPPB1p/2P2P1P/4N1P1/1R4K1 b - -,h5a5
8/kp6/3r4/PR1Pppn1/6B1/4P2p/5K1P/8 w - -,g4f5
2rq1rk1/1b2pp1p/p5p1/2R5/3b4/1B1n1P1P/PP3BP1/3QRNK1 w - -,f2d4
8/p1r3p1/1p1k2p1/3p4/3P1KP1/PRr2P2/8/1R6 w - -,f4g5
4NQ2/5p1p/p3p1p1/4P2k/2P2P2/7P/q5r1/3R3K w - -,e8f6
r1bq1rk1/pp2p1b1/2np3p/2p3p1/2P3n1/P1NP1NP1/1P2PPB1/1RBQK2R w K -,c3e4
r5k1/6p1/4b2p/pBrp4/4p2P/1P6/PKP3P1/3RR3 w - -,c2c4
8/3kb3/6R1/6P1/8/5K2/r4B2/8 w - -,f2e3
r1r2k2/1p2bpp1/2n1pn1p/PBp5/2Pp4/1N3PBP/1P3PP1/R3R1K1 b - -,c6b4
4r3/p7/1b3pp1/2pr3p/2pP1B1P/PkP3P1/1PR5/1KR5 w - -,d4c5
r5k1/1p3pbp/p5pn/4P3/8/7P/PPb3P1/R1BN1RK1 b - -,h6f5
r2q1rk1/3nbppp/b3pn2/p2p4/Pp1P1B2/2N3P1/1PQNPPBP/R2R2K1 w - -,c3b5
3r1R2/1P6/5kq1/pB2p1b1/P5b1/2P2pP1/1P6/R3K2Q b Q -,d8f8
4r1k1/5pp1/7p/5q2/1p2r2P/1Pp1R1P1/P4P2/4RQK1 b - -,e4e3
r2qr1k1/pppbbppp/3p1n2/8/3NPB2/2NQ4/PPP2PPP/3R1RK1 w - -,h2h3
rnbq1rk1/p3bppp/1pp5/3p2B1/Q2Pn3/2NBPN2/PP3PPP/R3K2R w KQ -,g5e7
2rq1rk1/p2bbppp/n3pn2/4N3/3P4/2N5/1P2QPPP/R1BR2K1 w - -,a1a6
5rk1/5p2/R5p1/1p5p/2b5/8/5PPP/4R1K1 w - h6,a6b6
r1b1k2r/pp2ppbp/n1p3p1/q7/2QP3B/2P1PN2/P3BPPP/R3K2R b KQkq -,c8e6
5k2/p1R2p1p/4r1p1/2b5/8/5K2/PB3PPP/8 b - -,c5b6
5b2/5k2/2r2p2/R5p1/3N4/7P/5PPK/8 b - -,c6c4
7r/7r/p2kp3/3p2RP/3P2N1/2Pb4/PP6/2K4R b - -,h7f7
3r1r2/p6p/1p2p1k1/2p2pp1/2Pq2P1/3P2NP/PP1Q1P2/3R2K1 w - -,d2e2
1n6/8/p7/1p2r1k1/1P2B2p/2P3pP/2K3P1/5R2 w - -,c2d3
2kr1b1r/ppp2pp1/1q5p/7n/2B5/2NP1Q2/PPP3PP/R1B3K1 w - -,g1h1
8/p7/4k3/1R6/6Kp/r7/6PP/8 b - -,a3a4
2br1rk1/bpp1qp2/p1n2N1p/3pp1p1/4P2B/2PP1N1P/PPB1QPP1/R3K2R b KQ -,e7f6
2r3k1/B4ppp/b1B5/4N3/1p6/1P4P1/P1r1nP1P/4R1K1 w - -,e1e2
3rr3/pp3k1n/6p1/1P1Np1Pp/2P1P1bP/3P4/5QB1/7K b - -,f7g7
