8/8/5b2/3K1kp1/2RN1p2/8/8/8 b - -,f5g4
8/p4k1p/2bbnpp1/B1pNp3/2P1P2P/3B1P2/P4KP1/8 b - -,d6b8
r7/8/8/8/5p1N/2k3p1/4B1P1/4K3 b - -,a8a1:a8h8
R7/p1r3k1/1p2b2p/4ppp1/1nP5/2N2P2/PP1K2PP/1B6 w - -,a2a3
8/7p/1k6/PN3p2/1P3K1P/1r3N2/8/8 b - -,b6b7
r2qr1k1/p1p2ppp/1pn2n2/3bp3/8/P2P1NP1/PBQ1PPBP/R4RK1 b - -,c6d4
r4bk1/pp1r3p/3p1nn1/P2Pp3/4Ppp1/2NN1P2/1P3BPP/R1R3K1 b - -,a7a6
1r6/3p4/1p1Np3/2n1k1p1/p1P2p2/Pr3P1P/1P1R1KP1/3R4 w - -,d1e1
6k1/pb3pp1/1p1b3p/4p3/6qP/1PB1PNP1/P3BP2/2R3K1 w - -,f3d4
r3r3/1p1q1kp1/2p2p2/3p4/p2P2b1/P1Q1PPN1/1P4P1/3RR1K1 b - -,d7d6
3rk2r/pp1nppb1/2p1n2p/4P1p1/3PN1B1/6P1/PPP1KB1P/R6R b k -,d7f8
2r5/3b2p1/rqp2nkp/p1Rp1p2/P2NpP2/1PQ1P2P/1BKP2P1/2R5 b - -,g6h7
r4rk1/1bp3pp/3pp3/p1p1P3/2P1P1Q1/PPN4P/6BK/R1B1q3 b - -,e1c3
8/8/p7/4k3/1P6/P1pBr3/2K1N3/4b3 w - -,d3a6
2k5/1pp2pp1/pq1p1b1p/8/P1n2PP1/1PP2Q1P/2P3B1/1KBr4 w - -,f3d1
r3k2r/pp1nqpbp/2p1p1p1/3pP1N1/Pn1P1P2/2N4Q/1PP3PP/R1B2RK1 w kq -,f1f2
1r4k1/p1p2rpp/3p1n2/1q1Pp1R1/2Q1P2P/P1B2P2/1P3P2/2K3R1 w - -,c4b5
1r1nqb1k/2r4p/2ppnpp1/1p2p3/1P1PP3/1BP2NPP/4QPK1/R1BR4 b - -,d8f7
r3kb1r/pppqpnpp/2n2p2/2Np4/1P1P2b1/2P2NP1/P3PP1P/R1BQKB1R b KQkq -,d7c8
r3kb1r/pp1bnppp/4p3/q2pP3/8/1P1B1N2/P4PPP/R1BQ1RK1 w kq -,c1d2
rn2r3/p4k2/3p2pp/2p5/4q3/7P/P2B1PP1/R2Q1RK1 w - -,f1e1
2r2rk1/3nb1pp/2qp4/1p1Rpp2/p3P3/P3BP2/1PPNQ1PP/2R3K1 b - -,c8b8
r1b1rbk1/1pnn1p1p/2p3p1/q3p3/p1P2P2/P1N1B1PP/1P2NQ2/3RRBK1 w - -,d1d7
rn1qkb1r/1b1p1ppp/p3pn2/1pp5/4P3/2NP2P1/PPP1NPBP/R1BQ1RK1 b kq -,b5b4:f8e7:d7d6
8/8/p2r1n2/3p1kpp/P2Pp3/1PK1B2P/2N2P2/8 w - -,b3b4
rnbq1rk1/pp1p1pp1/4pn1p/2p3B1/1bPP4/2N2N2/PP2PPPP/2RQKB1R w K -,g5h4
r4rk1/1bq4p/p3ppp1/1pP1bnB1/4N3/P2B4/1PP3PP/R3QR1K w - -,g5h4
r5k1/5ppp/1pb2q2/pN6/PBP1pP2/4P3/4Q1PP/1R4K1 b - -,a5b4
6r1/3k4/r2p4/3Rp1pp/1P2Pp2/7P/3R1KP1/8 b - -,d7e6
r1r3k1/1p2ppbp/p1b3p1/3n2N1/3P2P1/4P1BP/1P1KBP2/R1R5 b - -,h7h6
2rqk3/4bpp1/p1n1p1nr/1p1pP1p1/1P1P2P1/P1RQBN1P/4NPK1/R7 b - -,f7f6
3rr1k1/pp3p1p/6p1/2n5/8/P3P3/1B1R1P1P/R6K w - -,d2d8
2kr3r/pb5p/P2p1p2/1ppn1p2/2q2B2/2P4P/3QN1P1/3RR1K1 b - -,b7c6
r2qrnk1/1bp2ppp/pp1b1n2/3p4/1P1P4/P1NBP2N/1B3PPP/R2Q1R1K b - -,b7c8
4n3/2p2rkp/3p1nb1/3Pp1B1/2R1Pp2/2N2B2/P5PP/6K1 b - -,f6d7
1r1q1r1k/2b3pp/2n3b1/p2p4/5pP1/1PPn1N1P/Q3RPB1/R1B2NK1 w - -,c1a3
5B2/6p1/4k2p/8/2P4P/1P3KP1/8/1r6 b - -,b1f1
8/1pr3k1/p4pq1/P1pB3R/4P1Q1/1P1pK2P/1b3P2/8 b - -,b2d4
5rk1/4R1pp/5p2/1pB5/8/1P4P1/1b3P1P/6K1 b - -,f8b8
7k/4q3/4pp1p/p2p3P/3P4/2b3P1/P1B1QPK1/8 w - -,e2e3
2rq1rk1/pp2bppp/2n1p1b1/P2pP3/3P4/1B6/1P1BQPPP/R3NRK1 w - -,e2e3
3r3k/1B1rNppp/1p1Bp3/1P6/1P6/6P1/P4b1P/5R1K b - -,d7b7
8/3r1p2/kp1ppb1p/pN6/2P1PP2/3KN3/7P/1R6 w - -,d3c2
r3kb1r/pppq1pp1/3p4/3Pn3/4n2p/1PN1P3/PBP2PPP/R2Q1RK1 w kq -,c3e4
b1rqr1k1/6p1/p3p2p/np1nNp1Q/8/P3B3/BP3PPP/3RR1K1 b - -,d8f6
4r3/1B1b4/p7/5pk1/2P5/6B1/7K/8 b - -,d7c8
1r5k/pp1q2bp/5r2/3Bpp1Q/1RP5/3PP3/P6P/5R1K b - -,b7b6
8/3n4/3k2pp/4p3/1P2K1P1/2N4P/8/8 w - -,c3d5
8/3K2pk/R7/P6P/6r1/8/8/8 w - -,a6g6
4B3/p7/1p3kp1/3P1p2/1PPp2p1/P5P1/5Prr/3K1R2 w - -,d1e2
1Q6/8/5pk1/8/6p1/6P1/8/3q2K1 w - -,g1g2
1r2kb1r/pqppnp1p/b5p1/2p1P3/2P5/1Q3N2/PP1B1PPP/R2K1B1R w k -,b3b7
5rk1/2p2ppp/2n5/1p2p3/3qPP2/1RnPN1PP/2P2KB1/4Q3 b - -,b5b4
3r3r/kb2bp2/1p2P2p/p2p1B2/Pn1R4/1N4B1/5PPP/1R4K1 w - -,e6f7
r4r1k/1p1q2bp/5pp1/p1p1p3/P7/1BNP2P1/1P1BPP1P/1R2NRK1 b - -,f6f5
r1br2k1/1p2bppp/1q2pn2/4n3/p2NP3/P1B3P1/1PN2PBP/2RQ1RK1 b - -,e7c5
2r3k1/1p2rppp/p2p4/8/P2QP3/1NN5/1PP4q/3KR3 b - -,b7b5
r4r1k/pp2q1np/2p1b1p1/8/2pPPP1P/2N5/PPQ1N3/1K4RR w - -,g1g5
2r2k2/5p1p/4p3/3p4/5Q2/4R2P/P5P1/2q3K1 w - -,g1f2
1r2qr1k/p3b2p/1pQ2pp1/1N2Pn2/5P2/6P1/PP3B1P/2RR2K1 b - -,f6e5
2rq1rk1/1b1n1ppp/pp2pn2/3pN3/N2P4/6P1/PP1QPPBP/R1R3K1 w - -,d2b4
6k1/p4pp1/4p2p/2Nb4/P7/5PP1/1r2n1BP/R6K b - -,e2d4
r5k1/pppb4/4p2p/3pn3/r6B/P1P2P1R/2P1B1P1/2KR4 w - -,h4f6
5r1k/3R2pp/1p3b2/8/8/1P4P1/r1N2PBP/4R1K1 b - -,a2c2
3k4/3n1p1p/p3p1p1/4P3/8/b1B2N1P/4KPP1/8 b - -,a3e7
rn1qkbnr/pp2pppp/2p1b3/8/2pP4/4PN2/PP3PPP/RNBQKB1R w KQkq -,f1e2:d1c2:b1d2:a2a4:b1c3
7r/p4kp1/Pp2qp2/3p1P1n/1NnPr3/2P1p1B1/2Q1P2P/R5RK b - -,e6f5
r2qk2r/pp1nppbp/3p1np1/2p5/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq -,d1e2:f1e1
r1b1k2r/pp3p2/4p2n/3pP1Np/2pq3P/P5P1/4RPQ1/4R1K1 w kq -,g2f3
2r3k1/3p3p/p3p2r/2n1Ppp1/3N4/2P3P1/1Pb2R1P/R5K1 w - -,f2c2
2r5/1p1n4/p1b1pk2/P2p4/1P1N1P1P/2P5/1K3R2/7B w - -,h1f3
rnbqkb1r/pp4pp/2p1pn2/3p1p2/2PP4/5NP1/PP1NPP1P/R1BQKB1R w KQkq -,f1g2
3n2k1/p3b1pp/4p1n1/1p1pPp1P/2qP4/P2N1P2/1P3BP1/2NQ2K1 b - -,g6f8
r4r2/2pbq1k1/1p1p2pb/p1nPp2n/2P1P3/1P3PPN/P1Q1B2R/R4NBK b - -,f8h8
r1bqk2r/pp1n1pp1/5n1p/2pp4/1b1P3B/1QN2N2/PP2PPPP/R3KB1R w KQkq c6,d4c5
QQ6/3nkpp1/3p3p/2q1p3/B3P3/5P2/6PP/1Rr2K2 w - -,b1c1
r2q2k1/pp1bp1bp/1n1p2p1/1n6/8/1QN5/PP3PPP/R1B2RK1 b - -,g8h8
r1q2rk1/pb1nbpp1/4pn1p/2p5/NpNPPBP1/7P/PPQ2PB1/R2R2K1 b - -,c5d4
r1bq1rk1/pp2bpp1/2np1n1p/4p3/4PP2/1NN5/PPP1B1PP/R1BQ1R1K b - f3,a7a5
1r4k1/3b1ppp/2n2b2/3B4/8/5N2/1P3PPP/2B1R1K1 w - -,b2b3
8/8/8/4pk2/2R4P/4P3/2n2P1K/2r5 w - -,f2f3
r2q1rk1/pp2ppPp/n5p1/2p5/2bP1B2/2N2N2/PP3PPP/R3KB1R b KQ -,f8e8
r4rk1/ppqbppbp/2n3pn/2P5/3P4/3BPN2/PB1Q2PP/RN3RK1 w - -,b1a3
