8/8/8/8/3k2p1/p5K1/B7/8 b - -,d4c3
2r2rk1/2qnbppp/p2pbn2/1p2p3/4P3/1NN1BP2/PPPQB1PP/2RR2K1 w - b6,a2a4
r1b2rk1/ppp3qp/3pn3/5pp1/2P5/1P3NP1/PR2PPBP/3Q1RK1 w - -,b2d2
rq2k2r/1pN2pp1/p7/4nRp1/3bP3/6P1/PP4BP/R1Q4K b kq -,e8d7
3Q4/2n3k1/2P3p1/3pq2p/5p1P/6P1/5PB1/6K1 w - -,g3f4
r1bqr1k1/B2n3p/4pbp1/3p4/2P2P2/2N5/PP1Q2PP/2R1KB1R w K -,a7f2
2r3k1/4Rp2/5Bp1/3p3p/7P/5bP1/5P1K/8 b - -,c8b8
8/4Np1k/3p2pp/3P4/3bPP2/2n2KPP/r7/4R3 w - -,e7c6
3r4/1p1N1kq1/p2b2r1/P1pPp3/2B1Ppp1/5P2/1P2K1P1/3Q2RR b - -,d8d7
r2qr1k1/1p4bp/1np1pnp1/p7/P2pPP2/1PN2Q1P/2P1RBP1/4RBK1 w - -,e2d2
2q1k2r/1r2bppn/pp1p2n1/2pPp2p/P1P1P2P/2N2PPN/1P1B4/R2QK2R w KQk -,d1c2
rq2rnk1/1b3ppp/p1N5/3pPB2/1P5b/PP6/1B1NQ1PP/4RR1K b - -,b7c6
2r1r1k1/p2n1ppp/8/2pP2qn/N1Q5/4P1P1/P5BP/1R1R2K1 w - -,e3e4
8/3n1p2/p2p1k1p/n1pPp1p1/2P1PPP1/P2NK2P/3N4/8 w - -,f4f5
5k2/5pp1/1b5p/1PNp4/2nP4/r1NR2P1/2K5/8 b - -,a3a5
rn1q1rk1/p3ppbp/2p3p1/4P3/Pp1PQ3/2n2NP1/5PBP/R1B2RK1 w - -,e4h4
r1b1kb1r/pp2pp1p/2p2p2/q2n4/2B5/1P3PP1/PBPP3P/R2QK1NR b KQkq -,e7e5
r1r3k1/p1q1n1p1/5p2/R1P1p2p/1P6/4PP2/Q3B2P/3R3K b - -,g8h7
2r2rk1/pb2bppp/1p3q2/3P4/P7/3BB3/4QPPP/3R1RK1 b - a3,g7g6
6QR/1pk1qr2/p1b2p2/4p1b1/1P2P3/P1NP4/6P1/7K b - b3,c7b6
r1b2rk1/1p2q1pp/p1pN1p2/2Pnb3/2Bp3B/P7/1PQ2PPP/R2R2K1 b - -,e5d6
r3rbk1/1p3ppp/2npbn2/q1p5/4PP2/pP2BB2/P1PNN1PP/R2Q1R1K w - -,e3g1
4rrk1/ppp2p2/n1qp2bp/1N2b3/1PP2p2/P5BP/3QB1P1/2R1R1K1 w - -,e2f3
4R3/r7/8/4pp2/4b3/4k3/3R4/6K1 w - -,d2d1
6k1/5p1p/1p4p1/p2Bn3/2P3b1/1K2p1P1/3bP2P/R3R3 b - -,g8f8
3r1r1k/p1q2ppB/1p1b4/4p3/6bP/2P1RN2/PP2QPP1/1K5R w - -,h7c2
4r1k1/6pp/1qp5/1pb5/8/2Q1B3/1PP2PPP/R2r2K1 w - -,a1d1
8/2R3p1/4p1k1/4P2p/1b2KP2/8/7P/8 w - -,c7c6
8/1p3k1p/6p1/1P1pp3/2p1pn2/2N5/5P1P/3B1K2 w - -,c3a4
rn1q1rk1/pb2bppp/1p2pn2/3p4/2PP4/2NB1N1P/PP3PP1/R1BQ1RK1 w - d6,f3e5
8/6k1/1pR5/8/p1PK4/1r4P1/8/8 w - -,c4c5
2r3k1/1prb1p1p/p1nqp1p1/8/3PQ3/P2B1N1P/1P3PP1/2R2RK1 w - -,c1d1
8/1k6/3np3/1P2n1pp/8/3K2P1/4NB2/8 w - -,d3d4
2rq1r1k/pp2bpp1/4p2p/3n4/2N1B3/Pb1QP1B1/1P3PPP/2R2RK1 b - -,b3c4
7k/1p2n2p/p1Q3p1/4Pp2/P4P2/1P4N1/1b4KP/8 b - -,e7c6
7B/8/6b1/2kp3P/1pp3B1/2n5/2r2P2/4R1K1 b - -,g6d3
8/pr4k1/3p2r1/p1pPb2p/P1PpPpp1/1P1K1P1P/4B1PR/1R6 w - -,h3g4
3r2k1/1p3ppp/p1R2bq1/P7/3P1P2/2Q3P1/1P3B1P/4R1K1 b - -,b7c6
r1b1k2r/1pqnbp2/2n1p3/1BPp3p/pP1N1Pp1/2P5/P2N2PP/R1BQR1K1 b kq -,c6d4
4rr1k/6bp/pR3q2/2Pb3p/3p4/P2B1P2/5BP1/2QR2K1 b - -,f6f7
r4rk1/p4ppp/q1p2b2/3b4/2pP4/4B1P1/PPQ2PBP/R2R2K1 w - -,b2b3
8/2R5/1p1r2kp/p2p2r1/P5R1/1P2P3/4KP2/8 w - -,g4f4
q1r3k1/pb2bpp1/1p2pn1p/4N3/3P4/PB2BP2/1P1Q2PP/4R1K1 b - -,f6d5
1r1q3k/2n1b2p/ppQpP2P/2p1p1r1/P1N2p2/8/1PPB1P2/2KR2R1 b - -,g5g6
r2q1rk1/pb1pn1pp/4p3/7P/QP1Pnp2/P2BPN2/1B3PP1/2R1K2R w K -,h1h4
3rkb1r/Np1qpp1p/5np1/1B6/N2Pp3/1P3PP1/1P1B3P/2R1K2R b Kk -,e4f3
3r1rk1/p5p1/b1pp4/5q2/4N3/1P3P1p/P2Q2PP/3RR1K1 w - -,d2g5
2r3k1/5pp1/7p/1qNK4/1P1BQP2/4P1b1/r7/7R w - -,e4b1
5k2/p7/1p5p/3R4/1P1P2p1/P3K1P1/6r1/8 w - -,e3f4
3B4/1r5p/6p1/1P1kpp2/p7/6PP/8/1R5K w - -,b5b6
2r3k1/4qpBp/1p1p4/pPnP1p2/2P5/3P1N1P/2QNr1P1/R5K1 b - -,e7e3
r3kbnr/p2b1ppp/1q2p3/2ppP3/8/2PB4/PP3PPP/RNBQ1RK1 w kq -,d1e2
r3k2r/p1pb1ppp/2p5/2bpP3/3NnP2/2N1B3/PqP3PP/R2Q1RK1 w kq -,c3e4
r2q2rk/pp1n1pbp/4p3/2p1p1R1/5P1Q/2N2B2/PPP4P/R6K w - -,a1d1
2r1rk2/1q3p2/p1N1P3/P1b3Qp/1P4pP/6B1/5PP1/6K1 w - -,g5c5
3r1qk1/pp4p1/2b1Rn1p/3N4/1PpQ1N2/P6P/5PP1/6K1 w - -,e6f6
8/3k3p/8/3nK3/3N1P2/8/7P/8 b - -,d5b4
8/4kp2/6p1/p1K1P3/P2R1P2/8/1r6/8 w - -,c5d5
r1bqkb1r/5p1p/p1np4/1p1Npp2/4P3/N1P5/PP3PPP/R2QKB1R b KQkq -,f5e4:f8g7:f5f4
1r1q1rk1/5pbp/5np1/2p5/1p1nNP2/3P2P1/1PP2QBP/R1B2RK1 b - -,f6g4
rnbqkbnr/pp2pppp/2p5/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq -,g8f6:e7e6
5rk1/1p1b1ppp/pq1b1n2/2rP4/3N4/1P1B3P/PQ1B1PP1/3R1RK1 w - -,d4f3
2kr3r/ppp3p1/4p3/4B2p/nq6/4P2P/P2NBPP1/2R2RK1 b - -,c7c6
3q1rk1/pp2bppp/2bNp3/4P3/1PB2PP1/P7/1Q5P/3r1RK1 w - -,f1d1
2qr2k1/p1r1ppb1/1p4pp/3bN3/3P1P2/P1B1R2P/1P2Q1P1/4R1K1 w - -,g1h2
r7/ppp2Q1p/3q2pk/3r4/1P6/8/1P4PP/4RRK1 w - -,e1e7
2q1rbk1/3b1p2/r3nn1p/1p2pNp1/2p1P2P/N1P1B3/1PB1QPP1/R3R1K1 b - -,e6f4
rn1qk2r/pbp1bppp/1p2pn2/3p4/2PP4/P1N1PP2/1P2N1PP/R1BQKB1R w KQkq d6,c4d5
8/3B4/k7/2P3p1/8/4K1NP/6b1/8 b - -,a6b7
r1b2rk1/pp1nppbp/n2p2p1/q1pP4/2P1PP2/2N2N2/PP1BB1PP/R2Q1RK1 b - -,a5c7
rnbq1rk1/ppp1p1bp/3p1np1/5p2/2P1P3/2NP2P1/PP2NPBP/R1BQK2R b KQ -,b8c6
8/8/1p6/1P4n1/4p1k1/2P1K1p1/8/7Q w - -,c3c4
1rbq1rk1/4p1bp/p2p2p1/2pPnp2/1P2P3/P1N4P/3BBPP1/1RQ2RK1 b - -,c5b4
r4rk1/ppp2ppp/2n1pn2/3q4/3P4/2P1PN2/P3QPPP/R1B2RK1 w - -,a1b1
2q2rk1/Qp3ppp/4b3/3p4/4n3/1P4P1/PN2PPBP/5RK1 b - -,c8c2
r4rk1/1bpQ1pnp/1p4p1/p3p3/PP2P2q/2P1NP2/4BKPP/R2R4 w - -,f2g1
r5k1/p1n1pp1p/1pprn1p1/4N3/1P1P4/2P1B3/1P3PPP/R3R1K1 b - -,f7f6
rnbqk2r/1pp1bppp/p3pn2/6B1/2BP4/2N1P3/PP3PPP/R2QK1NR w KQkq -,g1f3
1rrn2k1/2Rqpp2/3p1bp1/1N6/1P2P2p/P5PP/3QBPK1/2R5 b - -,c8c7
r1bqnrk1/p5b1/1p1p2pp/4np2/2P1pB2/2N3PP/PP1QPPB1/2KR2NR w - -,d2d5
4Q3/1p4pk/p1p2r1p/3q4/8/PP1P2P1/2P4P/4R1K1 w - -,e8e4
3r1rk1/1b3ppp/pp6/2p1q3/1nP1PN2/1P4PP/P4QB1/3RR1K1 b - -,d8d1
