6k1/4R1P1/5K2/r5P1/8/8/8/8 b - -,a5a6
r2q3k/pp4pp/3pB1b1/2pPn3/2P1p2b/PKN1B3/1P1QN2P/5R2 w - -,e2f4
1rb2rk1/2qnbppp/p1npp3/2p5/2P1P3/1PN3P1/PB1N1PBP/R2QR1K1 w - -,f2f4
r4rk1/pp2bppp/4pnb1/PNq5/1nB1PB2/2N5/1P2QPPP/R2R2K1 w - -,f4e3
1k1rr3/1p1n1pp1/p1q1pb1p/8/4pP2/2N5/PPP1QBPP/1K1RR3 w - -,c3e4
8/p1k5/2p2p2/5Q1P/2Pp1b2/3P1Nq1/P7/5K2 w - -,f3d4
1n1r3r/p3qpk1/1p1Rp1pR/2p1P1P1/4BP2/7Q/PPP5/2K5 w - -,h6h8
r2qk2r/p1p1bpp1/2pp1n1p/4p3/2P5/1PNbP1P1/PB1PNP1P/R2Q1RK1 b kq -,f6h7
6k1/5ppp/4p3/1N6/4n3/6P1/5P1P/6K1 w - -,f2f3
4r1k1/5pp1/p7/3Qn3/1P5P/P5qP/B3R3/7K w - -,d5b3
r5k1/1p3p2/p2r1B1p/8/8/4RP1b/PP3P2/R5K1 w - -,f6e5
r2q1rk1/pp2ppbp/1n4p1/3n4/3P4/1BN2PB1/PP1Q1P1P/R3K2R b KQ -,d8d7
1rr5/p3ppkp/3n2p1/8/1p1P1P2/1R1BP3/P2K1P1P/1R6 b - -,a7a5
2r3k1/1p4pp/1br1p1p1/3pP3/Pp1P1P1P/1P1R1NP1/5K2/3R4 b - -,h7h6
2r1r1k1/2qn1pbp/1p4p1/2pPp2n/2P5/1QB2NP1/1P3PBP/R2R2K1 w - -,d5d6
r4r2/b1q1npk1/3p1p1p/1R2p3/2pP4/2P2N1P/1PB2PP1/2Q2RK1 b - -,a8b8
4R3/1p3rkp/p4bp1/8/3B2Pq/2Q4P/PP3P2/6K1 b - -,f6d4
6k1/2p2pp1/4b3/p3QRP1/7K/2P5/6q1/8 b - -,g7g6
r1b1k1nr/ppqp1pbp/6p1/3Pp3/2NpP3/8/P4PPP/1RBQKB1R w Kkq -,c1a3
8/2r4p/2P5/p3kp2/8/K7/P1R3PP/8 w - -,a3a4
3R4/5K1B/8/8/8/2k5/1p6/6r1 w - -,d8c8
rn1qk2r/pnp1ppb1/1p2P2p/3p4/3P3R/2PQBP2/PP4P1/RN2K1N1 w Qkq -,d3f5
r1b2r1k/1p4p1/2pb3q/p2p4/3PpP2/PB2P1N1/1P4QP/3RR1K1 w - -,b3c2
2rq1rk1/1p2ppbp/p4np1/Pb1nN3/3P2P1/1B3N1P/1P3P2/R1BQR1K1 b - -,e7e6
r3k3/1p3pp1/2pbp3/3nNbBr/p1PP3P/P7/BP1R4/2K2R2 b q c3,d5e7
3qrk2/4bpp1/2bp1n2/1p2pPB1/3pP2Q/1B1P1R2/1PP1N2P/6K1 w - -,h4h8
5rk1/4nppp/p1qNp3/4P2Q/8/2r5/P4PPP/3RR1K1 b - -,e7g6
8/5ppk/p5qp/8/1N1QB1nP/1P6/P4r2/K2R4 b - -,f7f5
r1b1k2r/pp3ppp/2n1pn2/2b5/2p5/5NP1/PP1NPPBP/R1BR2K1 b kq -,e8e7:c4c3:e6e5
5R2/k1p5/1n6/6p1/1q6/p5P1/6BP/5R1K w - -,f8f7
r1b1r1k1/ppq2pp1/2n2n1p/3p4/2PP4/P2B1N1P/5PP1/R1BQ1RK1 w - -,c1e3
3rr1k1/1p2ppb1/p4n2/1q1p1PNp/6pP/1P4B1/1PPQ1PP1/R4RK1 w - -,f1e1
r4rk1/1b3ppp/p1qbpB2/3p4/5PQ1/PP1pP3/3N2PP/R4RK1 b - -,g7g6
r1b1kbnr/1p1ppppp/p7/q7/2BnP3/4B3/P1PN1PPP/1R1Q1RK1 w kq -,e3d4
r1bq1rk1/pp1nppbp/B2p2p1/2p1P3/3P1P2/2N2N2/PPP3PP/R1BQ1RK1 b - -,c5d4
2k3rr/ppp1p3/2n1N3/3n1p1p/3b4/2P2PP1/PP5P/R1B1K2R w - -,e6d4
rn2k2r/1ppbqpb1/p2pp2p/6p1/3PPPn1/2N1B1P1/PPPQ3P/1K1R1BNR w kq -,e4e5
4k3/4p2p/2b1p1p1/2Pr4/pP1B1P2/P5P1/7P/3R2K1 w - -,d1d2
1r1q1rk1/p2bn1bp/3pp1p1/1pp2p2/3nPPP1/3PB3/PPPQNRBP/3N1RK1 b - -,f5g4
8/ppr1rpk1/5n1p/6p1/1Q1P4/3NnBqP/PP3RP1/2R3K1 w - -,c1c7
8/8/1R4p1/5pk1/8/1p1rrBP1/5RK1/8 w - -,b6b4
r1b1r1k1/p1qnbpnp/1p1p2pB/2pPp3/1PP1P3/P2B1PN1/3QN1PP/1RR3K1 w - -,d3c2
2qr4/2pb2bk/1p3ppp/pP1r1n2/Q3R3/B1P3P1/PN3P1P/4RBK1 b - -,c7c6
r2r2k1/5ppp/1qp5/4p3/2b5/P1B2P2/1PP2QPP/R3K2R b KQ -,c6c5
r1b2rk1/2pn1pp1/1p2pq1p/p1Pp4/8/PQ3NP1/1P2PPBP/RN3RK1 b - -,b6c5
4r1k1/5pp1/r4n1p/p2p4/R2P4/1R2PP2/5BPP/6K1 b - -,e8c8
rn2kb1r/4pppp/3p1n2/q1pP4/8/2N1P3/PP3PPP/R1BQK1NR w KQkq -,d1d3
3rr1k1/5p2/p3bqp1/1pb1p2p/2p1P3/P1P3PP/1PQ2PB1/3RRNK1 w - -,f1e3
r1bqkb1r/1pp2p1p/p2pn1p1/8/4P3/2NB2Q1/PPP2PPP/R1B1K2R w KQkq -,c1d2
r1b1k2r/ppqn1ppp/3bpn2/2pp4/3P4/3BPNB1/PPPNQPPP/R3K2R w KQkq -,c2c3
1n2r1k1/p5p1/3Q3p/2p1P3/2q5/5N2/P1P3PP/5RK1 w - -,f1b1
2k5/p1q1bp1r/1pp3pp/3r4/P4P2/1PB5/1P3QPP/R4R1K b - -,f7f5
r2r2k1/pp3qp1/7p/2P2p2/1P1n3Q/P2p3P/3B1PP1/R3R2K b - -,d8d7
r1b1k1nr/ppqnppbp/2pp2p1/8/2PPP3/2NB1N2/PP3PPP/R1BQK2R w KQkq -,e1g1
r2qkb1r/pp1n1ppp/2p5/4p2b/2Ppn3/3P1NPP/PP2PPB1/R1BQ1RK1 w kq -,d3e4
r1bq1rk1/pp1pppbp/2n3p1/2p2n2/2P5/2NPP1P1/PP2NPBP/R1BQK2R w KQ -,h2h4
2r1k2r/2q1bp2/3p2p1/2PRn2p/pp2PBP1/6QP/P1P5/1NK4R b k -,h5h4
3r2k1/p2r1pp1/4p3/5n1p/P2P4/2RqB1PP/5P2/2R3K1 w - -,c3d3
1rbr2k1/1p3ppp/p1n1pn2/2b5/2P5/4PNP1/PB1N1PBP/R4RK1 b - -,c8d7
8/3nbkpp/p2p1p2/3Np3/1B6/3b1P2/6PP/2R3K1 w - -,d5e7
3r4/8/1p6/p2kp1p1/8/P2K1P1P/1P4P1/2R5 w - -,d3e3
5rk1/p1p2pbp/1pnr1np1/4pP2/q3P3/1NP3PP/PP2Q1BK/R1B2R2 w - -,g3g4
Q7/1p1n2pk/4p2p/8/5p2/3q3P/6bK/4B3 w - -,h2g2
5r2/1bp1rpk1/1p1p2pp/pB1Pp3/P3Pn2/2P2N2/1P3PPP/R4RK1 w - -,g2g3
4rbk1/1bq2np1/pP1p2p1/8/P2pP2Q/2N1B2B/2P4P/5RK1 b - -,c7c3
r5k1/1p3qpp/1nr1p3/1Nbp1n2/p4B2/P2B1P2/1PP1Q1PP/1K1RR3 b - -,g8h8
8/1np2kp1/4p3/1P2N2p/1P3P1P/5KP1/8/8 b - -,f7e7
r2q1r2/1bpnn1bk/pp1pp1pp/5p2/P2PP3/2N1BP1P/1PPQB1PN/3RR1K1 b - -,d7f6
r5nk/pb2p3/1p1p2pp/2pPn3/2P1Pr2/2N1KPN1/PP2B1P1/R6R b - -,a8f8
r4rk1/ppnbq1pp/2nb1p2/2p5/5N2/1PN1P1P1/PB1P2BP/R2Q1RK1 w - -,a1c1
2r3k1/pp2n1b1/4Nr1p/2pPpp2/1P2P1n1/6Pb/P2BB1NP/R4RK1 w - -,d5d6
8/r1k2p1p/p2Rp3/P1P2p2/8/2n2P2/1P5P/6K1 w - -,b2c3
8/p7/1p6/1Pb5/Pk3p2/5Pp1/6K1/3B4 b - -,b4c3
1r1q1rk1/2n1ppbp/2pp1np1/P7/Np1PP3/5NPP/1P3PB1/R1B1QbK1 w - -,g2f1
r3kb1r/1bq2ppp/pn1ppn2/1p6/3NPPP1/P1NB4/1PPBQ2P/R3K2R w KQkq -,e1c1
5k2/2r2bp1/pn1q1p2/2p4Q/3p1PBP/BP3PP1/P7/4R1K1 w - -,h5h8
8/8/5k2/3B3R/4P2p/5K2/7r/8 w - -,f3g4
2r3k1/4qb1p/6p1/1P1p4/P1p1p3/2Q1P2P/R4PP1/1R4K1 b - -,c8b8
r1b2rk1/ppp1qpbn/3p1np1/3Pp2p/1P2P2P/2P1N1P1/P1BB1P1N/R2QR1K1 b - -,g8h8
3R4/1k6/1Pbb2p1/8/3r3p/6P1/5P2/1R4K1 w - -,d8h8
r4rk1/p1pq2pp/2p2p2/2QpPb2/5P2/2B5/PPP3PP/4RRK1 w - -,f1f3
4R3/1p3p1k/5Pp1/p2q3r/8/8/5Q2/6K1 w - -,e8e7
2r4k/8/b5p1/3p1p1p/2P5/bN2PP2/6PP/rBRR3K b - -,a3c1
3r3k/ppp3pp/8/2n5/8/4N3/PP3KPP/3R4 b - -,d8d1
2kr4/p1p1q1p1/1p2pn1r/5p2/2PPpPp1/1P2P1P1/PBQR3P/1K1R4 b - -,c8b7
r4rk1/1p4pp/2P4q/p2n2b1/2NPQ3/P4BPb/1B3R1P/4R1K1 b - -,b7c6
