8/8/5R2/5p1k/5P2/4PK2/r7/8 b - -,a2a5
rnbqkbnr/1p1p1ppp/p3p3/2p5/P3P3/2N5/1PPP1PPP/R1BQKBNR w KQkq -,f2f4:f1c4
4r1k1/p1q2rpp/1p1p1p2/2pP4/2P1PP1P/3Q2P1/P3R1K1/4R3 b - h3,f7e7
r1b2rk1/pp3pp1/7p/3pq3/6n1/3BP1N1/PPQ2PPP/2R1R1K1 b - -,c8e6
r2b1rk1/2p3n1/1pPp2nB/1N1Pp3/PR2PP2/8/3N2K1/5R2 b - -,e5f4
8/7k/8/4K1pP/p5b1/P3B3/8/8 w - -,e3g5
8/8/1p1k1p1p/pP2pPpP/P3P1P1/b7/2K5/B7 w - -,c2b3
q4rk1/p2b1pbp/1p3np1/2p5/2Pp1Bn1/QN1P3P/PP2PP2/R4RK1 w - -,h3g4
4b3/p3bkp1/1p2p2p/2p1q3/8/P1NQP1PB/1P3P1P/6K1 w - -,d3a6
3R2k1/6p1/p3r1n1/1p3p2/2p2P2/P1P2K2/1P3P1P/2N5 b - -,g8f7
8/2B3kp/2n2p2/5P2/n3P3/Pb2K1P1/1P4BP/8 w - -,e3d2
8/2Q1k3/4b3/8/7K/1r6/1p6/8 b - -,e7f6:e7e8
4r1k1/6q1/2p4p/2Pnp3/5R1P/6P1/1BB2P2/5QK1 b - -,d5f4
rn1q1rk1/pp1nppbp/2p3p1/P2pP3/3P2b1/2N2N2/1PP1BPPP/R1BQ1RK1 w - -,h2h3
r1b2rk1/pp4pp/1nnbpq2/5p2/3P4/3NBB2/PP2NPPP/R1Q2RK1 b - -,c8d7
1rb1kb1r/3n1pp1/pqn1p3/1pppP3/3P1P1P/P3BNN1/1PPQ4/R3KB1R b KQ h3,c5d4
1rbqrbk1/p6p/2p1npp1/1p2pN1n/3pP3/PP1P2PP/2P2PBN/R1BQ1RK1 b - -,b8b7
rnb1kb1r/4pp1p/2p3p1/qp1p4/P2P3B/2n1PN2/1P1Q1PPP/R3KB1R w KQkq -,b2c3
2k5/p3r3/1p1r1NR1/2p4p/P1P1K3/2B4P/5PP1/8 w - -,e4f5
2r4k/7p/3p1bp1/4p3/2N1Q3/3BP2P/q7/2K2R2 b - -,f6g5
1r6/1r2kppp/ppRRp3/4P3/2P1P3/1P4P1/P6P/6K1 w - -,g1f2
r1b1q2r/pp1kbNpp/2n1p3/1Bpp3Q/5B2/2P5/PP3PPP/R3K2R b KQ -,e7f6
r1bqr1k1/1pp2pb1/2np2pp/p3p3/1PP5/P1NP1NP1/4PPBP/1R1Q1RK1 w - -,b4b5
7R/k1p1q3/1n6/6p1/8/p5P1/6BP/5R1K w - -,h8f8
5bk1/B6p/4q3/4p3/5pB1/7P/P2n1PP1/6K1 w - -,g4e6
4r3/7k/p2pr1pp/2p1P2n/1pPb1PRP/3N4/P1P5/2KNR3 w - -,c1b1
rq3rk1/5ppp/p1P1pn2/3p4/3P1b2/2NBP3/1P3PPP/2RQ1RK1 b - -,f4h2
8/6pk/6Np/r6P/3K4/8/7R/8 b - -,a5a4
r2qr1k1/3n1p1p/p4bp1/3P4/1p6/1N1B1Q1P/PPP3P1/1K2R2R b - -,d7e5
r3kb1r/ppqn1pp1/2p1pnp1/3P4/2B5/2N5/PPPBQPPP/2KR3R b kq -,c6d5
8/1r1n4/2rkp1p1/R3p1Pp/R1p1P2P/1pP2P2/1P2K2B/8 w - -,h2g3
2r1k1r1/4bp2/p2p1p2/4pP1p/1p2P3/6N1/PPPR2PP/1K5R b - -,h5h4
8/6kp/1r2R1p1/3nBp2/8/7P/5PP1/6K1 b - -,g7f7
r4rk1/pp3ppb/1npbpq1p/8/3P3P/1BP3N1/PP3PP1/R1BQ1RK1 w - -,d1g4
4rrk1/pbqnbppp/1pn1p3/2ppP3/7P/2PP1NP1/PP1NQPB1/R1B1R1K1 w - -,d2f1
r1b2rk1/2qnbppp/pp1ppn2/8/2PNPP2/2NBB3/PP2Q1PP/R4RK1 w - -,a1d1
4r2k/p5pp/8/2b1BB2/5P2/4nKP1/4P2P/2R5 b - -,c5b6
r5k1/1p1n1p2/p1qpr1p1/P1p4p/R3PB2/1P3P1P/2P2QP1/3R3K b - -,b7b5
r7/6k1/1R6/8/6KP/8/8/8 w - -,b6b7:b6b5
1r3rk1/2qn1pbp/b1n1p1p1/1p1pP1B1/1P1P3P/2N3P1/3QNPB1/1R3RK1 b - -,d7b6
5bk1/5pp1/p3q2p/3pr3/Ppr5/3QB2P/1P2RPP1/4R1K1 w - -,e3a7
3r2k1/1p1q1r1p/p3bpp1/2bp4/3n1B1P/P1NP4/1P2NPPQ/3R1RK1 w - -,b2b4
R1b3r1/1pp2q1k/3p1n1b/3Pp1pp/1PP1Pp2/2N2P1P/5BP1/3BKQ2 w - -,c4c5
r2q1rk1/p4ppp/2p1p3/3p3R/6Q1/3P3P/PPP2PP1/R5K1 b - -,f7f5
1k1r3r/pppqbp1p/4b1pB/3pP3/PP1Q4/3P1N2/5PPP/R4RK1 b - -,h8g8
r1bqk2r/p1pnbppp/1p2pn2/8/3PNB2/3B1N2/PPP2PPP/R2QK2R w KQkq -,d1e2
r1b2rk1/ppp1qp1p/5np1/4p3/2P5/P1R1PN2/1PQ2PPP/1B2K2R w K -,f3d2
r1bqkbnr/2p3pp/p1pp1p2/4p3/3PP3/2N2N2/PPP2PPP/R1BQK2R b KQkq -,g7g6:g8e7
4Q3/r5k1/3q3p/3PnBp1/2P2pP1/pP1p3P/8/R6K w - -,f5e6
2kr4/ppp5/q7/3n4/1P1PQ3/P3P3/3K1R1b/7R b - -,a6a3
2r5/p1nqpk2/1p1r2p1/2p2p2/P7/2QPP1Pp/1P3P1P/3RR1KB w - -,b2b3
r1bk3r/pp5p/2n1p3/3pq1p1/1b6/2NB3Q/PP1B1PPP/R4K1R b - -,c8d7
r2qr1k1/pbp1bppp/1p2nn2/3p4/1P1P3B/PQNBPN2/5PPP/R4RK1 b - -,c7c6
8/p2b2k1/8/7n/3p3P/P5P1/2r5/1N2R1K1 b - -,d7c6
8/5kpp/4p3/p3p3/2P1P3/4b1P1/3pB2P/2rR3K w - a6,h1g2
r1bq1rk1/pp1nppbp/2p3p1/6B1/Q2PP3/2P2N2/P4PPP/R3KB1R w KQ -,a1c1
r1bqkbnr/pp2pppp/2np4/2p5/4PP2/3P4/PPP3PP/RNBQKBNR w KQkq -,g1f3
1r3rk1/1pq2ppp/p2p1b2/n2bp3/P3P3/5NP1/1PP1QPBP/3R1RK1 w - -,d1d5
2R5/1p2qpk1/3b1np1/1p2p2p/4P3/4P1PP/5P1K/3Q4 w - -,d1d3
2rr2k1/1b2pp1p/1n4pb/p7/1p4N1/P2B2BP/1PP2Kn1/R1N4R b - -,h6g7
8/4r3/8/8/5k1p/5pp1/3K1R1P/8 w - -,h2g3
rn1q1rk1/p4ppp/1p2pn2/3b4/1b1P4/2N2NP1/PPQ2PBP/R1B1K2R w KQ -,e1g1
2r1qrk1/1p1bppbp/p2p1np1/2n3B1/2PNP1P1/1PN4P/P2Q1PB1/R4RK1 w - -,a1e1
r3r1k1/6pp/8/p1np4/Pp2pB2/1Pb2PP1/4P1BP/1R3R1K w - -,f4d6
3rr3/1p3pkp/p4np1/2qp4/5Nb1/1P2PP2/PQ4PP/1B1RR2K b - -,g4c8
2R5/5pkp/B3pbp1/r2n4/1p3P2/6P1/P2R3P/6K1 w - -,a6c4
5rk1/pp1rppbp/n1p2np1/q7/1P1PP3/P1N1B1PP/5PB1/R2RQ1K1 b - b3,a5d8
r3r1k1/1pqn1p1p/2pb1np1/p2ppP2/6P1/1P1P3P/PBPN1PB1/R2QR1K1 w - a6,a2a3
8/8/8/8/8/6k1/3b2r1/1R4K1 w - -,g1f1
r2qr1k1/2p3np/1p1p2pb/p2Ppp2/4N1n1/1P1PP2P/PBQ2PP1/2R1RBK1 b - -,g4e3
1r6/r6p/3pk3/p1p3p1/R1RpP3/1P1K1P2/P5PP/8 b - -,b8b7
r3qrk1/2n1p1bp/3p2p1/p1pP1b2/2P2P2/2N1B2P/3Q2P1/1RRB2K1 w - -,b1a1
r4rk1/pbpnqppp/1p1ppn2/8/2PP4/P1B2NP1/1P2PPBP/R2Q1RK1 w - -,d4d5
8/4ppkp/3p2p1/3P2P1/4P2P/4R3/1r3PK1/8 b - h3,h7h5
3b4/5k2/1prp3p/p2Nppp1/P7/5P1P/3RK1PB/8 b - -,f7e6
4r1k1/Q4pp1/2p2b1p/2Np4/3P4/4PqP1/P2r1P1P/2R2RK1 w - -,a7a5
r1k5/p1p1n1p1/1pp1p1r1/7p/8/1P3N1P/P1P2PP1/3RR1K1 w - -,f3d4
8/8/1p1k4/p1n5/P4K2/8/2B5/8 b - -,d6d5
r7/2kbQp2/2p1pPp1/p6p/P2P3P/PrP5/5PPK/8 w - -,e7f7
2r1r1k1/p4pbp/bp4p1/2n1N3/2N1n3/1P4P1/PB3PBP/1R3RK1 w - -,g2e4
2r2k2/p2r1p1p/3P4/1RPK1R2/P7/2b3B1/6PP/8 w - -,c5c6
4r2k/1b2r1pp/p2R4/5p2/PpB2P2/1P6/1B5P/6K1 w - -,b2e5
r2q1rk1/4n1bp/1pp1bpp1/p1p1p3/P1N1P3/1P1PBN1P/2PQ1PP1/R3R1K1 b - -,d8c7
r2q1rk1/1ppbbppp/p2p4/4P3/Q7/2N1B3/PPP2PPP/3R1RK1 w - -,a4d4
4rrk1/pp4pp/3b1p2/6Pb/5N1P/5B2/PP2PP2/3R1RK1 b - -,h5f3
3qr1k1/2p1bpp1/p4n1p/1r1P2B1/2P5/4NQ1P/P4PP1/R3R1K1 b - -,b5a5
6k1/p2qnppp/1p2p3/2n5/2N5/1P2P2P/PB3PP1/3Q2K1 w - -,d1d7
