8/5p2/4n3/5kpp/1R1b4/6PP/5PK1/8 w - -,b4b7
r2qkb1r/pp1b1ppp/2n1pn2/2p1N3/2pP4/N5P1/PP2PPBP/R1BQ1RK1 b kq -,c5d4
4r3/8/p3q1k1/R2p1pp1/1BpPn2p/2P1P1P1/Q6P/6K1 b - -,e4f6
r1b2rk1/1pqnppbp/2p2np1/p2p4/P1BPP3/2N2N1P/1PP2PP1/R1BQR1K1 w - -,e4d5
3r4/1Bn1kppp/p1P1p3/N7/3r2P1/R6P/P4PK1/8 b - -,d4f4
r1q2rk1/pp1bpp1p/3pn1p1/8/2P1P3/2N1Q1P1/PP3PBP/3R1RK1 w - -,b2b3
2kr3r/1pqb1ppp/p3pn2/2b3B1/2BN4/2P5/PP2QPPP/R3R1K1 w - -,c4b3:b2b4
rr4k1/5p2/p2p2p1/3P3n/1R6/P4N2/1P3P2/R5K1 b - -,h5f6
3r1rk1/pb2bppp/1p2pn2/4N3/2P4q/1P1BQ3/PB3PPP/R4RK1 b - -,e7c5
2r3k1/1p4pp/4b3/5p2/1P1Pp3/1nr1N1P1/5PBP/1R1R2K1 w - -,d4d5
3b4/p2B3r/4Pkp1/P1R2p1p/5P1P/3K2P1/8/8 b - -,h7h8
3R3R/5p2/p2nrk1p/2p2p2/5P2/1P3K1P/P7/8 b - -,f6e7
4r1k1/p4p1p/bpp3p1/2n5/2P3P1/2K1P2P/PP1RB3/7R b - -,c5e4
r2qkb1r/pp2nppp/2n1p3/3pP3/8/4BN2/PPP1BPPP/R2Q1RK1 b kq -,g7g6:e7f5:d8c7
8/5kp1/4p3/6R1/Pp4Pr/3KP3/1P3P2/8 b - -,f7f6
1r1q1r2/1p4bk/3pbnpp/5p2/1RP2P2/2NP3P/3BP1BK/3Q1R2 w - -,d1b3
r2q1rk1/pb3p1p/3ppp2/2p5/2PnP3/P1QB1P2/1P2N1PP/3RK2R b K -,d4e2
8/8/5k2/1R6/1p1NK1PP/2b1P3/8/4r3 b - -,c3d2
2r2rk1/2q1bppp/p1b1p3/1p1pP3/5P2/2NRB3/PPP2QPP/1K2R3 w - -,c3e2
8/6pp/3n1p2/pp1k4/3B4/1P1K1P2/P1P2P1P/8 w - -,d4b6
5k2/p7/1b2pNp1/4P2r/8/5P2/P4P2/3R2K1 b - -,h5f5
r1b2r1k/1q4bB/4p2p/1N1p4/P1p5/1P2B1PP/2Q4K/1R1R4 b - -,f8f3
8/5k1p/6p1/4pp2/2Rb3P/6B1/r4PP1/5K2 w - -,f2f3
rn1q1rk1/pp2ppbp/2p2np1/3bN3/3P4/6PB/PP2PP1P/RNBQ1RK1 b - -,f6d7
4rrk1/p3ppbp/1qN2np1/P1pP1n2/8/2B3P1/1PQ2PBP/R3R1K1 b - -,b6a6
8/6p1/6Q1/q1p2P2/7p/8/5k2/3K4 w - -,g6g7
r2q2k1/pp3p1p/1n1bppbQ/3p4/3p4/2P1PN2/PP3PPP/R3KB1R w KQ -,e3d4
r4k2/pp3p1p/2p2N1n/5Pr1/8/3n3P/PPPR4/2K1R3 w - -,d2d3
4k3/5p2/p4P2/3RPr1p/1p6/1P4K1/P7/8 b - -,f5f1
5r2/6kp/p2pBRp1/q2P4/1pPPp3/1P6/r6P/3Q1R1K b - -,f8f6
q7/7k/Pp3bp1/1P3p1p/2Qp3P/3R1PPN/8/4r1K1 w - -,g1f2
2b2rk1/p1r3b1/1p1qpp1p/3p2p1/3P2P1/2PQRN2/PP1N1PP1/3R2K1 b - -,d6f4
7r/2R3RP/pp3p2/5k2/4p3/1P3r2/PKP5/8 b - -,f3h3
2rk2r1/3b1Rq1/2p1p3/1p5Q/p2P2p1/P1P5/1P6/KB3R2 b - -,g7g5
r1bq1rk1/p4pb1/1p1p1ppp/2pPn3/4P3/2P2N2/PPBN1PPP/R2Q1RK1 w - -,f1e1
r3k2r/ppq1b1pp/5p2/3np3/1P2Q1b1/P2B1N2/1BP2PPP/R4RK1 b kq -,g4f3
r1bq1rk1/pppnppbp/3p1np1/8/2P1P3/2N3P1/PP1PNPBP/R1BQ1RK1 b - -,e7e5
8/7R/1p1k1p1p/1r1p4/5P2/1K1n2P1/3N3P/8 w - -,b3c3
3rr1k1/1pq3pp/p1nppn2/P7/4Pp2/2NB3Q/1PP3PP/R4R1K w - -,f1f4
r1b1kb1r/pp1n1ppp/4p3/1B1pP3/3B1P2/q1N5/P1PQ2PP/1R2K2R b Kkq -,a7a6
r2r2k1/pp3ppp/4b3/4np2/2q2N2/P3B1Q1/1P3PPP/2R2RK1 b - -,c4a6
r2qr1k1/pb1n1ppp/1p1p1n2/2p1p3/2PPP3/P1PB1PN1/6PP/R1BQ1RK1 w - -,g3f5
2brr1k1/5pbp/p2p1n2/qPp2PB1/2P1P3/1PNR3P/4n1B1/3Q1RK1 w - -,d1e2
4kr1r/3bqp2/1p2p1pn/3pP1N1/p1pP1Qp1/PnP2R1P/1PB2PKN/4R3 w - -,h2g4
2krqb1r/pp3pp1/1np1p3/5bPp/1nPPNB1P/1B3P1N/PP3Q2/2KR3R w - -,a2a3
r3qr1k/pp6/2p2b1p/5bpP/3PNp2/1QN2P2/PPP5/2KR3R b - -,a8d8
8/8/4p2p/2k3P1/P7/2P5/6K1/8 b - -,h6g5
3rr1k1/2p1qpp1/p1n2bbp/1p1Bp3/4N3/2PP1N1P/PP3PP1/R1B1RQK1 b - -,d8d5
r1b2rk1/pp3pbp/2n3p1/2N1p3/4PBn1/2N3P1/PP3PBP/R4RK1 w - e6,f4g5
8/1pk2p2/p4p2/5N1p/4Bn2/1P6/P1P2r2/1K6 w - h6,b1b2
r1bq1rk1/3nppbp/p1pp1np1/1p4B1/2PP4/2N1PN2/PPQ1BPPP/R4RK1 w - -,f1d1:a1d1
4qrk1/r4pb1/pp1p1np1/3P3p/2p1PP1P/5BN1/PPQ3P1/2KR3R b - -,g7h6
r2qr1k1/3b2pp/p3pb2/1ppp4/3N1P2/3P2Q1/PPPB2PP/3NRRK1 b - -,c5d4
1r6/1r2kppp/b3p3/2n5/2p1P3/P1N2P2/1P1R2PP/1R3BK1 b - -,b7b3
rn1q1r2/pb3pp1/1p2p3/2pp2k1/3P4/2P1P3/PPQN1PP1/R3K2R w KQ -,d4c5
8/p5kp/B1qn1rp1/1pP2p2/3QbP2/P7/5BPP/4R1K1 w - -,c5d6
3r4/1kp1b3/p1p1n2p/2P4r/1PNp4/3R2P1/PBK1PP2/5R2 w - -,c4a5
r1bq1rk1/pp2bppp/2n2n2/3p4/2pP4/2P1BN2/PPBN1PPP/R2Q1RK1 b - -,c8g4
5rk1/p4ppp/1p2p3/2qp4/8/2Q2BP1/4NPKP/8 w - -,c3e5
3rr1k1/pp3pbp/1nn3p1/3Pp3/7q/BPNQ3P/P3NPP1/R4RK1 b - -,e5e4
3r2k1/7p/1p2b1p1/q1p1PP2/1nP5/pP4RP/P2B2B1/4Q1K1 b - -,e6f5
2rq1rk1/5ppp/4pn2/pQ1p4/PnNP4/R3PBP1/5P1P/5RK1 w - d6,c4a5
r1b2rk1/pp1nq1pp/2pbpn2/3p1p2/2PP4/1P3NP1/PB2PPBP/RNQ2RK1 w - -,b2a3
3r3k/5R2/4p3/6r1/4p1P1/1P2P3/2b2P1P/R5K1 w - -,h2h3
rn1qr1k1/1b2bppp/p2ppn2/2p5/2PNPP2/2N3P1/PP4BP/2RQR1K1 w - -,c1a1
r4rk1/pp3ppp/1n1bp3/8/3Q1P2/P2B3P/2P1n1P1/1R4K1 w - -,d3e2
8/2r2kp1/3b3p/p1p3p1/P1R5/4P3/2R1KPPP/1r2B3 b - -,c7a7
1R6/1pr2n2/p4k2/8/8/BP6/P5P1/6K1 w - -,a3b4
2r2rk1/1p2b1np/pQq1p3/4Pp2/P5p1/2N1B3/1PP3PP/3R1R1K b - -,c6b6
5rk1/2q5/p2r2n1/1p5Q/6p1/PPN2b2/1BP1p3/1K2R3 w - -,b1a2
r1b1k2r/1p1p1ppp/p1q1pn2/8/1b2PP2/2NB4/PPP1Q1PP/R1B1K2R w KQkq -,c1d2
5rk1/1pn3pp/2pN4/1b1P4/8/7P/5PP1/R5K1 w - -,d5c6
r1bqkb1r/pp1npppp/2p5/3nN3/3P4/2P5/PP3PPP/RNBQKB1R w KQkq -,e5d3:e5d7
6k1/2p1qpp1/1pn5/p3p1p1/P3P1P1/1QP1N3/1P3PP1/6K1 w - -,b3c4
8/p2b4/1p1B4/8/k2KB1Pn/P1P5/8/8 w - -,e4c2
r6r/1p1kbppp/2n1p3/3pP3/p2P4/P3BN2/1P3PPP/2R2RK1 w - -,c1c3
1q3rk1/3n2b1/6pp/2nPpP2/1pN5/1P2Q1P1/1B1N3P/5R1K b - -,g6f5
r1b2rk1/1p3ppp/p2q1n2/3pN3/8/2NBP1P1/PP3PP1/2RQ1RK1 b - -,d6e5
1rb3k1/2p3pp/4pr2/3p4/pq1P1PP1/8/KN2NB1P/2R2B1R w - -,c1c2
5k2/2R3n1/p2r3p/8/4BP2/1P2K3/P6P/8 b - -,d6d1
