2kq4/7p/4Q3/4B3/4bPP1/6KP/8/8 b - -,d8d7
rnb1k2r/ppp5/4p2p/3P1qp1/3PN3/4bP2/PPQ1N1P1/1K1R1B1R b kq -,e6d5
8/4R2k/5K1p/5P2/r5P1/8/8/8 b - -,h7g8
6k1/1p3ppp/2B1n3/B1b1r3/P3P3/8/1PP3PP/R4K2 b - -,b7c6
2kr3r/p1q2p2/2p3pp/1pbP4/1Pb1pP2/4Q2P/P1P1N1P1/R4RK1 w - -,b4c5
r1bqr1k1/1ppn2pp/3pp3/5pPn/p1PP3P/P1N2N2/1P1QPP2/2KR1B1R b - -,b7b6
r4rk1/5ppp/1qp1bb2/pp2n3/4PB2/Q5P1/PP3PBP/R2NR1K1 w - -,a3e3
8/7p/N7/1p6/4kP2/6K1/4b3/8 w - -,a6b4
rnbq1rk1/pp3pbp/3p1np1/2pP4/5B2/2N2N1P/PP2PPP1/R2QKB1R w KQ -,e2e3
r2R1rk1/ppp2ppp/2b2b2/8/8/2N2N2/PPP2PPP/2K4R w - -,d8d3
6k1/p5p1/4p2p/1pp5/3PP3/3P1QqP/PP4P1/6K1 b - -,g3f3
r1b1r1k1/1pp1q1b1/3p2pp/pNnP1p2/3Nn3/6P1/PP2PPBP/2RQBRK1 w - -,b2b3
2n5/2r2kp1/1p2R2p/p1NP4/1P6/P3K3/6PP/8 w - -,c5a4
r2qk2r/pb1pppbp/1pn2np1/2p5/2P5/2N1PNP1/PP1P1PBP/R1BQ1RK1 w kq -,d2d4
8/6Rp/2k5/8/8/4PK2/6Pr/8 w - -,g2g4
r4rk1/5ppp/p1p1b3/qp6/5Q2/2N4P/PPPR1PP1/5RK1 w - b6,a2a3
3r2k1/5p2/6p1/1pRn4/p5Pp/1P1N3P/P3K3/8 w - -,b3a4
3r2k1/5b2/1p4pp/p2pP3/P4P2/1B6/1P4PP/3R2K1 b - f3,d8c8
1r4k1/pp3pb1/4pqp1/2p1N3/3r1P1R/8/PPP3Q1/1K5R w - -,g2h2
1k5r/1p1qBRpr/p2n2n1/2pPp3/2P1P2P/P1N3P1/6B1/1R3QK1 b - -,g6e7
r1b1r1k1/1pp1npp1/p2p1q1p/2bP4/3N1P2/3Q2P1/PPP2BBP/R4RK1 w - -,f1e1
5rk1/p3p2p/6p1/3q1p2/1nNp1Q2/1Pr2P2/P4PKP/R4R2 b - -,b4d3
5r2/1p4p1/2kNp2p/2Ppn2P/1P4P1/8/2K5/R7 w - -,a1a7
r2qk2r/pp2Bpp1/2np3p/4p3/2P1b3/1N2P3/PP2BPPP/R2QK2R b KQkq -,c6e7
r1b1Qbk1/r4p1p/3p2p1/8/2nNP1P1/P1R2P2/1PP4P/1K5R w - -,c3c4
8/5p2/6p1/p6p/kp3P1P/4R1P1/P5r1/1K6 w - -,e3d3
5rr1/2p1q1nk/1p1p1ppp/p2Pp3/2P1PP1P/5RP1/PP2Q1NK/5R2 w - -,f4f5
8/8/3B1kp1/5p2/1p6/1P6/7P/6K1 b - -,f6e6
8/pp3kpp/3npp2/8/8/3N1P1P/PP4P1/6K1 w - -,g1f2
4r1k1/p4qp1/1p1Q3p/5r2/2p2P1P/3p3N/PP6/2K4R b - -,f7f6
6k1/1p3rp1/p6p/1b1prB2/1n6/2p1qNQ1/2P1R1RP/5K2 w - -,g3e5
8/B7/6k1/6p1/4ppP1/7P/1r1n1P2/2R3K1 b - -,b2b7
rq2rbk1/3n1p1p/ppbp2p1/3Np2n/1PP1P3/P4NP1/1BB1QP1P/R2R2K1 w - -,d5c3
r5k1/1pp1rppp/p4q2/3PnP2/3p1Q2/6P1/PPPN3P/1K1RR3 w - -,d2e4
3rr1k1/pb1nqppp/1ppbpn2/3p4/2PPP3/1PNB1N2/PBQ2PPP/3RR1K1 b - -,d5c4
8/6k1/6p1/5p2/p2q3p/7P/KRR3P1/8 b - -,d4d3
r1bq1rk1/1p3pbp/p2p1np1/n1pP4/4P3/2N1BP2/PP2B1PP/R1NQ1RK1 b - -,b7b5
rn1q1r1k/pp3ppp/2pb2b1/4p3/4N3/1B1P2Q1/PPP2PPP/R1B2RK1 b - -,d6c7
r2q1rk1/1pp2pp1/1pnpbn1p/4p3/4P3/1P1P1NP1/PBP2PBP/R2Q1RK1 b - -,a8a5
r1b2rk1/1pb1qpp1/2p1pN1p/p7/2QP4/4PN2/PP3PPP/1B1R1RK1 b - -,e7f6
r1bqk1nr/pp1p1p2/4p3/2p1b1p1/3nP1Pp/2NPB2P/PPP1NPB1/R2QK2R w KQkq -,d1d2
r7/4k3/2pp3p/p3p1p1/4PnP1/4K1NP/PPP5/5R2 b - -,d6d5
8/8/1Bb2pk1/1p5p/p1p1KP2/2P5/P4P2/8 w - -,e4e3
3r4/ppkr1pp1/2p1pb1p/5q2/3P4/P1P2B1P/1P3PP1/1KQR1R2 w - -,c1c2
1r6/1PR3k1/6p1/8/2P4P/3N1p2/KR2r3/8 b - -,g7f6
r2q1rk1/pb3pbp/1n1p1np1/p1pPp3/4P3/2P2N1P/1PBN1PP1/R1BQR1K1 b - -,d8c7
r1b1r1k1/1p2ppb1/pn3np1/2pP3p/Pq3B2/2N2P2/BPPQN1PP/R4R1K b - -,c8d7
4n3/1p3k2/1p2p3/3p2p1/6P1/2K2P2/PP3r2/R2B4 b - -,e8d6
2br1rk1/1q5p/ppnppn2/5p2/P1P2P2/1PN2N1P/3Q2P1/1BR1R1K1 b - -,h7h6
r1b1q3/ppb1r1k1/2p1p3/3n1pp1/3P4/P2N2P1/1PQN1P1P/1BRR2K1 w - -,d2f3
5n2/2p3k1/1p1p4/p2P3p/P1P5/6P1/1PKN2r1/5R2 w - -,f1f3
8/5pk1/6p1/6rp/R7/6P1/5PK1/8 b - -,g5g4
R7/4k2P/2p1P3/5K2/8/6P1/pp5r/8 w - -,a8a5
2k2r1r/1bn2p2/2P1p2p/2R1P1p1/8/q2BB3/3Q1PPP/1R4K1 b - -,b7a6
3rr1k1/2p2p1p/bq6/p2B1Pp1/4P3/1P4P1/P4Q1P/2R1R1K1 w - -,g1g2
8/8/3k4/p5R1/P7/1r4P1/5K2/8 b - -,b3b2
3rk2r/pp2bp1p/1qb1pp2/8/2PnN3/1P1B4/PB3PPP/R2Q1RK1 w k -,d1g4
1k5r/ppp3pp/8/nB2N3/3B4/2P2P1P/2q5/4K1R1 w - -,g1g7
r5k1/pp3pp1/7p/q2p4/n2Q4/P1PR2P1/K1P1rPBP/7R w - -,h1b1
3r2k1/4Rppp/p3b3/b7/1p6/P2BB1P1/1P2PP1P/6K1 b - -,b4a3
r4rk1/1nqbbppp/p2p1n2/1p1Pp3/2p1P1P1/2P2N1P/PPB2P2/R1BQRNK1 b - g3,h7h5
8/p5k1/2pp4/6b1/2P5/QPNB2q1/P4r2/1K1Rr3 w - -,a3a7
r1b1kb1r/5pp1/p1Np4/3PpPBp/2p3P1/7P/PPP5/2KR3R b kq -,f7f6
r3kb1r/pp2pppp/1npqbn2/8/3P3N/2NBB3/PPPQ1PPP/R3K2R w KQkq -,e3f4
1r1rn3/p4pk1/2R3Pp/2QnP3/p7/P4N1P/1qB2RP1/6K1 b - -,f7f6
2r1r1k1/ppqbbppp/1np1pn2/8/3PP3/1PN1N1P1/P1Q2PBP/R1B2RK1 w - -,e3c4
2r5/5k2/1Q4p1/P4p2/3Nq2p/1P4P1/2P4P/1K1R4 w - -,a5a6
8/1R3p2/1pr1pkn1/6p1/1P2P1P1/5P2/4BK2/8 w - -,f2e3
2r3k1/2p2ppp/3qp3/1r5P/3PQn2/1P4R1/1PK2PP1/3RB3 b - -,f7f5
5rr1/p1pk4/1p1p3p/1P6/3Rbp2/2P2P2/P5PP/R5K1 w - -,d4e4
5r1k/1b1nq1pp/Bppb1r2/p2p1p2/P2Pn3/1P2PNN1/1BR2PPP/2R2QK1 b - -,b7a8
8/5pk1/2p2qp1/1pP4p/1P1Q1P2/6KP/5P2/8 w - -,d4e4
2rr2k1/p3pp1p/1pb3p1/8/1qp1PP2/P1NB3P/1PP3P1/1R3R1K b - -,b4c5
1r3rk1/4nppp/5q2/4pP2/1p1pP2N/3Q3P/BP4P1/R4RK1 b - -,f6h4
r2qkb1r/pp2pppp/5n2/nQ1p4/3P1Bb1/2PB4/PP3PPP/RN2K1NR b KQkq -,g4d7
8/3k4/7R/8/3n4/P7/KP6/3r4 b - -,d7c7
r4rk1/pp1nqppp/4pn2/2p4b/1b1P4/1QN1PN1P/PP2BPP1/R1BR2K1 w - -,c1d2
8/8/8/8/4p3/R7/3rk1K1/8 w - -,a3a1
r3r1k1/3P1p1p/3p2p1/7n/3bP1n1/2N5/5PPP/1RB1RBK1 b - -,d4f2
1k1b4/2r5/p1Pp4/3PpB2/5pPp/2K2P1P/P7/1R6 b - -,b8a7
7r/5P2/1p6/p2p2K1/PkP1b3/1P5p/7R/3B4 w - -,g5f6
