8/8/P2k3p/1K4p1/4B1P1/4bP1P/8/8 w - -,f3f4
3b4/3k4/1p2p3/pP2P1pp/P3K3/6P1/7P/2R5 w - -,c1c6
3k3r/p4ppp/1n6/2BnQ3/q2P4/6P1/P4P1P/1R4K1 b - -,a4a2
r1bqr1k1/pppn1pbp/3p2p1/4p2n/3PP2P/2N1BN2/PPPQ1PP1/2KR1B1R w - e6,e3g5
rn1qkb1r/ppp2p2/4p1pn/3pP2p/5Pb1/2P2N2/PP1PB1PP/RNBQK2R w KQkq -,b1a3
1rb1r1k1/2qnppbp/pp1p1np1/2pP2B1/P1P1P3/2N2PN1/1P1QB1PP/R3K2R w KQ -,e1g1
2rr2k1/2q2p1p/4p1pb/p2n4/Np2QPP1/1P4NP/P1P1R1K1/5R2 w - -,g4g5
rnbqr1k1/1p3pbp/p2p1np1/2pP2B1/4P3/2NB1N1P/PP3PP1/R2QK2R w KQ -,a2a4
r1bqk2r/pp2bppp/2n1p3/2p5/3P4/2P2NP1/P3PPBP/R1BQ1RK1 b kq -,e7f6:c5d4
r3kb1r/pp1b3p/1qn1pp1n/3p4/2pP4/P1P2N2/1PBN1PPP/R1BQ1RK1 b kq -,h6f7
7k/8/5P2/2q4P/6K1/6Q1/8/8 b - -,c5d4
1q5k/6p1/3r2bp/1pQBRp2/p1p2P2/P5PP/1P5K/8 w - -,e5e7
rnbqkb1r/1p3ppp/p2pp3/2pnP3/2BP4/2P2N2/PP3PPP/RNBQK2R w KQkq -,c4d5
rnbq1rk1/ppp1bppp/4p3/8/2BP1n2/2N1PN2/PP3PPP/2RQK2R w K -,e3f4
3r1rk1/p1Nqnpb1/1pnN4/2pp4/5p2/3PP1P1/PP3PB1/1RQ2RK1 w - -,d6e8
r3r1k1/pp3p2/5q1p/2pB1b2/5P1p/2P1P3/P5PP/R2Q1RK1 w - -,d5b7
4r3/R3bpp1/4p1kp/4P3/1p3n2/3b3P/1R3BPK/8 b - -,d3c4
r1bqk2r/3nppbp/p2p1nP1/2pP4/Pp2P3/8/1PPN1PP1/R1BQKBNR b KQkq -,h7g6
5r1k/6p1/2Rp4/p1b2P1p/2R1p1P1/7P/P4P2/6K1 b - -,h5g4
rq2k2r/1p1nbppp/2p1p1b1/p2nP3/P1BP4/1Q3NNP/1P1B1PP1/R4RK1 w kq -,c4d5
2r2k2/4qpbp/p4n2/2rppPB1/7Q/1Pp3NR/P1P3PP/5R1K b - -,e7d6
2rr2k1/pb4pp/1p1bpn2/4NpNq/2PP1P2/P2B2n1/1B5P/2RQR1K1 b - -,d6e5
r1bq1rk1/4bppp/p1p1pn2/3pP3/8/2NB2Q1/PPP2PPP/R1B2RK1 b - -,f6h5
rn1Qk2r/1p2bppp/p3bn2/4p3/4P3/1NN5/PPP1B1PP/R1B1K2R b KQkq -,e7d8
1r2r1k1/2p1qpp1/2pp3p/p1b2Q2/2P1n3/1PN1P1PP/PB3P2/2R2RK1 w - -,c3a4
1qr2rk1/pb1pppbp/np3np1/1Np5/3P4/1PP2NP1/PB2PPBP/R2QR1K1 w - -,a1c1
2r3k1/2rq1p2/1pp1p1pp/p3P3/P1RPQ1P1/5PKP/1PR5/8 w - -,h3h4
3b4/5k2/p4ppp/1pp5/P1n3PP/2B1PP2/1PK3N1/8 w - -,a4b5
r5k1/p2R1p2/1p4p1/2p5/8/8/PP2rPPP/R5K1 w - -,b2b3
rn1q2k1/pb1p2pp/1p6/2pP1r2/8/B5P1/P3QPBP/R4RK1 w - -,f1e1
3b2k1/1Rn2pp1/2q3p1/p1Pp4/2pP4/4NQP1/3B1P1P/6K1 b - -,c6b7
5R2/6pk/7p/3B2q1/2QnP3/r1b4P/5PP1/3R2K1 b - -,g5e7
1r2r1k1/R5pp/4pn2/8/2p2Q2/6NP/2q2PP1/5RK1 w - -,f4c7
rn1q1rk1/pb2bppp/1pp2n2/3pN3/3PP3/2N3P1/PP3PBP/R1BQ1RK1 b - e3,d5e4
2r3k1/p6p/6p1/1BBPp3/4P1b1/6r1/PP6/1K5R w - -,b2b4
1q1rr1k1/1p1n1n1p/p1pp2p1/4b1P1/1PP1PB1P/1QN5/P3B1K1/2R2R2 w - -,f4e3
2r2rk1/1p1n2pp/p1bNp3/4P3/8/1P4P1/P2N1P1P/2RR2K1 b - -,c8b8
rn1qkbnr/pb2pppp/1p1p4/2p5/2P5/5NP1/PP1PPPBP/RNBQ1RK1 b kq -,g8f6
1k6/1pnNR1p1/p7/P2p4/5pr1/2P5/1P4P1/6K1 b - -,b8c8
1r6/r3kppp/b3p3/2n5/2p1P3/P1N2P2/1P1RB1PP/1R4K1 b - -,a7b7
r1bqr1k1/ppp2ppp/2np1n2/4p3/1b2P3/P1NP1N2/1PPBBPPP/R2Q1RK1 b - -,b4a5
4rb1k/p6p/2p3p1/4pn2/P1p1N3/2PPB3/1P4PP/R5K1 w - -,e3a7
6k1/8/1bP5/p7/2r5/5N2/P3R1p1/1K6 b - -,c4g4
r1bqkb1r/2pn1ppp/4p3/p2pP3/3P4/5N2/PP3PPP/RNBQ1RK1 b kq -,f8e7
2r3k1/p4p1p/1pqp2p1/4b3/2r1P3/3Q1NPP/PP1RRPK1/8 w - -,d3e3
1nbq1rk1/2p2ppp/r3pn2/pN6/p1NP4/6P1/1PQ1PPBP/R4RK1 b - -,c8d7
4k3/2r4p/2p1Q1pP/p2n1pR1/Pp6/8/1PBq1PP1/6K1 b - -,d5e7
r1b1qrk1/1pp3pp/4pn2/p7/2PQ1p2/6PP/PP1NRPB1/5RK1 b - -,f4g3
r1b2rk1/ppqn1ppp/4p1n1/2p5/3P4/PBPQBP2/4N1PP/R4RK1 b - -,b7b6
4rrk1/6bp/4p1p1/p3Nn1n/1p1Bq3/1P3NPP/P4PK1/2R1R3 w - -,e1e4
r2r2k1/pb2qpbp/1pn1p1p1/1Bp2nN1/P4P2/2PP1N2/1P2Q1PP/R1B2RK1 b - -,h7h6
2r1brk1/5pp1/p1p4p/Pp3Pq1/1PpPP3/2N4P/5QP1/1R2R1K1 w - -,e4e5
8/8/4B1pk/p7/5p1P/1Pq1bQ1K/8/8 b - -,c3e5
rn1qkb1r/pp2pp1p/2p1b1p1/3nN3/3P4/1B6/PPP2PPP/RNBQ1RK1 b kq -,f8g7
rq3rk1/p1bnn1p1/Q1p4p/2PpPp2/RP3P2/3BPNN1/4K1PP/1R6 b - -,d7e5
1q2r1k1/5pp1/QBp4p/2Pb4/8/4b3/1P2R1PP/3B2K1 w - -,g1h1
r2q1rk1/1ppb1pbp/p1nppnp1/8/2PPP3/1PN1BPP1/P2QN2P/R3KB1R b KQ -,a8b8
8/8/1rp1p1k1/3pP1pp/1P3P2/3K2P1/2R3P1/8 b - -,g5f4
1r4k1/1p3p2/6p1/3Pn2p/3NP2P/5BP1/8/6K1 w - -,f3e2
q1nr2k1/3rppbp/1p2b1p1/3p4/1B1P1N2/PQR1P1P1/5PBP/R5K1 w - -,a1c1
1r1n2k1/r3b3/1q1PPpQ1/2n5/1p1B4/1p6/5PPP/1R2R1K1 b - -,g8f8
rn1k1b1r/pp3pp1/7p/3p4/3P4/8/PP2PPPP/R3KBNR w KQ -,e1c1
3r2r1/p4kbp/b1pn2p1/3p4/NQ2pP2/1P1P4/P1P3PP/3R1RK1 w - -,g1h1
8/8/p1p1p1k1/4P3/4K3/R1P5/4r3/8 w - -,e4d4
r1bqkb1r/pp2pppp/2n2n2/3p4/3P1P2/2P2N2/PP4PP/RNBQKB1R b KQkq -,c8f5
3r2k1/p2q1pb1/Qp2p2p/6p1/P4B2/3P1PP1/5PKP/2R5 w - -,f4e3
2k3r1/1p5p/pP2P3/2p2Rp1/2P5/5PBP/1n4P1/6K1 b - -,g8e8
3r2k1/p4pp1/4p2p/2q5/1p1N1P2/1PnQP1P1/P1R4P/6K1 b - -,c5d5
5rk1/1p3pbp/p5p1/P3p3/4P3/5P2/1PP2QPq/1KBR4 b - -,g7f6
6k1/6b1/8/7p/4q3/3p1RPn/3r2NP/4NQ1K b - -,d2d1
8/2b5/1p6/1P4B1/P2k4/4p2p/4P3/7K b - -,d4c4:d4e4
5k2/5p2/1p2pbrR/p2b4/8/2P2N2/PP1N1KrR/8 w - -,h2g2
8/5p2/4kP2/8/5K2/7b/7P/B7 w - -,f4g3
br3rk1/p7/2p1p3/3pN3/5P2/4P1P1/P4K1P/1RR5 w - -,e5d7
2rr2k1/pbq2ppp/1p2pnn1/4N3/2PP4/P2B1P2/1BQ3PP/2RR2K1 b - -,f6h5
8/4k3/3bP1B1/3P4/p2K4/8/P7/8 b - -,a4a3
r1nrq1k1/1p3pbp/n1pBN1p1/p3P3/P7/1PN3QP/2P2PP1/3RRBK1 b - -,e8e6
r4rk1/pppq2bp/2np2p1/4pp1n/1PP1P3/P1NP2P1/1B3PKP/R2Q1RN1 w - f6,f2f3
8/8/p5p1/2nK1k2/6N1/2B2P2/8/6b1 w - -,d5c4
r2q1rk1/pBpn1ppp/1p1pp3/6b1/2PP4/6P1/PPQ1RP1P/R1B3K1 w - -,b7a8
r3r1k1/pp5p/1np2np1/8/3P4/b1N1BB1P/P4PP1/1R3RK1 b - -,a8d8
r4rk1/1p3pp1/2p1b3/p3P1R1/4Rp2/1BP5/PP4PP/6K1 b - -,e6b3
r1b2rk1/p1q1ppbp/2p2np1/2p5/3pPP2/3P1N1P/PPP1N1P1/R1B1QRK1 b - -,a7a5
rnbq1rk1/pp2ppbp/3p2p1/8/3NP1n1/2N1B3/PPPQBPPP/R3K2R w KQ -,e2g4
8/8/6k1/4rn2/8/7P/R5PK/8 b - -,g6g5
rnb2rk1/pp2ppbp/5np1/2q5/2B2P2/2N1PN2/PP1BQ1PP/R3K2R b KQ -,b8c6
