8/8/6N1/8/ppk5/n7/3K4/8 b - -,b4b3
1r5r/1qb2kp1/2p2p2/p1p5/P1PpPp1N/1P1P2P1/2Q2P2/1R2R1K1 w - -,g1g2
7r/QR3nk1/1pp3p1/4p3/8/4PpPN/5P1K/3q4 b - -,h8h3
7r/p3k3/Pp2bn2/1Pp1n1p1/2P1p3/N1N1PpP1/5P2/3R1BK1 b - -,e5g4
rq2k2r/3bbppp/p1nppn2/1p4B1/4P3/1BN2N1P/PP1RQPP1/R5K1 b kq -,a8a7
rn5r/pp2kp1p/2b1p1p1/3pP3/5P2/2N3R1/PPP1B1PP/2KR4 w - -,e2d3
2r3k1/2rbqp1p/3p2pb/1pnPp3/pN2P1P1/P1B2P1P/1PB1Q1K1/3R1R2 b - -,h6g5
r1b2r1k/2q3p1/p3p2p/5p1P/3pN1n1/7Q/PPPRBPP1/4R1K1 b - -,g4e5
r4rk1/b1B3p1/p7/1p2p3/4p3/2Pb3P/1P1N1PR1/R3K3 b - -,f8f5
r2qk1nr/ppp2pbp/3p2p1/2nPp3/4P1b1/2NQ2P1/PPP1NP1P/R1B1KB1R w KQkq -,d3e3
r1bq1rk1/1p2bppp/p3p3/2Pp3n/3QP3/1NN3P1/PP3PBP/R4RK1 b - -,d5e4
r4rk1/2pqn1pp/2n2p2/p1bp4/pP1P4/2PQ1N2/3B1PPP/R3R1K1 w - -,b4c5
8/2pr3p/2R1kp2/6p1/6P1/8/1P4K1/8 b - -,e6f7
1r6/8/3kP3/1K6/1P3N2/6p1/6N1/8 w - -,b5c4
5rk1/2pq2p1/7p/1p1Ppp2/1N2Pn1B/1PP2Q2/1n3PPP/4R1K1 w - -,h4g3
3r4/r3kppp/b3p3/8/2p5/P1N1PP2/1PR1B1PP/n3K2R w K -,c2d2
r3r1k1/2qn2bp/p1n2pp1/1pp1p3/P2pPP1P/1P1P2P1/1BPNQ1B1/R4RK1 b - -,e5f4
8/1B3p2/P7/5k1p/3R1P1n/7P/r7/5K2 b - -,a2a3
r2qkb1r/1ppb1p1p/p1np1np1/4p3/B2PP3/2P2N1P/PP2QPP1/RNB1K2R b KQkq d3,b7b5
8/8/p1b2k2/4pppp/1P3P2/2N1K1P1/P6P/8 b - -,h5h4
2kr4/1p3ppp/p4n2/3p4/3b4/1N5P/PPP1RPP1/6K1 w - -,b3d4
8/2k5/2P1KP2/1Pb5/4B3/8/8/8 w - -,e6f7
2R5/p3r3/1p1k4/6p1/3p2Pp/5P2/PP1K2P1/8 b - -,d6e5
r1bq1rk1/bpp2pp1/p1np1n1p/4p3/2P1P3/P1NP1NPP/1P3PB1/1RBQ1RK1 b - -,f6h7
r4rk1/p2b1nbp/B1p1q3/N1Pp1p1n/Q2Pp1pP/2N1P3/P4PPB/2R2RK1 b - -,g7h6
1r2r1k1/ppn2q1p/3pb1p1/2p2pP1/1PP2P2/P2PN2P/3Q1BB1/R6K w - -,a1c1
6k1/4n3/1p1p1qp1/pPpPp2Q/P1P1B3/6PP/6K1/8 w - -,h5g4
8/ppr1k1n1/4pp2/4N1r1/2P3P1/1P2RK2/P7/4R3 w - -,e5d3
5rk1/4q2p/1pbp1rp1/p1n1p3/P1P1P3/1P2QP1P/3RN1B1/1R4K1 w - -,b1d1
2br2k1/rp3pp1/p3pn1p/q3N3/2P5/P1P1QB1P/R4PP1/1R4K1 b - -,a7a8
2b5/1p3rk1/p4pn1/2PPq3/4P1p1/3RK1P1/4N3/2Q5 w - -,c1c3
5Rb1/p5Bk/2p5/2pn4/3p4/3P2R1/P1r4P/6K1 w - -,g7e5
r1r1n2k/3q4/2bp1n2/pN2p2p/P3P1pP/2PBR1P1/3Q3K/3R1N2 w - -,e3e1
1r3rk1/p3ppbp/1n4p1/4p3/5P1q/1N1R3P/PB3RB1/5QK1 w - -,b2e5
r1bqr1k1/pp3pbp/5np1/2pp4/5B2/2PBPN1P/PP3PP1/R2Q1RK1 b - -,b7b6
8/8/5ppk/p2Kb2p/3p1N1P/3B2P1/1P6/3b4 b - -,d1f3
1r1qr3/2nbpnkp/p2p1pp1/2pP4/2P1P2N/4N2P/1P1QBPP1/1R3RK1 w - -,f2f4
8/1p1k1p1p/7q/pP1PrP2/6P1/5Q2/5K1P/3R4 b - -,h6h2
r2r2k1/5pp1/2pq2b1/p5Pp/PpQ1P2P/1N3P2/1P6/2R2K1R w - -,f1f2
8/3b1pkp/p2b4/2p2P2/2PpB3/3N3P/PP4K1/8 w - -,f5f6
r6k/3b2pp/p3pr2/1p1p4/3P2q1/1P3P2/PB2QKB1/R6R w - -,f2e1
8/R6B/3b2p1/1KrP1bk1/5N2/6P1/8/8 w - -,b5b6
4k3/4P2P/4R3/p2p4/r7/1p6/1P4P1/6K1 b - -,a4h4
rb3rk1/pbq2ppp/1p2pn2/8/2N5/2PBB3/P1P2PPP/1R1QR1K1 w - -,g2g3
r2r2k1/ppqn1ppb/2p1pn1p/2b5/N1PNP3/1P4P1/PB2QPBP/R2R2K1 b - -,c5e7
r4rk1/1b3Rbp/6p1/1pqPp3/1Np1P1B1/2P4P/1P4P1/3Q1R1K b - -,f8f7
r4rk1/1b2qppp/p3p3/2n1P3/Pp1N1PQ1/8/1PB3PP/R4RK1 b - f3,c5e4
r2qkb1r/pp2pppp/2n2n2/3p1b2/3P2P1/2N1PN1P/PP3P2/R1BQKB1R b KQkq g3,f5g6
8/6k1/1p6/7P/P7/8/3pBp2/2bK4 b - -,g7h7
r1bqkb1r/3ppp1p/p1p2np1/2p5/4P3/2P2N2/PP1PQPPP/RNB2RK1 b kq -,f8g7
r2qkb1r/1p1n1ppp/p1p1pn2/3pNb2/2PP4/2N1P3/PP2BPPP/R1BQK2R w KQkq -,f2f4
2r2rk1/2qbbppp/p2p1n2/npp1p3/3PP3/2P2N1P/PPB2PP1/R1BQRNK1 w - -,f1e3:d4d5:d4e5
rn1qkbnr/1b3ppp/pp1pp3/8/2PNP3/2NB4/PP2QPPP/R1B1K2R b KQkq -,b8d7
1r3rk1/p1p3pp/1qppb3/N3np2/2P1P3/1P6/P2QBPPP/R4RK1 w - f6,e4f5
r3nrk1/1p2q1bp/p2p2p1/2pP1b1n/2P1Bp2/2NQB1P1/PP2N2P/2R2RK1 w - -,e4f5
8/3Rr1bk/3p2pp/1B1P1p2/1P2nP2/4B2P/6P1/6K1 b - -,e7d7
r1bqkb1r/1p3ppp/p1n1pn2/8/3P4/1B3N2/PP3PPP/RNBQ1RK1 w kq -,b1c3
3r4/1b3kpp/1p3p2/pPrP1B2/P2R4/6P1/5P1P/3R2K1 w - -,f5e6
4k3/1p1b4/3P2p1/1r1B1p1p/3K4/4p3/2R3PP/8 b - -,d7c6
r2q1rk1/pp2bppp/2b1p3/P2nN3/2BP4/8/1P1BQPPP/R2R2K1 w - -,a5a6
3rrb1k/1ppq2pp/p3bp2/2p1pN1P/4P3/3PNQP1/PPP2P2/R4RK1 b - -,b7b5
4k3/ppR2pp1/7p/8/3r4/8/PP3P1P/6K1 w - -,c7b7
1k1r2r1/1b1n1pb1/1pq1p3/PNp1P2p/Q1Pp3N/3P3p/5PPB/R3R1K1 b - -,g7e5
r4rk1/pbqN1pp1/1p1bp2p/8/5PP1/3B4/PPPBQ2P/2KR2R1 b - -,c7d7
2kN3r/ppp3pp/8/3Pnq2/1bP1p1n1/2N1B3/PP3PPP/R2QK2R w KQ -,d8e6
1r1qr1k1/p4ppp/1p2bn2/2bp1N2/PP3Q2/2P3P1/5PBP/R1B2RK1 b - b3,c5f8
2kr3r/p1p2pb1/1p5p/2nqp3/2N2BQ1/3P2P1/PPP2P1R/R3K3 b Q -,c5e6
r4r1k/1p1n2bp/p1p1p1p1/5p1n/3PPP1q/1QN1B3/PP2BP1P/3R2RK w - -,e2h5
r1bqk2r/pp3ppp/2n1pn2/3p4/1b2P3/2NB1N2/PPP2PPP/R1BQK2R w KQkq d6,e4d5
8/3pq1pk/1pn2rp1/1N3p2/1PP2P1P/1K2P3/3Q4/7R b - -,f6e6
8/p2q2k1/5pp1/1p2pn2/1Q6/1PP2N2/1P3PP1/6K1 b - -,a7a6
b2r1b2/p1q2ppk/1p1Np2p/4P3/2PR1Q1P/1PB5/P4PP1/6K1 b - -,f7f5
2rqk2r/pp1bbppp/4pn2/n2p4/3P1B2/2NBPN2/PPQ2PPP/R3K2R w KQk -,e1g1:f3e5:h2h3
5r2/pp4k1/2b2pq1/1nQ2Rp1/1P6/1B6/1PP3P1/5R1K b - -,g6h5
8/pp3k2/2p1p3/4Pp2/6P1/2P3Kp/PP6/8 b - -,f5g4
r4rk1/pp1q1ppp/8/n2pp3/2P5/2P5/PP2QPPP/R1BR2K1 b - -,d5d4
8/8/7R/rp3k2/4nP2/2P4P/4N1K1/8 b - -,a5a2
5k2/p2npp1p/6p1/1K6/4BP2/2P1P3/3r2PP/2R5 b - -,d2b2
6k1/p1r1nppp/1p1qp3/8/1PpP1P2/P1r1N1P1/5P1P/RR1Q2K1 w - -,d1d2
3r4/5pkp/8/2N4P/3n1n2/2N5/PP3P2/3R1K2 w - -,c3b5
r3r1k1/1pq2pbp/p1b3p1/P2p4/3N4/2P1B3/1P1Q1PPP/R2R2K1 w - -,d4c2
1r1q1rk1/3nppbp/3p2p1/2pP4/8/2N3P1/1BQN1PBP/R4bK1 w - -,g2f1
