4k2R/2p5/4bPP1/2K2p2/4rP1P/2P5/8/8 b - -,e8d7
r4rk1/1b3ppp/1q1p1b2/1ppP4/4Q3/4PNN1/1P3PPP/R4RK1 w - -,g3h5
r1b2rk1/pp4pp/2n1p1n1/2q2p2/3p4/P2B1NQ1/1PPN1PPP/R3K2R b KQ -,e6e5
4k3/3b1p2/4p1pp/3pP3/8/1PR1Q2P/1q3PPK/8 w - -,c3c7
r1bq1rk1/1pp2p1p/1p1p1np1/4p1N1/4P3/2PB2Q1/PP1P1PPP/1Rn1K2R w K -,b1c1
r2qk2r/2p2ppp/p1n1b3/1pb1P3/4p3/1B3N2/PPP2PPP/R1BQ1RK1 w kq -,b3e6
6k1/1pp2p1p/3p2p1/p1bP4/P1P5/1P2Q1P1/1q3PKP/3B4 w - -,e3e2
r1bqk2r/p4ppp/2pp1n2/2b1p3/2P1P3/2NB4/PP3PPP/R1BQ1RK1 w kq -,h2h3
2r1qrk1/pp1n2p1/2ppbp1p/4p3/1PPP4/P5P1/1B1QPPBP/2R1R1K1 b - -,d7b6
8/4K3/k7/4P3/3r4/8/8/1R6 b - -,d4d2
r5k1/ppr1pp1p/4n1p1/N1P5/1P5P/P3P3/4KPP1/2R4R b - -,a8c8
4rrn1/1ppq1nbk/p2p2pp/3Ppp2/2P2P2/3PBNPP/PP1Q2BK/4RR2 b - -,b7b6
5rk1/1pQ2pp1/1b1r2p1/1B2q3/P3P2P/2Rp1P2/1P4K1/7R w - -,c7c4
3rrnk1/q6p/2p2bp1/p1NbNp2/PpnP4/1P5P/5PPB/2QRR1K1 w - -,b3c4
8/1p2Q1nk/1qp4p/1p3p2/4p3/2P3P1/1P3P2/3R2K1 b - -,c6c5
r2q1rk1/pb2bpp1/1pnp3p/2p5/5P2/P1N2NP1/1PQR1PBP/3R2K1 b - -,f8e8
8/4b3/8/3K4/1p1N1k2/1P6/8/8 w - -,d4c6
r1br2k1/pp2qpp1/2n1pn1p/2p3B1/2PP4/P1P2N2/3QBPPP/R4RK1 w - -,g5e3
4r1k1/3n1p1p/8/pb1PP3/1b1Q1P2/q5P1/P5BP/1RR4K w - -,e5e6
2rr2k1/2Q2p1p/1p2p1p1/p2p1n2/P1b2P2/2P2BP1/2PR3P/2NR3K b - -,c8c7
8/R5k1/8/5PP1/6K1/1r6/8/8 b - -,g7g8
r3kbnr/p1qb1p1p/1pnpp1p1/2p5/P1B1PP2/2NP1N2/1PP3PP/R1BQ1RK1 w kq -,d1e1
3q4/1p3kpp/p1p1p3/3rPp2/PPQP1P2/8/6PP/1R4K1 w - -,b1d1
r4rk1/1bp1b1pp/2p1n3/p2pPp2/2P2Pq1/1P2QNP1/PBB4P/R2R2K1 w - -,g1g2
2b5/5pk1/3n1q2/1pb1N1p1/2p5/P4BPP/1P1QR1K1/8 b - -,d6f5
5nk1/2n5/2PRrp1p/1p2p1p1/1P2P3/5PP1/1B3K1P/5B2 w - -,d6e6
r1b1k2r/1p1n1p1p/p3pp2/1B6/3NP2P/2q4R/P4PP1/R2Q1K2 b kq -,c3b4
1rb1r1k1/1pp2pp1/p6p/5P2/P1p1Pn1P/2P2B2/2N2P2/R3R1K1 b - -,b7b5
8/6k1/6p1/4qp2/8/3B1P2/3R1K1r/3R4 w - -,f2f1
2r5/1b4k1/p5p1/Pprpn2p/3Rp3/1BP1P1P1/1P3PPN/3R2K1 b - -,e5d3
R7/6p1/5n1k/8/7P/2r3K1/8/8 w - -,g3f4
r5k1/5ppp/p7/2qNp1n1/2P5/1P4P1/2Q3KP/R7 b - -,g5e6
2r5/p3kpb1/1p2b1pp/2p2p2/1nP2N2/1P2P1P1/P2R1PBP/4N1K1 w - -,a2a3
rr4k1/1p1P1p1p/pb1Rpp2/7b/8/1P3N1P/1P2BPP1/2R3K1 b - -,b6d8
8/4K1k1/8/pp3P1B/4n3/P5P1/7P/8 w - a6,h5e2
2kr4/1bpp1pp1/p6r/1p6/4P3/1P1PPNPp/1PP4P/R4RK1 b - -,f7f6
1r3b1k/1r3ppp/4p2B/p2bP3/2p3R1/2P2N2/PPR3PP/2K5 w - -,h6e3
2r1k2r/pp1bbppp/1qn1p2n/3pP3/N2P4/P2B1N1P/1P3PP1/R1BQK2R b KQk -,b6d8
2br4/4r3/1pP1pk2/4R1p1/3P2B1/8/P4PPP/4R1K1 b - -,d8d4
8/2r2k2/4bnp1/8/2PQ2P1/5P2/7K/8 w - -,c4c5
8/5k2/1p2R3/p1pP1p1p/2P2rpP/1P6/1P2K3/8 w - -,e6h6
5rk1/2R2p1p/p2N2pb/3Q4/5R2/P3p3/KPP3PP/5q2 b - -,f1f4
rnb2rk1/ppp2pb1/3ppqpp/8/2PPP3/2N2N2/PP1QBPPP/R3K2R b KQ -,b8d7
6k1/5p2/4bnpp/3pN3/2p2PP1/2P4P/1P1R2BK/1r6 w - -,e5c6
3r1k2/pb3p2/1p2n1pp/3pN3/1P3P2/PB2P2P/5RPK/8 b - -,f8e7
8/5pk1/4b1pp/4N3/1P1R1P1P/6P1/2r5/4K3 b - -,h6h5
6r1/1p1nkp1p/2q1pb1Q/8/1P1p2r1/P1P2NP1/4RPKP/1N1R4 w - -,c3d4
2rqk2r/1p1bppb1/p1np1np1/7p/3NP3/2N1BP1P/PPPQB1P1/1K1R3R b k -,h5h4
8/pkp2ppp/2pn4/2P1r3/1P6/3RNPKP/P4P2/8 b - -,d6e8
4r2k/pBp2rb1/7p/5Pq1/2Pp4/1P1Q4/P4P1P/R4R1K w - -,a1e1
1k6/8/p2KN3/1p1B4/8/8/PP5r/3R4 w - -,b2b4
2b5/p3k3/2p1p1p1/PrN4p/1P2RP1P/2K3P1/8/8 w - -,e4d4
8/4k3/4n3/p1qpP3/Pp6/1P1Q1P2/KB6/8 b - -,d5d4
5rk1/pp2bp2/q3p1pQ/3bP3/3P3p/2N5/PP3R2/K5R1 b - -,a6d3
8/8/6rp/4k3/2p1bp2/7R/4R2K/8 w - -,h3h4
r2qr1k1/pp3p1p/3pbNp1/8/2P5/1P1B4/P2Q1PPP/3RR1K1 b - -,d8f6
r1bqk2r/1p1nbppp/1npp4/p7/P2BP3/3B1N2/1PP1NPPP/R2Q1RK1 b kq -,e8g8
7r/2qknp2/2r1p1p1/ppPpP2p/b4P2/2PQ1RP1/P1P2B1P/1R3BK1 b - -,h8b8
8/p3r1k1/bp2p1p1/2p1P1p1/7P/2P5/P1P3B1/3R2K1 w - -,h4g5
1r1qR1k1/pp4pp/2pn1p2/P2n4/3P2b1/3N1N2/1P3PPP/R1Q2BK1 b - -,d8e8
5rk1/2bq1pp1/2p2nn1/8/3Pp3/4P1PP/1B2N1BK/Q1R5 w - -,a1a4
8/pr4p1/4bk2/6p1/2pBKp2/2P4P/1P1R2P1/8 b - -,f6f7
r1bqk2r/pp1nppbp/2pp1np1/8/P2PP3/2N1BP2/1PPQ2PP/R3KBNR b KQkq -,e8g8
8/8/1p6/1P2k1p1/5p2/R3bP2/2K1B3/1r6 b - -,b1c1
8/1k6/P2p2p1/1B1Pp3/4P2p/5K2/6P1/4b3 b - -,b7a7
r1bq1rk1/ppp3p1/4pb1p/3p4/1nPP3B/5N2/PP3PPP/RB1Q1RK1 w - -,h4f6
r1r3k1/5ppp/8/1pnQp1P1/2B5/4B2P/PPq2P2/KRR5 b - -,c2a4
4R1b1/1pbr2k1/p1p2pP1/2P2P2/1Pp5/3p4/1P4K1/3B3R b - -,c7e5
2rqkbnr/pb1p1ppp/1p2p3/8/1n2P3/1NNB4/PPP1QPPP/R1B2RK1 b k -,b4d3
8/KQ6/8/1P6/8/8/qk6/8 w - -,a7b8
r1b1r1k1/pp1nppbp/2pp1np1/q7/P2PP3/2N1B2P/1PPNBPP1/R2Q1RK1 b - -,a5c7
4n3/8/3kp3/2R1p1p1/2P1P1Pp/1r3P1P/4BK2/8 w - -,c5c8:c5a5
2n5/2k3p1/pp3p1p/4p3/PPb5/2P1BPP1/1KB4P/8 w - -,b2c1
1r2r1k1/1bqn1ppp/p4b2/3p4/8/R1N1QNPP/1PP2P2/R4BK1 w - -,e3d3
r4rk1/bppn2pp/p4p2/P2p4/1P1P4/2P4P/4NPP1/R1B1R1K1 w - -,e2f4
2r1kb1r/1pq2pp1/p2pb2p/3Pp3/2n3P1/1N1BBQ1P/PPP2P2/2KR2R1 b k -,e6d7
3r2k1/p1q2p1p/4p1p1/2p5/b1P1B3/2Q1P1P1/P4P1P/2R3K1 b - -,a4c6
r2qk2r/pp1nbp1p/2p1p1p1/3n4/3P4/2PB2QP/PP1N1PP1/R1B1K2R w KQkq -,d2e4
8/1p3kpp/p1pr4/4R3/PP5P/3P2P1/4KP2/8 b - -,f7f6
rnbqr1k1/pp3p2/2pp1bpp/4p3/1PP5/2NP1NP1/P3PPBP/1R1Q1RK1 b - b3,d6d5
1r4k1/5pP1/p4n2/3p1P2/1p5r/2q5/2P2RB1/3R1QK1 b - -,f6g4
r1b1rnk1/p1q1bp1p/2pp2pB/2p1p3/4P3/3P2NP/PPPQ1PPN/R3R1K1 w - -,f2f4
5k2/1b2rp1p/4p1p1/2n5/1pN2P2/4P3/1P2BKPP/R7 b - -,b7d5
r5k1/5pp1/bp2p2p/1B6/P2R4/2P2P1P/6P1/5K2 w - -,d4d6
6k1/1p4b1/p1p1p2p/P1N1P3/1P1r1PP1/6K1/8/2R5 w - -,c5e6
rnbqkb1r/pp1p1ppp/4pn2/2p5/2P5/2N1PN2/PP1P1PPP/R1BQKB1R b KQkq -,b8c6:a7a6:d7d5:b7b6
