3k4/6p1/pKP2p2/4pP1p/8/3r2PP/2R5/8 w - -,c2a2
r7/r1p1nqk1/1p1p1p1p/1Pn1p1pP/PNP1P1P1/4BP2/R1Q3K1/R7 b - -,c5b7
r1bq1rk1/1pp1bppp/2n1pn2/8/p1Pp4/P2P2P1/1P1NPPBP/1RBQNRK1 b - -,e6e5
2r1r1k1/p2q1ppp/2pb1n2/4Nb2/Q1Pp4/6P1/PP3PBP/R1B1R1K1 w - -,c1f4
2r5/3n2p1/4k3/2B1Pp2/3P4/2R2K2/8/8 b - -,d7c5
2r2rk1/2q1pp1p/1p6/pQpPb1p1/4Pn2/P4P2/1P3BPP/2R1RBK1 b - -,c7d6
r3r1k1/1ppq1pp1/p1nb3p/5b2/3P4/P3B2P/1P1N1PP1/2RQRBK1 w - -,d2c4
r4rk1/pp1nppbp/2pp1np1/q7/2P5/PP1PPNP1/1BQN1PKP/R4R2 b - -,c6c5
8/1p5K/4r2B/p2pPR2/1b1P4/8/2k2PP1/8 w - -,f5f7
8/6k1/8/4P1r1/4K3/8/5R2/8 w - -,e5e6
2r2bk1/3q1pp1/p6p/1p1pPN1Q/4nR2/6BP/6PK/8 w - -,f4g4
r1b1k2r/2q2ppp/p3p3/3n4/2NP4/2P5/P1B1QPPb/R1B2R1K b kq -,e8g8
5rk1/2n2ppp/5n2/4p3/1R6/3P1PP1/4P2P/R6K w - -,a1a7
r1bqk2r/p4ppp/2p2n2/n1b1p1N1/8/3B4/PPPP1PPP/RNBQK2R w KQkq -,e1g1
5bk1/p7/2N5/2p5/2P1KB2/3P4/P3P2P/r7 b - -,a1a2
1r1r2k1/p4pb1/2p1b1p1/2pp2Bp/4P3/2PP1RN1/PP4PP/R5K1 b - -,d8d7
3r4/p3k3/1P1N4/1PP1p2p/6pP/4KbP1/8/2R5 b - -,a7b6
8/1B6/Pk3p1p/6p1/3K3P/6P1/8/6r1 w - -,h4g5
r1bq1rk1/pp3pbp/1n1n2p1/2pP4/5P2/1PN1B1PP/P3N1B1/R2Q1RK1 b - -,b6d7
2b4r/3n1p2/2N1k1p1/1n2p1Pp/1P2P2P/1P3P2/1KP4R/3R4 w - -,h2d2
r2q1rk1/1p2ppbp/p1np2p1/7P/3NP1b1/1BN1B3/PPPQ4/2KR3R w - -,h5g6
6k1/p5pp/8/3p4/3P4/1P5P/P1r2KP1/5N2 w - -,f2f3
6k1/pp3p1p/6p1/4P3/5q1P/3Q4/1P4P1/6K1 b - -,f4e5
2br1r2/4q2k/p4pp1/1ppBp2p/4P3/P1PP2RP/1P2Q1P1/5RK1 b - -,h5h4
4rbk1/r4ppp/p1qp1nn1/1pp5/4PP2/1BP2Q1P/PP1N1BP1/3RR1K1 w - -,e4e5
4k3/5p2/1p4n1/p2B4/P1KPPP2/1P6/8/7n w - -,f4f5
6k1/3p3p/1p2p1p1/3n4/1P1N1P2/P1r5/5KPP/R7 b - -,c3d3
r5k1/3q1pb1/2p1p1p1/7p/1PpP1Q1P/2P1R1P1/5P2/r1B1R1K1 w - -,e3e2
2rq1rk1/pp2pp1p/1n1p2p1/3Pbb2/2P5/2N1B2P/PP2BPP1/2RQK2R w K -,b2b3
8/8/1p1R4/p4p1p/2k2P1K/P5P1/1P6/6r1 b - -,b6b5
4b3/5kp1/2p2p2/1pPp1P2/pN1P2P1/P1P3K1/8/8 b - -,e8d7
1b1r2k1/q4p1p/2p3p1/2N1p3/1PbrP3/P2B2QP/2P3P1/R4R1K b - -,c4d3
3r2k1/pp1q1pbp/2n4r/2B5/2Npn1P1/1P1N3p/P3PP1K/2RQ1R2 w - -,c5a3
r7/1ppq1nk1/p2p2pr/3Pp3/4PpP1/2P2N2/PP2QP2/R4KR1 b - -,h6h3
8/5pk1/7p/R6P/1r4P1/6K1/5P2/8 w - -,a5a6
8/2R4p/4rpk1/7p/2P2R1K/2r4P/5PP1/8 b - -,c3c2
1q3rk1/N4pbp/1p2pnp1/6B1/P1P4P/6P1/3Q1PB1/4RK2 b - -,b8a7
8/8/8/4p3/2r1kpp1/8/6K1/4R3 b - -,e4f5
rN1nr1k1/2R3p1/1Rp1p2p/p2pPp2/P2P4/2P2P2/6PP/6K1 b - -,c6c5
r5k1/1r2ppbp/2Np2p1/1P1Pnb2/n1p5/q1N1B1P1/P3PPBP/2RQ1RK1 w - -,e3d4
6k1/2R5/6p1/6P1/4P2r/5K2/8/8 w - -,c7c4
2r2rk1/5ppp/p7/3p1P2/b7/5P2/1Q4BP/2R3K1 w - -,f3f4
r1r3k1/1p5p/1R1p1qp1/3Pbb2/1Q3N1P/4B1P1/4PPK1/7R b - -,a8a2
2r2rk1/p3qppp/b1nbpn2/2pp4/3P4/PP3N2/BB1N1PPP/2RQR1K1 w - -,d4c5
r1b1r1k1/pp1n1p1p/3B2p1/8/2P1P3/2b2P2/P5PP/1R1K1BNR b - -,b7b6
R1nqrbk1/1bp2pp1/3p1n1p/1p1Pp3/4P3/1BP2NN1/1P3PPP/2BQR1K1 b - -,b7a8
rn2k2r/pp2ppbp/2p3p1/1q6/1Q1P4/5N1P/PPP2PP1/R1B1K2R w KQkq -,b4b5
4k3/p3n3/4PK1p/1pp5/2n2B2/P1P2B2/8/8 w - -,f3h5
2Rn4/3Pk3/2B3p1/1PN1p3/3rP2p/2K1b2P/6P1/8 b - -,d4d6
3rr1k1/pb3ppp/1p3b2/3q4/6Q1/PP2BN2/5PPP/1R2R1K1 b - -,e8e4
r4rk1/pb3ppp/1qp2n2/1pb1nN2/4P3/2N5/PPQ1BPPP/R1B2RK1 w - -,c1g5
r1b1r1k1/pp3pbp/nq3np1/1B1p4/4PB2/1NN2P2/PP4PP/R2Q1RK1 w - -,g1h1
8/1pp1Npk1/p3q1p1/1n2p3/1P2P2p/2P4P/1P3PP1/3Q1NK1 b - -,e6e7
rnbqk1nr/ppp2pbp/3p2p1/4p3/2P5/2N2NP1/PP1PPP1P/R1BQKB1R w KQkq e6,d2d4:f1g2
8/6pk/r6p/4r3/P2R4/4KP2/R5P1/8 w - -,e3d3
2R5/4bpkp/4p1p1/4P3/1qp2P2/3r3R/6PK/2Q5 w - -,c8c4
5r2/1r2p2k/3pq1pp/2p1B3/p3P3/P1P4P/1P1RQ1P1/4N2K b - -,e6e5
2r2r2/1p4k1/p4pn1/2pq1bp1/3pN3/P2P2P1/1P1Q1P1N/2R1R1K1 w - -,e1e2
r1bqk1nr/p1p2pbp/2pp2p1/8/2B1P3/2N5/PPP2PPP/R1BQ1RK1 b kq -,g8e7
r3r1k1/1p3pb1/p1qp2pp/P1pnn3/R3PN2/1P5P/2PQ1PPB/4R2K w - -,f4d5
4r1k1/5p2/3p2p1/2pq3p/3nbQ2/1P2R2P/P4RP1/6K1 w - -,f4f6
1n2k3/1B5n/p2p2p1/2p2p2/2Pb1P2/1PN3KP/1P1B4/8 w - -,g3f3
r1b1kb1r/2qn1pp1/p3p2p/8/1p1NN1P1/4QP2/PPP4P/2KR1B1R b kq -,f8e7
8/8/5k2/5p2/3n2p1/6K1/B7/8 w - -,a2g8
r3nrk1/1bpnqp1p/1p1p2pb/p2Pp3/2P1P3/P1N4P/1PQNBPPB/R2R2K1 w - -,b2b4
r1b1k1nr/pp3ppp/2n1p3/2qpP3/8/P1P2N2/2PB1PPP/R2QKB1R w KQkq -,f1d3
1r2r1k1/3b1pp1/p1p2b1p/qnBp4/N4PP1/1P6/P1R1P1BP/3Q1RK1 w - -,e2e4
rn1q1rk1/p1p2ppp/bp3n2/3pN3/3P4/P1Q3P1/1P2PP1P/R1B1KB1R b KQ -,c7c5
r1b1n2k/pppn1rb1/8/5p2/2P1p1pq/1P2P1B1/P2N1PP1/1BRQNRK1 b - -,h4h6
8/p3q1kp/5pn1/5p2/P7/5B1P/5QP1/4rRK1 b - -,e1f1
5b2/5kp1/3p3p/3Pp3/1KN1Pp2/1P3P1R/8/5r2 b - -,g7g5
8/p3bk2/4p1pp/4Pp2/bP3P2/P1K2BPP/6N1/8 w - -,g2e3
2rrq1k1/ppn1ppb1/2p2npp/8/PPNPP3/2R1B2P/2Q1NPP1/2R3K1 b - -,c7e6
6k1/4p1b1/6p1/2Bn1p2/5P2/5RNP/1r6/7K w - f6,h3h4
8/5p1p/8/P2k1pPP/1p4K1/r7/2P1R3/8 w - -,g4f5
r1bq1rk1/pp3pbp/1nn1p1p1/3p4/5B2/1QNP1NP1/PP2PPBP/R1R3K1 b - -,h7h6
3r1b1k/p6p/2b1qPp1/8/1ppBP1PQ/2Pr3P/P4R2/4R1K1 w - -,f6f7
8/8/k7/3RN3/1K6/8/8/1r6 w - -,b4c4
8/2r3rR/p3p1P1/1p2Pp2/1P1Pp2R/PkP1K3/bB6/8 w - -,h4h2
r1b2k2/1pp4p/pn3Np1/3P4/8/6P1/PP3PBP/3R2K1 b - -,h7h6
8/2n5/8/3p1kp1/8/4K3/4B3/8 b - -,g5g4
8/p3qppk/2Q3bp/4p3/1bN5/2N1P1P1/PP3P1P/6K1 b - -,b4c3
r3qrk1/bpp2ppp/p1npb3/2n1p3/3PP2N/2P1B1PP/PPB2P2/R2QKN1R b KQ -,e5d4
