8/6k1/5n2/1K4pp/5rP1/3Q1P2/8/8 w - -,g4h5
r2qkbr1/1b1n1p1p/pp1ppn2/2p5/3P2p1/2PBP2P/PP1N1PPB/R2QNRK1 w q -,h3g4
7k/2Q2b1p/5qp1/4p3/8/5rP1/3R1P1P/5BK1 b - -,e5e4
8/6Rp/ppnk2b1/3p4/6P1/1B3P1P/P4K2/8 w - -,f3f4
3b4/3k2p1/3n1p1p/p1BBpP2/K3P3/2P4P/1P6/8 b - -,d8c7
5rk1/ppp2q1p/3p2p1/3P1r2/2PQ1b2/8/PP1BRP1P/5K1R w - -,d2e3
8/p4pkp/1p1P4/3q2p1/P7/4P1QP/6PK/8 b - -,h7h6
7r/8/6P1/8/3kp1K1/R4p2/5P2/8 b - -,h8h2
b4rk1/2q1b1pp/3p4/3P1p2/2P1p3/3Q3P/1P1N1PP1/2B1K2R w K -,d3b1
8/3k2pp/8/1ppn4/p7/3P2P1/P4P1P/2R2K2 b - -,d7d6
r5nr/pppb1kpp/2n1pp2/3pP3/1b1P1P2/2NBB3/PPP3PP/R3K1NR w KQ -,g1e2
2B5/8/5k2/6p1/8/3r4/6K1/8 b - -,f6e5
3r2k1/p4rp1/1p1ppnq1/1P1b3p/P2Pp3/B3P1PP/3RQPB1/5RK1 b - -,f6h7
4r1k1/p4pp1/1q5p/2pn4/P2p1Q2/1P1R2NP/2P2PPK/8 w - -,f4f5
rn1qkb1r/p2p1ppp/4pn2/P7/1p1N4/6P1/1PP1PPKP/RNBQ1R2 b kq -,f8c5
5r1k/1p3P2/p5pP/3p4/2q1p3/7P/PPP2Q2/2K2R2 b - -,h8h7
8/8/ppprk3/5pp1/PP1PK2p/4P2P/5PP1/2R5 w - -,e4d3
5b2/8/3p4/3P1pk1/p1P2q1p/5P1P/6Q1/1N1K4 b - -,g5h5
1r3rk1/pN3pp1/3Nbn2/6p1/3bp3/4P1P1/P1R2PBP/5RK1 b - -,e6d5
3r4/pQ2nbkp/1q3pp1/1P2p3/8/6P1/P3PPBP/1R2N1K1 b - -,b6b7
r1b2rk1/pp3ppp/1qn1p3/8/3PP3/5N2/P2QBPPP/2R1K2R w K -,e1g1
6k1/5p2/4pB2/4N2P/4K1P1/b7/8/8 w - -,h5h6
4qnk1/p4rb1/3R2pp/1pp1p3/4P2P/PQ3NN1/1PP2P2/2K5 w - -,h4h5
3r2k1/4b1qp/p2rpp2/1p6/2p1B1PP/P1N1Q3/1PP5/1K5R w - -,e4f3
5r2/1P1nn1k1/1q1P2p1/pNp1p2p/8/P2P2Q1/6BP/1R5K b - -,e7f5
3r2k1/p1p3pp/2q1n3/4Pp2/2QB1P2/P3P2P/6P1/2R3K1 b - -,c6c4
r1bqr1k1/1ppp1ppp/p1nb1n2/8/B1PPp3/PPN1P3/1B1N1PPP/R2QK2R b KQ -,d6f8
1rb2rk1/1pNn1pbp/pq3np1/3p4/3PpB2/Q1R1P3/PP1NBPPP/5RK1 b - -,f8d8
rnbqkbnr/pp2pppp/8/2p5/2PP4/5N2/PP1P1PPP/RNBQKB1R b KQkq -,c5d4
1rr3k1/p1q2ppp/4pb2/1P6/Q7/P1pB4/2P2PPP/1R2R1K1 w - -,a4e4
8/2Nn1k2/p1rP2p1/1p3p1p/3R1P1P/4K1P1/8/8 b - -,c6b6
1r1q1rk1/1p1b1ppp/p2Ppn2/b3Q3/8/P1N5/1P1PNPPP/R1B1K2R b KQ -,d7c6
4r1k1/pp2q1p1/2b1p2p/4Q3/3P4/P1PB4/6PP/4R1K1 w - -,d3g6
r1b2rk1/p4p1p/2p2np1/2b1q3/8/2N1PP2/PP2N1PP/R1BQK2R w KQ -,e3e4
7k/1ppqr2n/2n3RQ/p2bpp1p/P2P4/2P4P/1PB2PPK/4R3 b - -,e5e4
6k1/4qR1p/p5p1/np1rp3/4P3/2P1P2P/1PB3P1/6K1 w - -,f7e7
2r3k1/6b1/2P3pp/3nq3/2Q2Pr1/8/PP1B3P/2RR2K1 w - -,g1h1
R7/8/1r6/8/8/3pKP2/4b1P1/3k4 w - -,a8a1
2rq1rk1/pp3pbp/5np1/8/3Np3/BP1nP3/P2QNPPP/R4RK1 b - -,f8e8
r6r/4k1p1/1R1p4/pP2p2p/P1P1B3/7P/5PP1/6K1 b - -,a8b8
6b1/8/7P/4kP2/3N4/4p3/pK6/8 w - -,d4e2
3r1k1r/1bq1bppp/p3p3/3n4/B2RN3/2P5/1P2QPPP/R1B3K1 w - -,c1d2
2kr3r/1p3ppp/p1b1pq2/3n2N1/5P2/P2B4/1PP3PP/2Q1RR1K b - -,h7h6
r1b2rk1/p1q2ppp/1p1ppn2/2p5/2PP4/P1PBPPN1/2RQ2PP/5RK1 w - -,f3f4
1rbr4/pB5p/3k1bp1/5p2/2R2P2/8/PPP3PP/1K1R4 b - -,d6e7
8/2b1k3/p1p3q1/1pP2P2/1P5p/5Q1P/3B4/7K b - -,g6g3
r2qk2r/pp2pp2/2p1bnpb/4B2p/3P1P2/2N4P/PPPQB1P1/2KR3R b kq -,h5h4
8/4RP2/8/3k4/P7/6K1/8/5r2 w - -,a4a5
5bk1/5pp1/8/2pR4/8/5r1p/P2B4/6K1 b - -,f3a3
8/8/r1pk2p1/1p1p1p1p/3P1P1P/6P1/P1R1KP2/8 w - -,e2d2
2r2k2/R2nbp2/1p1p1np1/1B1Pp2p/1PN1P2P/4BP2/4K1P1/8 b - -,f8g8
6k1/1p4p1/p3ppbp/8/4qPPP/P1B5/1PP2Q2/2K5 w - -,g4g5
5k1r/p4nR1/1Pr2p2/4pP1p/2P1b2P/2P5/4BB2/2K3R1 b - -,a7b6
r4rk1/p3ppbp/1pp1n1p1/2p1P3/Q7/P1Pq1NB1/1P3PPP/R3R1K1 b - -,d3b5
8/8/p5k1/4Q2p/P1p4q/2P4P/6P1/7K b - -,a6a5
2r4r/4qpk1/1p1b1npp/p1pp4/3P3R/1QN1P1P1/PP2BPP1/K2R4 b - -,c5c4
2r2r2/1p2nbpk/2p2p1p/B1P5/P4PP1/5P2/1P6/2R1R1K1 w - -,e1e7
6rk/p2b3p/3p1qr1/1PpP1p1n/P3pP2/2N1N1PP/1P3QRK/6R1 b - -,f6d4
8/p3kp2/Kp6/3BP1p1/P3P3/7P/5b2/8 b - -,f2g1
rn1q1rk1/1b2b1pp/p2pNn2/1p6/4P3/P1N1B3/1PP2PPP/R2Q1RK1 b - -,d8c8:d8e8
4k2r/prpp4/5np1/2p2p2/2P4p/1PR2PP1/P3P2P/3NK2R w Kk -,h1g1
1qr1r1k1/5pnp/pp1pp1p1/5nP1/PPP1P2P/5Q2/8/1NRR1BK1 w - -,e4f5
2kr3r/1pp3pp/p2qbp2/2bNp3/3nP3/1Q1P2PP/PPP1N1B1/2KR3R w - -,e2d4
8/K1k3p1/P4b1p/3R4/8/r7/8/8 b - -,f6e7
3rr1k1/1p1b1pp1/2p4p/p1PN2q1/P1P1B3/B5P1/7P/R2Q1RK1 b - -,e8e4
8/6k1/pR3p2/P2p2p1/1P1P4/4P1K1/1r6/8 b - -,g7g6
5rk1/p3bpp1/b1nNp3/7p/Ppp5/4BPPq/1PQ1PR1P/3R2K1 w - -,d6c4
rnbqkb1r/p3pp1p/3p1np1/2pP4/1pP5/1P6/PN2PPPP/R1BQKBNR b KQkq -,f8g7
8/1b1k4/pPp5/4K3/1P3B2/P7/8/8 w - -,e5d4
rn2k2r/5ppp/1qp5/3PP3/1p2n1Q1/4P2P/P4PP1/1R2KB1R b Kkq -,c6d5
rnbq1rk1/pp4pp/2pbpn2/3p1p2/Q1P2B2/2NP1NP1/PP2PP1P/R3KB1R w KQ -,c4d5
r5k1/1p6/2p2p2/3bpP2/7P/1P1N2PK/3bB3/5R2 b - -,a8a2
8/4kp2/1p4p1/p3P2p/3r3P/6P1/P1R2PK1/8 w - -,c2c7
8/1K1bB1p1/P2P4/3k3p/2p5/8/8/8 w - -,a6a7
r3r1k1/1p4b1/2p1pp1p/3q1np1/p2P4/1PPR1N1P/P4PPB/3QR1K1 b - -,b7b5
2rk4/1r2qnpp/3p1p2/1bpPpPP1/p1N1P2P/PnQ1BB2/1P4RK/6R1 w - -,g5f6
6k1/pp5p/8/4p3/4P3/R5P1/PP1r2BK/3b4 b - -,d2b2
6r1/p1k5/2p1p2p/1pPrPp2/5P2/1P6/1P5P/3RR2K w - -,d1d5
1r6/3q3k/1r4p1/1ppPp1Bp/2PbQp1P/1P3PP1/7K/1R2R3 b - -,b5c4
r4bk1/1b4pp/2Np4/3Pp3/1P2Q3/1q2B2P/5PPK/1R6 b - -,b3a2
1n2rrk1/3qn1b1/3pb1pp/1p2p3/1P4P1/3P1N1P/1B1QNPB1/R4RK1 w - -,e2c3
r4r1k/1pp3pp/pnn2p2/2P1p3/8/PQ1P1NPq/1B2PP1P/2R2RK1 b - -,b6d7
r1r3k1/2q1bppp/3pbn2/4p3/2B1P3/1PNQBP2/2P3PP/2KR3R w - -,c3d5
r2q1rk1/2p1bppp/4pn2/p1Nb4/1p1P4/5NP1/PP2PPBP/R1Q2RK1 b - -,f6e4
rn1q1rk1/ppp1ppbp/4bnp1/8/2NP4/3BPN2/PP3PPP/R1BQK2R w KQ -,e1g1
