8/R7/6P1/1p6/pPk4K/1r5P/8/8 b - -,b3b1
6k1/4pp2/6p1/2Q1p2p/4P3/5PP1/7P/q5K1 w - -,g1g2
8/2N3k1/5pp1/p3p3/1p6/1B2K2P/1P6/1b6 b - -,g7h6
r1b1rnk1/p1qn1ppp/2pbp3/1p2P3/8/1P1P1NP1/PB2QPBP/R4RK1 w - -,e5d6
r1b3k1/pp3ppp/2n5/1N1n2P1/8/3RrP2/PPP1N2P/2K2B1R b - -,e3d3
5r2/1pkn4/1n1p1q2/p1pP1pp1/P1P5/1BP1PQBP/3K4/4R3 b - -,d7e5
r1bqk2r/1ppn2pp/p1pb1p2/4p3/2N1P3/3P1N2/PPP2PPP/R1BQ1RK1 b kq -,e8g8
r2qkb1r/1p1npppp/p4n2/3pNb2/3P4/2N1P3/PP2BPPP/R1BQK2R b KQkq -,h7h6
5r2/pp3p2/2n1k1p1/3RP1p1/8/P6P/1P3RP1/6K1 w - -,d5b5
1r6/R3rbk1/1b3qpp/1P6/3pB2P/3P1NP1/P1Q2P2/1R4K1 w - -,a7e7
6k1/5p1p/1p6/3R4/p1r1p3/P5P1/1P5P/1K6 w - -,d5b5
2r3k1/1p4bp/p5p1/3r1p2/3P4/1P6/PB3RPP/3RK3 b - -,c8d8
r2q1rk1/p4bbp/1p3nn1/2p2p2/2Pp1P2/2N2BPP/PPQN3B/4RRK1 w - -,c3d1
2Rr1n2/3Pk2p/7R/p2r4/Bp4P1/1P3K2/8/8 w - -,f3e4
2r1r1k1/1b3pbp/pp1pp1p1/4n3/PqPNP3/1P2B1PP/5PB1/1QR1R1K1 b - -,e5c6
2b5/q5k1/3p2p1/P2Bp2p/2P5/4P2P/5QPK/8 b - -,c8a6
r2q1rk1/p3bpp1/bp2pn1p/3nN3/3P3B/P7/1P2NPPP/RB1Q1RK1 w - -,e5c6
3n2k1/1qp1b1p1/p1npp2p/4p3/P1N1P2P/2PPBNP1/Q4PK1/8 b - -,d8f7
8/7p/1p2k1p1/4pp2/PP6/2N2P1P/3K2P1/6b1 b - -,h7h5
2r1r1k1/pp1bppbp/2np1np1/6q1/2P5/1PN1PN2/PB1QBPPP/2RR2K1 b - -,g5h6
r1bq1rk1/1pp3bp/1n1p1pp1/pN1Pp3/2P1P1P1/1P2BQ1P/1P3P2/R3KBR1 b Q -,c8d7
1r1qk2r/1p2npbp/2npb1p1/p1pNp3/2P5/P2PP1P1/1P2NPBP/1RBQK2R w Kk -,e2c3
r1bq1rk1/4bppp/p2p1n2/npp1p3/4P3/2PP1N2/PPBN1PPP/R1BQR1K1 b - -,c8b7:a5c6:f6d7:f8e8:d8c7
3r2k1/1q3pp1/4b2p/1Np3b1/P1P1p2P/8/1PQR1PP1/2KR4 b - -,g5d2
3rk2r/1pp1bpp1/p1n4p/4p3/bP2P3/PqB1RN1P/1QNP1PP1/R5K1 w k -,b2b3
6k1/5p1p/4p1p1/3nP3/2BP4/p4N1P/1b4P1/6K1 b - -,d5b4
2R5/p3r3/1pp2pk1/6pN/4P1p1/1P4P1/P1P2K1P/8 b - -,g6h5
5k2/2R3b1/2P5/8/1p2P3/2r3P1/5K2/8 b - -,b4b3
1r3rk1/pp2qpbp/3p2p1/3P4/1PPp4/P2P2p1/3QN1KP/1RR5 w - -,h2g3
6k1/p2r3p/3p4/3P1p2/b1pR1B2/6P1/8/5K2 w - -,f1e1
r1bqkb1r/1p1npp2/p2p3p/n1P2Np1/2P1P3/2N2P2/PP1Q1BPP/R3KB1R b KQkq -,d6c5
2r1k3/R1b1r1p1/1pp1bp1p/4p3/1PP1P2P/2B2PP1/5K2/3R1B2 b - -,e7d7
r1q1r1k1/1ppb2bp/n2p2p1/3Ppp1n/1pP1P3/P1N1BP2/3NB1PP/1R1QR1K1 w - -,a3b4
1r2q1k1/1p1bbppp/p1n1p2r/8/3P4/1Q2PNN1/PP4PP/1BRR2K1 w - -,e3e4
2q3k1/1p3p1p/2p1np2/p1b2N1B/4PP2/PP4P1/6KP/3Q4 w - -,a3a4
rn2k2r/1q3ppp/p2bpn2/1pp1N3/3P1P2/2N1P3/PP4PP/R1BQ1RK1 b kq f3,e8g8
rn1qkb1r/pp3p1p/4bp2/3pp3/8/1N2B3/PPP1PPPP/R2QKB1R w KQkq -,c2c3
rn2k2r/pp2p1bp/4b1p1/q1p3B1/6n1/2N5/PPPQ2PP/1K1R1BNR w kq -,f1b5
1k4r1/pp2b3/4p2N/3pP3/1PnP1P1P/P4N2/7K/8 w - -,h6g8
r1b2rk1/pp3ppp/2n1p1n1/2qpP3/8/P1PB1N2/2PBQPPP/R4RK1 w - -,h2h4
6k1/2K2p2/2Q3p1/6P1/8/8/4r3/8 w - -,c6a6
1r4k1/6p1/2n1qpbp/prPpp3/Q7/P1B1PPP1/5N1P/2RR2K1 b - -,g6e8
2rq1rk1/p2nbppp/b1p1pn2/1p1p4/N1PP4/1P4P1/P1QBPPBP/3RNRK1 w - -,a4b2
2r3k1/1br2pp1/1p1q3p/pBpp4/3Pn3/1P2PN1P/P1RQ1PP1/2R3K1 w - -,d2d3
2q1nr2/prpn2Bk/1pN1p1pp/8/1P6/2NP2P1/P1PQ1P2/R3R1K1 b - -,e8g7
2r1b1k1/q1r2p2/p2pp1pb/1p3P1p/2PQP3/1P2N2P/P3N1P1/2RR3K w - -,c1c3
8/p7/1p4k1/2n2p1p/P1p5/2N3K1/8/8 w - f6,g3f4
1r1q2k1/2nb1ppn/3p1b2/2pPpPP1/2P1P3/1rN2N1B/3Q4/R3B1RK b - -,f6e7
r4rk1/pp1q1pbp/2npbnp1/2pNp3/2P5/1P4P1/PB1PPPBP/R2QNRK1 w - -,e1c2
r5k1/pp2bp1p/2p1q1pB/4P3/2P5/3Q4/b4PPP/R3R1K1 b - -,a2c4
r3rbk1/1b1n1p1p/ppqppnp1/8/P1NP4/2PB1N1P/1P3PPB/R3RQK1 w - -,f3d2
2r2rk1/pn2ppbp/Bp1p1np1/3P4/1P2P3/2q1BP2/P1NQ2PP/2R2RK1 b - -,c3d2
r2q1rk1/1bpn2pp/pp1bp3/3p4/N1PPnP2/1P1B1N2/PBR1QPPP/5RK1 b - -,f8f4
1r2kb1r/p2n1ppp/q2Pp1n1/2p1P3/PpN5/4RN2/1P2QPPP/2B2RK1 b k -,g6f4
r4rk1/1pR2p1p/p4p2/5b2/8/1PN5/1PP2PPP/3R2K1 b - -,f5c2
8/p6p/3kP1p1/2pP4/Pp2K2P/1P6/8/8 b - -,h7h6
r1b2rk1/p3b1pp/2p3q1/3pp3/4p3/2P1B2P/PP3PPN/R2QR2K b - -,e7g5
4r1k1/pp4pp/q3p3/2rp4/6Q1/4P1PB/PP3P1P/R4RK1 w - -,a1c1
8/6kp/8/1p4P1/2p4P/P1K2RP1/1P4r1/8 b - -,g7g6
8/2rq2pk/R4p1p/1Q2p3/4P3/2P4P/5PPK/8 w - -,b5d7
r1b1k1nr/pppn2pp/5p2/2b1p3/2B1P3/4BN2/PPP2PPP/RN1K3R w kq -,d1e2
8/5kbp/p3rp2/1r3p2/1P1B4/2PR3P/5PP1/R4K2 b - b3,f5f4
r1b2bk1/p3qr1p/3p2pn/QNpPpp2/2P1P3/7P/P2NBPP1/1R3RK1 w - -,d2b3
4b3/7p/1p2k3/1P3R2/3K4/2r2B2/6PP/8 b - -,e6f5
1r5k/2pb2b1/3p3p/QP1q4/p4P2/P5PP/1P5R/2K1R3 b - -,b8b5
1r5r/p2qk1b1/2ppbpp1/4p2p/Q1P1P2P/3PB1P1/P4PB1/1R3RK1 b - -,c6c5
2rk4/3bq3/8/pp1R4/8/PB4Q1/KPP3P1/8 w - -,d5d6
r2q1rk1/1p2ppbp/1np2np1/p7/P2PP1b1/1BN2N2/1P3PPP/R1BQ1RK1 w - -,c1e3
r1bqn1k1/pp2br2/3p2n1/3Pp3/1P2PpP1/3Q4/P2BBNP1/2RN1RK1 b - -,f7g7
6k1/7p/4pPp1/3pP3/6P1/8/R2K3P/6r1 w - -,a2a8
r1bq1rk1/1p2ppbp/1n4p1/p2n4/P2N4/2P2NP1/1P3PBP/R1BQR1K1 b - -,f8e8
rBq3k1/1b3pbp/3p2p1/1pnPp3/2p1P3/R1P4P/1nBQNPP1/RN4K1 b - -,a8b8
8/ppp1k1p1/1b2P2p/1P4r1/P3R3/8/3R3P/3K4 b - -,c7c6
4rk2/pppR2R1/1br1p2p/5P2/8/2P2N2/PP5P/7K b - -,e8d8
r6r/ppqnkpp1/4pn1p/7P/3Q4/4N3/PPPN1PP1/2KR3R b - -,d7c5
r1bq1rk1/p2pppbp/2p2np1/8/2P5/6P1/PP1NPPBP/R1BQ1RK1 b - -,d8c7
3q1rk1/4r2p/3n1bp1/2BP4/Bp2p3/8/P3R1PP/3Q1R1K w - -,c5b4
2r3k1/p4pbp/1pn3p1/1Q1Rr3/6P1/P3B2P/5P2/6K1 w - -,b5c6
r1bq1rk1/1p2bppp/p1n1p3/8/6P1/P1N4P/1PPB1PB1/R2QK2R w KQ -,d1f3
1r3rk1/1p3pbp/p2p1np1/2pPq3/P3P3/2NQ1BP1/1P3P1P/1R2R1K1 b - -,f6d7
r2q1rk1/ppp1n1bp/3pbpp1/n6P/4P1P1/2N1Q3/PPPBBP2/2KR2NR b - g3,f8f7
2rr2k1/pnq2pp1/3bbn1p/8/N2Pp3/1P6/PQN1BPPP/R1B2RK1 w - -,c2e3
2kr4/pp1r2pp/2n2p2/1BB1pb2/8/1NPn1PP1/PP5P/R3K2R w - -,b5d3
rn2k2r/5ppp/pqp5/3pP3/1BP1n3/4PQ1P/P4PP1/1R2KB1R b Kkq -,a6a5
5rk1/5pp1/p7/4p1p1/2P5/1r6/1P2RPPP/R5K1 w - -,e2e5
2r5/pp2Rkp1/1q2ppp1/2b5/7P/5P2/PPP1Q1P1/1KBR4 b - -,f7e7
r1r3k1/pp1bppb1/3p1np1/q3n2p/3NP2P/1BN1BP2/PPPQ2P1/1K1R3R w - h6,e3h6
