2Qr4/4k3/2p1n2p/P5p1/1P6/8/4K1PP/8 w - -,c8b7
6k1/5p2/4p1p1/P3r1Pp/8/1N6/2K4P/8 b - -,e5g5
Q6k/6b1/pp5p/4p1pP/6P1/4N3/1q3PK1/8 b - -,h8h7
2r2r1k/p2B3P/1p5R/2bpP3/3p1n2/3Q4/PP6/1K1R4 b - -,f4d3
rnbqkb1r/p1pn1ppp/1p2p3/3pP3/3P4/2P5/PP1N1PPP/R1BQKBNR w KQkq -,f2f4
r7/ppR2r1k/4pbp1/7p/4P2P/4BP2/P3KP2/2R5 b - -,a8f8
r1bqr1k1/1p3pbp/5np1/p2pP3/Pn3B2/2NP2PP/1P1QN1B1/R4RK1 b - -,f6d7
r2qkbnr/2pb1ppp/p1Qp4/1p6/4P3/1Bp5/PP3PPP/RNB1K2R w KQkq -,c6d5
8/7p/8/1pB2k2/1Pb4P/8/2N1pK2/8 b - -,f5e4
3r4/1R1P1k2/1p4p1/p4p1p/P1P1p2P/4P1P1/5P2/5K2 w - -,f1e2
rnb1kbnr/1pqp1ppp/p3p3/8/3N4/6P1/PPP1PPBP/RNBQK2R w KQkq -,e1g1
r3kb1r/pp1qpppp/2n2n2/2p5/5N2/2NP2P1/PPP2P1P/R1BQ1RK1 b kq -,g7g6:h7h5
5rk1/p3ppbp/q2p2p1/1p1P4/bn2nP2/PNP1B1PP/6Q1/R2R1BK1 b - -,e4c3
r3r1k1/pb2qp1p/3R2pb/1ppB4/4P1P1/2P2NQP/PP3P2/R5K1 w - -,a1e1
6k1/p3Qpb1/2b3pp/R7/2p1P3/2P2P1P/P2q2BK/8 b - -,g7c3
rn3rk1/pbp1ppbp/1p4p1/1B6/3PP1q1/1QP2N2/P4PPP/R1B2RK1 w - -,f1e1
2r1b3/4q1bk/R1n1p1pp/3pP3/3P4/3B1NPQ/3B1PK1/8 b - -,e8f7
8/8/8/p5p1/4bk2/P1K4B/8/8 w - -,c3d4
r1b2rk1/ppp2ppp/2nq1n2/8/3Pp3/4B3/PPP1BPPP/RN1Q1RK1 b - -,f6d5
r2q1rk1/ppp1ppbp/1n2b1p1/8/3n4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,f3d4
R7/P5k1/8/5p2/r7/6PK/5P2/8 w - -,f2f4
r1bqk2r/pp3pbp/2npp1p1/2p2n2/2P1N3/4PNP1/PP1P1PBP/R1BQ1RK1 w kq -,d2d4
2r3k1/1p2Qp2/p5p1/3P4/P1P5/7P/P7/6K1 w - -,c4c5
8/p7/4r3/K5k1/P5P1/8/6R1/8 w - -,g2f2
r2k3r/5pp1/pn1p4/3P4/1p3p1P/1P6/1PP3B1/2KR3R b - h3,b6d7
2r3k1/N4pbp/n2B2p1/5b2/2p5/8/NP3PPP/2KR4 b - -,g7h6
6R1/1pqnbp2/1p1ppkpr/8/3PPN1p/1QP2P1P/6P1/1R4K1 w - -,g8a8
2R2bk1/5p1p/3qp1p1/p2r4/8/1P3N2/P1Q2PPP/6K1 w - -,g2g3
r1bqkbnr/ppp1pppp/2n5/8/8/2N2N2/PPPP1PPP/R1BQKB1R w KQkq -,d2d4
2br2k1/1p3pbp/p2N2p1/2P1p1B1/1P6/7P/P4PP1/2K4R b - -,f7f6
3r3k/p1q2pp1/Pp2bb1p/2p5/1nP1B3/4BN2/1P3PPP/2QR2K1 w - -,d1d8
r1bq1rk1/pp2ppbp/2n2np1/2pp4/8/3P1NP1/PPPNPPBP/R1BQR1K1 w - -,e2e4
8/3QKP1k/8/4q2P/8/8/8/8 w - -,d7e6
3r2k1/pp4p1/2n1pq1p/8/8/2P1R1PP/P1Q2PB1/6K1 b - -,d8f8
5rk1/4b1pp/2n1p3/4Pp2/2bp1P2/6Q1/1qPB2PP/1NR1N1K1 b - -,f8b8
8/8/4k3/p6r/K7/3R4/P7/8 b - -,h5e5
r1bq1rk1/2p1pp1p/p5p1/1p2n3/5Qn1/2NB1N2/PPP2PPP/R3K2R w KQ -,d3e4
5rk1/1pp5/8/p2P3p/5r2/2N4P/PP3bK1/R4R2 w - -,a1d1
rnbq1rk1/pp3pp1/2p1pb1p/3p4/2PP4/1QN1PN2/PP3PPP/R3KB1R w KQ -,f1d3:f1e2:a1d1
r2q1rk1/pp1n1ppp/2p2n2/2bpp2b/4P3/1P1P2PP/P1PNNPB1/R1BQ1RK1 w - -,c1b2
r2qkb1r/pp3pp1/2n1pn1p/3p4/3P4/2NBPQ2/PP1B1PPP/R4RK1 b kq -,f8d6
2b3k1/2p3qp/np1p2p1/3P4/1PP1Pp2/7P/3QB1PK/R7 w - -,a1f1
8/4Q3/8/pp1p1q2/2pP4/P1Pk3p/1P5K/8 b - -,f5g4
5rk1/2R2pp1/1p5p/8/7N/4P1P1/r3PK1P/8 w - -,c7b7
r3kb1r/ppq2pp1/4p3/1P5p/8/7P/PP1BQPP1/R4RK1 b kq -,f8d6
7k/Q7/4K1p1/5r1p/7P/8/8/8 w - -,a7a8
1k1r4/1p2b1rp/p2pbp2/1P1N4/R3P3/7Q/1PPq2PP/R6K w - -,h3f3
2r2rk1/pb1q1pbp/1p2p1p1/6N1/2nP2Q1/2PB2B1/P4PPP/2R1R1K1 w - -,g4h3
8/4pk2/1Rn4p/4P2P/1pr5/5PK1/3B4/8 b - -,c4c5
3n4/p1nk1p2/4p1p1/2BpPqNp/P1pP1Q1P/2P5/5PPK/8 w - -,f4f5
r1bq1rk1/p1pnbppp/2pp4/8/2B1P3/2N5/PPP2PPP/R1BQR1K1 w - -,c1f4
r1r2nk1/1p2ppbp/1qp1b1p1/8/2PPB2N/1PB3P1/2Q2P1P/2R1R1K1 w - -,c2b2
4Rrk1/5pp1/p1pp3p/8/2P3q1/5N2/P3QP2/5K2 b - -,c6c5
rn1qkb1r/pp3pp1/2p1pnbp/3p3P/3P1BP1/2N1PP2/PPP5/R2QKBNR b KQkq -,g6h7
3Q2k1/6q1/6p1/7P/p1P3p1/3B4/5P1K/r7 b - -,g7f8
r3r1k1/6p1/1R5p/2p1Pp2/P1Pn4/7P/6P1/4RBK1 b - -,a8a4
8/1ppkB1pp/8/1p6/5PP1/7P/2K5/8 w - -,e7f8
5nk1/3b1p2/2p2Ppp/p2p2q1/3Q4/2P5/PPB3PP/5RK1 w - -,d4f4
8/2k5/2P5/4p3/3r1r1p/2KBR3/2P4P/8 b - -,d4d5
r1bq1rk1/1pp1ppbp/n5p1/p7/n2P1P2/4PN2/PP1B2PP/2RQKB1R w K -,d1a4
8/8/5Rpk/5p2/1p6/4rBP1/3r4/5RK1 w - -,f6b6
r2r2k1/pq3p2/4npp1/7p/2Qp4/1P6/1PPB1PPP/R2R2K1 w - -,c4b4
7k/5Q2/3p4/4p3/2P1BPp1/3P3q/P3PK2/8 b - -,h3h2
r4rk1/1bpn3p/1p1ppq2/p4p2/1PPP2p1/P1Q1PN2/4BPPP/2R2RK1 w - -,f3d2
3brrk1/2q3p1/2n2n1p/1pppp3/8/2PPBNN1/1P3PPP/R2QR1K1 b - -,c5c4
4r1k1/5ppp/4q3/1p1p1b2/8/2P1B2P/1P3PP1/R2Q2K1 w - -,a1a5
r2qkb1r/pp3ppp/2n1pn2/3p1b2/3P1B2/2N1PN2/PP2BPPP/R2QK2R b KQkq -,f8e7:f8d6
2r5/6pk/5q1p/R3p3/1p2R3/1P2Q2P/P4rPK/8 w - -,e4b4
r1bqk2r/ppp2ppp/2np1n2/4p3/1bP1P3/2NP1N1P/PP3PP1/R1BQKB1R b KQkq -,c8e6:b4c5
r1b1r1k1/pp2qppp/3b1n2/3pn3/8/1P3NP1/PBQNPPBP/R4RK1 w - -,f3e5:f3d4
rnb2rk1/ppp1q1pp/8/3p1p2/3P4/2P1PN2/P1Q2PPP/R3KB1R w KQ -,f1d3
r2r2k1/pp2b1p1/2p1pnNp/8/2PP1pP1/5P2/PPK2B2/3R2R1 b - -,e7d6
r2r1k2/pb3p1p/1p2pnp1/4N3/2B2P2/2P3P1/PP3K1P/R2R4 w - -,c4e2
r2qr1k1/pp1nbp1p/2p2npB/8/2Bp3Q/7P/PPP1NPP1/R4RK1 w - -,e2d4
r4rk1/1p3ppp/p3pn2/3p4/qP1P1P2/3b1NP1/3Q1P1P/2R2RK1 w - -,d2d3
r2r2k1/p2nqpp1/2p2n1p/4pN2/PbB1P3/5Q2/1P3PPP/R1BR2K1 b - -,e7f8
r1bqk2r/pp2npbp/2npp1p1/2p3B1/4P3/2NP2P1/PPP1NPBP/R2Q1RK1 b kq -,e8g8:h7h6
r3r1k1/1pn1b3/2p1qnB1/p7/3pP3/PP1P2P1/2P1QPK1/2BR3R b - -,c7d5
2r5/2r1kp2/2bRp2p/p1p1P1p1/PpB3P1/1P3PK1/2PR3P/8 b - -,c7d7
8/8/6p1/1p1p1kP1/pP6/P1P1K3/8/8 b - -,f5g5
3q1rk1/1Q3ppp/3p1b2/r7/p2pPP1P/1p1B4/PPP3P1/2KR3R w - -,a2b3
r3k3/1p6/6Q1/3p4/8/6P1/1r2q1BP/2R4K b - -,e8d8
2r3k1/1p3pp1/p6p/4pP1n/4Pq2/P1NQ3P/1P3KP1/3R4 w - -,d3f3
