6k1/5ppp/pp6/4Pn1P/3p4/5K2/PP6/2B5 b - -,g8f8
2r2rk1/p4qpp/4b3/1np1Np2/5P1P/P2B4/1PQ2P2/1K4RR b - -,f7b7
r2qk2r/1p2bppp/3p1n2/p2Pp3/1nP5/1N2BP2/PP4PP/R2QKB1R w KQkq a6,d1d2
8/4R3/2p1B1pk/4rp1p/p3p1nP/4P1P1/5PK1/8 w - -,e7e8
8/1p6/7p/2P3p1/8/P1kr1P2/3pK2P/3R4 w - -,a3a4
r4rk1/1p1qp1b1/p1np3p/6p1/5Pn1/1NNP2B1/PP1Q2PP/R4RK1 b - -,g5f4
3q1rk1/p1r3pp/3bbn2/1Q1p1p2/3P4/n1N1P1P1/RP3PBP/2B2RK1 w - -,b5d3
1r3nk1/1p2rppp/p1p5/q1Pp4/P2P4/3QPN1P/5PP1/1RR3K1 w - -,f3d2
3r4/p3kr2/5q1p/1p5P/1P4R1/6Q1/P4PP1/5bK1 w - -,g4g6
8/4Nk2/3B4/2PP3p/pb4p1/6P1/4KP1P/1r6 w - -,e7c6
q3rbk1/1b4pp/p2n1p2/1p1Pp3/1P4P1/P3N2P/4QPB1/B1rR2K1 w - -,d1c1
3r2k1/pbqrbpp1/1pn1pn1p/2p5/2P5/2NPPNP1/PB1RQPBP/3R2K1 w - -,b2a1
r1b2rk1/1pp2pp1/p1n1pq1p/8/Q1pP4/P1R1PN2/1P3PPP/4KB1R w K -,a4c4
8/3n1k2/Q1p1q1p1/P2p1b2/1P5p/5BPP/2P2B1K/8 b - -,d7e5
3R4/1p5p/p1r1kpp1/2P1p3/2K5/1P6/5PPP/8 b - -,c6c7
1r3bk1/3R3p/n1pNn1p1/2Pp1pP1/3P3P/2B2P2/4N3/5K2 w - -,d7a7
2kr1q2/p2n1p2/1np1p1p1/3pP1Nr/1p1P1PQP/3R4/PPP1N3/2K4R b - h3,f8e7
1r4k1/p1qnppbp/b2p2p1/n1pP4/2P1P3/5NP1/P1QN1PBP/2B1R1K1 w - -,g2f1
8/8/R7/6r1/1p6/1P1kb1B1/6K1/8 w - -,g2f3
rnbqk2r/pp2ppbp/3p1np1/2pP4/4PP2/2N5/PPP1B1PP/R1BQK1NR b KQkq -,a7a6
3k1R2/4r3/pq1p4/4p3/4Q3/P6P/2P3P1/7K b - -,d8d7
6k1/6p1/7p/1R3p2/5P2/r7/5P1P/6K1 b - -,a3a4
4rb2/p1k4p/n1p2p2/N1P1p3/1PP5/3b1P2/P2B1K1P/1N5R b - -,e8b8
r2r2k1/pp1n1pb1/n1p1b1pp/4p3/4P3/P1N1B1P1/1PPRNPBP/R5K1 b - -,d7b6
6k1/5pp1/2p5/P2p2n1/1P1BrPq1/2P3P1/3R2K1/5Q2 b - f3,g5e6
5k2/p5p1/1p5p/4b2B/P7/2r1P2P/4nPK1/3R1R2 b - -,c3c2
R7/5r1p/P2pN3/2pP3k/1bP1K3/7P/8/8 w - -,a8d8
r1bq1rk1/ppppbppp/2n2n2/4p1B1/2B1P3/2PP1N2/PP3PPP/RN1Q1RK1 b - -,d7d6
r3qrk1/1b1n1pp1/5n1p/p2p4/1ppP4/P3PP2/1P1NBBPP/R1Q2RK1 b - -,e8e7
rn1qk2r/1b1pbppp/p3pn2/1pp5/2P5/1P3NP1/PBQPPPBP/RN3RK1 b kq -,d8b6
8/5ppk/7p/3p4/R2N1P2/2P3Pb/2R2K1P/1q6 b - -,b1f1
1r4k1/1r3ppp/3pp3/RN1n4/8/2P5/1P5P/5R1K w - -,b5d6
4r3/1p3pk1/p1n3p1/3p2r1/3P3R/2N1PKP1/PP6/2R5 b - -,g5f5
rn3rk1/pp1qppbp/6p1/3pP3/3Pn3/2N2N2/PP3PPP/R1BQR1K1 b - -,e4c3
1r1b4/5pk1/2p3nq/2PpPpp1/3P1P1p/7P/R2QNBPK/8 w - -,f2e3
2b1r3/r6k/1q2p1pP/1p3pP1/8/1BQ5/PP5P/1KR1R3 b - -,a7e7
4q1k1/5p1p/4r1p1/1pPQ4/1P2p3/7P/3R1PP1/6K1 w - -,d2a2
1r6/5k1p/PB2pbpP/5p2/2B5/3p1P2/1P4n1/1K1R4 w - -,d1d3
8/8/2r1kp2/P7/1K3R2/8/8/8 w - -,b4b5
r3n1k1/pb1p2q1/1p1n2Pp/2pPp1B1/2P1P3/2PB2N1/P1Q3P1/5RK1 w - -,g5h4
r2qkb1r/pb1p1ppp/1p2pn2/n1P5/Q1P5/5NP1/PP1NPPBP/R1B1K2R b KQkq -,b6c5
r3r1k1/1p3p1p/1npq1np1/p4p2/Pb1P4/1BN1PP2/1PQB2PP/3R1RK1 w - -,g1h1
r1bq1bk1/ppn2r1p/1npBp1p1/4Pp2/2PP4/1PN2NP1/P3Q1BP/3R1RK1 w - -,f1e1
8/3k1p1p/r3p1pP/pr1pB1P1/R3bP2/P1P5/2P5/R1K5 w - -,a1b1
rnb2rk1/1p2ppb1/p2p1npB/q1pP3p/2P1P3/2N2N2/PP3PPP/R1Q1KB1R w KQ -,h6g7
r2b1rk1/1b3ppp/p2qp3/P1Rn4/1p1PB3/5N2/1P1BQPPP/R5K1 b - -,d8f6
8/5p2/1p6/p2k4/P4R2/4K1P1/1r3P2/8 b - -,d5e6
r2qk2r/1p2ppbp/p1np1np1/2p5/4P3/2PPBQ1P/PP3PP1/RN2RBK1 b kq -,e8g8:f6d7:e7e5
r2qk2r/p1pbnpbp/3p2p1/2p5/2P1P3/2N2N2/PP3PPP/R1BQ1RK1 w kq -,h2h3
6k1/4n1p1/3q2p1/3p4/2pPp1Q1/r1P1N2P/5PP1/2R3K1 b - -,a3a2
7B/1R5p/p2n2p1/P2k1p2/8/6PP/2r2PK1/8 w - -,b7h7
r1b2rk1/2q3bp/p1n1p1p1/1pp5/3pPP1Q/P4N2/1PP1B1PP/R1B2RK1 b - -,c5c4
1Bq2rk1/pp1bpp1p/2n3p1/2p4n/2P5/P1bP1NPP/4PPB1/1RQ2RK1 b - -,c3a5
4kb1r/1p1n1ppp/p7/3p1P2/1P2p3/2P1Q1PP/2q1BK2/R6R b k -,f8d6
r1q4R/1b2bpk1/pp4p1/2ppP3/3P4/3BP1Q1/PP4PP/R1B3K1 b - -,c8h8
r3kbr1/pp2pp1p/1qp2n2/3pB3/3Pn1b1/3BPN2/PPPN1PP1/R1Q1R1K1 b q -,g4h3
8/8/7R/P6P/2k5/3p4/3K4/7r b - -,h1h2
r3kb1r/1p1bn1pp/5p2/2P1n3/pP2pN2/1BP5/P2B1PPP/RN1K3R w kq -,b3d5
r1bq1rk1/1p3ppp/p1p1pn2/8/2PP4/4Q3/PP1NBPPP/R3K2R w KQ -,e1g1
5nk1/r2b1pb1/pp1B4/P1pn4/5P2/2P4P/1P6/R2BR1K1 w - -,d1f3
r2qk2r/1p3p2/p2p1bp1/3Np2p/4PPbP/6P1/PPPQN3/1K1R3R b kq -,f6g7
R2q1rk1/2pnbppp/3p1n2/1p1Pp3/4P1b1/1BP2N2/1P3PPP/1NBQR1K1 b - -,d8a8
rnbq1rk1/5pbp/p2pp3/1PpP1p2/8/2N1P3/PPQ1NPPP/3RKB1R b K -,a6b5
r2qrbk1/5p1p/p1b1pnp1/3pB3/p2P4/1QNBP2P/1P3PP1/R1R3K1 w - -,c3a4
r2r1nk1/1p1b2p1/p1nbpq1p/3p4/1P1P4/P4N2/1BB1NPPP/R2QR1K1 w - -,e2c1
8/5p2/N3p2p/3p1k2/3P1P2/2P1K2P/P6b/8 w - -,a6b4
5rk1/4bpp1/4p2p/3p4/p1rP1B2/Pq2P2P/1P1RQRPK/8 b - -,f7f5
r2qk2r/pbpp2pp/1p1bpn2/2nP1p2/2P5/P1N2NP1/1P2PPBP/R1BQ1RK1 b kq -,e8g8
6k1/4qrp1/p1p5/1pP2P2/5PQP/6R1/b1P5/2KN4 b - -,e7f6
r5k1/5p1p/p4bp1/2p5/p4R2/N1P2P2/1r3PK1/4R3 b - -,f6c3
3b4/6N1/1pk5/p3Pp1R/2P1r3/1P3K2/P7/8 b - -,e4e5
4r2k/1p2P1pp/p7/2qNQ3/2P5/1P5P/P5P1/7K b - -,b7b5
2kr3r/p1p5/1pn3qp/5pb1/3Pp3/1NP1Q1P1/PP1N1P2/2KR3R w - -,e3e2
r2q1rk1/1bpn1pbp/1p1p2p1/p2Pp2n/2P1P3/PPN2NP1/1BQ1BP1P/R3R1K1 b - -,g7h6:d8e8
r1b1k2r/ppq1bppp/2p1pn2/P2nN3/2Q5/6P1/1P1PPPBP/RNB2RK1 w kq -,d2d4
8/p3b3/2p5/4P2p/P2Pk1p1/2B3P1/4K3/8 b - -,c6c5
2qr2k1/prn3bp/2ppNpp1/4p3/2P1P3/1PN1BQP1/P4PKP/3RR3 b - -,c7e6
2br1b2/q4pkp/2p2np1/p1N1p3/NrB1P2P/1PR3P1/P1Q2P2/2R3K1 w - -,c5d3
2r3k1/5pp1/1n2p3/p2pP1q1/1p1Pr3/1P1Q2P1/P4P1R/R5K1 b - -,b6d7
8/7B/3k3p/p1p1p1bP/P1R5/7r/2K5/8 w - -,h7g6
2r1k3/1p1q3p/p2npB1Q/5p2/8/8/PP2BPPP/6K1 w - -,e2h5
1r1qn1k1/1p2r1bp/1Q1p1pp1/P1pP4/1p2PP2/1P4PB/1B5P/3RR1K1 w - -,b6d8
8/2p2pp1/1pk5/5P1p/2P5/7r/PP1K1R1P/8 w - -,f2g2
3r1k2/5p2/1p3Ppp/p2BP3/1nPRK1PP/8/1P6/8 b - -,b4a6
2r2rk1/1p1qppbp/p3n1p1/3pP3/3P4/1Q3N2/PP1B1PPP/2R1R1K1 b - -,f8d8
r2r2k1/1bqn1pbp/1p2p1p1/8/1B2P3/2P1QN2/P3BPPP/1R3RK1 b - -,d7c5
1b6/8/p1k1r3/P1pN1p2/2P3p1/4P3/4K1P1/1R6 b - -,e6e4
