R7/8/5kn1/5p2/7p/7P/5K2/8 w - -,f2e3
3rr3/3N2Rp/3P1R2/1P1b3k/8/8/6PP/6K1 w - -,g2g4
1r2r1k1/q4p1p/3p1npB/1ppPb3/4PN2/5P2/1P1Q2B1/R3R1K1 b - -,a7b6
r4rk1/1p1q1pp1/p1n1pnp1/b2p4/3P1B2/2P5/1PQN1PPP/R3RBK1 w - -,d2f3
8/1R3k1p/3K2p1/5rP1/5P2/7P/8/8 b - -,f7g8
5rk1/1r1q2p1/2n2pbp/p1Ppp3/QB4N1/P4PP1/4P2P/R2R2K1 w - -,b4c3
8/P7/1K2rpk1/R7/P5P1/8/8/8 w - -,b6c7
r7/r4kbp/1R4p1/2p3N1/2p2B2/2n4P/P4PP1/4R1K1 b - -,f7g8
3r2k1/pp3pbp/1q4p1/1r6/2p5/2P2N1P/PPQ2PP1/1R3RK1 w - -,c2e4
r1bqk2r/pp3ppp/2n2n2/1NbP4/4p3/2P5/5PPP/R1BQKBNR w KQkq -,c1f4
r1bqkb1r/pp1n1p1p/2pp1np1/4p3/3PP3/2N1BP2/PPPQ2PP/R3KBNR w KQkq e6,g1e2
3r1rk1/pp3pp1/5q1p/3Q4/bP6/P2R1N2/5PPP/3R2K1 w - -,d5d8
r3r1k1/1bq1bppp/pp3n2/2pp1N2/Pn1P1P2/2N4P/BPP3P1/R1BQ1RK1 w - -,c3e2
r1bq1rk1/p1pn1pp1/1p1p1n1p/4p3/1bPPP2B/2NB1N2/PPQ2PPP/R4RK1 b - -,b4c3
2kr3r/ppp2pp1/2nbpn2/5q1p/3P4/2N3B1/PPPQNPPP/R4RK1 w - h6,a1d1
2r3k1/5pp1/n6p/2p5/p1RpPB1P/P4PP1/1P3K2/8 w - -,c4a4
2rqk2r/3p1ppp/p3p3/4P3/5P2/P2B4/2PBQ1nP/3R3K b k -,g2h4
8/3r2k1/3Pqpp1/7p/3Q3P/6P1/5P2/3R2K1 b - -,e6f5
4R3/2k5/8/4p3/3p1P2/1r1K4/8/8 w - -,d3d2
8/6k1/1p2R1p1/1r4P1/5P2/4PK2/8/8 b - -,b5b4
5k2/8/8/p5N1/K6p/4n1pB/8/8 b - -,f8g7
5rk1/1b1npp1p/pq1pNnp1/8/2r1P3/2N2PPB/PP1Q3P/R3K2R b KQ -,d7e5
r3r1k1/1p1q1pb1/p2p2p1/2pP3n/P1P2P1p/2NQR2P/1P3BPK/R7 w - -,f2h4
rnb1k2r/pp1pppbp/5np1/2q1P3/8/N1P2N2/PP3PPP/R1BQKB1R b KQkq -,f6g4
2r1k3/1pb2pp1/p1p1pn2/2P4r/1P1PBPp1/2B3P1/1P5P/R4RK1 w - -,e4d3
5R2/kb6/p7/2p4p/Pp6/5B2/5r1r/R3KN2 b - -,f2f1
4B3/8/1p6/4pb2/8/P3kPKp/8/8 w - -,e8c6
2rqk2r/1p3ppp/p1npbb2/4p3/P1B1P3/N1N5/1PP2PPP/R2QK2R w KQk -,e1g1:c3d5
1r3rk1/pp3ppp/n1p1p3/3qQ3/P1N5/8/1PK3PP/4RB1R b - -,a6b4
3q1rk1/1ppn1ppp/3bpn2/1P1p1b2/7N/4P3/2PPBPPP/BN1Q1RK1 b - -,f5g6
r2k1b1r/pbqp2p1/3n1p2/8/2P2n2/P1B2N2/2QN1PPP/R3KB1R b KQ -,c7c5
3r4/p4rkp/1p2R1q1/4p3/1P2B1pP/P5P1/2R2PK1/8 w - -,e4g6
r1r3k1/4npbp/p5p1/8/1p1Np3/1P1bPP2/1B1PN1PP/R3R1K1 b - -,d3e2
2rq2k1/6Bp/4p1pP/3b1p2/1p1P1Q2/5P2/p1r3P1/R3R1K1 b - -,d8c7
8/8/1kpr2pp/p2n4/2R5/1P4P1/P3RPK1/8 b - -,d5f6
5r1k/p5pp/1p1q1r2/2ppN3/b7/P1P5/1P1Q1PPP/2R1R1K1 w - -,f2f3
4k3/4bp1p/p5r1/1pp5/2n1P3/1PP2PP1/P3N2P/2K2R2 b - -,g6b6
4rrk1/2q4p/p2b2p1/1p1PpbB1/2p1B2Q/8/PP3PPP/3RR1K1 w - -,f2f3
r2r2k1/pp1bbppp/3ppn2/q5B1/4PP2/2N5/PPPQ2PP/1K1R1B1R w - -,f1d3
2qr1bk1/2p3p1/2n1rn1p/1p2p3/1P6/2PPBQNP/5PP1/3RR1K1 b - -,c6e7
8/1Rr3p1/p1Pkp3/5p1P/2r5/3pP2P/4K1B1/8 w - -,e2d3
5k2/R5R1/1p6/1r2PKP1/1Pr5/2p5/8/8 w - -,f5g6
rnb1k1nr/pp1pppbp/1q4p1/8/3N4/6P1/PPP1PPBP/RNBQK2R w KQkq -,d4b3
r3r1k1/1bqp1ppp/p2R4/2p1Pp2/2B5/2P1Q3/P1P3PP/5RK1 w - -,f1f5
8/pp2n2k/3qP2p/3p2P1/1P6/5r2/P2Q1PK1/2B1R3 b - -,f3f8
3q1r1k/1p2r3/3p1p1p/p1b1pBpP/P1Q3P1/1P3P1K/8/3R1R2 b - -,d8b6
r1bqkb1r/pp2ppp1/2n2n1p/6B1/2pP4/2N2N2/PP3PPP/R2QKB1R w KQkq -,g5f6
2kr3r/1pp1bpp1/p2pbn1p/8/8/2NP1B1P/PPPB1PP1/2KR3R w - -,h1e1
r1b2rk1/2q1bppp/p1p1pn2/8/4P3/1BN5/PPQ2PPP/R1B2RK1 w - -,h2h3
8/8/P4R2/r5pk/5p1p/7P/5KP1/8 b - -,g5g4
r2qkb1r/pb1n1ppp/3p4/3Pp3/Pp6/6P1/1PP1NPBP/R1BQK2R w KQkq -,a4a5
8/p3R3/r7/2Pp1p2/3P1B1P/3k4/5PPK/3b4 w - -,f4e5
4k3/4np2/p1p2B2/7r/4P3/K6P/8/4R3 w - -,e1e3
3r2k1/1p1qbp2/p3p1p1/2P4p/1PN1Q2P/P5P1/5P2/3R2K1 w - -,g1g2
r1b1k2r/q2nb1pp/p1n1pp2/1pppP3/3P1PP1/4BN2/PPPQN1BP/3RK2R b Kkq -,e8g8
2k3r1/1p6/p1b1p1qB/3pPn1p/2pP3P/2P2BP1/2PQ3K/R5R1 b - -,f5h6
2r1q1k1/p2b1rpp/1pn1p3/4Bn2/8/P4NP1/1P3PBP/1QRR2K1 b - -,f5e7
7r/3R3p/p5bk/3Npp2/1p6/1P6/1Pr2PPP/4R1K1 w - -,d5b4
2r2nk1/1p3ppp/p1pq4/3pN3/3Pr3/4P2P/PPQ2PP1/R4RK1 b - -,c8e8
1rb2rk1/2N2pbp/6p1/1p6/n3B3/2P3PP/PP3P2/2KR2NR w - b6,e4c2
8/8/8/8/5k1p/1R2b2K/3r2B1/8 w - -,b3b4
2rbr1k1/2q2pp1/3p1n2/pp1Pp2p/5P2/1N2B1P1/PPPQ3P/1KR1R3 w - -,d2g2
6k1/1pr2nbp/p5p1/2Pn1b2/2B3P1/PN5P/1P3B2/4R1K1 w - -,c4d5
4rk2/p4np1/1pR3B1/1Pb4P/3p1P2/5K2/P2B4/8 b - -,e8a8
1r3rk1/p1p2ppp/b3pnq1/4N3/Pb4P1/2Q4P/1P3PB1/R1BR2K1 w - -,e5g6
6k1/6p1/pp3r2/3q3Q/P7/2P2P2/1P1r3P/R4R1K w - -,h5d5
r2r4/pp2k1p1/2p1p2p/8/8/4PKP1/PP3P1P/3R1R2 b - -,d8f8
3r1r2/p2b2k1/1p6/2qPp2P/P1p3p1/2P2Q2/2B1N1P1/1R5K w - -,f3e4
r3r1k1/1p3pp1/1p1p1qnp/8/3pP3/P4N1P/1PQ2PP1/3RR1K1 b - -,g6f4
r1b1k2r/bpppqpp1/p1n2n1p/4p3/2P5/2NPPNP1/PP3PBP/R1BQ1RK1 w kq -,d3d4
3k4/7R/2p5/8/2PP2r1/2K5/8/8 w - -,c3d3
6k1/5p1p/2n1q1p1/1pP1p3/1P1pP3/3Pb1P1/2r1NNKP/R3Q3 b - -,c6b4
8/8/1p2pb2/p1p4P/2P2P2/2k1K1P1/P7/5B2 b - -,a5a4
8/2pk4/5pp1/1pBP1n2/1P3P1p/4KP1P/8/8 w - -,e3d3
4r1k1/p2r1p1p/1p1q2p1/2p1b3/P1PPP3/6P1/1PQ4P/R1B1R1K1 b - -,c5d4
8/6b1/8/1p3p1p/p1k5/P4PP1/1PKB4/8 w - -,d2f4
8/8/1r1k1K2/3P2p1/1p3p2/3R1PrP/8/4R3 b - -,b6b8
2r2k2/4bp1p/p4p2/2p3r1/4pN2/1P2P3/P4PPP/2RR2K1 w - -,c1c4
1rr5/5pkp/3p2p1/3N4/6P1/3K1R1P/1P6/1Bn5 w - -,d3d4
2rq1rk1/pp2bpp1/2n1bn1p/3p4/5B2/1NN3P1/PPR1PPBP/3Q1RK1 b - -,d5d4
r1bq1rk1/ppn1ppbp/3p2p1/2p5/2PnP3/2NPB1P1/PP1QNPBP/1R3RK1 b - -,a7a5
1kr5/1p1n4/p3pP2/3pP2P/2qP4/P3B1p1/1P6/1Q1B2K1 w - -,g1g2
r1b5/pp3kp1/4p1n1/2qp3Q/8/P1P5/2PB1PP1/1R3RK1 b - -,b7b6
