r2KR3/2P4p/6p1/8/5P2/6k1/8/8 w - -,c7c8q
2kr3r/1bq1npb1/1n1pp2p/pp5P/2pPPBP1/2P5/PP1QN1B1/1KNR3R w - -,g4g5
1r6/1k4q1/p7/2QP4/P7/5P2/5K2/7R w - -,h1b1
2b2r1r/2q3k1/1p1p1pp1/pP2p2P/P1PpP1B1/3P2P1/4Q2R/6KR b - -,g6h5
5r1k/p6p/6p1/2r1R3/4pP2/1P1pP3/P4KPP/8 w - -,e5c5
2r1rbk1/pp3p1p/4p1p1/8/5P2/1bP5/PP2RBPP/R5K1 w - -,a2b3
rnbq1rk1/ppp2ppp/3b4/3pN3/2PPn3/3B4/PP3PPP/RNBQ1RK1 b - c3,c7c6
5rk1/1p4p1/p1p2rqp/4p3/1B6/3R1p1Q/5PPP/4R1K1 w - -,d3d1
2kr1q1r/pbnp3p/1pp3pn/2b1Pp2/2P2P2/P1B1N1PN/1PQ3BP/2KRR3 b - -,c7e6
4r1k1/7p/Q3b1p1/1p2qp2/2p2b2/5B2/P5PP/3R1R1K w - -,f3c6
2r2k2/2pn1pp1/R3p2p/4P3/p3PP2/Pr2BKP1/2R4P/8 w - -,a6a4
r1bqk2r/ppp2pp1/1bnp1n1p/4p3/2B1P3/2NPBN2/PPP2PPP/R2Q1RK1 w kq -,a2a4
6R1/8/1p6/7p/5pPk/3p4/3K1P2/8 b - -,h5g4
2r5/r2nk1p1/4b2p/1Rp2p2/p1Pp1P2/P2N1B2/1P4PP/2R3K1 w - -,g1f2
r5k1/5p2/1P1p2p1/3P3p/8/q1P2P2/1RKQ3P/8 b - -,a3a4
3r4/2p2pk1/5npp/4N3/p1r1P3/R1P1RPP1/7P/6K1 b - -,c4c5
2qnnk2/1p1N2rp/r7/p1Pp1ppQ/P2P4/4RP2/1P4PP/4R1K1 b - -,g7d7
2r2rk1/1p2bp1p/p2p2p1/3Rp3/P3P3/NPqQ4/2P2PPP/5RK1 w - -,a3c4
8/p2rk3/4p3/4p3/P3Qq2/8/1PP5/1K5R w - -,e4h7
r2qr1k1/pp3ppp/5n2/8/1bPN2b1/6P1/PP3PBP/R1BQ1RK1 w - -,d1a4
r1b2r2/p1q1n1kp/1pp3p1/2p1pp2/4P3/2NP3P/PPPQ1PPN/R4RK1 w - -,e4f5
8/kbp2Q2/8/p3pB1P/1p2P3/4q1K1/7P/8 w - -,g3h4
2k2Nr1/pp1bn3/4p3/3p4/4q3/P1p4Q/2P2PPP/R1n2RK1 w - -,a1c1
2r2rk1/2pq1ppp/p1R5/3pP3/1Q1Pb1P1/7P/PP1N1P2/2R3K1 b - -,e4d3
rnbqk2r/pp2ppbp/4P1p1/2pP4/6n1/2N5/PPP3PP/R1BQKBNR b KQkq -,g4f6
rn2kb1r/5ppp/p7/1ppp4/5B2/4PN2/PP3PPP/R4RK1 w kq -,a2a4
rn2k2r/1b1p1ppp/pq2pn2/2b5/1pP5/5NP1/PPN1PPBP/R1BQ1RK1 w kq -,c1e3
r1bqr1k1/pp3pbp/5np1/2pp2B1/8/2PBPN1P/PP3PP1/R2Q1RK1 w - -,f1e1
4R3/8/8/6r1/8/4k3/4p2K/8 b - -,e3f3
r4rk1/p1bn1pp1/4n1bp/Npp1p3/1P2P2B/1NP4P/P4PP1/R2BR1K1 w - -,a5c6
r1bqk2r/pp1nbppp/2n1p3/2ppP3/5P2/2PP1NPB/PP5P/RNBQK2R b KQkq -,h7h5
3rr2k/1p6/p3bp1p/3p2p1/1b1P2P1/1B2R1BP/PP2RPK1/8 b - -,e6f7
1r1qk2r/1ppb1pbp/p1np1np1/4p3/2PPP3/4BP2/PP1QN1PP/2RNKB1R b Kk -,b7b5
r2r4/7p/p1p1k3/4p3/1PP1Kp2/P7/5P1P/R2R4 b - -,h7h5
2bqr1k1/1pp2pn1/3p2p1/3P2n1/1PP1P1P1/2NB2K1/7N/2Q2R2 w - -,h2f3
rnbqkb1r/pp2pppp/5n2/2p5/1PPp4/3P1NP1/P3PP1P/RNBQKB1R b KQkq -,c5b4
r1b1k1nr/ppp2pbp/2n5/4P1N1/5Bp1/4P3/PPP3PP/RN1K1B1R b kq -,c6e5
r2qr3/pb3ppk/1p1p1nnp/2pPpN2/2P1P1PB/2PB1Q2/P4P1P/R3K2R w KQ -,h4g3
4K3/1Pk5/8/p2Pn3/P7/4N3/8/8 w - -,d5d6
8/2p5/2k3p1/3R2P1/1pP1Pp1p/1r3P1P/6K1/8 w - -,g2f2
8/6k1/R5p1/p1PK2P1/5P2/8/8/r7 b - -,a1d1
4nrk1/1p2q2p/p2pPpp1/3Pp3/4P3/1P5P/P1Q1B1P1/5R1K b - -,e8c7
r1bqnrk1/1pp1p1bp/p2pN1p1/4p3/3P2Q1/2N4P/PPP2PP1/R1B2RK1 b - -,e5d4
2rk3r/3q1p1p/2n1p1b1/1BQpP3/3P2P1/2N2P2/PP1N1K1P/2R5 b - -,d7e7
8/4Q1bk/P5pp/1N1P4/5r2/1P4K1/3r3P/8 b - -,f4f2
r2qk2r/pp2bp2/2p1pn1p/2n3pb/4PP1N/P5PP/1PP3B1/RNB1QR1K w kq g6,e4e5
6k1/pb4p1/3Bpnq1/3p1p2/2PP1P1Q/1P2PBP1/4K3/8 b - -,g6f7
6k1/5p2/p3pR2/P1p1p2P/3r2r1/8/5K2/5R2 w - -,f1b1
8/3k4/2R5/p2B1pp1/1q6/6P1/5BK1/8 b - -,b4d2
rnbqkb1r/1p2pp1p/p2p1np1/8/2BNP3/2N4P/PPP2PP1/R1BQK2R b KQkq -,b7b5
6k1/5pp1/2b1p2p/1p6/3b2B1/PQ2N2P/1P3qPK/2rR4 b - -,d4e3
8/2k5/R4B2/1p1p1P2/pP1Pn1P1/r7/6K1/8 b - -,a3g3
rq3r2/pb1nppkp/1p3np1/3p4/8/1P1P1NP1/PQ1NPPBP/R1R3K1 w - -,f3d4
r2q1rk1/p2n1ppp/3b1n2/1ppbp3/8/1PNP1NP1/PB2PPBP/2RQ1RK1 b - -,d5c6
3r2k1/1pq2p1p/p1p1n1p1/2p5/P1PbP3/1P4PP/2Q1NPB1/3R1K2 b - -,c7b6
r4rk1/1p3p1p/1q3bp1/2pP4/p1Pn4/3B2B1/PP1Q1PPP/1R2R1K1 w - -,h2h4
r4rk1/p5bp/1q1pppp1/2p5/1n2PP2/P1B2N2/1PP3PP/R2Q1RK1 b - -,b4a6
3r2k1/pp1r1p1p/4n3/5p2/2Bbp3/1P6/P3N1PP/3R1R1K w - -,f1f5
r2qkb1r/1p1b1ppp/p1npp3/3nP3/3P4/P2B1N2/1P3PPP/RNBQ1RK1 w kq -,f1e1
r4rk1/qp1b1ppp/3p4/3Pn3/2P1P3/1PN3P1/4Q1BP/1R3R1K b - -,a7d4
r3brk1/pp1nbppp/1q2p3/3pP3/5B2/2N1P3/PP2QPPP/1BR2RK1 b - -,f7f6
r1b2rk1/1pp2pbp/p4qp1/P3p3/2B1PB2/N1P5/1P2QPPP/R2R2K1 b - -,e5f4
3r4/1p1nbpk1/p1b1p1p1/4p1P1/2B1P3/P1N1BP2/1PP5/2KR4 w - -,d1h1
8/3b2kp/3p4/1p1n1p2/1R3PP1/2K2N1P/8/8 w - -,c3b3
r4b2/6kp/2p2pp1/1qP1P3/p1R2B2/2Q4P/6P1/6K1 b - -,a4a3
r1r3k1/1bq2pp1/p4b1Q/1P2p3/2PBP3/6R1/6PP/2R2BK1 w - -,h6f6
r4rk1/pp1qbppp/5n2/2np2B1/8/2P2N2/PP1N1PPP/R2Q1RK1 w - -,d2b3
5rk1/pR5p/2pr1b2/N1p5/5p2/2PP3b/P2BPK1P/1R6 w - -,b7b8
1r4k1/5p1p/p3q1p1/8/1r1pP3/Q6P/5PP1/3RR1K1 b - -,b8b5
2r1r1k1/1pqnbppp/p2p2n1/3P4/3N2P1/6BP/PPPQ4/1K1R1B1R b - -,d7e5
5nk1/r2q1pp1/4p2p/n2pP2P/3P2N1/Pr3NP1/1PR1QPK1/3R4 b - -,a7b7
3r2k1/pb3p1p/1p4p1/8/1P3q2/2N2P2/PQ2RKPP/8 b - -,f4h2
1r2r1k1/4npb1/1q4pp/2p1p2n/1pB1P1bP/2PP1NP1/1B1N1P2/1R1QR1K1 b - -,e7c6
2rq1rk1/3b1ppp/p4n2/1pbPp3/8/P1NQNP2/1PPB2PP/R3K2R b KQ -,d8b6
5k2/1p2rp2/p5p1/P1np3p/1P6/4P1P1/5PKP/2R5 w - -,c1c5
r4rnk/pp2bppp/2p1b3/q2pP1B1/3N1Q1P/P4B2/1PP2PP1/2KRR3 w - -,g5e7
2r2rk1/1p1qb1pp/p3p1p1/Pn1pP3/3P1P2/2B2R1Q/1PN3PP/R5K1 w - -,a1f1
r2qkb1r/ppp1pppp/5n2/3pB3/3P2b1/8/PPP1PPPP/RN1QKB1R w KQkq -,c2c3
r2q1rk1/pb2bpp1/1p3n1p/1Bnp4/3Q4/2N1PN1P/PP3PPB/2R2RK1 b - -,a8c8
rnbqkbnr/ppppp1pp/8/8/2P3p1/8/PP1PPP1P/RNBQKBNR w KQkq -,d2d4
2r1r1k1/1q3pp1/p4n1p/2ppQ3/8/P3P1N1/1P3PPP/2RR2K1 w - -,e5c3
6r1/2k5/p7/1pp1n1P1/4PN2/1P3K2/P7/3R4 w - -,f3e3
8/2R2p2/2p5/1p3p2/kP3P1p/6rP/5KP1/8 b - -,g3c3
r2qr1k1/1b2bp1p/p2p1npB/1pnPp3/P1p1P3/2P2NNP/1PB2PP1/R2QR1K1 b - -,f6d7
7Q/8/8/6p1/4K3/6rk/8/8 b - -,h3g2
