q7/8/6pk/4Qp2/5Pp1/8/8/K7 w - -,a1b2
r3r1k1/1pq2ppp/2pRp1n1/p1P1P3/4QB2/8/PP3PPP/2R3K1 w - -,f4g5
r2qk2r/pp3ppp/2nbpn2/3p4/3P1Bb1/2PB1N2/PP1N1PPP/R2QK2R w KQkq -,f4d6:f4g3:f4g5
2r3k1/2r2p1p/qnB1p1p1/p2pP3/Pb1B1PP1/2R4P/1P4Q1/2R3K1 w - -,c3c2
r1b2rk1/ppb1qpp1/2p4p/2P1B3/3PQ3/5N2/PP3PPP/R3R1K1 b - -,c8e6
6k1/5p2/3r3p/P1p1R3/5P2/3p3P/P2R1K2/2r5 b - -,c5c4
r4rk1/1bq2pbp/6p1/1p1Pp3/1Np1P3/1nP1BB1P/1PR3P1/3Q1R1K w - -,c2f2
r5k1/pp1rppbp/n1p2np1/P4b2/2P5/N2NB1PP/4PP2/1RR2BK1 b - -,f6e4
5rk1/pR4bp/5np1/P1p1N3/3q1P1P/3PR1P1/2p4K/4Q3 b - -,f6d5
2r2rk1/pp3pp1/4p2p/3pPn1P/7q/3P1P2/PP2Q1PB/2R1R1K1 b - -,h4h5
1nr4k/1qrb1pp1/pp2p2p/3pPnNP/1P1P1R2/P1NQ4/3B1PP1/RB4K1 b - -,h6g5
8/4kp2/2b1p1p1/2p1P2p/5P1P/1P4P1/1K2B3/8 w - -,b2c3
r2b1nk1/4q2p/p2p2p1/2pPp3/2P1NPP1/P2BQ2P/8/5RK1 b - -,e5f4
r7/4npk1/2p1pqp1/p1R4p/Pr1P1P1P/1P2Q1P1/2BR2K1/8 b - -,e7d5
3r2k1/1p2nppp/p2r4/3pn3/1q1N4/2N1P3/PP1RQPPP/3R2K1 w - -,d2c2
2r1r1k1/pp1bq1bp/1n4p1/3PBp2/3NnP2/1P2N3/P2Q2BP/4RRK1 w - -,g2e4
1qrrbbk1/5ppp/8/3p1N2/ppP5/1P3P2/P2N1QPP/1R2R2K b - -,d5c4
r1b1k2r/1p3p1p/p1n2p2/4q3/4P3/P1QB1P2/1PP3PP/R3K2R w KQkq -,c3b3
r1bqk2r/1p1nppbp/p4np1/3P4/Q1B5/2NP1N2/PP3PPP/R1B1K2R b KQkq -,e8g8
2b1rqk1/p5bp/3p1pp1/2pP4/1r6/3Q2P1/1P1NPPBP/R3R1K1 b - -,a7a6
8/4kp2/1p1p3p/p4B2/5P1P/2P2KP1/PP6/6b1 b - h3,e7f6
1q4r1/3nkp2/3bpp1p/1p6/3PB3/5P2/1P1Q1P1P/2B1R2K w - -,d4d5
1r3rk1/5pb1/p1Nq2pp/1p1Pn3/2nRB1PP/P5B1/1PP5/1K1Q3R b - -,b8e8
r2q1rk1/pp2ppbp/6p1/n4b2/3PBB2/2P2N2/P4PPP/1R1QR1K1 b - -,f5e4
3R4/1pp3k1/p7/5P2/PPb1P3/7p/2r5/4KN2 w - -,d8d7
8/6k1/2N2p2/5P1K/6P1/5n2/8/8 w - -,c6d8
r4rk1/1bqnppbp/p2p1np1/1pp5/3PP3/N1PBB1NP/PP3PP1/2RQ1RK1 w - -,f1e1
r1bq1rk1/pp1pbppp/5n2/8/2PpP3/2N5/PP2BPPP/R1BQK2R w KQ -,d1d4
3r4/1p3kp1/p3p3/PpN3p1/1n1PP3/2K2PP1/1P6/3R4 b - -,b4c6
2bRn1k1/7p/pq2ppp1/2b3Q1/4P3/2B2P2/1P4PP/5B1K w - -,g5f6
2rr2k1/p4pp1/1q1bbn1p/4N3/3P4/3B3P/PB2QRP1/R5K1 b - -,d6c7
5k2/3K4/3P4/R5p1/6P1/8/p7/r7 b - -,f8f7
6r1/6P1/7R/4Bp2/8/2K4p/5Pk1/8 b - -,f5f4
r4rk1/1ppq2bp/n2p2p1/p2Ppp2/2P1Pn2/P1N1BP2/1P1N2PP/R3RQK1 w - -,a1b1
5rk1/3nq2p/1p1pp1p1/p4r2/1PP1Q3/P4PP1/4B1P1/1R1R2K1 b - -,f5e5
6k1/6bp/3P2p1/pp6/4q1P1/B6P/P4QP1/7K b - -,b5b4
r3k2r/5p1p/p1pqpb2/1p1n1p2/PPPP2b1/3Q1NP1/3B1PBP/1R3RK1 b kq c3,d5c7
r2r2k1/5pb1/ppn1p1pp/3bP3/Pp3B1P/5N2/1PP1BPP1/3RR1K1 w - -,b2b3
4r1k1/3n1pp1/1q5p/p1pp4/P1b1n3/2PN3P/1PB2PP1/1RBQ2K1 w - -,c1d2
5rk1/5pp1/3b4/1p1B3b/3pP3/1P3P2/4N1P1/3R2K1 w - -,e2d4
2kr1b1r/pp2pp2/2n3pp/q2pPb2/P1pP3N/2P4P/2PBBPP1/R2Q1RK1 b - -,f5d7
3b4/2k5/2p2p2/1pPp3p/1P1P3N/q3P1n1/3K1N2/1Q6 w - -,h4f5
r4rk1/5ppp/p3p3/1p2q3/4n3/4B3/PP2QPPK/2R1R3 w - -,h2g1
3qrnk1/pbr1bpp1/1p1ppn1p/8/2PP3B/3Q1N2/PP1N1PPP/1BR1R1K1 w - -,h2h3
7r/p7/kp2p2p/3pPr2/b1nPp3/P1P1B2R/R1P2PN1/4K3 b - -,h8g8
r3k2r/p2nnp2/qp2p1p1/2ppP1Qp/3P4/2P2N2/PP3PPP/R3NRK1 w kq -,e1c2
N4rk1/3n1pbp/4p1p1/3pP3/p3b3/P6P/1PP2PP1/R1B1R1K1 w - -,a8c7
r1b1kb1r/1pqp1ppp/pQ2p3/8/4P1n1/2N1B3/PPP2PPP/2KR1B1R b kq -,c7c6
6k1/1p3p1p/2p2p2/Rb6/7P/2r1PBP1/5P2/6K1 w - -,a5a8
r1bnqrk1/ppp3bp/3p2p1/3PppB1/2P1P1n1/2N2N2/PP2BPPP/R2Q1RK1 w - -,f3d2
7r/2q1bpk1/5p2/1P1PnPB1/1p5p/7P/2PR1QP1/5RK1 b - -,e7c5
3r1r2/2p5/p3p1kp/2PbR1p1/2p2p1P/2B2P2/P4KP1/4R3 w - -,e1h1
8/1r3p2/2p3pp/1p2k2P/6P1/5KN1/8/1R6 w - -,b1e1
r3k2r/1pqb1pp1/2pbpn1p/P7/P2P4/3B1N1P/2PB1PP1/R2QR1K1 b kq -,c6c5
r4rk1/2p3pp/1pnp1q2/p3Pp2/2P1PP2/P1Q3P1/1P4NP/3RR1K1 b - -,d6e5
6k1/3q2np/2p5/5rQ1/4p3/P3B2P/1PP2PP1/1R4K1 w - -,g5g4
3r2k1/1q3pp1/p4n1p/1p6/3p4/3Q2PP/PP2R1P1/2R3K1 b - -,b7d5
8/3r2kp/6p1/p7/1pKp4/4r3/PPPR1RPP/8 b - -,e3e4
rnbqr1k1/1p3pbp/3p2p1/p1pP4/2P2BP1/6Q1/PP1NBP1P/4RRK1 b - -,a8a6
3B2k1/p6p/R7/8/2K5/4b3/P6r/8 w - -,c4d3
5rk1/pp4pp/2b1p3/3p4/3P1qn1/5N1P/PP3P2/2RQ1RK1 w - -,c1c3
6k1/pnN1b1pp/1p3p2/4p3/P7/1P2P1P1/1B1r1PKP/1R6 b - a3,d2d3
6k1/2p3b1/3p2Qp/1p1P1r2/8/2P5/q1B3PK/8 w - -,g6f5
1r2r1k1/pp3pbp/3p2p1/3P4/1PPp4/P2Pq1P1/2RQN1K1/1R6 w - -,b1f1
r1bq1rk1/1p2bppp/p1n5/4P3/P3N3/1p6/1BPPN1PP/R2Q1RK1 w - -,c2b3
8/1k5p/4rp2/7R/p2P2P1/4PK2/8/8 b - -,e6a6
r2r1bk1/1pp2ppp/2p1qn2/p3pNB1/4P3/3P2Q1/PPP2PPP/1K1R3R w - -,f5h6
8/2k5/3p4/Q7/8/4P2P/3P2PK/3q4 b - -,c7c6
4rrk1/p1p2p1p/2p3p1/2Q5/2P5/PP1q2P1/5P1P/4RRK1 b - -,d3b3
8/8/p2rk1p1/P1R2pP1/1P1prP2/3R1K2/8/8 w - -,b4b5
8/8/p4Bp1/P4b1p/2k5/2P1K1P1/7P/8 b - -,c4d5
r1bR2k1/q4pbp/2p1rnp1/p1p1p3/P1P1P3/BPN5/2Q1BPPP/R5K1 b - -,g7f8
2r2rb1/1ppq2bk/3p2pn/1PnNpp1p/Q6P/3PP1P1/P1RBNPB1/5RK1 w - -,a4a5
2rr2k1/1p3ppp/p1qpb3/2n1p3/PB2P1P1/1P3B2/2P2PP1/R2QR1K1 b - -,f7f6
8/1R6/4K3/r7/4p1B1/4k1bP/8/8 b - -,a5e5
5rk1/pp5p/2p2qp1/8/8/1P1b2Q1/P1P2P1P/3RR1K1 b - -,d3c2
8/5R1p/2k4P/8/p7/1pB5/1P4PK/3r4 b - -,d1d3
1r3rk1/1p3pp1/p6p/N3Pb2/3B4/b7/P4PPP/R3R1K1 b - -,a3b4
r1q2rk1/pppb3p/6pb/2pPp2n/2P1B3/2N1N1P1/PP2QP1R/2K4R b - -,d7g4
8/5pk1/2R3p1/6K1/1p2B1P1/1P5p/2P2r2/6b1 b - -,f2e2
