7k/1R6/5p1P/p4N2/P5K1/1P6/7r/8 b - -,h2g2
r2r1k2/1N4p1/p4p1p/3RnPn1/1p6/6K1/4N3/1B1R4 b - -,d8d5
3k4/1p5n/2p1p2P/q5p1/2PP2Q1/pP1K4/P4r2/3R1R2 b - -,f2f5
1k1r3r/ppq2pp1/1npbpn1p/7P/Q2P4/5N2/PPPBNPP1/1K1R3R w - -,a4b3
r3r1k1/pp1b1ppp/5n2/q1np4/3N1B2/2P1PP2/P2QB1PP/2R1K2R w K -,e1g1
r1bqk2r/pp2bppp/2n1pn2/8/2Pp4/1P3NP1/P2P1PBP/RNBQR1K1 b kq -,e8g8
r2q4/ppp1n1kp/2np1rp1/5b2/5N2/1QN3P1/PP3PBP/R3R1K1 b - -,c6d4
r6k/1ppbqrbp/3p1n2/2nP4/p1P1p3/P1N1B1RP/1PQ1BPN1/1K1R4 b - -,c7c6
2r2rk1/1p2q1pp/3p4/2nPbp2/PRB1p3/B4P2/5QPP/1R5K b - -,e7g5
r3r1k1/pb1n1ppp/8/1P1pp3/1P1B3P/P2N1PP1/6K1/2R4R w - -,c1c7
8/6k1/R2pb1p1/4p2p/4P2P/3rP3/6P1/3NK3 w - -,e1e2
r1bqk2r/ppp1b3/4pn1p/3pNpp1/2PP4/3BP3/PP2NPPP/R2Q1RK1 b kq c3,e7d6
r2qkb1r/pppb1ppp/2np1n2/1B4B1/3NP3/2N5/PPP2PPP/R2QK2R b KQkq -,f8e7
3r1qk1/p1pb3p/2p1rPp1/3pP3/P5R1/2P3QP/3B2P1/4R1K1 w - -,g4g6
r5k1/pp3r1p/1qn1Q1p1/3p4/3B4/3B3P/PP3PP1/3R1RK1 b - -,c6d4
rn1q1rk1/1bp1bppp/p3p3/1p6/3PP3/2N1B3/PPQ1BPPP/R4RK1 b - -,b8c6
2rq1rk1/4bppp/pnn1p3/1p6/1P2N3/P2P2P1/3B1PBP/2RQ1RK1 w - -,e4c5
5rk1/7p/6p1/p2p4/Pp2q2P/4PrP1/1P1R1P2/R4QK1 w - -,f1g2
r3r3/2q1pkbn/2Np4/ppnP1Ppp/7B/1P3Q1P/P2N2P1/4RRK1 w - -,h4g5
r7/2p1nqkr/1p1p1p1p/pP1PpP2/P1P3PN/6R1/3Q3R/6K1 w - -,g3h3
r4rk1/p2qn2p/1pn1pbp1/3p4/3P4/4BNP1/PP3P1P/RN1Q1RK1 w - -,e3h6
2r5/pp1k1pbp/3rp3/3p4/1BP1nP2/1P3RP1/P3N2P/1K1R4 b - -,d6b6
5r2/p1qb2k1/1pn1p1p1/3p1rP1/P1pP4/2P1RN2/2P2n2/1RBQ1K1B w - -,f1f2
r1r3k1/1p2bppp/4b3/p1np4/3N4/2P1B2P/PPB2PP1/2KRR3 b - -,a8a6
1r1r4/5p1K/p4kp1/2p5/8/3P3R/8/8 w - -,h3f3
2r2k2/p4p2/5N2/4n3/R6P/1P4P1/3r1P2/4RK2 b - -,e5d3
r1r3k1/pp2ppb1/1q5p/3p1p2/3PnP2/3QPN1N/PPR3PP/5RK1 w - -,f1c1
8/r7/P3pk1p/4p1pP/4PpP1/5P2/R3K3/8 b - -,f6e7
1r2rk2/3q1ppp/3b1n2/2p1p3/1pP5/1P3Q2/1BNP1PPP/R4RK1 w - -,d2d3
r5k1/pp1rbpp1/1qp1p2p/8/2PPR3/1P3QP1/PB3P1P/R5K1 w - -,e4g4
rn1qk2r/p2n2pp/bp1bp3/2pp1pN1/8/3P2P1/PPP1Q2P/RNB1KB1R w KQkq -,f1g2
rn2kb1r/pp3p2/2p1pp2/5b1p/3P1N2/1B6/PPP2PPP/R1B1R1K1 b kq -,f8e7
r2r1nk1/1bp2ppp/1p2p3/pPq1P3/3R1P1P/2P3QN/1P4P1/4KB1R w K -,d4c4
8/5pk1/1p3np1/p6p/Pq1rb3/2Q2B1P/1P3PP1/R3N1K1 w - -,f3e4
r3k2r/pb1n1Q1p/1p2pp2/2pp4/5P2/2PBP3/PP1N2PP/R4RK1 b kq -,e8f7
8/3R2p1/p1Q1p1kp/1p3p2/5P2/4P2P/PPr3PK/8 b - -,c2c6
1qk1r3/1p4pp/2p1pn2/2Q5/8/3p2P1/PP3PBP/4R1K1 w - -,g2h3
2r1r1k1/1p1b1p1p/p5p1/3P4/2PNnQ2/1P6/P5PP/6K1 w - -,d4f3
r1nq1rk1/p3bppp/2p1p3/2ppP2b/2P5/BPNP1N1P/P3QPP1/R4RK1 b - -,c8b6
8/p7/1p1bpkbp/4N3/3P1K1P/P7/1P4B1/8 b - -,a7a5
r4nR1/1p4b1/5k2/1p1B1b2/2p5/6P1/PPP2P2/2KR4 b - -,a8a2
r1bqr1k1/pp3pp1/1bpp1n1p/4p3/B2PP2B/2PQ4/PP1N1PPP/R4RK1 w - -,f1e1
7k/6p1/2p4p/2p2Q2/2P5/3P2P1/1q2r1PP/4R2K w - -,f5f1
1qrr2k1/1p1n1pp1/p1bppn1p/2b5/2P5/PPN1PNP1/1B2QPBP/2RR2K1 w - -,g2h3
R7/3rkp2/6pp/1p1P4/p2n1P1P/3B4/P4PK1/8 w - -,d3e4
rn1qr3/pp3pbk/3p2pp/2pP4/2P1b3/4BN1P/PP1QBPP1/R4RK1 w - -,a1e1
Q1R5/5pk1/p2r1qp1/Pp2p2p/1P1pP2P/3P2P1/5PK1/8 b - -,g7h7
r6r/3nnp1p/4k1p1/p2pP1P1/1p1P2NN/1P1K4/P6P/R6R w - -,h1f1
8/8/5kP1/8/r2K4/3B4/8/8 w - -,d4d5
2kr1b1r/1pp2ppp/6b1/4PP2/3q2P1/7P/PP2Q1B1/R1K4R b - -,f8b4
2k5/1p5p/p1n3p1/1bP1ppB1/8/P5PP/1R2PPBK/3r4 w - -,g3g4
rnbqk2r/ppp2pp1/3p1n1p/3Pp1B1/2P5/2Q5/PP1NPPPP/R3KB1R w KQkq -,g5h4
5rk1/3R4/1p6/1P6/4pr2/4b3/3R2K1/5B2 w - -,f1c4
r6k/1bp1np1p/1b1p4/3PpP1q/1P6/1BN2N1P/5PP1/3QR1K1 b - -,e7f5
5q1k/7r/P4pRp/2p2P2/2BpP3/1P3K2/2P5/7R b - -,h6h5
2r5/2P2qbk/3B2pp/p2p4/P3p3/6Pb/2Q1PPNP/5RK1 w - -,f1d1
3r4/8/6k1/3K1p2/5Bp1/8/8/2R5 w - -,d5e5
r2rq1k1/4bppp/p1p1bn2/3p4/Q2B4/2N3PP/PP2PPB1/2RR2K1 w - -,e2e4
r2q1rk1/pbp1bppp/1p2pn2/2n5/2PP4/2N1PNP1/PB3PBP/R2Q1RK1 b - d3,c5e4
r1q4k/1bp2pbp/p2p1np1/1p1Pn3/2PN2P1/1PN1B2P/P3QP2/3BR1K1 b - -,c7c5
1r3k2/1p1b1ppp/4pn2/1p6/8/2N3P1/2PP1PBP/1R4K1 w - -,c3b5
8/5N1P/6K1/8/4k1P1/8/1b6/8 b - g3,e4f4
3r4/pp1r1pk1/3q2p1/3pRp2/2pP1P2/P3Q1P1/1P3P2/3R2K1 b - -,b7b5
3r2k1/6b1/4p1p1/1pR3Pp/1P2P3/3p1n2/8/3N1B1K b - -,d8d4
4r2r/1ppbqpk1/p2p1bp1/3Pn2p/P3PN2/2B2PP1/1PB2RKP/1R2Q3 w - -,h2h3
r3k2r/1b1nbppp/p1qpp3/1p4P1/4PP1P/P1N1BQ2/1PP5/2KR1B1R b kq -,d7c5
1r1r1b2/p4k1p/P2p1pp1/1PpRn3/2P5/1B4BP/6P1/3R2K1 b - -,f7e6
5rk1/5p1p/pNR5/2Pp2Pp/6bP/8/PP2r1P1/2R3K1 w - -,b6d5
5b2/r4p1k/1n2p1p1/7p/4P3/2R1B1P1/P4PKP/8 w - -,e3b6
q5rk/3b4/2p1p2p/1pPpPprn/pP1P2p1/P3P1P1/2B1NRKP/3Q2R1 w - -,g2f1
r1bqk2r/pp3ppp/3bp3/2n5/3NB3/2P5/PP2QPPP/R1B1K2R w KQkq -,e1g1
2k3rr/1pqb1p1p/2p2n2/p7/3BP3/2NR1B1p/PP6/2RQ3K b - -,g8g2
r4rk1/ppqbbpp1/4p2p/n2pP3/3P2QP/2P3PN/P4PB1/R1B1R1K1 b - -,g8h8
r1b1k1nr/ppppbppp/2n3q1/8/4P3/1NP2P2/PP4PP/RNBQKB1R w KQkq -,c1e3
r1b1qrk1/p5b1/p1N2ppn/2p4p/4P2B/2N4P/PP3PP1/R2QR1K1 w - -,d1d6
rn2k1nr/pp3pb1/1qp1p1p1/3pP2p/3P1P2/2N2B2/PPP3PP/1RBQ1RK1 b kq -,g8h6
7r/5p2/1p3k2/pPp1p3/P1P1P1Rp/3P3P/4K1P1/8 b - -,f6e6
8/1Pk4p/K1Pb2p1/3P4/6P1/7P/8/8 b - -,c7b8
brr3k1/2qnbp1p/pp1p1np1/2pPp3/1PP1P3/PB1NBPN1/2RQ2PP/2R3K1 b - -,c8e8
1r2nrk1/4ppbp/p2p2p1/q7/1pPpPP2/P2P2PP/3B2B1/2RQ1RK1 b - -,a5a3
8/8/4p3/p2pNbk1/P2K4/8/2r5/R7 b - -,g5f6
3n4/5k2/R5p1/1p2Pp2/2p2P2/3r1BP1/PP2K3/8 w - -,e2f2
8/5pp1/7p/1pNkpb2/1P1p3P/3P2P1/4KP2/8 w - -,f2f3
R7/8/4r1pp/3k1p2/5PP1/1n3K1P/8/8 w - -,a8d8
