8/1pN1k3/3p4/3Pp2p/p1P1n3/8/P1K5/8 w - -,c2d3
r1b2rk1/pp1npp1p/6p1/2P3B1/2B5/2b1PN2/P4PPP/3RK2R w K -,e1e2
1r2r3/bpp2kp1/p2p1p1n/3P1b2/1PP1N3/5PPp/PBB1R2P/4R2K w - -,b2c1
2nr4/p4pk1/1p2p3/4P3/P2P1P2/BP2K2p/7P/2R5 b - -,f7f6
rb1qr1k1/pp1b1ppp/4pn2/1P1p4/8/2PBPN2/PB3PPP/2RQ1RK1 w - -,c3c4
1r1n2k1/2q1ppbp/p5p1/8/2Pp1PP1/3P3P/Q1N3b1/4NRK1 w - -,e1g2
r1bqkbnr/pp3ppp/2n1p3/3p4/3PP3/2N5/PP3PPP/R1BQKBNR w KQkq -,e4e5
r5k1/p3pp1p/6p1/q5b1/1p4b1/2PB4/1PK3PP/1Q3R1R w - -,h2h3
1r1q1rk1/1p2n1b1/p1n1b1pp/2p1Pp2/P1Pp1P2/3P1N2/1P1N2BP/R1BQ1RK1 w - -,d2b3
5b2/2pk1b2/p5pp/1pp1B3/4N2P/P4P2/1PP3P1/2K5 w - -,c1d2
r1bqkb1r/p1p2ppp/1pn1pn2/3p4/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq -,c8b7
r1b2rk1/ppqn1ppp/2pbpn2/8/2BP4/2N2N2/PPPBQPPP/R4RK1 w - -,c3e4
6k1/6p1/7n/3R4/pp2R3/7P/2r3K1/8 w - -,g2g3
8/1k6/2p5/2Pb4/p2P4/P2BK3/8/8 b - -,b7a7
4r1k1/pp4p1/4rp2/3p2p1/3P4/2P1B2P/PP3PP1/1R3K2 w - -,b1d1
5k2/1p3pp1/p4n1p/4pPq1/3rP3/P1N2Q1P/1P2R1PK/8 w - -,f3g3
r2r2k1/1bq2ppp/2p2n2/ppP5/P2pP3/3B1N1P/1PQ2PP1/2RR2K1 w - -,a4b5
1r3rk1/p2bnpbp/2n1p1p1/q2pP3/2pP1PP1/2P2N2/P1NB2BP/R2Q1RK1 w - -,d1c1
8/1p2k3/2b1n3/p1p3R1/PbP1P1P1/1P4K1/2B5/8 w - -,g5h5
7r/1k1b3p/pb2N3/8/1p2R3/1P6/1PP3PP/3R3K b - -,d7c6
k2n2r1/pp3r1p/5R2/q2p1n1N/2pPp3/P1P3B1/2PQ1PPP/R5K1 b - -,e4e3
1r1nnr2/p4k1p/1p1pp1p1/8/1PBBPP2/8/P5PP/2R2RK1 w - -,f4f5
3r3k/R2Pp3/6pp/1PP5/4QpP1/7P/1q3P1K/8 w - -,e4f4
r2r2k1/1p1nbppp/p3b3/P1p1p3/N3P3/4BP2/1PPRB1PP/R5K1 b - -,g8f8
R7/8/8/3k4/2n2K2/8/8/8 w - -,a8c8
r1bq1r2/1p1n2bk/p2p2pp/3Ppp1n/1P2P3/2N1BPP1/P2Q3P/R3KBNR w KQ -,f1g2
r1b2rk1/ppp2ppp/6q1/8/3P1B2/1PP5/2P3PP/R2QR1K1 b - -,c7c6
8/5pp1/2k1b2p/8/4P3/KPpN1P2/6PP/8 b - -,c6b5
4q3/p6r/kpb1pr2/3pB1QP/2pP2P1/P1P4K/2P5/3B4 w - -,e5f6
3r3k/2q4p/3r1p1P/3B1Qp1/2P5/P3P3/5P2/R3K2R w KQ -,e1f1
r2q1rk1/1b2bppp/ppnppn2/8/2P1P3/2N5/PPN1BPPP/R1BQ1RK1 w - -,b2b3
7r/7r/1p1pkpp1/pP2p3/P1P1PnPP/2K5/2B4R/7R w - -,c2b3
7k/8/6PP/ppPB4/1Pb1PK2/P7/8/8 w - -,g6g7
8/B5kp/6p1/4p1P1/1PP1P2P/p1Pn1p2/P7/5K2 w - -,b4b5
rn2kN1r/pbpn1pp1/1p2p3/3pP3/3P3q/3B4/PPP1QPPP/RNB1K2R b KQkq -,e8f8
r2q1rk1/1p1bb1pp/p2p1p2/3p4/2PQN3/1P2P3/PB3PPP/R4RK1 w - -,d4d5
rnbqkbnr/3p2pp/pp2p3/2p1P3/8/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,c1f4
8/2p2rkp/bp1p2p1/p2P1p2/2P1rP2/4NRPP/P3PK2/2R5 b - -,h7h5
1r3rk1/1b3pbp/1q1p1np1/1p4B1/1P1pP3/2pP3P/P1B1NPP1/R1Q2RK1 w - -,g1h1
4q3/1Q3pk1/P1rP4/6pp/3R4/1P6/K7/8 w - -,a2a3
3b3k/1bp2p2/pp3p1r/2p2N1p/P3PN1P/1P1P2P1/2P3K1/5R2 b - -,h6h7
8/p1p1rp1k/1nq3p1/1pN4p/3QP2P/1P3P2/P2R2P1/5K2 b - -,c6e8
3r3k/b1nb1rpp/p1BR1p2/1pp5/4P3/2P1BN2/PP3PPP/3R2K1 b - -,h8g8
5k2/3br2p/2R3p1/1B6/2p2p2/4b3/P5PP/4R2K w - -,c6f6
r7/3nk3/1q2p3/p2p4/Pp1P4/3Q1N2/1P1K3P/6R1 w - -,g1g7
4r3/4qpk1/6pp/p1p5/1pP3P1/1P3P2/P2Q1KP1/7R b - -,g6g5
7R/p1k3r1/Pbpq2r1/2p1p3/1pP1Ppp1/1P1P1P2/2K2BP1/Q6R w - -,h8h7
r1b2rk1/p2ppp1p/1p4p1/n1n1P3/2P5/5N2/PBP2PPP/R3KB1R w KQ -,b2a3
2r4k/1b2b1pp/1q2p1r1/8/B1N1N3/2Pp2P1/RP3n1P/3QRK2 b - -,f2d1
8/8/p1P4p/P4p2/5Pk1/6P1/3p1K2/8 w - -,f2e2
2rr2k1/1pq2pbp/p1b1p1p1/3nP1NP/1P3P2/P2B4/1B2Q1P1/R3R1K1 w - -,g2g3
1rbrn1k1/2qp1ppp/2n1p3/p5P1/1pP1P3/1N2BP2/P1P2Q1P/1K1R1B1R w - -,b3d4
8/3r1pR1/8/5k2/2K5/8/8/8 w - -,g7g2
4rr1k/2p3pp/p1b5/1p4N1/1b1P2P1/3QN2P/n1BqKP2/6R1 w - -,d3d2
r3q1k1/p4p1p/1nb3p1/2N1b3/4B3/4BP2/PP2QP2/3R3K w - -,h1g1
2r4k/8/7p/p4PbQ/8/P2q3P/1P4B1/5R1K b - -,d3g3
8/1PR5/4kp2/6pp/3K4/5P1P/5P2/1r6 b - -,e6d6
3b4/5kp1/R3p2p/p3B3/8/3r1P1P/1P4PK/8 b - -,d8f6
8/7p/4k3/Bp5R/2b4K/8/7P/6r1 b - -,c4d3
8/1R6/1kBpKp2/2pP4/p6r/8/1n6/8 b - -,b6a5
3r2k1/1pr1qp1p/6pb/pRn5/P2N1P2/2PBP3/3Q2PP/2R4K w - -,d3c2
r1b1r1k1/pp3pbp/n1pR1np1/4N1B1/2P1P3/2N5/PP2BPPP/2K4R b - -,c8e6
r4k2/p7/1p1qp1Q1/3P4/2P3p1/3R1bP1/PP3P2/1K6 b - -,a8e8
r3k2r/2Bnppbp/ppp3p1/3b4/1P6/P5P1/2PQNP1P/R4RK1 w kq -,a1c1
7r/1k1r1p1p/2p1pp2/p1b5/P2P4/6P1/4PP1P/2RR2K1 w - -,c1c5
8/2p5/3k3p/4ppp1/2B5/5PP1/4PK1P/8 w - -,f2e3
8/2n2pp1/pk5p/Rp1r4/NKp1P3/5PP1/7P/8 b - -,b6c6
8/5pk1/4p3/6p1/7p/4R3/r5PP/5K2 w - -,e3e5
r3k2r/bppq1pp1/p1npbn1p/4p3/4P3/1BPPNN2/PP3PPP/R1BQ1RK1 w kq -,f1e1
8/5k1p/6p1/1r1pr3/3R4/1P4P1/2K4P/3R4 w - -,b3b4
1n1q1rk1/1pp2pbp/1n4p1/1N1P1b2/8/r3BN2/P1Q2PPP/3RKB1R w K -,c2d2
r1r2bk1/pb3qn1/1pn2pBp/3p4/1P1P2pN/PQ4B1/3N1PPP/1RR3K1 b - -,f7d7
r2q1rk1/pb1nppbp/1p3np1/1Bpp2B1/3P4/2P1PN2/PPQN1PPP/2KR3R w - -,b5d7
r1b2rk1/4q1bp/p2p1pp1/1pp2P2/2P1P1Q1/2B3N1/PP4PP/3R1RK1 b - -,b5b4
3r1n2/1p5k/pR5P/P4Pp1/1P1Pp1n1/2P5/B2K4/8 w - -,b6b7
1k5r/1p6/pq1p1n1r/3P1Q2/PP1p1P2/R6P/3B3K/5R2 w - -,a3g3
2bqr1k1/1p3pbp/rn1p2p1/1NpPn3/4P3/P1N3P1/5PBP/1RBQ1RK1 b - -,e5c4
2rr2k1/1bq1bpp1/pp1ppn1p/4n3/3NP3/P1NBBP1P/1PPR1QP1/3R3K b - -,b6b5
r2q1rk1/1p1n1pbp/1np1p1p1/p7/3PPP2/2N1B3/PP2BP1P/R2Q1R1K w - a6,a1c1
4rrk1/pp4pp/2pp4/5b2/7q/3PB3/PPP1QPPP/R4RK1 w - -,e2d2
8/5p2/2b1p1p1/k1K1P1P1/2p1p3/4P3/5N2/8 w - -,c5c4
2r2rk1/4qpp1/p3b2p/1p1nN3/3P4/5B2/PP3PPP/R2Q1RK1 w - -,e5d3
rnbq1rk1/ppppb1pp/8/3P4/2BNp3/2P5/PP3PPP/R1BQK2R b KQ -,d7d6
