4K3/3P4/4k3/8/8/3r1R2/4p3/8 w - -,f3d3
r1b1k2r/pp4pp/2n1pn2/3p4/3P1N2/3B1N2/Pq3PPP/R2Q1RK1 w kq -,f1e1
8/7P/1p1k4/p4K2/P1P5/2bN4/8/8 w - -,f5g6
r1b4r/1p1n1pk1/2pb2p1/p2p2q1/N2P1N2/P3P1P1/1P1Q1PB1/2R1R1K1 b - -,g5h6
r2qk2r/ppp2ppp/2nb2b1/4p3/4B3/2PP1N1P/PP3PP1/R1BQ1RK1 b kq -,g6e4
5rk1/p1q1pp1p/3pbnpQ/8/Brp1P3/2N2P2/PPP3PP/1R1R2K1 w - -,h6e3
r5k1/3nppb1/rn1p3p/2pP2p1/4P1P1/1P2BN1P/P2R1PK1/1NR5 w - -,c1c2
8/1p3pp1/1P2k2p/4p3/Bn6/3R1PP1/1r5P/7K w - -,a4b3
1rb1kb1r/p3pppp/2n5/q2p4/2pPn3/2P1PN2/P3BPPP/RNBQ1RK1 w k -,c1d2
5K2/5P2/7k/8/8/8/6R1/4r3 b - -,h6h7
7R/8/4ppkb/1KP5/8/8/7r/8 w - -,b5c6
6rk/8/7P/8/8/8/6pK/2R5 b - -,h8h7
6k1/pp2b1p1/4p2p/3n1p2/1PqPpPP1/P3Q2P/4N3/4B1K1 w - -,e3f2
r1bq1rk1/pp1n1ppp/5n2/3p4/1bpP4/1PN2NP1/P1QBPPBP/R4RK1 b - -,c4b3
8/6k1/1P4P1/K5p1/8/7p/P7/8 b - -,h3h2
8/p1r5/1p2R2p/3p4/3P2bP/8/PP1K3k/4N3 w - -,e6h6
1Q6/5kpp/5p2/p2qp1n1/1B4P1/4P2P/2r5/R5K1 w - -,b8f8
r4rk1/1p1b1ppp/1p2pq2/2p5/PnP5/5B2/1P1P1PPP/R1BQR1K1 w - -,f3b7
2r5/p2b1k1p/1q2p3/3p4/1b5P/5PK1/4N1P1/1B1Q3R b - -,b4d6
r4rk1/pp3ppp/5n2/4bBB1/8/1P6/P4PPP/3R1RK1 b - -,f8d8
6k1/1qrn1ppp/1p2pn2/pQ1p4/N2P4/4P1P1/PP3PBP/2R3K1 w - -,c1c3
5rk1/2nbp1bp/1q1p2p1/2pP1p2/2P1BN1P/RP4P1/2Q1PP2/3NB1K1 b - -,f5e4
4rrk1/1p1bqpp1/2p2n2/2nPp2p/p1P2N1P/P4NP1/1PQ3B1/4RRK1 w - -,e1e5
r1bqk1nr/bp1p1ppp/p1n1p3/8/4P3/1N1B4/PPP2PPP/RNBQ1R1K b kq -,g8e7
6k1/1R3p2/1Pp3p1/3b3p/3K4/1r6/3R3P/8 b - -,g8g7
rnbq1rk1/4ppbp/p2p1np1/1PpP4/4P3/2NB1N1P/PP3PP1/R1BQK2R b KQ -,a6b5
2rr2k1/pq1nbpp1/1p2p2p/8/3PPB1P/P2R1N2/4QPP1/4R1K1 w - -,f3e5
r2r2k1/1pqn2pp/p1npp3/4p3/2Q1PP2/PNB5/1PP3PP/2KR3R b - -,d8e8
8/1r6/1p1RpB1k/p1p2b2/P1P1pP2/4K3/8/8 w - -,f6d8
r3kb1r/ppqnnpp1/2p1p2p/3pP3/3P1NPP/2NQB3/PPP2P2/2KR3R b kq -,e8c8
r1k4r/pppbnpp1/7p/2p1P3/8/2N2N1P/PPPR1PP1/R5K1 w - -,a1d1
3r4/1p3kpp/p1b5/P1r1p3/1B2P2P/P5P1/5K2/2R5 w - -,c1c5
r4rk1/1pn1bppp/2pqpn2/1P6/2PP4/6P1/4NPBP/1RBQ1RK1 b - -,c6b5
rn3rnk/ppp1b1pp/3p4/3PpqP1/2B4P/2P1B3/PP1N1PQ1/R3K2R b KQ -,b8d7
8/p6p/1p2k3/2prPpp1/8/1PP4P/P3RKP1/8 w - g6,g2g3
1r6/p1r4p/Pppk4/3p1p2/3P2pP/2R1P1P1/1P1K1P2/2R5 w - -,b2b4
rn1qkb1r/pp3pp1/2p1pnp1/4N3/2PP2P1/7P/PP3P2/RNBQK2R w KQkq -,c1f4
8/8/3N4/6pk/p1p2p2/P6r/2K5/8 b - -,h3a3
r1r5/5kp1/3pbb1P/4p3/1p2P3/q2B4/P2Q4/1KN2R1R w - -,d2b2
r2q1rk1/1b1n1pbp/p1p1p1p1/1p1nP3/3P1PP1/NP1N3P/1B2Q1B1/R4RK1 w - -,a3c2
1r1q1rk1/1p2B1b1/2n1b1pp/p1p1pp2/P1N5/2NP2P1/1P2PPBP/1R1Q1RK1 b - -,c6e7
r3kb1r/pp3p1p/2p1pn2/3q1p2/3P1B2/2P3P1/PP3PNP/R2QR1K1 b kq -,d5d7
r4k1r/3qbp1p/4pnp1/8/pnBPPN2/4BP2/1P2QP1P/2R1K1R1 b - -,a8b8
2b5/4k3/2p5/p1Pp2p1/3Pp2p/1P5P/3KBPP1/8 b - -,e7f6
8/6pp/5p2/4p1k1/4P3/3b1PKP/6P1/4R3 w - -,h3h4
8/5kp1/2q1bp2/2P1p2p/4P2P/3QBPK1/2P3P1/8 w - -,d3d6
8/1b6/4kpp1/6Pp/2PK1P2/4N1P1/8/8 w - -,f4f5
8/8/8/5N2/8/r3K3/1R6/6k1 w - -,e3f4
8/1p2k2p/1pp3p1/8/nP2R3/2P3P1/1P2K2P/8 b - -,e7f7
2rr2k1/1bq1bppp/ppnppn2/8/2P1P3/2N1BP2/PPN2QPP/R2R1BK1 b - -,f6d7
8/p6p/1p1k2p1/2pn4/4B3/1PP2Pp1/P2K3P/8 w - -,h2g3
4rrk1/2pq2pp/1p1p1b2/pP1P1p2/8/1P1Q1P2/2PB2PP/3RR1K1 b - -,f6h4
r2q1rk1/pp2n1bp/3pb1p1/2p1pp2/3nPP2/2NPB1PP/PPPQN1B1/R4RK1 w - -,g1h2
r1bqkb1r/pppn1ppp/4pn2/3p4/3P1B2/3BP3/PPPN1PPP/R2QK1NR b KQkq -,c7c5
2rq1rk1/3b1pbp/p2p2p1/1p2p3/1Nn1P3/P1P2P2/B3QBPP/R2n1RK1 w - -,f1d1
r1b1k2r/p1qnbppp/2p1pn2/8/8/6N1/PPPNBPPP/R1BQK2R w KQkq -,d2c4
1rb2rk1/2q2pbp/pn1p1np1/2pN1P2/2P1P2B/3B1N1P/1PQ3P1/R3R1K1 b - -,b6d5
8/7p/5kp1/3Np3/3bP2P/5PP1/6K1/8 b - -,f6e6
r2qr1k1/1b3ppp/p2p2n1/1ppP4/4PP1b/4B2P/PPB1R1PN/1R1Q2K1 b - -,a6a5
2b2rk1/1p1nqpbp/2p2np1/4p3/1PBP4/2N1PN2/1Q1B1PPP/R5K1 w - -,a1a5
1r1qnrk1/pP4p1/Bn1b2pp/4p3/6Q1/2N1B3/PPP2PPP/R3R1K1 b - -,d8f6
r1b1k2r/pp1n2pp/2nbpq2/3p4/3P4/3B4/PP1NNPPP/R1BQ1RK1 w kq -,d2f3
2r2r2/5p1k/1p2p1pb/p2pPn1P/3P2R1/2P4N/P4P1K/1B3R2 w - -,f1g1
2r3k1/1b1q2pp/5p2/3p4/1p1P1PP1/n1P1PB2/R5QP/3N2K1 b - -,b4c3
8/2p4p/5k2/8/5n2/1r4b1/R3B3/6RK w - -,g1f1
8/4B3/8/2pk1b1p/1p3P2/8/3K4/8 b - -,d5c4
rr4k1/4b1pp/3p4/3qN3/p3R3/2P1Q2P/1P3PP1/R5K1 b - -,d6e5
3k3r/5R2/8/p4p2/N1B1n3/1P6/P5Kb/8 w - -,f7f5
2b2rk1/2pp1ppp/1np1q3/r3P3/1bP1QP2/1PNB4/3B2PP/1R2K2R b K -,f7f5
5k2/3R4/1r1p4/1bpP2Pp/4P2P/8/3K4/3B4 w - -,d7a7
8/2k5/6pp/8/4K1PP/8/8/8 w - -,e4e5
1R1nk3/q7/b3p1p1/2p1PpP1/3p1Pr1/2rP1Q2/P5B1/1R2N1K1 b - -,a7e7
4r1k1/p2q1p1p/6n1/3B1p2/2Q5/P6P/6P1/5RK1 b - -,e8e5
r1b1kb1r/pp2pppp/2p2n2/8/3q1B2/1BN2Q1P/PPP2PP1/R3K2R b KQkq -,e7e6
8/8/1b6/4kbp1/2B5/4PPN1/5K2/8 w - -,f2e2
r3k2r/p2q1pbp/bpn1p1p1/2pn2B1/8/2PP1NP1/PP2QPBP/RN2R1K1 w kq -,b1d2
1r3b1k/p4pp1/2qp3p/P7/3Pn3/B5QP/2pN1PP1/R5K1 w - -,g3f3
kn1r4/pp2r1bp/5pp1/2Pp1P2/3Pp2P/1RNnB1PB/P6K/1R6 b - -,b8c6
r4rk1/2p3b1/1p1p2p1/pP1Pp2p/P1P1p2q/4B1R1/2Q1KP2/2R5 w - -,c1g1
7k/7p/3p4/6p1/3p2b1/3P1N2/P6P/7K w - -,f3d4
1b4k1/R4p1p/3p2p1/3bp3/1P4P1/4B2P/1r3PN1/6K1 w - -,a7d7
r1b1r1k1/p1qn1pbp/2p3p1/1p1pP3/P3n3/2PBBNNP/1P3PP1/R2Q1RK1 w - -,g3e4
rn1qk2r/pp3ppp/2p1pn2/b2p2P1/4P3/P1NP1Q1P/1PPB1P2/R3KB1R b KQkq -,f6d7
2k5/1p3pp1/1pp1q2p/8/8/PP5P/KP3PP1/3Q4 b - -,e6e4
2krr3/p3b3/b1p2p2/2ppp2p/2P3qP/1PNP2P1/P3QP1N/2KRR3 b - -,g4f5
