4k3/R5K1/P5P1/8/8/8/8/r7 w - -,a7a8
6k1/3b2p1/pp2p2p/4P3/P1pP2PP/1r2B3/3K1P2/R7 b - -,a6a5
rn2r1k1/1pq2ppp/p2bpn2/2pP4/2P5/1PN2N2/PB2QPPP/R3R1K1 w - -,c3e4
rn1q1rk1/1b2bppp/pp1ppn2/6B1/3NP3/2NB4/PPPQ1PPP/3RR1K1 b - -,b6b5
8/R6p/3p2p1/1k3p2/5P2/p2p4/1b4PP/3K4 w - -,d1d2
3r2k1/p2n1p2/1p2p1pp/6q1/1PB5/P3PP2/4QP1P/3R3K b - b3,d7e5
r1bqrbk1/pp3ppp/2p1pn2/8/2PPQ3/5NP1/PP3PBP/R1BR2K1 w - -,e4c2
4r1k1/1p3pbp/2ppn1p1/6P1/1qP1PPb1/1P2B1P1/2Q3B1/1R3NK1 w - -,f1h2
2rq1rk1/1p1b2p1/p1n1p1np/3pPp2/3P3P/3B1NP1/PP1QNP2/R3R1K1 b - -,d8a5
8/6R1/p3bpk1/4pq2/1Q5p/4B2P/6PK/8 b - -,g6g7
r3k2r/1bq1bpp1/p1nppn1p/1p6/4PP2/PNNBB2Q/1PP3PP/R4RK1 b kq -,h6h5
1r3rk1/2q1bpp1/3p1n1p/nppPpP2/8/2P4P/1PB2PPN/R1BQR1K1 b - -,a5c4
6k1/4K3/4P3/8/8/8/7R/5r2 w - -,h2g2
8/p6R/8/2P1k3/2r1pp2/8/P3K3/8 b - -,c4c2
r1b2rk1/1pq1bppp/p3pn2/6B1/8/3B1N2/PPP1QPPP/3R1RK1 w - -,f3e5
3R4/8/p1kprp2/2p3p1/2K1P1P1/P1P2Pr1/8/1R6 w - -,d8a8
r1bqkb1r/1p3ppp/p1nppn2/8/2B1P3/2N2N2/PP2QPPP/R1B2RK1 w kq -,f1d1
4b2k/6bp/r5p1/p2B4/1p3rP1/1P2B3/P4P2/2RR1K2 b - -,f4f8
3r3r/pkpqbpp1/np2p2p/3pP3/3P1PP1/2N2N1Q/PPP4P/2KR3R w - -,c1b1
6k1/p4p2/1b3r2/6pp/8/2PQPNqP/PP4P1/5RK1 w - -,f3d4
4b1kb/1q3p1p/3p1npP/1p1Pp3/pN2P3/P3BPP1/1P3QK1/2N5 b - -,f6d7
5k2/2p2pp1/5n1p/B3R3/p1P5/P5P1/1P3P2/3r2K1 w - -,g1g2
r1bqk2r/ppp1bppp/2n1pn2/3p4/2PP4/2N2NP1/PP2PP1P/R1BQKB1R w KQkq -,f1g2
1brr2k1/pb3p1p/1p2p1p1/2n1N3/5P1q/1P2P3/PB2N1PP/1QR2RK1 b - -,d8d2
r2qk1nr/1b2ppbp/p2p2p1/1p6/n3P3/N1P2N2/2BPQPPP/R1B2RK1 b kq -,a4b6
r1bq1rk1/pp2bppp/2n1p3/3n4/3N4/1P4P1/PB2PPBP/RN1Q1RK1 b - -,c6d4
1r1r2k1/pp3pbp/2b3p1/QP2p3/3qN3/3P2P1/2R1PPBP/5RK1 b - -,b7b6
6k1/4rp1p/p1pR4/2P3P1/3Pp3/6rp/4K3/R7 w - -,d6c6
2n3k1/p2b1qp1/1p5p/1PP2p2/1B1p1P2/P2B4/4Q1PP/6K1 b - -,d7e6
8/4k3/5p1p/3pp3/2qP4/1p2PK1P/1P1Q2P1/8 w - -,d4e5
2r5/8/4k2p/B1n1pb2/3p2p1/KP4R1/P2R2PP/8 w - -,d2e2
r1bqr1k1/ppp2ppp/4p3/3pb3/8/2PBP3/PP1N1PPP/R2QK2R w KQ -,d1h5
1k2r2r/1pp2bpp/1p1q1p2/3p4/1P1P2P1/P6P/1KPQ1PB1/4R2R w - -,h3h4
r2q1rk1/pp2bpp1/2n1pnp1/3p4/8/4P3/PBPPBPPP/RN1Q1RK1 w - -,a2a4
2r1bbk1/4pp2/r7/q1pPP2p/2P2PP1/1P3N1P/p1BR4/R3Q1K1 w - -,e1e4
r1b2rk1/pp1n1pp1/2p1p1np/8/3PP2B/q1PB1N2/3Q1PPP/2R1K2R w K -,h4g3
1r1q1rk1/4npb1/2npb1pp/1p1Np3/1pP5/3P2P1/2NBPPBP/1R1Q1RK1 w - b6,c2b4
3b4/5p1p/p4p2/2kN4/P1p1PPP1/8/5K1P/8 w - -,f2e3
rnbqk2r/ppp1ppb1/3p2pp/6B1/2PPP1n1/2N5/PP3PPP/R2QKBNR w KQkq -,g5h4
8/4Qpk1/p7/1p2p1p1/2n1Pq1p/2P2B1P/P4PPK/8 w - -,h2g1
2r1k2r/pp1bbpp1/1qn1p3/3pPn1p/1P1P4/P4N1P/1B1QBPP1/RN3RK1 b k -,g7g5
rn1q1rk1/pb1p1ppp/5n2/1Npp4/2P5/P3P1P1/1P3P1P/R1BQKB1R w KQ -,f1g2
8/6k1/8/4ppp1/5P2/r4nP1/5RNK/8 w - -,f2f3
r2q1r2/p3p1bk/1pp3pp/3n1b2/1P1PN3/1Q2P1P1/PB3PBP/R4RK1 w - -,e4d2
2r1rbk1/5ppp/3p4/3n1PP1/1p1qB3/1P6/2PBQ2P/R4R1K w - -,a1d1
r1r3k1/1Q3ppp/1n2q3/p3p3/2n5/P1B1PP2/4BP1P/1R4RK b - -,a8b8
r1bqr1k1/pp1nbppp/5n2/2pp2B1/3P4/2N3P1/PPP1NPBP/R2Q1RK1 b - -,c5d4
5k2/5p2/1R4p1/1p1b3p/7P/6P1/3r1PK1/4R3 w - -,g2f1
3r1k2/1b4p1/p3Bp1p/2RP4/5P1P/1P4P1/P6K/8 w - -,h4h5
8/ppR3pk/1r5p/1n6/3N2PP/P7/5P1K/8 w - -,d4b5
8/1p2k2R/6p1/1P2P1N1/5P2/2b3PK/4r2P/q7 b - -,e7f8
r1bq1rk1/pp3nbp/1np1ppp1/3pP3/3P1PP1/1PN2N1P/P1PQBB2/2K3RR w - -,h3h4
8/5P2/6n1/8/1p6/8/K1k5/8 w - -,a2a1
6k1/7p/1p1p2r1/p2P1bP1/P4p1P/1PN2R2/8/7K b - h3,f5c2
8/8/4kb2/6P1/1p2K2P/8/8/4B3 b - -,b4b3
4R1k1/5p2/6p1/2b2n1p/8/6P1/5P1P/6K1 b - -,g8g7
rn1q1rk1/pp2ppb1/2p3p1/3p3p/3P1B1P/2PQPN2/PP3PP1/R3K2R w KQ -,e1c1
5rk1/2rbq1p1/p3p1Qp/1p1pP3/3Nnp1P/P1PB2P1/1P5K/2R3R1 b - -,f4g3
r4rk1/pp1b1ppp/4p3/3q4/P1pP4/5N2/3QBPPP/R4RK1 b - -,f8c8
4k3/br6/R3KP2/4B3/3p4/8/5P2/8 w - -,a6c6
8/6k1/3p1p2/1QpPpPn1/4P3/3K4/q7/2B5 b - -,g5f7
8/p1k3pp/pr2pp1n/2N5/3R2P1/4P2P/PP3P2/6K1 b - -,e6e5
8/7R/3k1p2/p2p4/2bP4/K7/P4r1p/1B6 w - -,a3a4
rnbqkb1r/pp1ppp1p/5np1/2p5/3P1B2/4P3/PPP2PPP/RN1QKBNR w KQkq -,g1f3
3Rr1k1/1B3ppp/p4q2/8/1P6/PQ5P/5PP1/6K1 b - -,e8d8
8/5pk1/2pq1n2/P5p1/7p/1PQ2P2/5KP1/5B2 b - -,g7g8
r2qk1nr/1p1bbp1p/p2pp1p1/8/P3P3/1NNn3P/1PP1QPP1/R1B2RK1 w kq -,e2d3
3rr3/1b1nq1kp/1pp1pppn/p2pP3/P1PP1P2/1PNBQN2/6PP/R2R2K1 b - -,h6g4
1r2r1k1/pppq1pbp/3pbnp1/8/2P1P3/1PN3PP/PBQ2PBK/R4R2 b - -,f6h5
r1r1b1k1/5pb1/1n4p1/ppqP2Np/2p1PR1P/1PP1Q3/2B1N1P1/1R4K1 w - -,e3c5
r1b1kb1r/pp2pp1p/2p2p2/3q4/3P4/1P3N2/P1PBQPPP/R3K2R b KQkq -,h8g8
r3k2r/pp2ppb1/n2n2p1/3B2P1/3P1B2/8/P3N2P/1R2K2R b Kkq -,a6c7
5k2/R4p2/3n2p1/p7/5PP1/2r3K1/B4P2/8 w - -,g3g2
r1bqk1nr/ppp2pbp/2np4/6p1/3PPp2/2N2NP1/PPP4P/R1BQKB1R w KQkq -,d4d5
r1br2k1/pp2bppp/4pn2/2q1N1B1/8/2PB4/PP2QPPP/R4RK1 b - -,c8d7
r7/ppp3k1/7p/R4p2/4P3/1P4P1/7P/6K1 b - -,f5e4
rnbqk2r/p1p2p1p/1p2p1n1/3pP3/1b1P2Q1/2NB4/PPP2PP1/R1B1K1NR w KQkq -,d3g6
r4r1k/1b3p1p/p3p3/1p3p2/P5Q1/R7/1PB2PPP/3R2K1 b - -,f5g4
rnb2rk1/pp3pp1/4pq1p/2pp4/1bPP4/1QN1PN2/PP3PPP/R3KB1R w KQ c6,c4d5:a2a3
4r1k1/3r1pb1/1R4P1/1p1p1N2/1B1Pn3/1P3K2/6R1/8 b - -,d7c7
5k2/5p2/3pr3/2p1P3/1rp2KPp/8/2RR4/8 b - -,c4c3
2kr3r/pb2qp2/1p3npp/P1n5/2PpPB2/3B2NP/2Q3P1/R4RK1 b - -,f6d7
