8/1p4k1/p2N4/P7/1n2P3/8/8/6K1 w - -,d6b7
r3r2k/pp1q2bp/1np1bp2/6p1/3PP3/5NP1/P1Q2PBP/2BRR1K1 b - -,d7f7
8/1p4p1/p2k1n2/3N1R1b/8/P2K3B/1PP1r3/8 b - -,f6d5
r1bqkbnr/pp1ppp1p/2n3p1/2p5/4PP2/P1N5/1PPP2PP/R1BQKBNR b KQkq f3,f8g7
5R2/Rb3rbk/2Np1qpp/2pPp2n/1p2P3/4B1PP/1P1Q1PB1/6K1 b - -,g7f8
1q4k1/5p1p/6p1/2Prp1b1/1P2Q3/5P1P/5BP1/R5K1 b - -,b8d8
2r3rk/1p4qp/5R2/3pP3/P1pQb2N/1p5P/6P1/5R1K w - -,f6f7
1k1r1b1r/1bqn1p2/pp4pp/2pPp3/4P3/4BN2/PPB1QPPP/1K1R3R w - -,f3d2
3r2k1/pp3p1p/4qbp1/8/3B4/1P1QP1PP/P4PK1/2rR4 w - -,d1c1
r3k2r/pppqn2b/3p1b1p/3Pp1pP/2P3P1/2NB4/PP3P2/R1BQK2R w KQkq -,d3h7
5rk1/1p3pp1/4p3/3nP3/Pp5P/6P1/1PQ2P1K/8 w - -,h4h5
r4rk1/1bq2ppp/p3pn2/1pb3B1/3N4/1BP5/PP2QPPP/R3R1K1 w - -,g5f6:a1d1
1r4kb/2n1p1qp/p2r1pp1/2NPn3/2PB4/RP4P1/4Q1KP/3B1R2 w - -,c5e4
r7/p2br1bk/2p2nqp/2P1n3/Q2Npp2/2N5/P4PPP/2BRRBK1 b - -,f4f3
r5k1/1pq2pbp/pR2p1p1/n1P5/Q2NP3/2P2P2/P2r1BPP/5RK1 b - -,d2f2
r5k1/5ppp/pb2p3/1pq1p3/4P3/P1P2P2/1P1rQNPP/3R3K w - -,d1d2
1r1q1r1k/pb2bp1p/4pp2/2pP3Q/2p4P/2NnP1P1/P1RN1PB1/5RK1 w - -,d2c4
8/7b/2N5/1p6/1P1pk3/8/3K4/8 b - -,d4d3
2r3k1/p4pp1/1pB1p2p/2n5/5N2/P4QP1/2q2PKP/3R4 b - -,c2f5
5rk1/pp4p1/1nN3Qp/2p5/2P5/P1P5/6PP/6K1 b - -,b7c6
r3k1nr/pppq1pp1/1bnp3p/8/1PBPP1b1/1Q3N2/P4PPP/RNB2RK1 w kq -,e4e5
3r2k1/5pp1/2Np3p/3Qp1b1/p3P3/5P2/PPP4q/1K1R4 b - -,d8c8
3r2k1/1p1r2pp/p3bp2/3np3/8/1PP2PP1/PB2BK1P/3R3R b - -,d5e7
4r2k/pp2rnqp/3p2p1/2pPPp1b/2P2P1Q/2P4N/P2B2R1/4R1K1 w - -,e5e6
8/6kp/4B1p1/4pP2/1p2P2P/1Nb2KP1/r7/8 b - -,c3e1
3rr1k1/pp3ppp/2p5/3n2P1/3Pb3/P3B1RP/1P2BP2/2R2K2 b - -,d5c7
3R4/8/8/4b3/4k3/1r6/3K4/8 w - -,d2e2
r1bq1rk1/pp2ppbp/2n2np1/3p4/3NP3/2N1B3/PPPQBPPP/R4RK1 w - -,e4d5
5nk1/1p3p1p/2p5/r1Pp1p2/P2P4/4R3/2B3PP/6K1 w - -,e3g3
3r3k/7p/2B5/p1P3p1/5r2/8/4RB1P/6K1 w - g6,c6b7
6k1/p1b2pp1/4p2p/1pq5/8/5N2/PPP1QPPP/6K1 w - -,a2a3
rn1qkb1r/pp3ppp/2pp1n2/4p3/2P3b1/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,d2d3
8/1p3ppk/p3p1p1/7n/q1B4Q/7P/5PP1/2R4K b - -,b7b5
3R4/4npkp/4p1p1/8/1p2P3/1r2N3/5PKP/4nB2 w - -,g2g3
4k3/1p3p2/4n1p1/r1p4p/1p2P2P/1P2KPP1/P2RN3/8 w - -,f3f4
4n1k1/5R2/4BP1p/8/8/5KP1/p6r/8 w - -,f7g7
r2qk2r/1bpnbppp/pp3n2/3p4/3P1B2/P1NBPN2/1P3PPP/R2Q1RK1 b kq -,e8g8
r1b1k2r/pp1n1pp1/2pqp2p/P5B1/R2P4/2pBPN2/1bQ2PPP/3K3R w kq -,g5f4
r1bq1rk1/ppp2pbp/3p2p1/2nPp3/1PP1P1n1/2N2N2/P2BBPPP/R2QK2R b KQ b3,c5a6
r1bqk2r/pp1p1ppp/4pn2/8/1PP1n3/P7/1Q2PPPP/R1B1KBNR b KQkq -,d7d5
2Q2bk1/4pp1p/3p2p1/Pp1n4/1P4P1/4P1P1/1B3P2/4qBK1 w - -,e3e4
3r2k1/p4pnp/1p2b1p1/4B3/P1pPP1P1/5P2/7P/3R1B1K b - -,d8c8
8/8/8/5b2/1k6/1p1P2Kp/1B6/8 b - -,f5d7:f5e6
4R3/p4k2/2B5/4p3/3b1r1P/7K/P7/8 b - -,f4f6
2r1brk1/p5p1/1pn1p2p/3pP3/5PP1/P2BB3/2P3KP/R4R2 b - -,c8c7
1r6/4k1pp/1p1bpn2/pp2p3/1Pr1P3/P1PN1P2/3R2PP/1NK4R b - -,b8c8
rr4k1/1q2bppp/3p4/ppp1p3/4Nn2/PBPP1Q1P/1P3PP1/R3R1K1 w - -,g1h2
6k1/2r4R/1R4P1/8/8/1pr3P1/5PK1/8 w - -,b6b3
8/r2R2k1/4K2p/6p1/6P1/7P/8/8 b - -,a7d7
2r3k1/1p1nqpp1/p2n3p/P2P4/3Qp3/8/1P1NBPPP/4R1K1 b - -,f7f5
8/8/6b1/3nB3/3Pk1p1/7p/5K2/5N2 b - -,e4d3
r3kb1r/p1pp1ppp/bnp1q3/4P3/2P5/1PN5/P3QPPP/R1B1KB1R w KQkq -,c1b2
r2r4/5pkp/2p2qp1/8/1pbRP1P1/P3Q1P1/5KBP/RN6 w - -,f2e1
8/8/8/4r3/5kpp/8/5RPK/8 b - -,f4e3
r2q1rk1/1p3pp1/p1npb3/3Np1b1/P3P2p/2N4P/BPP2PP1/R2Q1RK1 w - -,d5e3
4k3/7p/p5p1/3PP1B1/1p2K1PP/b7/n1r5/5R2 b - -,c2e2
r7/pp4p1/1np1kn1p/8/8/B1P5/PP1N1PPP/2K1R3 b - -,e6f5
r1bqkn1r/4ppbp/2p2np1/ppP5/3P4/P2B1NN1/1P3PPP/R1BQK2R w KQkq -,h2h3
3r2k1/3r1pp1/p1b1p3/1p2P2p/1Pp5/P1BnR1P1/2B2P1P/1R3K2 w - h6,h2h4
3rr1k1/1b1n2qp/p4bp1/1p2pp2/2pPn3/B1P1P3/P2NBPPP/2RQNRK1 b - -,e4g5
r3kb1r/2qb1p1p/p1nppp2/8/1p2PP2/1N6/PPPQN1PP/1K1R1B1R w kq -,e2g3
6k1/2q1rp1p/1rnp1Qp1/2pB4/7P/4P1P1/P2R1P2/3R2K1 b - h3,c6b4
2kr3r/p1qb3p/1pn3p1/2b2pN1/5P2/2P1QN2/PP4BP/2KR3R w - -,e3e2
2Rr3k/5p1p/4p2q/1P2Pp2/1P1P2r1/5N2/5RPP/6K1 w - -,c8d8
r3rb1k/1p4p1/2pp4/3PpbBq/pPP1Np2/P2Q1N2/5PPP/1R2R1K1 w - -,b1d1
b6Q/P2k1p1p/3p4/2p3q1/7p/1P3P1P/6P1/3R2K1 b - -,a8f3
3r1rk1/ppp2ppp/1nn1p3/4P2q/1bPP1P2/2NQ4/PP3B1P/R3KB1R w KQ -,f1e2
2bB1k2/p4pp1/8/2R5/2p2P2/8/PP5r/2K5 b - -,c8e6
3r2k1/7p/1p3r2/6B1/1R2R3/1P4P1/b2p1bBK/8 w - -,g5f6
2b1r1k1/1p4pp/2p1p3/r7/p1p1BP2/P5P1/1P2P2P/2R2RK1 w - -,c1c4
8/2BP1Qbk/1r4pp/8/2p5/p6P/5PPK/3q4 b - -,b6d6
r1bqkb1r/p4ppp/2p1p3/3n4/5B2/2N5/PP2PPPP/R2QKB1R w KQkq -,f4d2
r3kb1r/pppqp3/5ppp/5b2/1n1PB3/2N3P1/PPPQNPP1/R3K2R b KQkq -,e8c8
5rk1/r7/1P1p4/2p1qp2/P3np2/4bB2/6PP/R2QBR1K b - -,a7h7
rnbq1rk1/pp3ppp/5n2/3p4/1b1N4/1BN1B3/PPP1QPPP/2KR3R b - -,b4c3
2rq1rk1/p3ppbp/6p1/1Q1nP3/8/5P2/PP3P1P/RNB1R1K1 b - -,g7e5
4k3/3p2pp/pQ6/4p3/1p2Prn1/2P2n2/PP2KPqP/R4R2 w - -,b6b8
rn2nrk1/1b1q2bp/pN1p2p1/2pPPpB1/p7/3B1N1P/1P3PP1/R2Q1RK1 b - -,d7c7
2b2rk1/p5qp/2Q1pr2/2Np4/6p1/1P6/P1P3PP/3RR1K1 b - -,g4g3
