B7/2r5/8/8/6p1/4k1P1/6K1/8 b - -,c7c2
1r2r1k1/5pp1/2bp3p/q1p5/2PbPP2/1PNB4/2Q3PP/4RR1K w - -,c3b1
1r3k2/pp6/3p1q2/2p1n3/2Pb1Pp1/3P4/PP1BQ1B1/4RK2 b - -,b8e8
2r2rk1/p4pp1/1p2pn1p/3q4/2nN3B/P3PP2/1P2Q1PP/2R2RK1 b - -,c4d6
2krr3/pp3p1p/2pq1np1/3n4/3P4/2PB1R1P/PP2N1P1/R1Q3K1 b - -,f6h5
5r1r/p3kp2/1p5p/3pPBpP/b1pP1P2/P1P3P1/2PB4/1R1K4 b - -,g5f4
2r2r1k/6pp/q2p3b/1p1Np3/1P4R1/P2Q1P2/6PP/3R3K w - -,d5e7
8/2P2R2/8/8/3K1pk1/8/8/2r5 w - -,d4e5
6k1/p7/3B4/7p/2P3p1/3P1N2/P3KPq1/8 w - -,f3h4
r4r1k/1p2R1pp/1nbB4/p4p2/P2P4/1B3N1P/1P1N1PP1/n5K1 b - -,f8e8
6n1/p1r2pk1/1p1qr1pp/3pR3/3P1QP1/P2B1P2/1P3KP1/4R3 w - -,f4g3
4rk2/4r1pn/pq1p1p2/2pPnPp1/2P1NQ1P/1P2R3/2B1R3/7K w - -,h4g5
r3k2r/3bpp2/p2p1n2/2pPP3/2B2P2/b5Pp/P2BN3/1R2K2R b Kkq -,f6e4
2r5/8/2p1kb1P/1p1P1p2/p4K2/8/P3NP2/2R5 b - -,e6d5
rn2k2r/pp1n1pp1/1Q1bp1p1/3p4/3P2P1/2N1P3/PP3P1P/R1B1KB1R b KQkq -,d7b6
8/p1P5/6p1/2p2bk1/7p/8/5PBK/8 b - -,f5c8
rn1qk2r/4ppbp/b2p1np1/2pP4/8/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,b8d7:e8g8:f6d7
r2q1rk1/1p2bppp/p1np1n2/4p3/4P1b1/1BN1BN1P/PPP2PP1/R2Q1RK1 b - -,g4h5
r1bqk1nr/1p2ppbp/p1n3p1/3p4/3P1B2/2N2N2/PPPQ1PPP/R3KB1R w KQkq -,f3e5
8/4k1n1/3p2p1/p1pP2Np/PpP2P2/1P6/5K1P/8 w - -,f2f3
2kr3r/1p1q3p/1p2ppn1/pP1pp3/P3P3/2PP1N2/4QPPP/R1R3K1 b - -,c8b8
7r/1pP2kpp/1P2p3/2P2p2/8/r7/2P2PPP/3R1K2 w - -,d1d8
1r5k/1pb3p1/p3q2p/1PP2N2/4p1P1/2Rp1P2/1P4P1/3RB2K w - -,f3e4
rn1q1rk1/pp2ppbp/2pp1np1/5b2/2PP4/2N2NPP/PP2PPB1/R1BQ1RK1 b - -,b8a6:f6e4
r3r1k1/ppq2ppp/2p3n1/3pb3/1P1N2P1/P1BPP1P1/5PK1/2RQ1R2 b - -,c7d7
7r/8/3p1rB1/p1p1kP2/1p2PRRp/2P4P/1Pb5/6K1 w - -,g1f2
4b1k1/6bp/r1p1p1p1/p7/1pPP2P1/1P2Br2/P1B2P2/2RR1K2 w - -,c2e4
r2q1rk1/pp3n1p/n2p1ppb/2pPp3/2P1P1bB/P1NN4/1P3PPP/R2Q1RK1 w - -,d1g4
3rn1k1/r1qp3p/p3p1p1/2p1Pp2/2P2P1Q/3R1B2/PP1R2PP/7K b - -,d7d6
1r1b1k1r/qb3pp1/p7/1p1Np2n/4P1B1/PNQ4P/1PP5/1K1R2R1 b - -,b7d5
1r4k1/p4pp1/2p4p/3p1N2/8/1P5P/Pbr2PP1/3RR1K1 w - -,e1e7
4r1k1/pp6/6pp/2PR1p2/1P2r3/8/PR4PP/6K1 w - -,d5d7
rnbqk2r/pp3ppp/2p1pn2/8/1bBP4/2N2N2/PPPBQPPP/R3K2R b KQkq -,b4c3
rn1qkb1r/pb3ppp/1p1ppn2/2p5/4P3/3P1NP1/PPP2PBP/RNBQR1K1 b kq -,b8d7:f8e7
5B2/p2r3k/1p1n1R2/2pP3B/2n1b1R1/P1P3Pp/7K/8 w - -,f6h6
r2q1rk1/pp3ppp/2nbbn2/1B1p2B1/3P4/2N2N2/PP3PPP/R2Q1RK1 w - -,f1e1
1rbr2k1/p1p1ppbp/2pq2p1/3n4/2BP4/1NP2Q2/PP3PPP/R1B2RK1 w - -,f1e1
8/1pp2k1p/4b3/5p2/2P1pNp1/1P2PnP1/5rBP/3R3K w - -,g2f3
1r6/R3p3/1p1b4/p4kp1/2P5/1P1N2pP/P3K1P1/8 w - -,c4c5
rn3rk1/4p2p/b2p1pp1/2pP4/4B3/1q3N2/1B1Q1PPP/1R4K1 w - -,b2f6
r1N3nr/pp3p1p/4pkp1/8/2B1qB2/Q1P5/PP4PP/R3K2R w KQ -,c4e2
rn1qkb1r/ppp2ppp/3p1n2/4p3/2B1PP2/3P1b2/PPP3PP/RNBQK2R w KQkq -,d1f3
4q3/5nk1/1Nn2p2/2PQp1p1/4P3/4B1P1/5PK1/8 w - -,b6c4
3r2k1/p4r1p/4bnp1/1pB1bp2/8/1P2PBP1/P4NKP/4RR2 w - -,e1d1
8/7p/2k3p1/Kpn5/3B3P/6P1/5P2/8 w - -,a5b4
4rrk1/pbn1b2p/5p2/2pp4/5P2/P2N4/BP1N2PP/4RRK1 b - -,c5c4
1r1qk2r/1b3pb1/p1n1pnp1/1p5p/1P1PP2P/4B1P1/PN1QN1B1/R4RK1 b k -,f6g4
r1q1r1k1/2pnbppp/p4n2/P2pp1B1/3PP3/1RP2N1P/2QN1PP1/5RK1 b - -,d5e4
3r1rk1/p1q1npp1/4bb1p/3pN3/1ppP1PP1/4P1Q1/PP2N1BP/R4RK1 w - -,h2h4
6k1/3b1p2/7Q/1P6/6p1/3B2P1/5P1P/4q1K1 w - -,g1g2
r1r2bk1/3n2pp/p2p2p1/3PpP2/Pp2N3/4BQ2/1Pq4P/R4R1K b - -,c8c4
4r1k1/2R3p1/2p3P1/1pB1p2p/8/8/Pb3P2/6K1 b - -,b2d4
1r5k/R1p1r1b1/2Rn2qp/1pBPp1p1/1Pn1PpB1/2N5/4QPPP/7K b - -,b8f8
r4rk1/3nppbp/3p1np1/q1pP4/4P3/2N2NP1/PP1BQPKP/R6R b - -,f8b8
1r3rk1/4ppbp/1q1p2p1/n2P1b2/1p3PP1/5R1P/1PP1N1BK/R1BQ4 b - -,f5e4
2k5/2P2n2/5R2/7p/7p/4P1K1/8/8 w - -,g3h4
5k2/p4ppp/Rp6/1n1N4/8/1P2P1P1/5PKP/1r6 w - -,b3b4
r1n1rqk1/1p3pbp/3p2p1/PppP2B1/4P1PP/5P2/1P1QN3/R4RK1 b - h3,h7h6
rn1q1rk1/pb2ppbp/6p1/1p2P1N1/3Pp3/1B5P/PP3PP1/R1BQK2R w KQ -,e5e6
r3kb1r/pp1q1ppp/1n6/2P5/8/5P2/PPP1NP1P/R1BQ1RK1 b kq -,f8c5
r3kb1r/pppq1ppp/2n1p3/3n4/2QP4/6P1/PP2PPBP/RNB1K2R w KQkq -,e1g1
r1bqr1k1/1p3pp1/2p1pn1p/p2pP3/PbP2B2/2N3P1/1PQ1PPBP/R2R2K1 b - -,f6d7
6k1/p2n1p1p/4p1p1/4P3/P2N1PP1/8/6KP/8 b - -,d7c5
1r6/2k2r2/p1nb4/6Bp/4R2P/1PR2p1B/P1P2P2/6K1 b - -,d6b4
2r1r1k1/6p1/2p1p2p/p1PpP1bP/3N4/R4R2/PPK3P1/8 b - -,c8a8
3r2k1/5pbp/r1q1n1p1/2pn4/P1N1N3/5P1P/1P1B2P1/R2Q1RK1 w - -,a4a5
3r2k1/5q1p/3B1n2/1b1p1p2/8/1B3P2/3Q2PP/4R1K1 w - -,e1e7
r1bq1rk1/pp1n2b1/2p3pp/4pP2/2P1Pn2/1PN2N2/PBQ2PBP/R4RK1 w - -,c3e2
rn1q1rk1/pp3ppp/2pb1n2/3pp3/4P1b1/3P1NP1/PPPN1PBP/R1BQ1RK1 w - -,f1e1:h2h3
1q3rk1/1n2bppp/p7/3Pp3/1p6/5Q2/PP1B1PPP/1BR3K1 w - -,f3d3
r1bqk2r/ppp2ppp/2np1n2/1Bb1p3/3PP3/5N2/PPP2PPP/RNBQ1RK1 b kq -,e5d4
r2q1rk1/1b1nppbp/pppp1np1/8/P2PP1P1/2N3NP/1PP2PB1/R1BQ1RK1 b - -,e7e6
6k1/pp3p2/2p4p/4p1pP/1nPqP1Q1/6P1/PP3P2/5BK1 b - -,g8g7
rq2r1k1/1p1n1pbp/p2p2p1/2pn2B1/2P1PP2/1P4PP/P1Q3B1/1R1R2K1 w - -,d1d5
q5r1/5p2/4p2k/2n1Pp1p/2Pp1P1P/1p1P2P1/1R4K1/1Q1N4 w - -,g2h2
8/8/2bkP2p/p2B3K/8/8/6P1/8 w - -,d5c6
3rk1r1/1p2p1bp/pnp1p1p1/4N3/1P1nPP2/6PB/1B5P/R1R3K1 w - -,b2d4
8/8/2pk4/7p/P5p1/2K3P1/b4N1P/8 b - -,a2d5
r1br1bk1/ppq2p1p/1n2p1p1/4P3/P1Np1P2/1P1P2P1/3B2BP/R3QRK1 b - -,b6d5
2kR4/pp4pp/1np2n2/6q1/4p3/1B2N2b/PPP1QPP1/6K1 b - -,c8d8
1r2k2r/1bqnbp1p/p1np2p1/1p2pP2/3NP1P1/2P1B2P/PP2N1B1/2RQ1RK1 w k -,d4c2
rn1qk1nr/pbp1bppp/1p2p3/3pP3/2PP4/1P3N2/PB3PPP/RN1QKB1R w KQkq d6,e5d6
r1bqkbnr/ppp2ppp/6n1/3Pp3/2pQP3/2N5/PP3PPP/R1B1KBNR w KQkq e6,d4c4
7k/8/8/8/6p1/1B5P/1P1K2P1/4N1r1 w - -,h3g4
8/PR6/5k1p/6p1/6P1/r6P/5K2/8 w - -,f2e2
