4Q3/6bk/3p4/6r1/8/1p3R2/pq4PP/5R1K w - -,f3h3
1r4k1/Rpn2rpp/4bb2/8/4P3/BpNq2P1/3P2BP/3Q1R1K w - -,c3b1
2r3k1/5ppp/p3p3/1p1qP3/3BbPP1/1P6/P1P2Q1P/1KR5 b - -,a6a5
r2qk2r/pp1bppbp/2np1np1/1B6/3NP3/2N1B3/PPP2PPP/R2Q1RK1 w kq -,h2h3:d1d2
b7/3R3p/6pk/2p1p3/r4p1P/P2B1P2/1P4P1/6K1 w - -,d3b5
2r2rk1/1p1qb1pp/2n2p2/1N2pb2/p1P5/Pn1PBNP1/2Q2PBP/3RR1K1 w - -,c2b2
rnbqk2r/1p1n2p1/p3p1Pp/2ppPp2/3P4/2N2NQ1/PPP2PP1/R3KB1R b KQkq -,h8g8
1r2k2r/pp1b1ppp/3pp3/n7/3P4/2P2NP1/P3PPBP/1R3RK1 w k -,f3d2
rnbqkb1r/ppp2ppp/8/3pP3/4B3/2P5/PP3PPP/RNBQK1NR b KQkq -,d5e4
2brr1k1/2q2ppp/1p1p4/1PnNn3/1P2P3/5PP1/5QBP/2RR2K1 b - -,c7b8
8/2k5/2P4p/1P4p1/4B1KP/5PP1/8/6b1 b - h3,g1f2
8/6pp/4k3/2P1Pp2/2p2P2/R4KP1/P2r3P/8 b - -,e6d5
rnbqk2r/pp2ppbp/5np1/3P4/2BP4/2N5/PP3PPP/R1BQK1NR b KQkq -,b8d7:e8g8
r1bq1rk1/2p1npp1/p2p3p/1p2p1b1/3PP3/2P1N3/PPB2PPP/R1BQR1K1 b - -,e7g6
r4r1k/ppqnp1bp/2p1Bnp1/8/3PP3/1QN1B2P/PP3PP1/R4RK1 w - -,e4e5
3r2k1/1pR5/p3p1N1/3p2Pp/Pq1PnP1P/4P3/1PQ3K1/8 w - -,g6e7
2R5/6bk/1q2p1p1/3p3p/1p1N2n1/1N6/1Q5P/6K1 w - -,h2h3
r2q1nk1/5pp1/ppp2n1p/3pP3/N3r1b1/1P2PQP1/PB3PBP/2RR2K1 w - -,e5f6
rnb2r2/1p2ppkp/p2p1np1/q2p4/3NP1P1/2N4P/PPPQ1P2/R3KB1R w KQ -,e4d5
r6r/5b2/p1p2p1k/PpN2PpP/1P1PP3/8/3R1K2/7R w - -,f2g3
2r2bk1/p4ppp/8/2p2b2/3p4/3P1PP1/PP1N1B1P/2R3K1 b - -,c8b8
4bnk1/1p3r2/4pPp1/3p4/5P2/1PR5/1P2R1PP/7K b - -,e8c6
r1bqr1k1/1pp2ppp/3p1nn1/8/p1PNP3/P1B3P1/1P2QPBP/R4RK1 w - -,e2c2
4r3/1p1r1p1p/p3bk2/3p4/1P3R2/P1R2PqP/B2Q2P1/7K b - -,f6e7
3R4/1b3kpp/p1q2p2/1p6/1Pr1nP2/P2Q1N2/6BP/5K2 b - -,c4c1
r4rk1/1bqnbppp/p2p1n2/1p2p3/4PP2/P1NB1N2/1PP3PP/R1B1QR1K w - -,f4e5
r4rk1/1b3qpp/ppn2p2/2p2P2/5B2/2PP3B/2P2QPP/R3R1K1 w - -,e1e6
4q1k1/1pr2p2/p5p1/P1pBb2P/2QpP3/1P3R1P/1P3PK1/8 b - -,g6h5
8/1p2B3/8/pP5p/k1K4P/8/5b2/8 w - -,e7d6
1r3r2/p3nqk1/3p3p/2p1bP2/4B2N/4Q1PP/5P1K/1R3R2 b - -,a7a5
2b1r2k/1q4p1/p6p/1PP1nP2/P2pP2P/6P1/3R2K1/1Q2R3 b - -,a6b5
r1nq2k1/p2n1rpp/Pp1ppb2/1N3p2/2PP2b1/1P2BN1P/4BPP1/R2Q1RK1 b - -,g4h5
r1b2rk1/1pqnbppp/p1pp1n2/4p3/2PPP3/2N1BN1P/PP1QBPP1/R3K2R w KQ -,a2a4
r2q1rk1/ppp2ppp/1bnp1n2/4pb2/N1PP4/4P1P1/PP2NPBP/R1BQ1RK1 b - -,d8e7
3rr3/p2n1p1k/4q1pb/Q3p2p/4b3/PP2PN1P/1B1R1PP1/4RBK1 b - -,e4f3
n1r3k1/1r1qppbp/3p1np1/1NpP4/P3P3/1PB2N1P/R1Q2PP1/1R4K1 b - -,g7h6
8/R5pk/8/8/P2nbP2/4P3/4B2r/3K4 w - -,e3d4
r5k1/1b1n1pp1/1qp1p2p/pr6/3P4/1PR2N1P/P3QPP1/1BR3K1 b - -,a5a4
2rr4/pp4pp/4R3/5pk1/8/2N2P2/PP2B1PP/2K5 b - -,d8e8
3r4/1p2k1p1/p6p/2Nn1p2/1PRP4/P7/5KPP/8 b - -,d8c8
rnbq1rk1/p1p1bpp1/1p2p2p/3N4/3P3B/4PN2/PP3PPP/R2QKB1R b KQ -,e7h4
2k1n1r1/1pp1bNpp/p1p5/8/5BP1/2P4P/PP3P2/3R2K1 w - -,f4g5
rnb1kbnr/pppq2p1/3p3p/5p2/2PPp3/2N5/PP2PPPP/R1BQKBNR b KQkq -,g8f6
r4rk1/bppqnpp1/p2p1n1p/8/3NP2N/2P4b/PPB2PP1/R1BQ1RK1 w - -,g2h3
r1bq1rk1/1p1nb1pp/p3p3/3pPp2/1P1P1P2/P2B1N1P/4N1P1/1RQ2R1K b - -,d7b6
2kr3r/1ppqnppp/1b3n2/pP2p2b/P3P3/2P2NPP/3NQP2/R1B1RBK1 b - -,e7g6
2rqr1k1/1b2bppp/pp1p1n2/2p1p1B1/P3P3/3P1BPP/1PP1NP2/R2QR1K1 b - -,f6d7
1r4k1/p2bq1pp/2n5/1pp3b1/4B3/N2P2P1/PP1N3P/2RQ1K2 b - -,b8f8
r1bqk2r/pp2bppp/2nppn2/8/2P1P3/2N3P1/PP3PBP/R1BQK1NR b KQkq -,e8g8
3r3r/2kn3p/1p2q1p1/p3p3/P1NPb3/B1P5/4Q1PP/R4RK1 b - -,e4d5
rnbqk2r/pppp2bp/5np1/4pp2/2P5/2N1P1P1/PP1P1PBP/R1BQK1NR w KQkq -,d2d4
8/p4pk1/1p1r2p1/2rP1q1p/P2R3P/6P1/3Q1PK1/3R4 w - -,d2d3
2qr1bk1/1rp2pp1/p1np3p/P1nNp2Q/2P1P3/2P1B2P/2B2PP1/R3R1K1 b - -,c8e6
rnbqk2r/ppp1ppbp/5np1/8/2B1N3/3P4/PPP2PPP/R1BQK1NR w KQkq -,e4g5
8/3P1rk1/1p2Q3/p1p2p2/P3pPp1/4P1pq/7P/3R3K w - -,e6a2
k1r5/q5pp/R4n2/3pN3/1Q6/8/5PPP/1R4K1 b - -,a7a6
8/1p6/p1kp2r1/2p1p1rp/2P1P2R/1P3RP1/P4K2/8 w - -,h4h3
r2q1rk1/pp3p2/3pbnpQ/2p5/2PnP3/2N5/PP2BPPP/R3K1NR w KQ -,h6d2
1r2r1k1/5pb1/p1pqp1pp/8/N2P4/8/PP3PPP/2QRR1K1 w - -,a4c3
r3k1r1/2qn1p1p/b1p2n1Q/ppb1pP2/4P3/2NB1N2/PPPB3P/2KR3R w q -,d2g5
rnbqk2r/p3ppbp/2p3p1/1p6/P1pP3B/2P1P3/3N1PPP/R2QKB1R b KQkq -,a7a6
r2qk2r/pp2bppp/1nn1b3/2p1p3/2N5/1QNPB1P1/PP2PPBP/R4RK1 b kq -,e8g8
2b5/rp2kppp/p1nbpn2/8/8/1N2PN1P/PP3PP1/R1BB2K1 w - -,c1d2
8/7k/3p2p1/p2N2p1/3Q4/7p/P3P2P/4K2q w - -,e1d2
r3r1k1/1bp1Npp1/p2b1q1p/1p1Pp3/8/2P5/PPB1QPPP/R1BR2K1 b - -,d6e7
4rrk1/Rbqn2p1/2p1p3/2Pp2bp/1p1Pp3/1P2P1PB/1BQ2P1P/R3N1K1 w - h6,e1g2
r1bqk2r/1p2bppp/p1n1p3/2ppPn2/P4P2/2N2NP1/1PPP2BP/R1BQK2R w KQkq -,e1g1
2b5/7k/1P3p2/6pp/2B2P2/4K1P1/8/2n5 w - -,e3d2
r3qrk1/1bpn2pp/1p1pp3/5p2/p1PPn2B/P3PP2/1PQNB1PP/R4RK1 b - -,e8h5
rn2kb1r/pp3pp1/2p1pn1p/q6P/3P4/3Q1NN1/PPPB1PP1/R3K2R b KQkq -,a5a6
2r2bk1/5p2/6p1/p2bP2p/3BpP2/2R4P/P2N2PK/8 b - -,c8c3
5k2/8/5K2/5pR1/4p3/4r1PP/8/8 w - -,f6f5
2b2rk1/q6p/n2p2pb/Pp2pp2/1P2P2P/Q2NPNP1/5KB1/4R3 w - -,a3b3
rnb1kb1r/pp2pp1p/3p1np1/q1pP4/4P3/2P2P2/PP1B2PP/RN1QKBNR b KQkq -,f8g7
7r/1p1b4/4pkp1/p1PpRp2/P2P4/1P3BP1/6K1/8 w - -,e5e1
r1b1k1nr/p2nppbp/1qpp2p1/6B1/3PP3/2P2P2/P2Q2PP/R1NNKB1R b KQkq -,h7h6
r1bq1rk1/pp2npb1/3pp1pp/2p5/1PPnP3/2NPB1P1/P3NPBP/1R1Q1RK1 w - -,c3b5
4k2r/1pr1nppp/4p3/3pP3/3P4/8/PR1NKPPP/R7 b k -,e7c6
2r3k1/p3bpp1/3p3p/1qr1p3/1p2P3/1Q6/PPPR1PPP/1K1RN3 b - -,a7a5
r3k2r/5p2/p3p3/4P2p/4b1p1/1PQqN3/P4PPP/2R3K1 w kq -,c3b4
4kbr1/1p1bpp2/p2p1p1p/2rN4/3NP3/8/PPP2PPP/1K1R2R1 b - -,h6h5
r4rk1/p5pp/2p5/5p2/4p3/P1b1P1P1/1PQ2P1P/R4bK1 w - -,a1f1
8/8/1b2pkpp/3p4/1p1P1PPP/pP3NK1/P4Q2/2q5 w - -,g4g5
r1b2qk1/5r1p/p1Np2p1/3P2b1/P1PB1pn1/2Q2B2/6PP/1R2R2K b - -,c8f5
