8/5pk1/3R4/6K1/4B2P/8/8/6r1 w - -,g5f4
r1b2rk1/ppqn1p1p/4p1p1/2Pp4/8/2P5/PPB2PPP/R2QRNK1 w - -,b2b4
8/1r4k1/7p/3R1P1P/4K3/8/8/8 b - -,b7b5
4r3/1r4kp/5Rp1/2pPq3/1p2N3/1P3PPb/1Q3P2/4R1K1 w - -,b2e5
3qn1k1/6b1/3p4/p2Ppr2/1Q4Bp/4B3/PPP5/1K5R w - -,b4e4
r1bk3r/1pp2ppp/p7/8/B3p3/8/PPP2PPK/RNB5 b - -,c8e6
4rrk1/ppqn2pp/1np3b1/8/3N2Pb/1PN1R2P/PBPQ1PB1/5RK1 b - -,h4g5
3rnr1k/pp1qb1pb/2n1p2p/2p1Pp2/5P2/2P2BP1/PP2QR1P/R1B1NNK1 b - -,e8c7
2q2rk1/p1r1bppp/1p1p1n2/2BP4/4N3/1Q3PP1/P3BP1P/1RR3K1 b - -,f6e4
r5k1/pp3pp1/5n2/8/1q6/P2Bp3/1PP3PP/5RK1 w - -,a3b4
r1bqkb1r/pp2pppp/2p2n2/8/3P4/5B2/PPP1NPPP/R1BQK2R b KQkq -,c8g4
8/8/8/2k3pp/2P1K3/6rP/2R3P1/8 b - -,h5h4
2r3k1/6b1/4P1p1/p4pP1/5q2/7Q/1P4P1/1R3B1K b - -,c8c1
3q1rk1/3b1rbp/1p1n1pp1/pPpPp3/2P1P1PP/1P2B1N1/3QB1R1/5RK1 w - -,e3h6
4r1k1/1p2p1bp/4bpp1/q1p5/p1n1P3/2P1B1P1/P1Q2PBP/R2R2K1 b - -,c4e3
r2r2k1/pp3ppp/1bpqnp2/8/3P4/3Q1NPP/PPPBRP2/4R1K1 w - -,d2c3
1r4k1/2rb1pp1/3p1n1p/1P1Pp3/q1B1P3/PRRQbN1P/5PP1/6K1 w - -,f2e3
1k6/8/r7/1n4PP/8/p5K1/R7/8 b - -,b5c3
r4r2/1pqnppbk/3p2p1/p6p/2P2P2/1P2B1P1/P2QP1BP/2R2RK1 b - f3,f7f5
3r3k/1b2q1bp/pr6/1p1Ppp2/4p3/PB6/1P2QPPP/1NRR2K1 b - -,b6d6
8/p4B2/Kp1k3p/6p1/1P6/6Pn/P6P/8 w - -,a6a7
8/2k3pp/pr1p4/R3p3/1PP1P3/2K4P/6P1/8 w - -,c4c5
8/6k1/3R4/7p/5Pb1/2P1N1K1/8/7r w - -,f4f5
5r1k/1p1RQ2p/2p3q1/p6r/6n1/P3PpP1/1P3P1P/3R1BK1 b - -,f8g8
8/2prnkp1/1p3p1p/3q3P/8/P1B5/2Q2PP1/4R1K1 w - -,c2a4
r3b1k1/B1p2ppp/2pb4/3n4/8/1N1B3P/PPP3P1/4R1K1 b - -,g8f8
8/Bp4b1/5pkp/2R3r1/P4p1n/2P4P/1P2BP2/7K b - -,f6f5
8/3nk3/2R1p1p1/2p3rp/P4R2/3K2P1/8/8 w - -,c6c8
3r1r1k/1p2q1p1/p6p/5p2/2nBp3/6QP/PP3PP1/3R1RK1 b - -,h8h7
rn1qkbnr/p3ppp1/1pp4p/3pNb2/3P4/1QP5/PP2PPPP/RNB1KB1R w KQkq -,b1d2
2r3k1/5pp1/3n2p1/3Pp3/4P3/2p3NP/R1q3PK/8 w - -,a2c2
r4rk1/p4p1p/2n1p1p1/2Pn4/3qN3/1R4P1/P2Q1P1P/2B2RK1 w - -,d2e2
bqrr2k1/5pp1/pp2n3/8/PP1p1P2/6BP/Q1RR2B1/6K1 w - -,g1h2
8/5p2/p4k2/5P1p/r3PK1P/8/P3R3/8 w - -,e2g2
6k1/1KPR4/r5pB/3P3p/1p5P/8/5Pb1/8 b - -,g2h3
8/8/8/1R3k2/8/4r1P1/6K1/8 b - -,f5g4
5k2/5pp1/4p2p/1p1pP3/p1rR1P2/PqP4P/1P1Q2P1/6K1 b - f3,f8g8
Q4br1/p1qkp1pp/3pb3/8/1n2P3/2N2N2/PP3PPP/R1B2RK1 b - -,g7g6
3r4/7p/1p2k1p1/3n4/4p1P1/4P1BP/1P2K3/3R4 w - -,d1d4
r4nk1/2pq1pp1/3p1b2/1p6/1P1PP3/1N3PB1/3Q3P/2R3K1 w - -,b3a5
5k2/1p1rrpp1/2p3p1/b7/P1RPP3/3K2P1/1R4BP/8 w - -,c4c5
r2q1rk1/pb1n2pp/1p3n2/2pp4/3P4/P1BB4/1P1NQPPP/R4RK1 w - -,a1e1
r1b2rk1/1pq2pp1/p1nppn1p/2b5/2P2B2/P1N2NP1/1PQ1PPBP/3R1RK1 b - -,e6e5
1rb2rk1/1p5p/p1p1p3/2PpPpq1/1P3R2/2QBP2P/P5P1/1R4K1 b - -,g8h8
2kr3r/1ppnqp1p/p1p1b3/6p1/3NPb2/2P5/PP1NQPPP/R1B2RK1 b - -,d7e5
r2q1rk1/pb1nBpp1/1pp1p2p/3p4/2PP4/2PBPN2/P3QPPP/3R1RK1 b - -,d8e7
r4rk1/pb1n2pp/1p1pp1q1/2p2p2/1PPP4/P1BBPP2/2Q3PP/R4RK1 w - -,a1d1
2r5/2q1Pk1p/p2p4/4pQ2/8/P7/2P3PP/3R3K b - -,f7e7
r1bqkb1r/pp1n2pp/2p1p3/5p2/2PPp3/1P2PP2/P2N2PP/R1BQKB1R b KQkq -,e4f3
2q3r1/p4b1k/1pnBp1n1/3pPpPp/P1pP1P2/2P1NB2/2P3QK/R7 w - -,g2f2
r4rk1/1p3p1p/1q1pb3/2bBp2Q/p1P3p1/P1N5/1P3P1P/2R2RK1 w - -,c3e4
8/8/8/3B4/4K3/8/6k1/4q3 w - -,e4d3
1rbq1rk1/2pnbpnp/pp1p2p1/3Pp1P1/1PP1P2P/2N1BP2/P1BQN3/2K3RR b - -,f7f5
rnb1k2r/pp3p2/4p2p/q2pP1p1/3P4/P5B1/2PQ1PPP/R3KB1R b KQkq -,a5d2
1r4k1/5n1p/1q1pr1p1/1N2p3/1BPnP3/4QP2/1R3P1P/3R2K1 w - -,b5d4
r4Bk1/pb2bp1p/4p1p1/3qP3/2pp4/6R1/PPQ2PPP/3R2K1 b - -,e7f8
2rr2k1/1p3p1p/2n3p1/PR4b1/8/2p4P/4BPP1/3RBK2 w - -,e1c3
1r6/2ppk2p/1p4p1/pnnP4/8/1P3BP1/1B3P1P/5R1K w - -,f1e1
r4r1k/1bp1bppp/p3pN2/1p6/2nP4/P1NBBq1P/1PP2PP1/2R1R1K1 w - -,g2f3
rnb1kbnr/pp3ppp/4p3/2q5/4N3/8/PPP2PPP/R1BQKBNR b KQkq -,c5c7
1k3r2/p2b2p1/Pp6/2pN2Pp/2PbB2P/5P2/8/4K2R w - -,e1e2
r3r1k1/pb2qppp/1p3n2/2np4/3N4/1P4P1/PQ2PPBP/3RRNK1 w - -,d4f5
r3k1r1/1ppn1p2/1p1p1q1p/3Pp3/2B1P1b1/2P1RN2/PP3PP1/R2Q1K2 b q -,d7f8
1r3rk1/5pb1/b2q2p1/p1nPp1Bp/P1p1P1nP/2P2NN1/2B1Q1P1/R4RK1 w - -,f3h2
2r2rk1/pp2ppbp/nq2bnp1/1N2N3/P1pP1B2/8/1P2BPPP/R2Q1RK1 w - -,f1e1
8/8/6k1/P2R3p/4p3/6P1/r6P/4nK2 b - -,e1f3
4B3/8/8/6kp/6p1/K5P1/7P/8 b - -,h5h4
1k3n1r/pbq4p/1p3p2/3p1N1P/1PpPpPr1/P1P1Q3/4NRP1/R5K1 w - -,e3h3
1R6/1P6/2k5/2N1p3/2N2b2/8/6K1/1r6 b - -,c6c5
2k3r1/pb1n1pr1/1ppbpq1p/3p4/3P1P1p/3BQN1P/PPP1NRP1/2K3R1 b - -,c6c5
2r2bk1/2qn1ppp/r1n1p3/p1ppP2N/3P2N1/P1P1B2P/5PP1/R2QR1K1 b - -,c6e7
8/3n1p2/6k1/6Pp/4PP2/P5B1/1P4K1/8 w - -,g3f2
1br2rk1/pp1q1ppp/4p3/2Pp1b2/1P1Pn3/5N1P/PB1N1PP1/R2QR1K1 b - -,f7f6
2rqkb1r/3n2pp/p3bp1n/1p1p4/1P1Pp3/PBN1P3/1B3PPP/RQ2K1NR b KQk -,d7b6
r4r2/1ppnqpkp/p2p2b1/4p1p1/1P2P1P1/2PPPQ1P/1P1N1R2/R4NK1 b - -,c7c6
5r1k/1p4p1/p3B2p/q2P4/P1p1nrPP/4Q3/1P3PR1/5RK1 b - -,e4d2
r4rk1/1pq3pp/ppnppn2/4p3/PP2P3/2PPBN2/5PPP/R2Q1RK1 w - -,d1b3
2r3rk/4p2p/3p2PQ/p6p/1pqNP3/8/PPP5/1K1R3R b - -,g8g6
r3k2r/1bq4p/pp1bpp2/2p1n3/2P5/2N2NP1/PP3PBP/R2Q1RK1 w kq -,f3e5
r1r3k1/5ppp/3n3q/3P4/1pnP2P1/1P3B1P/1K6/1N1RQR2 w - -,b3c4
1r4k1/1q3p1p/p2pr1p1/1pp5/2P5/1PQ1P2P/P4PP1/2RR2K1 w - -,d1d2
1R6/3r1pkp/p1b5/8/2p2P1B/3n4/3bN1PP/5RK1 w - -,b8c8
6k1/3q1p1p/6p1/ppB1P3/2b2P2/2n3PP/P2r1QB1/4R1K1 w - -,f2e3
rn1q1rk1/4bppp/p3pn2/1pp5/3Pb3/5NP1/PP1QPPBP/RNBR2K1 w - c6,b1c3
rnbqk1nr/pp3ppp/2p5/3p4/1bPP4/2N2N2/PP3PPP/R1BQKB1R b KQkq -,g8f6
2r1k2r/1p1bbppp/pq2p3/2npP3/3Q1B2/2N5/PPP2PPP/R3RBK1 w k -,a1b1
