2r3k1/7n/p4p2/4pPpN/6P1/8/P7/1R3K2 w - -,b1b6
1r6/1r3p1k/4p1p1/1PQ1P1P1/2BK1P2/8/8/8 b - -,h7g7
r2r4/pb2ppkp/6p1/2p1P3/2B1p3/1PP1K3/P4PPP/R6R w - -,h1d1
r4rk1/pp3pp1/2p2n1p/q4p1P/3Pn2N/3Q1P2/PPP1R1P1/1KBR4 b - -,e4d6
8/1p1rpp1k/3n2pp/8/3Q1PP1/1bN4P/1P6/6K1 w - -,c3e4
6k1/pQ3pp1/4b1np/2q1p3/4P3/P4B2/1P2N1PP/7K w - -,b7b8
r4rk1/1pq2pb1/p1p2npp/P1N2b2/1PBP4/1Q3N1P/5PP1/R3R1K1 b - -,a8d8
r2q1rk1/1bp1bpp1/p1np1n1p/1p2p3/4P2B/1BPP1N2/PP1N1PPP/R2QR1K1 b - -,c6a5
r2qk1nr/pp1bppbp/2np2p1/2p5/2P5/P1N2NP1/1P1PPPBP/R1BQK2R w KQkq -,a1b1
r1bq1rk1/pp2ppbp/2np2p1/2n5/2P1PB2/2NQ1N1P/PP2BPP1/R4RK1 w - -,d3c2
r1b1k2r/pp3ppp/1qnp1n2/2b1p3/2P5/2N1P1P1/PPN2P1P/R1BQKB1R w KQkq -,f1g2
3r1rk1/p5qp/1p6/5b2/3n4/2NP3P/PPP3BQ/R4R1K b - -,d4c2
3q1rk1/3b1pbp/2n1p1p1/3pP3/1r1P1B2/R4NP1/5PBP/R2Q2K1 b - -,d8b6
2kr3r/1b3pp1/p2bpn2/q2n2B1/Np1N1P1P/1B6/PPP2Q2/2KRR3 b - -,c8b8
6r1/2kn1p2/1pp1p2p/p4p2/P1PP1P2/2PK1B1P/5P2/1R6 b - -,f7f6
r1bq1rk1/pp3ppp/2n2b2/3p4/3P1N2/P2BB3/1P3PPP/R2Q1RK1 b - -,g7g6
r1b2rk1/pp1nqpbp/3ppnp1/PPp5/2PP4/2N1PN2/1B2BPPP/R2QK2R b KQ -,e6e5
5rk1/p2n2b1/1pp1r2p/3p1pp1/3P2P1/4PNBP/PPR2PK1/3R4 w - f6,g4f5
r1b4r/pp2kp1p/2p5/4bp2/8/1N3BP1/P1P2P1P/1R1R2K1 b - -,e5c7
r7/P7/4K3/8/R7/3k4/8/8 b - -,d3c3
r7/pp1Q1pk1/6p1/6Np/2q5/8/P4PPP/R5K1 b - -,a8c8
r4rk1/pppq2pp/4p3/1P1nPb2/3Pp3/1QN1B3/1P3PPP/R4RK1 w - -,a1a5
r5k1/1bp2ppp/1bNq1n2/p2p3r/P2P4/BP2PN2/2Q2PPP/R1R3K1 b - -,d6e6
3r2k1/1p1r1pp1/p2q3p/5p2/P3n3/1BP3PP/1P2QP1K/R4R2 b - -,d6b6
3b1rk1/p4r2/2pq3p/2Np1np1/2PPp3/4P1PN/PP1QBPK1/5R2 w - -,b2b4
4r3/1pk4p/6p1/2B2b2/2nRpP2/8/P6P/2K4R b - -,b7b5
8/5k2/p2bpn2/Pp5q/6p1/7P/1PP1Q1P1/5R1K b - -,f7e7
4r1k1/p1Rrbppp/1p6/3p4/3B4/4PPPq/PP2Q2P/3R2K1 w - -,c7d7
2kr3r/2qbbp2/1p1ppn1p/1P2n3/3NPBP1/1P5P/2P3B1/R2RQ1K1 w - -,e1b4
r2q1rk1/pb1p2bp/np1Ppnp1/1Np2p2/2P5/P3PN2/1P2BPPP/R1BQK2R w KQ -,h2h4
8/5K2/2r3pk/p3R3/8/8/8/8 b - -,c6a6
r4b1R/pp2r3/2p1b3/4p1k1/P3Pn1N/2N3P1/1PP2P1P/5RK1 b - -,f4h3
2k4r/ppp5/2n3p1/8/3P2p1/2Pq2P1/PP3RQ1/R4K2 w - -,f2e2
2r2r1k/1p2bppp/q1n1b3/3pP3/3P1B2/pP6/P1N1NPPP/1R1Q1R1K b - -,e6f5
2Q2k2/p7/1pp2n2/2q2Ppp/2P5/1P5P/P5N1/7K b - -,f8g7
r6k/1p1qn1bp/r1nBbpp1/1N2p3/2Pp4/PN1P2P1/5PBP/R2QR1K1 b - -,b7b6
rn1qk2r/p3bppp/b2p1n2/2pP4/Pp6/6P1/1PQNPPBP/RNB1K2R b KQkq -,b8d7
r1bq1rk1/1pp1bp1p/p1n3p1/3p1n2/3P4/2PB1N2/PP3PPP/RNBQR1K1 w - -,b1d2
1r1q1rk1/1p2npbp/2npb1p1/p1pNp1B1/2P1N3/P2P2P1/1P2PPBP/R2Q1RK1 b - -,e6d5
1k4r1/pbpn2q1/1p1p1r2/7Q/1P1NP2p/P4P1P/3R2PB/1KR5 b - -,a7a6
8/8/3k4/3p4/1Rn1r3/P1P5/KP6/8 w - -,b4b8
r4rk1/pp5b/1np3pp/2N1b3/5p1P/1PP5/1P2BPP1/R1B2RK1 b - -,f8f7
rnbqk2r/1p2bp1p/pn2p1p1/6B1/2BP4/1QN2N2/PP3PPP/R3K2R w KQkq -,g5e7
8/2b4k/2p3p1/B2n1p2/P1N3p1/8/2P3PP/7K b - -,c7a5
2r3k1/3rb1p1/p1qpb2p/4p3/2P1NP2/3Q3P/PB4P1/2R1R2K b - -,e7h4
1r3rk1/2qn1pb1/p2p2pp/2p1pP1n/2N1P3/2pPB1PP/PP2Q1B1/2R1R1K1 w - -,c1c3
8/2p5/1p1p1kp1/1P5p/2P1PP2/2b2K1P/5B2/8 w - -,f2h4
3r4/2k1rbp1/ppp2pn1/6p1/P1P1P1P1/1PRNKP1P/1N6/5B2 w - -,d3b4
2rn1k2/5pp1/3p3p/1Q1P4/4P3/2q2N1P/5PP1/5RK1 w - -,f1b1
4q1k1/r3ppbp/2b3p1/4P3/2p5/2BnQNP1/1P3PBP/6K1 w - -,e3a7
rnbq1rk1/pp2bppp/4pn2/2pp4/2PPP3/P4N2/1PQN1PPP/R1B1KB1R w KQ c6,d4c5
4r1k1/p5p1/2pb4/2pp2Np/2P3b1/BP1P4/P4PP1/5R1K b - -,e8e2
6q1/8/6p1/5pP1/5P2/1p4PK/8/k3Q3 b - -,a1a2
r1bqk2r/4bppp/p1n2n2/1ppp2N1/5P1P/2NP4/PPPB2P1/R2QKB1R w KQkq -,g5f3
r3r1k1/1bq1bppp/pp1ppn2/8/1nP1P3/PPN2NPP/4QPB1/R1BR2K1 b - -,b4c6
5rk1/pb4p1/1p2p2p/3nNp2/3P3q/2rB2RP/P2Q1PP1/R5K1 w - -,d3a6
1r4k1/pp1q1p2/2p2np1/2P1R3/3P3p/1N4P1/P3QP1P/6K1 b - -,h4g3
2kq4/p1r5/R1p1npp1/1pP1p2p/1P2P3/1P2P3/Q2r1NPP/R5K1 w - -,a2a5
4rr1k/1p3p1p/p1qbPp1B/2p5/8/2NP4/PPP1Q1PP/R5K1 w - -,h6f8
8/5ppk/4n3/1p1Qp1n1/5Pqp/2P1B1P1/1P6/2R3K1 w - -,d5g2
r2q1rk1/2p1n3/3bp1nQ/1p2p1B1/1P1pP3/P2P1N2/2R2PPP/R5K1 w - -,g5e7
r5k1/pR5p/2PP2p1/1N2bb1n/5p2/7P/PB3PP1/6K1 b - -,e5b2
8/P4p2/3p1kp1/8/1p3P1p/1P1r4/1b5P/4K3 w - -,e1e2
2r3k1/5p1p/4p1p1/1qp5/8/3PQ1PP/4P1K1/2R5 b - -,c5c4
8/p4bp1/1p1k1p1p/1Pp1pP1P/P1P1P1P1/1n1K4/2R5/8 w - -,d3c3
r1b1r1k1/1pq3p1/p1n1pnNp/b1p2p2/2P5/P1N3P1/1PQBPPBP/R4RK1 w - -,e2e3
2b2rk1/1pp1np1p/2n1pqp1/rB2N3/P2P4/2Q1P3/1B3PPP/R4RK1 b - -,e7d5
6R1/5p2/3k4/2R2p2/3PbP2/2P1K2P/8/5r2 w - -,g8g3
2nr1bk1/pp3q1p/2p2pp1/2Nb4/P2P4/1P4PP/2Q2P2/1RB2BK1 b - -,c8d6
5rk1/p5p1/2p4p/3bp3/2p5/2P1NP2/Pr4PP/R2R2K1 b - -,e5e4
2rrn1k1/pb2qppn/1p1p3p/4pP2/1PP1P1PP/P2QNB2/1B3K2/2R4R b - -,b7c6
2b1r2k/pr5p/2p2qpb/P1Pp1n2/5P2/1P1R3B/N1NQ3P/5R1K w - -,a2c1
8/8/6p1/6k1/4K1P1/4b3/2R5/8 b - -,e3a7
1k4r1/1p6/p2P2q1/4P2p/2Q4P/6P1/5R1K/8 w - -,f2f3
rn3rk1/1b2q1pp/pp2pp2/2b5/P3P1nB/2NB1N2/1P2QPPP/R2R2K1 b - -,b8c6
5rk1/pr3ppp/2N5/P3p3/1P4q1/4B3/8/3QKB2 b - -,g4h4:g4g3
r1bq1rk1/pp3pp1/2np1n1p/2p1p3/2PP4/2PBP3/P2N1PPP/R1BQR1K1 w - -,d4d5
8/PR3pk1/2Qr2p1/7p/3q3P/6P1/5PK1/8 w - -,c6d6
4k3/1r2bp2/pq1pp1p1/3pP2r/2pP1PQP/P7/KPP5/2BR3R w - -,h1h3
r2q1rk1/p1n1b1p1/2ppbn1p/1P3p1P/3PpB2/2N1PP2/PP1QB1P1/2KR2NR b - -,c6b5
3r1rk1/pp1q1pb1/2n3pp/3Bp3/2Q3b1/2P2N2/PP1N1PPP/R3R1K1 w - -,d5c6
rnbqk2r/ppp2ppp/3b1n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQK2R w KQkq -,e1g1:b1d2:e2e4:b1c3
1rr3k1/pn2Bp1p/q5p1/3BP3/3Q4/8/5PPP/5RK1 w - -,e5e6
1b6/1k1b2pp/5p2/3R1p2/3P1P2/4K1P1/3B3P/8 b - -,b7c7
