r5k1/3R1p1P/8/5PK1/8/8/8/8 b - -,g8h7
r3k2r/pp1nppb1/1qp1bn1p/3p2p1/3P2P1/1QP2PB1/PP1NPN1P/R3KB1R b KQkq -,h6h5
r2qk2r/pp1n1ppp/2p1pn2/2bp4/4P3/2N3PP/PPPPQPB1/R1B2RK1 b kq -,d5e4
r1b1r3/bpp2ppp/p1k5/3NP3/1PP2Bn1/8/P3NPPP/3R1RK1 b - c3,b7b5
r2r2k1/pp2qp2/2b1p1pR/6N1/8/1B1n2Q1/PP3PPP/R5K1 b - -,e7d6
6k1/2Q2B1p/1Rbr1qp1/p7/P3p3/7P/2P2PPK/8 b - -,g8f8
r4rk1/pp2q2p/1np3p1/3p1p2/3P4/2N1PP2/PP1Q2PP/4RRK1 w - -,c3d1
2r3k1/bp3pp1/3p1n2/P2P4/1P5q/2Q4P/1B3PB1/6K1 w - -,c3c8
r1b2rk1/1pp2ppp/p7/8/R4q2/1PN5/1PP2PPP/5RK1 w - -,a4f4
1r2k2r/4bpp1/p6p/1p1bp3/5B2/5N2/PP3PPP/R3R1K1 w k -,f4e5
4rbk1/2qn1pp1/P2p3p/2p5/8/1PQB1N1P/P4PP1/R5K1 b - -,c7b6
r1bq1rk1/pp2npbp/2npp1p1/8/3NPP2/2N1B3/PPP1B1PP/R2Q1RK1 b - -,d8b6
1kr5/ppr5/1qb1pb2/3p4/3R1PPp/1PN2B1P/PP1Q4/1K1R4 w - -,d4d3
r4r1k/pp4pp/1qB5/2p2bQ1/P2p4/4P3/1P3PPP/R1B2RK1 b - -,b6c6
2b1r2k/2p3b1/1p3rpp/pPq5/P1Pp1BP1/3B3P/7Q/R4RK1 b - -,c5e7
8/p4kpp/1p2p3/4P3/1P1P1Pp1/3r2P1/P1p2K1P/2RbR3 b - -,d3d4
8/1p5k/p1p1b3/P1p3qp/2P1Pp2/1P1r4/6PN/4QRK1 w - -,h2f3
1r1nnrk1/3bq1pp/3p4/pPpPpp2/5P2/PP2P2P/1BQNB1P1/2K1R2R b - -,d7b5
r1bq1rk1/pp2ppbp/2n2np1/8/3Np3/2N1BP2/PPPQ2PP/2KR1B1R w - -,d4c6
8/3p1p1k/1p4pp/p2P4/3b2P1/B2b4/PP3P1P/5BK1 b - -,d3f1
2Q5/8/3p1nk1/3Pp2p/1B1qPp2/1K6/8/8 b - -,d4e4
rn2kb1r/pp2pppp/1qp2n2/3p1b2/2PP1B2/1Q3N2/PP2PPPP/RN2KB1R w KQkq -,c4c5
r6k/1p6/p3pr1p/2Pp1n2/1P1P4/P7/5PBP/4RR1K w - -,e1d1
2b1nqrk/5rb1/p2p2p1/P1pPp1Pp/1pP1P3/1P1B1NR1/R3QP2/2B4K w - -,f3h4
1Q6/8/8/7p/P3k3/2q4P/6K1/8 w - -,b8g3
r4rk1/pbq1ppbp/2pp1np1/8/2P1P3/6P1/PP1N1PBP/1RBQR1K1 b - -,f6d7
8/2bn4/p1p1k1pp/2p2p2/2Pp1P2/BP1P2P1/P1N2K1P/8 b - -,c7a5
r3kb1r/1pp1n1p1/p1p2p2/6p1/3PP1Pq/5Q1P/PPP2PK1/RNB4R b kq d3,e7g6
2n5/6pp/5p2/ppk1p3/2p1P3/P1P2PP1/1P1K3P/3B4 b - -,c8d6
8/5p2/4pk1p/1R5P/3nPK2/8/8/8 w - -,b5a5
2r2rk1/p1q1n1p1/1pn1p2p/3pPp1P/b1pP4/P1P2N2/R1P2PP1/2BQRBK1 b - -,f8f7
2r1brk1/pp2b1pp/2p1p3/3PP2q/5P2/1P4P1/PBQ3BP/4RRK1 b - -,e8g6
r2q1rk1/p5pp/1p2p3/3pP3/3n1N2/5P2/PP6/R1BK1Q1R b - -,d8d7
4r1k1/3nppb1/1p4p1/1N1P3p/2P2P2/p3BnPP/P7/1R3BK1 w - -,g1g2
3r2k1/5p2/6b1/1p2QP1p/3P3P/8/8/7K b - -,g6h7
rnbq1rk1/p4ppp/1pp1pn2/3p4/2PP4/P1PBP1N1/5PPP/R1BQK2R w KQ -,c4d5
5k2/8/4Q3/1p2p3/2p1P2P/q4P1K/8/8 w - -,e6f6
r3k2r/pp1q1p2/1bnpbn1p/2p1pNp1/4P3/2PP1N1P/PPB1QPP1/R1B2RK1 b kq -,e8c8
r1b1k2r/pp3ppp/1qn1p3/1Nb5/2Bp4/5N2/PP3PPP/R2Q1RK1 w kq -,b2b4
4r1k1/5p1p/pp1p2pb/3q4/P3r3/1PR1PQ2/2N2RPP/6K1 b - -,f7f5
r2qr1k1/p2nbp2/2p2np1/1p1p3p/3P1B2/2NQPP2/PP2N1PP/3R1R1K b - -,b5b4
5kr1/p1pp1p1Q/1p3P2/8/2n2P2/2K1rN2/PB5P/8 w - -,c3c4
3r2k1/5np1/4pNQ1/1p6/2n2P2/q7/6BP/6RK b - -,g8f8
2r1r1k1/4bpp1/1q1p1n1p/4p3/pp2P3/P1N5/1PPRQPPP/2N2RK1 w - -,a3b4
r2qkb1r/pp1n2pn/4p1p1/3p2Pp/Q6P/2N5/PP1PPPB1/R1B1K2R w KQkq -,a4c2
r1bqk1nr/1p3pb1/p3p1p1/3pP2p/P2P3P/2N5/1PB2PP1/R1BQK2R b KQkq a3,c8d7
r1k1r3/1pp3pp/p2bpn2/4p3/2B1P3/2N5/PPP2PPP/2KR3R w - -,f2f3
2rq1rk1/pp1nppbp/5np1/3p4/3P4/1PN1PB1P/PB3PP1/R2Q1RK1 b - -,d7b8
r2qkb1r/ppp1p1pp/1nn1p3/3p4/3P4/5B1P/PPP2PP1/RNBQR1K1 b kq -,e6e5
4R3/1Np2pkp/6p1/3r4/1P1bKP2/r2P2P1/7P/2R5 b - -,d5d7
4k3/p4qBQ/6p1/2p5/4p2P/P2pn3/3P3K/8 w - -,d2e3
3r1b2/5pkp/4p1p1/3rP3/R5P1/4BN1P/5PK1/8 w - -,a4c4
1r1qk2r/1p2n1bp/p1bp1p2/4pPp1/3PP1P1/4B2P/PP2N1B1/R2Q1RK1 w k -,d1b3
r6r/pp1nb1p1/2p3kp/3np3/4N3/2NP2P1/PP1BPP1P/R4RK1 b - -,h8f8
r4q1k/2p1n1b1/3pP1p1/p2P1pN1/Pp3P2/1Q6/1P4PP/R1B2bK1 w - -,g5f7
3r1rk1/1ppn1pp1/p3b2q/P7/1P2P3/2N3P1/2Q2PBP/3R1RK1 w - -,c3a4
r1k4r/ppp3pp/8/3P1p2/1PB1n1n1/2P1bNB1/PK4PP/4R2R b - -,f5f4
rnbq1rk1/pp2p1bp/2p2ppn/3pP3/3P1P2/2N2N2/PPP1B1PP/R1BQK2R w KQ -,e1g1
r1bqk2r/pp3pbp/2n3p1/2p1P3/2PpP3/3P4/PP2B1PP/RNBQ1RK1 w kq -,c1f4
4R3/7p/1p6/4bN1k/6r1/6P1/6K1/8 b - -,e5c3
3r2k1/6pp/p7/1p1p4/PQ1Pp2q/3bPrNP/1P1R1P2/K5R1 b - -,d8f8
4r3/6k1/p3p3/P6R/6n1/2P5/1P3p2/5K1B b - -,g4e3
8/5ppk/2pq2np/1pn1p3/4P2P/1PP1BNP1/2Q2P1K/8 w - -,b3b4
6k1/2p2p1p/6p1/2r5/1p2bPP1/K2nN3/B3R2P/8 w - -,a3a4
r1bR4/pp3pk1/2p4p/2r3p1/2P1B1P1/1P3P1P/P7/2K4R b - -,b7b5
5r2/1p1bqpkp/r2p2p1/p3p3/P3P3/5P2/1PPQ2PP/2KR2NR w - -,b2b3
2rqr1k1/pb2ppbp/3p1np1/np1P4/1p2P3/2P2N1P/P1BN1PP1/1RBQR1K1 w - -,c3b4
8/6pp/3kpp2/p7/3P4/p2KP1P1/PnN2P1P/8 w - -,d3d2
rnbqk2r/pp2ppbp/3p1np1/2p3B1/3P4/4PN2/PPPN1PPP/R2QKB1R w KQkq -,f1d3
1nq5/2b1nk2/2p1pp1Q/1pPp4/1N1P1PP1/P7/4BB2/6K1 w - -,g4g5
r3k2r/ppp1q3/3p1p1p/2b1p2n/2BnP1bB/2PP1NP1/PP1N1P2/R2Q1RK1 b kq -,d4f3
r1bqkb1r/pp1n1p1p/2pp1np1/4p3/2P5/3P1NP1/PP1NPPBP/R1BQK2R w KQkq -,b2b4
6k1/8/3b2p1/3Pp2p/1p2P3/r5P1/5NK1/1R6 b - -,g8f7
2rr2k1/p6p/3nbb1P/1pq1p1p1/2PpP3/1P1B2B1/P1QN1PP1/2R1K2R b K -,b5c4
4n3/5k1r/p1qpp1r1/2p2p2/2P2P1p/1P2R1P1/P3Q1RP/B5K1 b - -,h7h6
3k4/pp2ppbp/2p1b1p1/8/n1p1P2B/2P2P2/P2KB1PP/1R6 b - -,b7b5
3r4/p1q1bpk1/4pNp1/4P2r/3P1Q1p/3R4/P4PP1/3R2K1 b - -,h5f5
1n1R3k/6b1/6p1/1N6/4b3/4P3/Pn4PP/5K2 b - -,h8h7
1r6/8/5k2/5pp1/1p6/1Br1P1P1/1R2KP2/8 w - -,b2b1
r2r4/1b2ppk1/pP1P1bp1/2p1Bq1p/8/2N1Q2P/1P3PP1/3RR1K1 w - -,d6e7
3r1rk1/pp3qbp/2ppb1p1/5p2/2P5/PPN1PBP1/3Q1P1P/2RR2K1 b - -,g6g5
5r2/2q2k1p/1pPp1np1/r2P1p2/1QP1pP2/R7/4B1PP/1R4K1 b - -,f8a8
6k1/p4pp1/1b5p/3q4/7P/1P3KP1/P3QN2/8 w - -,e2e4
r3kb1r/1pp2ppp/p4n2/4n3/P1p1PP2/2N1B3/1P3P1P/3RKB1R b Kkq -,e5d3
