8/p7/5p2/1Pp2kp1/2P1R3/5P2/r4KP1/8 w - -,f2f1
2r2rk1/3n2pp/1bq5/1p1pPp2/pPnB1P2/P1PN4/4Q1BP/R2R2K1 b - -,c8d8
r4rk1/pbqpn1pp/4p1n1/2p2p2/2P1PP2/P1PBB3/2QN2PP/R4RK1 w - -,d2b3
6k1/1p3rpp/p1p2b2/4rp2/P1Rp4/3P1BP1/4PP1P/1R4K1 w - -,c4b4
r1r3k1/1b4pp/p4p2/3ppP2/4q3/2P1B3/2PQ1RPP/3R2K1 w - -,d1b1
r1bq1rk1/3nppbp/p2p1np1/2p5/R2P1B2/2P1PN1P/1P1NBPP1/3Q1RK1 b - -,c8b7
1n3rk1/rp1npp1p/2p3p1/q7/2P1N3/pR1P1bP1/P3PPBP/Q4RK1 w - -,g2f3
6r1/2R5/p2Pbk2/2K2p2/5p2/7P/4N1P1/8 b - -,g8g2
8/5p2/4pk1r/1r1b4/1p1R1PB1/1P5P/1KPR4/8 w - -,f4f5
r1bq2k1/2pnbrpp/p1n1p3/1p1pP3/8/1NPB1N2/PP2QPPP/R1B2RK1 w - -,b3d4
3r3k/1p2p1qp/2n4b/3b4/4NP2/8/1P3QBP/2B1R2K b - -,g7g4
r5k1/pp3pp1/2prpnp1/8/3P4/1BP3P1/PP3P1P/3RR1K1 b - -,a8d8
r1b2rk1/pp1n1ppp/4p3/q3P3/P1BP4/5N2/5PPP/R1Q2RK1 b - -,d7b6
8/8/p2b4/1p1k4/2p5/P1P5/1BK5/8 w - -,c2d2
r1b1kb1r/3n1ppp/pqn1p3/1pppP3/5P2/2NP1NP1/PPP3BP/R1BQ1R1K b kq -,c8b7
5n1k/R3P3/5N2/3p1K2/p1pP4/2P5/4r3/8 b - -,e2f2
2r2r1k/2qnp1bp/p2p4/2pB3p/1p1PP3/4BP2/PPPQ4/2KR3R w - -,h1h5
r1bqkb1r/pp3pp1/2np1n1p/4p3/2B1P3/2N2N1P/PPP2PP1/R1BQK2R b KQkq -,f8e7
r3r1k1/ppp2n1p/1n1p1qp1/8/P1PP1pP1/6B1/1PQ1B2P/R4RK1 w - -,f1f4
b2r3k/5rpp/p4b2/5P2/8/1PnpB2Q/P2R2BP/4R2K b - -,c3e4
r5k1/Pnbb3p/3p2p1/1p1Pp3/1B2Pp2/3B1P1P/3N2P1/R4K2 b - -,c7b6
8/3r2k1/1p4p1/pP1q3p/P2p1R1P/5QP1/7K/8 w - -,f3f2
2b3k1/2r1bpp1/p1rp1n1p/4pP2/4P2P/1q4P1/3RN1B1/B2R2QK b - -,c6c2
r1bqkb1r/pp1nppp1/2p2n1p/3p4/3P3B/2N1P3/PPP2PPP/R2QKBNR w KQkq -,f1d3
8/6k1/pp4pp/8/P5P1/1Bn1K3/7P/8 w - -,e3d3
8/4R3/5k2/5p2/4p1p1/6P1/4KP2/1r6 w - -,e7e8
4r1k1/p5pp/2p5/1p1p4/3Pn3/2N1P1qP/PP2Q1P1/4R1K1 b - -,e4g5
r1bq1r1k/p3p1bp/2p3p1/3pp3/3Pn3/1QN2N1P/PP3PP1/R1B1R1K1 w - -,c3e4
rn2k2r/ppq1bppp/1np1p3/3p3b/2PP3N/1QN1PPP1/PP1BB2P/2KR3R w kq -,c4d5
6k1/2pq2pn/rp1p1p2/3P1N1Q/P1P1rP2/R6p/R7/6K1 b - -,e4f4
R7/3r1k1p/1p6/pb1p1pB1/P2RpP2/7P/2r2K2/8 w - -,f2g3
8/8/ppkb2pp/2p4P/P1PpKPP1/3P4/8/2B5 b - -,g6h5
6k1/6pp/pq2p3/3bQ3/6B1/8/PP5P/1K6 w - -,e5e1
8/1p6/6K1/5Q2/k2q4/8/6P1/8 w - -,f5c2
8/pR5p/1b1p2pk/3rpn2/P6P/1P4P1/4R1K1/8 b - -,d5d3
r2qr1k1/1bp1pp1p/pP4pb/3pP3/8/3BP2P/1PPN1PP1/R2Q1RK1 b - -,c7c5
8/1p6/8/bPK5/P6N/5k2/4p3/8 b - -,f3f2
r1bqk2r/p4ppp/1p1bpn2/2p5/2PP3Q/5N2/PP1B1PPP/R3KB1R w KQkq -,d4c5:e1c1
8/1p1r2kp/p2P2p1/1Pr2p2/P3pP1q/4Q3/4R2P/5B1K b - -,c5d5
4rrk1/1ppqnppp/p2p2b1/3Pn3/2PNP3/PPN3P1/6BP/R2Q1RK1 w - -,d1d2
r2qk2r/p1n1bppp/1p6/n2pN3/Q3N3/P7/1P3PPP/R1B2RK1 b kq -,e8f8
2r3k1/pn2q2p/br1pp3/1p1p2p1/PP1Pp3/2P1PNP1/5P1P/R1Q1RBK1 w - -,f3d2
1r1qb1k1/2n1b1pn/3p2R1/2pPpP2/2P1P3/1rN2N1B/3Q4/R3B2K w - -,g6g2
5n2/r4Pk1/p1R1p1p1/P2n3p/8/6P1/7P/5RK1 b - -,d5e7
6k1/5n1p/pp1R4/2r2NP1/8/6K1/PP6/8 w - -,f5h6
r4rk1/pbq1bppp/1pn1pn2/2p5/1P2p3/P1PP1NP1/3N1PBP/R1BQR1K1 w - -,d3e4
3r2k1/pp3pbp/2n1b1p1/8/4B3/2N5/PPP1NPPP/3R2K1 b - -,d8e8
1n1r2Q1/3rkpp1/p3pb1N/8/3q4/2N3R1/1P3PPP/5RK1 w - -,g8f7
4r1k1/4rpbp/1np2pp1/p4P2/1q1P2P1/1PNQ1N2/2P2KP1/4R2R b - -,a5a4
r1b1qrk1/1ppnppbp/p2p1np1/8/2PP1B2/4PN1P/PP2BPP1/RN1Q1RK1 w - -,b1c3
8/1p3pk1/p2pr1p1/P1P1q2p/3RP2P/6P1/3Q1PK1/8 b - -,d6c5
r1b2rk1/5ppp/p1n1pn2/1pP5/8/P1P1PN1P/B4PP1/R1BR2K1 b - -,f6e4
5rk1/p5pp/bpp1p1r1/3p2q1/2P5/5BPP/PPQNPK2/R2R4 w - -,d1g1
5rk1/ppp3pp/3p4/2bPr3/5n2/4N3/PPPB1PPP/3R1R1K w - -,c2c4
r3r1k1/pb1n1pp1/1ppq1b1p/3pNN2/3P1P2/1Q4P1/PP2P1BP/2R2RK1 b - -,d6e6
1r1q1rk1/4ppbp/p1npbnp1/1pp3N1/2P1PP2/NP1P4/PB2B1PP/R2Q1R1K b - -,b5c4
rn1q1r1k/pb2bppp/1p2pn2/2p5/2PP1B2/2NB1N2/PP2QPPP/3R1RK1 w - -,d4c5
7r/6k1/4pp2/2N2bp1/pPpqp3/P5QP/5PP1/2R3K1 w - -,c1e1
8/3b4/5k2/3P4/4RP2/4K3/8/r7 w - -,e3d4
3r2k1/pp1r1p1p/3P2pq/4QP2/8/8/6PP/3R1R1K b - -,h6g7
r4rk1/pbqnppbp/1p3np1/2ppN3/5P2/2PP1NP1/PP2P1BP/R1BQ1RK1 w - -,c1d2
r3r1k1/4b1pp/1N6/5p2/2p1p3/1P1bR1BP/P4PP1/3R2K1 b - -,a8a2
r1nq1rk1/1pp1bpp1/4pn1p/p7/2PP1B2/P4NP1/1PQ1BP1P/R2R2K1 w - -,c2b3
3R4/8/8/2k3p1/4p2r/4K3/8/8 w - -,d8d7
r5k1/1B3p2/2p4p/p1Nrn1p1/Pp1n4/8/1P3PPP/2RR1K2 b - -,a8d8
r4rk1/6pp/3p1p2/2pP1b2/1p2qP2/1P2P1RP/1B1RQ1PK/8 w - -,g3f3
8/4bP2/4N3/3K4/8/4k3/8/8 w - -,d5e5
1r3r1k/1BNp2pp/3P1q2/p1p1Bp2/8/1Q4P1/P3PP1P/5RK1 b - -,f6e5
5k2/2pp1p1p/1p2pp2/1P6/2P3Q1/1nqPP3/4BPPP/6K1 b - -,c3c1
2rq1rk1/p1nnbppp/bp2p3/3pP3/3P4/4QNP1/PP3PBP/R1BR1NK1 b - -,b6b5
8/4k1R1/1p1p3R/1P1rpb2/4rp2/8/2N4P/6K1 b - -,e7f8
2r1r1k1/pp2q2p/4b1p1/1P1pNp2/P3n3/4P1P1/1Q3PBP/R1R3K1 b - -,c8c1
3n4/p1r2p2/R1p1k3/2P1P2B/3K4/7P/8/8 b - -,f7f6
1r4k1/5pp1/4p2p/q2p4/P7/2bN1PP1/R1Q1P1KP/8 w - -,a2a3
4kbQ1/4q2p/2p3p1/N2pp1P1/P3P2P/1P6/2P5/2K5 w - -,a5c6
r3r1k1/pp1q1ppp/2nb1n2/3pp3/6b1/PP1P1NP1/1B1NPPBP/2RQR1K1 b - -,g4h3
1r1qk2r/pp2npbp/4b1p1/4p3/1P6/1nNPN1P1/R2BPPBP/3Q1RK1 b k -,b3d2
r2q1rk1/1pp1b1pp/2n1bp2/p3p3/8/P1BP1NP1/1P2PPBP/2RQ1RK1 w - -,d1c2
6k1/1pr3p1/p3n2p/1p1pp3/1P4P1/7P/R1bNPP2/2R3K1 b - -,c2g6
2rr4/p5pk/1p2pq1p/3nN2P/2p1bPP1/2P5/P1P4Q/2BR1RK1 w - -,g4g5
r5k1/pp1qrpp1/1bp2n1p/8/3P4/P2Q1PP1/1P4BP/2BRR1K1 w - -,e1e7
2r1k2r/1pqn1ppb/p1nbp2p/3pN1P1/2pP1P1P/P1N1P1B1/1PPQB1K1/R6R b k -,h7f5
8/1Q3kpp/1p6/2pP4/2P4P/6PK/P7/1q6 b - -,f7f8
7r/pkb2pp1/4pnb1/8/2PN4/6p1/PP1RKP1P/6R1 w - -,h2g3
r1bqr1k1/1p3pbp/2p2np1/3pn3/1BP5/4PN2/P1QNBPPP/R3K2R w KQ -,f3e5
r2r1bk1/pp1b1p1p/2n1p1p1/q1P5/2B1PP2/1QP1B3/P3N1PP/R4RK1 b - -,f8c5
5b2/Q2bq1k1/3p2pp/2pP4/2PpB1P1/5PK1/3B3P/8 b - -,d7c8
6k1/4Rp2/5npp/1p1Pp3/8/6PP/5PBK/r7 b - -,e5e4
