8/7n/4k2P/3N1p2/3K1P2/8/8/8 b - -,e6f7
5b2/5k1p/p3rp2/1rB5/1P3p2/2PR3P/5PP1/R4K2 w - -,d3d7
3r4/Q4p2/p2p1Pp1/k7/8/1R6/KPq4P/8 w - -,a7b6
4N3/1p3pkp/p7/P1R5/2p5/2P4P/6K1/r7 b - -,g7g6
r1bqrbk1/ppp2ppp/2n5/3np3/8/PP1PPN2/1B1NBPPP/R2QK2R b KQ -,a7a5
8/3k2n1/5pp1/3p3p/2bP3P/B3K3/6P1/3N4 w - -,g2g3
1r1r1k2/pp3p1p/2p1pnp1/7n/3P4/1BPN4/PP3PPP/3RR1K1 w - -,g2g3
2R5/5p2/4p1p1/4P2p/4bK1P/8/2pk4/8 b - -,e4f5
r1bq1rk1/ppp1bppp/1nn5/4p3/8/1PN2NP1/P2PPPBP/R1BQ1RK1 w - -,c1b2
5b1k/3nrp1p/1p6/4pN2/q3P1Q1/2P3P1/5P1P/3R1B1K b - -,d7f6
2rr2k1/1b3p1p/p3pnp1/1pq5/4P3/P1PB4/4QPPP/R1R1N1K1 b - -,c5e5
8/8/4p2p/4Pp2/4k1p1/5N1P/4KPP1/8 w - -,h3g4
r2q1rk1/1p2bpp1/p1p2n1p/P2p4/1P1P4/2NBPQ1P/5PP1/1R3RK1 w - -,c3a4
N1b1r1k1/pp3pbp/n2B2p1/2P1P3/q5n1/5N2/PP1QBPPP/R3K2R b KQ -,e8d8
1R6/2rk1b1p/B1p3p1/2Pp1p2/3P4/4R1PP/PP5r/3K4 b - -,h2h3
8/Rpnr2k1/2p2pp1/1PB3p1/8/5B1P/6PK/4r3 w - -,b5c6
8/2p2r1k/2Nb2p1/7p/b5P1/2R1B2P/2P2P2/6K1 b - -,a4b5
2R3k1/5pb1/4p1p1/7p/r2P4/4B1PP/5P1K/8 b - -,g8h7
3r4/4kp2/2b4p/1pr1PBp1/6P1/2P1R2P/5P2/2R1K3 b - -,b5b4
3r1b2/5k1p/4bpp1/1p2p3/8/2P2PK1/1B1NR1PP/8 w - b6,d2e4
r1b1kb1r/ppq1pppp/3p1n2/8/2NnP3/2PQ4/PP3PPP/R1B1KB1R w KQkq -,d3d4
r3kb1r/ppq2pp1/4p3/1b5p/2P5/7P/PP1BQPP1/R4RK1 w kq -,c4b5
5rk1/5ppp/3Q4/1R6/7q/7P/6PK/8 b - -,h7h5
r2qrbk1/2pb1ppp/p1np1n2/1p2p3/3PP3/2P2N2/PPBN1PPP/R1BQR1K1 w - -,d2f1
rn5r/pp3kp1/3bpp2/3p3P/3P4/3BBP2/PPP5/2K3RR b - -,f6f5
r1b1kb1r/1p1n1ppp/1qn1p3/3pP3/p2P4/1N2BN2/PP2BPPP/R2Q1RK1 w kq -,b3c1
2r1r1k1/p5p1/6p1/2pp1p2/q1bPnB1P/P3RBP1/1Q2PPK1/1R6 b - -,c8d8
4nbk1/5q2/2p1bpp1/1pP5/p3P1Pp/P3B2P/1PN2QBK/8 b - -,f7c7
8/8/8/4K2n/4N2k/8/4B3/8 w - -,e2f3
4nbk1/p1qn1p1p/1pN3p1/8/2PB3Q/6P1/P4PBP/6K1 b - -,d7c5
5rk1/5pp1/1q5p/8/1P1R4/2PQ4/r6P/4R1K1 b - -,f8c8
1r1q1rk1/2p1bppp/p1npbn2/P3p3/1pN1P3/1B1P1N2/1PP2PPP/R1BQ1RK1 w - -,c1e3
8/5p2/2r2k2/2pR4/1P6/6PP/5PK1/8 b - -,c5b4
1rq1n1k1/2nbrp1p/p2p2p1/Pp1Pb3/1Pp1P3/2N2B1P/1BQ2PP1/3RRNK1 b - -,e8g7
8/5pk1/R6p/8/2r2PP1/6K1/5P2/8 w - -,a6a5
3r1k2/2p1R2R/3p4/P7/2pbpPP1/7P/1r6/7K w - -,e7e4
6r1/8/2pk4/1p4R1/1P3Kp1/6P1/2P2P2/8 b - -,g8f8
8/p4kbp/1n2p1p1/1p1p1p2/1P1P4/P2KP1P1/1B1N1P1P/8 b - -,b6c4
2kr2r1/p1qnbp1p/1pb1p1p1/2p1P3/2N1PPQ1/1P1B4/PB4PP/R4RK1 w - -,a1d1
1rbq1rk1/p3ppbp/3p1np1/2p5/1p2P3/3PB1PP/PPPQ1PB1/R2N1RK1 b - -,c8a6
r1b1k2r/p3b1pp/q1p2n2/2Pp1p2/2n1p3/1QN1B1PN/PP2PPBP/2R2RK1 b kq -,c4e3
1r3rk1/pb4p1/1p1qp2p/3nNp2/P2P3Q/1BPR4/5PPP/R5K1 w - -,d3g3
r3rbk1/2qb1pp1/p5p1/1pnP4/7Q/1PP2N1P/1BB2PP1/R3R1K1 b - -,e8e1
5n2/p7/1p4kp/8/1PR5/b2p3P/6P1/1B3K2 w - -,b1d3
3rr1k1/1pqb1ppp/p2p1b2/2pP4/5B2/2PB3P/PPQ2PP1/3RR1K1 b - -,g7g6
2r2rk1/p2nppbp/2pn2p1/qb6/Np1P4/1P2PNPP/PBQ2PB1/2R1R1K1 w - -,a4c5
8/Q4pkp/2p1p1p1/8/2P2q2/7P/8/5BK1 b - -,f4e5
2r5/7p/p2pNk2/1p1P1p2/1Pn2P2/5K1P/P7/2R5 b - -,c4d2
6k1/5pp1/6p1/8/2nB4/5P1P/p1P2KP1/8 b - -,c4a3
r1b3rk/pp3p1p/4qp2/2B1p3/4PP1Q/PN6/1PP3PP/2K4R w - -,f4f5
3rk3/R7/2R2p1r/8/2P3p1/1P6/P4P2/6K1 w - -,a7g7
1qr5/r5k1/bn1p1ppp/2pP4/p3Bn1P/N4N2/PPPQ1PP1/1K1R3R b - -,f4e2
r2q1rk1/pb1nbppp/1p2pn2/8/2PNN3/P2B4/1PQ2PPP/R1B1R1K1 b - -,a8c8
2br2k1/3nbppp/pq1ppn2/8/1p1PP3/3QBNN1/PP3PPP/1B3RK1 b - -,b6b8
r1b1r1k1/1p1n1pbp/2pp1np1/q7/p1PNP3/P1N1B1PP/1P2QPB1/3RR1K1 w - -,f2f4
1r2b1k1/5ppp/np1P1q2/2p5/p1Pp2P1/P5BP/1PQ2PB1/R5K1 b - -,e8d7
3k4/p7/3PK1p1/7p/5r1P/1R3N2/P7/2r5 w - -,f3e5
r1b2rk1/q4ppp/2p2n2/p1n5/2B1pP2/P1N5/2PPNQPP/1R3RK1 b - -,f6g4
r2q1rk1/pp2bppp/2n1b3/2Pp4/4n3/1PN2NP1/PB2PPBP/R2Q1RK1 b - -,e7c5
1qrr2k1/3nbpp1/p2p1n1p/1p2p3/NPP4P/P3QBP1/2R1PP2/B1R3K1 w - -,a4b2
5rk1/p7/2bpp3/2p3p1/5nN1/3n1P2/P1K2BPR/1R6 b - -,d3b4
8/4N3/3p2p1/3Pb1k1/6P1/8/3pK3/8 b - -,e5f4
5k2/p2n2p1/1pp1p2p/n3P2B/2P2P1B/P2K3P/2P5/8 b - -,d7c5
5n2/6p1/pBpk1p1p/2pp1P2/2P2PP1/1P2K2P/P7/8 b - -,f8d7
rnb1kb1r/pp1p1ppp/2p5/8/2P3n1/2N3P1/PP1BPP1P/R3KBNR b KQkq -,b8a6
r1b2rk1/pp2bppp/2nqpn2/8/2BP4/2N2N2/PP3PPP/R1BQR1K1 w - -,c1g5
8/1PP5/4p3/4P3/4k3/6K1/1r3p2/3R4 b - -,b2b7
3Q4/5pk1/6p1/2p4p/1q5P/6P1/5PK1/8 w - -,d8d5
r1bqk2r/ppp1npb1/2np3p/3N2p1/4P2B/2PB4/PP3PPP/RN1Q1RK1 w kq -,h4g3
8/8/8/8/1r4PP/2k2PK1/8/8 b - -,c3d4
3q1rk1/1rp1bpp1/p1npbn1p/P3p3/1pN1P3/1B1PBN1P/1PP2PP1/R2Q1RK1 w - -,f3d2
r1bq1rk1/pppn1pbp/6p1/4p3/2P3n1/1P3NP1/PB2PPBP/RN1Q1RK1 w - -,e2e4
6k1/3Q1p2/1p2r1p1/2p5/1p1p3P/P2P4/2P2K2/8 w - -,a3b4
8/7p/1pkp4/4p2R/r1PKP2P/6P1/P7/8 w - -,d4c3
r2qkb1r/4pppp/pnpp4/4P3/3P2b1/PQ3N2/1P3PPP/RNB1K2R w KQkq -,e1g1
1r3bk1/2p2pp1/p1B4p/P1n5/2b2B2/7P/1P4P1/R2R3K b - -,c5d3
4r1q1/p4pk1/n3b1p1/1p1p2N1/nPpP1Bp1/2P2B2/6QP/R5K1 w - -,f3d5
r3kb1r/pp1n1ppp/2p1pnb1/q7/2B2BP1/2NP1N1P/PPP1QP2/2KR3R b kq -,e8c8
8/8/4kb1R/1p3p2/pP3n2/K2P4/8/8 w - -,d3d4
r3k2r/1ppqbp2/p3p2p/3pPb2/1PP1n1p1/P1N1P2P/4BPPB/R2QK2R w KQkq -,c3e4
rnbq1rk1/pp2ppbp/2pp2p1/8/3PPPn1/2NB1N2/PPP3PP/R2QK1BR b KQ -,b7b5
3r3k/1q5p/5Ppb/Q1p2p2/3p4/PP1R3P/5PP1/3R3K b - -,d8c8
1r6/1p3k1p/p1p2P2/2PbPPKP/1R6/8/1P6/8 b - -,a6a5
2rq1rk1/1p2ppbp/p1np1np1/8/P3PP2/1PN1B3/1P2B1PP/R2Q1RK1 w - -,e2f3
8/4k3/1K5R/p2rP2p/1b3B1P/8/PP6/8 b - -,a5a4
2r1k3/7R/6p1/p3Bp2/2PK1P2/8/P6P/3r4 w - -,d4c3
