6R1/8/5b2/5P1k/8/5r2/3K4/8 w - -,d2e2
r1bq1r2/n6k/4p1p1/pP1pP1P1/2pP1p2/P1N1B1N1/6K1/R6Q b - -,h7g8
2rqr2k/pp5p/4pbp1/5p2/b1BP1B2/4R3/P2RQPPP/6K1 w - -,h2h3
3r1qk1/r2n1p2/2Q3p1/p1pP3n/2N2b1p/2B4P/PP3PB1/3RR1K1 b - -,a5a4
8/6k1/2p3P1/p1p1bR1K/P2p1P1p/1r1P3P/8/8 w - -,f5e5
rn1qr1k1/ppp1ppbp/4b1p1/8/2pP3B/2P1PN2/P3BPPP/R2Q1RK1 w - -,d1b1
6k1/6p1/4r3/p2Rpn2/1p6/7P/2P3K1/4R3 b - -,e6c6
r7/p5k1/R4b2/8/2pP4/2P3P1/5P2/6K1 b - -,f6d8
2k5/B2n1n2/4p3/1P4pp/3K4/6P1/4N3/8 w - -,d4d3
4r1k1/2q2ppB/p2p4/3Pr2p/p1Pn4/R6P/3Q1PPK/R7 b - -,g8h7
8/6k1/8/4rn2/8/7P/5RPK/8 b - -,g7g6
r1bq1r1k/ppp4p/8/5N2/3bpR2/1Q2B2P/PPP3P1/5RK1 b - -,c8f5
2r2rk1/6p1/1p5p/p1q1p3/3bB3/1Q4PP/P3RP2/5RK1 b - -,g8h8
8/8/4k1p1/N1P3p1/Pp1K2P1/8/2P2b2/8 w - -,d4c4
8/6k1/p2p2p1/P1p5/1pPqp3/1n2N2P/5QP1/6K1 w - -,g1h1
4rbk1/p4p1p/2p3p1/8/5P2/2PbB3/1P3KPP/R2N4 b - -,a7a6
rnbq1rk1/pp3ppp/5n2/2ppB3/1b6/4PN2/P1PPBPPP/RN1QK2R w KQ c6,e1g1
r1b1k2r/pp1n1pp1/4p2p/q1pn2B1/3P4/P1P1PN2/3Q1PPP/2R1KB1R w Kkq -,g5h4
r2qrnk1/1pp1nppp/pb6/3pP3/3P2b1/1P1B1N2/PBQN1PPP/R3R1K1 b - -,e7g6
r5k1/pb3pp1/npprp2p/2P2q2/1P1P4/P4NP1/5PBP/R2Q1RK1 b - -,d6d8
B1rr2k1/p1q1bp1p/4p1p1/1Pp1P3/2N5/P7/2Q2PPP/1R1R2K1 b - -,c8a8
8/prR1rk1p/1p2b3/5p2/3Bp3/P3P2B/7P/2R4K w - -,c7c6
N6r/4kppp/8/nP1R4/p6P/8/5PP1/4K3 w - -,a8b6
4rrk1/2q4p/p2p2P1/2nPnp2/2PR4/1P2Q3/2BN2P1/5RK1 b - -,h7g6
r2r2k1/pp3ppp/2nqb3/3N4/4P3/P2QB1P1/1b4BP/1R3RK1 b - -,b2a3
5k2/3Rbp2/4p1p1/3nP3/3N4/2r2PK1/6P1/8 b - -,c3c7
rn1qkb1r/pbpp2pp/1p2pn2/5p2/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,d2d4:e1g1
8/8/8/p1Q5/1P6/P5q1/2K2p2/6k1 b - -,g3g6
4b1k1/p4q1p/4pPp1/1pbpQ3/7P/1P6/PB3PP1/1B4K1 w - -,b1d3
rn1qk2r/pb1p1ppp/1p2pn2/2p5/1bPP4/2N2NP1/PP1BPP1P/R2QKB1R w KQkq c6,d4c5
4N3/6p1/8/8/8/1pkp4/8/1R2K3 b - -,c3c2
4r3/1pr2pk1/p2q1bp1/5b1p/P1BP3P/1Q3PP1/R3NK2/3R4 w - -,a2d2
6k1/1ppr4/2n2bn1/p3p1p1/P1N1PpP1/BPP2N2/5P2/2R2K2 b - -,b7b6
2r4k/6p1/p6p/8/1Pq3P1/P1p2P1P/2Q3K1/3R4 w - -,d1c1
r3kb1r/1bq2ppp/p1n1pn2/1pP5/8/P1N1PN2/BP2QPPP/R1B2RK1 b kq -,f8c5
r2r2k1/2q2pp1/p3pn1p/4N3/2R5/1P2Q1P1/P4P1P/4R1K1 b - -,c7d6
3r1rk1/pp3pp1/1q3Bbp/8/1P1p1P2/P2P2N1/5RPP/R2Q2K1 b - -,b6f6
3r2k1/p4pbp/qpnrp1P1/2p5/2P3P1/1P1PNN2/P3Q2P/3R1RK1 b - -,h7g6
3R4/5pkp/6p1/8/8/5P2/1Pr3PP/5K2 w - -,b2b4
r4r2/4pp1k/p2p2pP/n1pP2P1/4P3/1P6/P3N2P/R3K2R b KQ -,f7f6
1q1r2k1/5ppp/4p3/1p4Pb/1P6/P1N1Q3/PK3P1P/2R5 w - -,h2h3
4k1nr/1p1b1ppp/4p3/pP1pb3/8/P1N5/4BPPP/2R1R1K1 b k -,g8e7
8/p4p2/1p1k3P/3P4/4B3/P1b3P1/5PK1/8 b - -,b6b5
8/3R1pk1/4p3/r5pP/8/5PKP/4N3/8 w - -,e2d4
r1bq1rk1/1p1n1ppp/pb2p3/4PB2/3B4/P1N2N1P/1P3PP1/R2Q1RK1 b - -,e6f5
8/3b2p1/1P1kp2p/3p1p2/3K1P1P/2N1P1P1/8/8 b - -,d6c6
2kr3r/ppq2pp1/2p1p2p/2n1P2P/1BP2P2/8/PP2Q1P1/2KR3R b - -,b7b6
rnb1rbk1/1p2qn1p/2pp1pp1/p7/P1PNPP2/1P2BB2/3Q2PP/R2N1RK1 b - -,b8d7
1r5k/pb3p2/3pp2p/2p2Pr1/1p2P1n1/3P2N1/PPP3B1/5RRK b - -,b8g8
r1bqk2r/1ppnppbp/p1nP2p1/8/3P4/2N1BN1P/PPP2PP1/R2QKB1R b KQkq -,c7d6
r3bnk1/rp4qp/p1p1p3/2PpN1P1/PP1P1P2/3B2Q1/7R/5RK1 w - -,g3e3
r3k2r/1pq3p1/p4p2/2b1p2p/P4Rb1/1B6/1PPNQ2P/R1B1K3 w kq -,d2f3
r2b3r/q4pk1/p3nNpp/2p1Pn2/4N3/7Q/P4PPP/2BR1RK1 w - -,d1d7
3r1k2/1b2npp1/pp5p/4p3/4P3/P2BKPP1/1P2N2P/2rR4 w - -,d1c1
8/7p/2Np1kp1/1B1Pn3/1P2P3/2b3P1/4K2P/8 w - -,b5a4
5rk1/3r1pp1/2R1p1p1/p2n2q1/Pp1PB3/4P1P1/1PQ4P/4R1K1 w - -,c2f2
8/5p1k/3pr3/6B1/1PR1P1R1/5P2/1r4PK/4b3 w - -,c4c7
r1b1k2r/1pqnbppp/p2ppn2/6B1/3NPP2/2NQ4/PPP3PP/2KR1B1R w kq -,f1e2
r2q1r1k/P2n2pp/3p1n2/3Pp3/1p3p2/1N1B1P2/1P3QPP/R2R2K1 b - -,d7b6
r5k1/5p1p/3p1pp1/P2P4/3r4/2R3PP/R4PK1/8 b - -,d4d5
r1bqk1nr/ppp2pbp/3p2p1/4n3/2P5/2N2NP1/PP2PPBP/R1BQK2R b KQkq -,e5f3
r1bq1rk1/pp2bppp/2n5/2pnp3/8/2PP1NN1/PPB2PPP/R1BQK2R w KQ -,e1g1
7k/8/8/5Q1P/5P1K/8/8/6q1 b - -,g1f2
5r2/7p/P6k/2p1pp2/5b2/7P/8/3R1KR1 w - -,d1d6
2q3k1/3nppbp/r2p2p1/2PP4/2N1P3/R3B2P/2Q2PP1/1r4K1 w - -,c2b1
r1b2k2/1pq1n1pQ/p2pPb2/3P4/4P3/1NN1p1P1/PP5P/5RK1 b - -,e7g8
r2qkb1r/pb1n1ppp/1p2pn2/3p4/Q2P1B2/2N2NP1/PP2PP1P/R3KB1R w KQkq -,c3b5
2R2bk1/Q4p1p/3p2p1/p2Pq3/P3N3/7P/5P1K/1r6 w - -,e4g3
8/1q4k1/5pp1/3bp2p/7P/5PB1/6PK/2Q5 w - -,c1c5
rnb2rk1/p1p1q1pp/1p6/3p1p2/3P4/P1PBPNP1/5P1P/R2QK2R w KQ -,e1g1
3r1rk1/pn2q1bp/1pp2p2/4pbP1/P3P2P/1PN1Q3/2P5/R1B2RK1 w - -,f1f5
4k2r/2qnnpb1/r3p2p/pp1pP1pP/2pP2N1/P1P2N2/1P2QPP1/R1B2RK1 w k -,c1d2
r5k1/rR1n2pn/p1p5/2Pp2q1/P2Pp1pp/2N1P2P/4QPB1/1R4K1 w - -,e2g4
5rk1/6bp/4q1p1/1b1N4/1pR3P1/1P4P1/3Q2BK/8 w - -,d5c7
8/1p2r1pk/q1pb3p/3pNp2/P2PrP2/1Q2P1P1/R6P/6RK b - -,a6a7
3rrqk1/1ppbnpbn/p2p2pp/3Pp3/2P1P3/4BNNP/PPBQ1PP1/R3R1K1 w - -,c4c5
r1bq1rk1/pp3pbp/2np2p1/2p2p2/3P4/1NPBPN2/PP3PPP/R2Q1RK1 b - -,b7b6
r7/p7/4k2p/1pp1Np2/5Pp1/PP2P1K1/2r2P1P/R7 b - -,a8d8
8/8/3p4/3kb1R1/8/2p2R2/2r5/5K2 b - -,d5e4
2b2rk1/5p2/2Q3p1/2p5/2BbP3/4qPP1/6KP/r4RNR b - -,a1a2
r1b1k2r/2q1bpp1/pp1p1nn1/2pPp2p/1PP1P3/2N1BP2/P1BQN1PP/R3K2R w KQkq -,c2a4
r1bq1b1r/1p3kpp/p3pp2/1Bnn2B1/8/5Q2/PPPNNPPP/2KR3R w - -,b5c4
