8/1p1k4/6p1/1pK2n2/3B4/8/PP6/8 w - -,d4e5
3n4/3r4/R4kp1/2Ppppp1/8/5PPP/B5K1/8 b - -,f6f7
r1b1kbnr/p1qp1p1p/2p1p1p1/8/4P3/4B1P1/PPP2PBP/RN1QK2R w KQkq -,e1g1
1Q6/2rnkpp1/4p2p/qp5P/6P1/2P1N3/1P3P2/2KR4 w - -,b8g8
r1bqk2r/p3npbp/2n1p1p1/1pppP3/8/2PP1NP1/PP2QPBP/RNB2RK1 b kq -,b5b4
rnbq1rk1/1p2bppp/5n2/p1Pp4/8/3BBN1P/PPP2PP1/RN1Q1RK1 b - -,b8a6
r3k1nr/5p1p/1qppb1p1/pPb1p3/4PP2/1PNP2Q1/1P2N1PP/R1BK3R b kq -,c5f2
r4rk1/2qnbppp/b3p3/2p1P2P/2P2B2/1p3NP1/1Pn1QPBN/2R1R1K1 w - -,e1d1
1r6/6pk/1pq2p1p/r1p1p3/P3R1PP/1Q1P2K1/2P2P2/R7 b - -,b6b5
2b5/p1R2rp1/1p2k2p/n3p3/1N2P3/5P2/P2r2PP/2R3K1 w - -,c7c8
r5k1/1R3p1p/p4np1/8/8/4B1PP/P3rP2/R5K1 b - -,h7h5
r7/pp5k/3b2rp/1BPR1p2/8/1P5P/P4P2/5K2 w - -,c5d6
r1b2rk1/pppn2bp/3p3q/3PpnpB/1PP1N3/5PBP/P5PN/R2Q1RK1 w - -,h5g4
r3k2r/pp3ppp/2n1pn2/3q4/1b1P2b1/2N1BN2/PP2BPPP/R2QK2R w KQkq -,e1g1
r3kb1r/pp1qpp1p/2np1np1/8/2PNP3/2N4P/PP3PP1/R1BQK2R b KQkq -,f8g7:c6d4
rr4k1/5ppb/p1n4p/4P3/8/RN6/1P3PPP/4NRK1 w - -,f2f4
rnbqkb1r/pppppp1p/5np1/6B1/2PP4/8/PP2PPPP/RN1QKBNR b KQkq -,f8g7
4R3/5p2/8/2rp4/4k1p1/6P1/5KP1/8 b - -,e4d3
5r2/p1n3k1/1pPR4/8/2BBPpbp/P7/6K1/8 b - -,g7h7
rnb2rk1/pp2pp1p/1q4p1/3P4/3b4/2N1P3/PP1Q1PPP/R3KB1R w KQ -,e3d4
rnbqk2r/p4ppp/2p1pn2/1p6/P1pP4/5NP1/1PQNPP1P/R3KB1R w KQkq -,f1g2
2r3k1/6pp/5p2/p7/P7/1np1N1P1/5PKP/2R5 w - -,c1b1
8/pp3pkp/3pr1p1/4n3/q2RP3/6P1/PQ4KP/4R3 b - -,a4c6
r4k1r/1ppbqn1p/p1n2pp1/4p3/1P2P3/1BP2N2/P2N1PPP/R2Q1RK1 b - -,c6d8
rnbq1rk1/pp2ppbp/5np1/2pp4/3P4/3QPN2/PPP1BPPP/RNB2RK1 w - c6,d4c5
2r2b1k/5p1p/p4P2/1p2p3/8/Pq2B2P/1P3QP1/5RK1 w - -,g1h1
8/5pp1/3k3p/1r6/5P2/5KPP/4R3/8 b - -,h6h5
4Q3/p1r2n1k/1p3Bpp/5q2/8/5P2/P5PP/4R1K1 w - -,f6d4
r2q1rk1/4ppbp/pnp2np1/1p6/3PP3/2N4P/PPQ1BPP1/R1B2RK1 w - -,c1e3
6k1/1p3p1p/8/p7/P1B1P3/5RPb/6rr/2R1K3 b - -,g2g1
rnbqk2r/ppp1ppb1/3p1n1p/6p1/3P4/4PNB1/PPPN1PPP/R2QKB1R b KQkq -,f6h5
1r4k1/4np2/b2pq1pQ/2p1p3/p3PPNP/2P1N3/P2R2P1/6K1 b - -,e5f4
5rk1/p4ppp/2p1p1b1/1p2P3/4B1Pq/2P1Q2P/PP3P2/3R2K1 b - -,g6e4
8/4Q2p/r2P2pk/1pp1pp2/3q3P/3P4/5PP1/5RK1 w - -,e7g5
2r3k1/2B2ppp/8/1B6/4b3/5nP1/PP3P1P/3R1K2 b - -,f3h2
r2q1r2/pppb1pk1/2np2p1/5PPp/2P1P2P/2N5/PP1QB3/2K3RR w - -,f5f6
1r1q2kb/5p1p/5Pp1/2p3B1/1p4P1/3P2Q1/1P1n2BP/5RK1 b - -,d2f1
rn3rk1/p3bppp/5n2/q1p2N2/bp2PB2/1P3P2/P1PQ2PP/2KR1B1R b - -,b8c6
2R2bk1/5p1p/Q2p1qp1/p2Pp3/P2n2P1/4N1NP/1r3P1K/8 w - -,e3f5
rn1q1rk1/1p2bppp/3p1n2/p2Pp3/8/PN2BQ1P/1PP2PP1/R3KB1R w KQ -,a3a4
4q1k1/4rp2/R5p1/2pP4/4R3/P1p4P/KP6/5Q2 b - -,e7e4
6k1/R6p/1p1r1p2/8/8/1b6/p4PPK/2B5 b - -,b6b5
3r2k1/pr2npp1/1p2pn1p/8/3PN3/P4PPq/1P2QB1P/2RR2K1 b - -,e7d5
r1b1k2r/pp1nbppp/1q2p3/3pP3/3P1P1P/Pn3N2/1P2N1P1/R1BQKB1R w KQkq -,a1b1
r1b1k2r/p1p2ppp/2p5/3P4/4n3/2b5/PPPBBPPP/R3K2R w KQkq -,b2c3
5r2/pp1b1rk1/1q2p1pp/3pRn2/3P1P2/P1N3PB/1P1Q3P/3R2K1 b - -,f8c8
r4rk1/3n1pp1/1p1N3p/2p5/8/1PBn2P1/P3bPBP/RR4K1 b - -,a8d8
rn3rk1/pp2ppbp/1qpp1np1/8/2PP2b1/2N1PNPP/PP3PB1/R1BQ1RK1 b - -,g4f3
8/R7/P5p1/6k1/1n3p2/8/r3B3/4K3 w - -,a7a8
8/8/1Nk4p/p1p5/4K2P/1P3P2/P7/5b2 w - -,b6c4
r1b1kb1r/1p3ppp/pqn1pn2/6P1/3pP3/1N3P2/PPP1Q2P/RNB1KB1R b KQkq -,f6d7
rnbqk2r/1ppnbp2/p3p1p1/3pP1Bp/3P3P/2N3Q1/PPP2PP1/R3KBNR w KQkq -,g1f3
2kr1r2/ppqn1B1p/2pb2p1/8/3Pn3/1QB1PN1P/PP3PP1/2R2RK1 b - -,d7f6
N1r3k1/pp4pp/1p3p1n/4n2P/1P2P3/P2B2Q1/q1P3P1/2KR3R b - -,c8c3
6k1/4p2p/p1r1P1p1/P2q4/2p5/6P1/4QP1P/2R3K1 w - -,c1d1
5rk1/R3Rppp/1p4q1/3Q4/P7/4P1P1/1P3P1P/1b4K1 b - -,b1f5
2k1r3/1b6/p2r1p2/4b1pp/8/1R2BN2/P3BKPP/8 w - -,f3e5
4r3/1R5p/2Q1q1pk/4p3/1P1b4/8/6PP/5R1K w - -,c6e4
r2qk2r/pp1nbppp/3ppn2/2p5/4PP2/2NP1N2/PPP3PP/R1BQ1RK1 b kq -,a7a6
r1b1qrk1/pp2b1pp/2pnpn2/3p1p2/1PP5/P1NPPN2/1BQ1BPPP/R4RK1 w - -,b4b5
rnbqk1nr/pp1pppbp/6p1/2p5/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq c6,d4d5
r2q1rk1/pp1nbpp1/2p1pnp1/8/2P5/2N3PP/PP2PPB1/R1BQ1RK1 w - -,c3e4
6k1/4p1b1/3p2pp/R2P4/2Q1P3/6P1/2p2PKP/1q6 w - -,a5a8
rn1qk2r/ppp2ppp/5n2/3p4/3P4/P1PbP3/5PPP/R1BQK1NR w KQkq -,d1d3
8/1pp2rkR/p1np2p1/3Qr3/4P1q1/2N1B3/PPP2PP1/2K5 b - -,g7h7
r1bq1rk1/1p2bppp/p2ppn2/6B1/3nP1P1/2N2P2/PPPQ3P/2KR1B1R w - -,d2d4
r1bqk1nr/1p1p1pbp/p1n1p1p1/2p5/2B1P3/P1NP1N2/1PP2PPP/R1BQK2R w KQkq -,e1g1
8/p7/8/k5P1/1pp1K3/5P2/PP6/8 b - -,a5a4
1br3k1/5pp1/2p1p1np/3rP3/7P/2P2NB1/5PP1/R3R1K1 w - -,a1a8
r1b1nrk1/pp1nqp1p/2pbp1p1/3pN3/2PP4/1P1BP3/PBQN1PPP/R3K2R w KQ -,e3e4
8/5ppk/5n1p/5P2/8/1Qp1P2P/3q1PK1/4NB2 b - -,d2e1
3r2k1/1p4p1/4p2p/1p1pPp2/4rP2/P1PR4/1P4PP/5RK1 b - -,d8c8
8/8/5kp1/5p1p/5N1P/6P1/5P2/r4BK1 b - -,a1a5
3rk2r/pb1pn1p1/1q2p2p/2p1Pp2/1PP2P2/P5K1/3R2PP/2BQ1BbR w k -,d2d6
6k1/2p2p2/p2p4/1r1P1r2/3bN3/6P1/1P3PP1/R2R2K1 b - -,d4b2
7r/1pp2pk1/p4p2/3rp2p/Pb2P2N/1P1R4/1PK2PPP/8 w - -,d3d5
5k2/pR6/8/2PB1Kp1/1P5r/b7/8/8 b - -,h4b4
r4k2/p3qp2/2p5/PpP1p2p/4Pn2/1N2QP1P/2P4r/R2R1K2 w - -,e3g1
3r3r/1bq2pk1/pp1ppb2/4n2p/1PP1P3/P1N2PP1/4Q2N/2R1RBK1 w - -,f3f4
8/5k1R/8/6pP/6K1/4b1P1/4Pr2/8 b - -,f7f6:f7e6
5rk1/p3nppp/1rppb3/8/1P2P3/P1N5/4BPPP/R4RK1 b - -,c6c5
2b5/6kp/p1r1p3/4Pp2/8/2PB2P1/1P1R3P/6K1 w - -,g1f2
8/7p/2p5/1p1r2k1/4R1p1/PP4P1/4K2P/8 b - -,h7h5
3rr1k1/p1q3pp/8/2pP4/2p1pQ2/P2b2PP/1B1N1P2/R4RK1 b - -,c7b7
