8/2k5/4p1R1/1P2P3/1K6/4P3/4r3/8 b - -,e2b2
r1nq1rk1/1p1b1pp1/pp4Np/2p1p3/P1B5/1QPP3P/1P3PP1/R4RK1 w - -,g6f8
3R4/1r4pp/r4pk1/p2p1P2/R3N3/1n2P2P/6PK/8 b - -,g6f5
r1b1k2r/qp1pnppp/p3p3/8/4P3/1Q1B1N2/PP3PPP/R4RK1 w kq -,b3c3
r4rk1/1ppq2p1/p2p1p2/3Pp2p/PP2PnP1/2P2Q1P/3N1P2/RR4K1 w - h6,c3c4
3k4/1n2p1bp/5pp1/1r1P4/3B4/5N2/PP3PKP/2R5 w - -,a2a4
1k2b2r/1p5r/pP6/P1Qpq1p1/6B1/4P3/6PP/2R3KR b - -,e8c6
2R5/pp1r1pkp/5p2/3r1bp1/3P4/2K3N1/PP3PPP/7R w - -,h2h4
4rrk1/1p1qp1bp/2npb1p1/p1p2p2/P1PnPP2/1PNP2PP/4N1BK/1R1Q1RB1 w - -,e2d4
5rk1/p1n3qp/1b6/3pPp2/Q2P4/5R1B/P3K3/8 w - -,a2a3
8/1pk3b1/2b3p1/P1Bp1pP1/1K1P1P2/8/4B3/8 w - -,e2b5
rnbq1rk1/pp2ppbp/3p1np1/8/3NP3/1BN4P/PPP2PP1/R1BQK2R b KQ -,b7b6:b8c6
r3r1k1/pb1n1pb1/6p1/2p3q1/3p3p/B5NP/PPP2PP1/R2QRBK1 w - -,g3e2
2rqkb1r/1b1n1ppp/p2pp3/1p4PP/4PP2/P1N1B3/1PP5/R2QKB1R w KQk -,d1d2
6k1/4bpp1/1nn1p2p/2p1P3/r1P4P/1N3NP1/5P2/1RB3K1 w - -,c1e3
6k1/7n/3R2p1/3P3p/6r1/8/1P2N1P1/7K b - -,g8g7
7r/3b1p1r/1k2p1p1/1p1pP2p/pP1R1P2/P1P3PP/3K1R2/1B6 b - -,b6c7
2r1r1k1/pbqn1ppp/1p1ppn2/2p3B1/1PPP4/P2BP3/2QN1PPP/2R2RK1 b - -,h7h6
4R3/6pk/4p3/1P2Np2/P2p1K1p/6n1/6P1/1r6 b - -,g3e4
3r2N1/2p1kp2/2p4B/p1b1P3/2Q5/1KPB4/PP3q1P/R7 b - -,d8g8
r5k1/pppr2bp/1nn3p1/5p2/3P4/1PN1B1P1/P2RNP1P/3R2K1 w - -,d4d5
6k1/5qp1/7p/1Q6/8/3P3P/6P1/7K b - -,f7f1
r5k1/2qbbppp/p3pn2/6B1/1pnN4/3Q1N2/PPP3PP/1K1R3R b - -,d7b5
r4rk1/p1p2ppp/2Q5/3p2q1/8/8/PPP2PPP/R4RK1 b - -,a8b8
8/1BK2pk1/P7/7p/r4P2/3R2P1/5b2/8 w - -,d3f3
8/6p1/3Q2k1/3p1q1p/3Pp2P/4K1P1/8/8 b - -,g6h7
2r3k1/1p1q1pp1/1B5p/pn3Pb1/4Q3/P2P3P/1P4B1/4R1K1 b - -,b5d6
1r1Br1k1/4Pppp/3p4/8/1P6/pqP5/3QR2P/1K6 w - -,b1a1
8/2Pk4/1P5p/p3PK2/b6P/8/8/8 b - -,a4b3
2kr3r/pp1q1p1p/2p1pb2/5p2/3P4/2P2QP1/PP3PNP/R3R1K1 w - -,g2f4
3rr2k/pp5p/6p1/4P3/3b3P/1q4PB/1P2R2K/R3Q3 b - -,d4e5
2r1k2r/1pqn1pb1/p3p1pn/P1ppPb1p/3P1N1P/2P1N3/1P2BPP1/R1BQK2R w KQk -,c1d2
5R2/q3k1p1/4ppp1/B2p4/3P3P/5PP1/4NK2/8 b - -,e7f8
r1br2k1/b3npp1/p3p3/4P3/2Np1P1p/P1N4P/1PP3PB/3R1R1K b - -,c8b7
2q3k1/1p3pp1/1Bp1b2n/p3P3/P1P2P2/1B4Pp/7P/3Q2K1 b - -,h6g4
r1bbqnkr/1p3pp1/p2Bp3/3pP2p/1P1N4/P2BQ3/5PPP/2R1R1K1 b - -,c8d7
r3k2r/p2bpnqp/2pp1p2/5Pp1/4P1P1/1BB1R2P/PPP1Q3/R5K1 b kq -,h7h5
r3r1k1/pp1nqpbp/5np1/8/3N2P1/1P2p1P1/PBQNPPB1/2R2RK1 b - -,e3d2
5k2/5p2/6p1/p1npP2p/P4p2/1P6/2B3PP/7K w - -,e5e6
r2r2k1/2n1ppbp/pq4p1/Rp1bN3/3PBB2/2P4P/1P2QPP1/R5K1 w - -,e2f3
3Q4/1p3pkp/p3p3/P2n2B1/4P3/2q2PP1/6KP/8 b - e3,d5e3
7k/1N5p/2p5/2P3R1/5r2/b2K4/8/8 b - -,f4f6
7r/p5b1/3P2k1/5pq1/2Q3n1/2N5/PP4PP/R3K2R w KQ -,c4e6
3r4/p2q1nkp/3p1bp1/1PpB4/P2pQP2/1P4P1/3B2KP/4R3 b - -,f7h6
6k1/8/3p2p1/4pp2/3PPb2/2n2P2/1r4PK/8 w - -,h2h3
r4rk1/1ppq1ppp/3pb3/4n1B1/p7/2P4P/PPPQBPP1/1K1R3R w - -,a2a3
r1bqkb1r/pp1pnppp/4p3/8/3QPP2/2N5/PPP3PP/R1B1KB1R b KQkq -,e7c6
5r1k/2NP1r1p/4p1p1/1Bp1Rnn1/2P2P2/2P3PP/P5K1/3R4 b - -,f5g3
1r4k1/3q2p1/6Q1/2Bp3p/p7/P1P2nPP/1P3P2/1K5R w - -,c5b4
r1r5/1p2ppkp/3p2p1/p1nR4/2P1PP2/1P3B2/P5PP/2R3K1 b - -,a8a6
1r3r1k/B2nNp1p/p2p1P2/1p4Pp/1qn2P2/2P5/PP4Q1/1K5R b - -,c4d2
3n3r/2bk4/1p1p1p2/1PpPp1p1/P3P1P1/1P3P2/4KB2/5BR1 b - -,d8b7
r3n2k/pp1P2bp/4Brp1/5p2/4PP2/4B3/PP4PP/R2R2K1 b - -,f6e6
8/3N4/5K2/1p1k2P1/1P2b3/8/8/8 b - -,d5c4
6b1/p7/5kp1/5p2/2p2K1P/P1P2NP1/1P6/8 w - -,f3d4
8/8/3p4/2kPnB2/1pP5/P1K5/5p2/8 w - -,a3b4
r2q1rk1/1pp2ppp/2n2n2/pNb5/2Pp2b1/1P3NPP/PB1P1PB1/R2Q1RK1 b - -,g4h5
r5k1/1b3pp1/p1B4p/1p2r3/1P6/4P1P1/2R2P1P/2R3K1 b - -,b7c6
r4rk1/2n1qpbp/p2p2p1/R1pP4/5P2/2P2Q1P/1P2B1P1/2B2RK1 b - -,a8b8
1r2k3/bB3ppp/p5b1/4p3/1B4P1/4P3/PP1n1P1P/3R2K1 w - -,b7c6
8/bk6/8/PK6/8/5R2/8/8 w - -,f3f7
r3k2r/1pp2ppp/p1qbb3/1N6/P2Q4/8/1PP2PPP/R1BR2K1 b kq -,e8g8
4r1k1/1p5p/p2p1nq1/3PB3/4p1b1/2N3P1/PPN4P/K3Q2R b - -,e8e5
3r2k1/p2Ppp1p/1p4p1/2rP4/1b6/3K1N2/P4PPP/2R4R w - -,f3e5
1r5b/3b1r2/p2p2kp/2pP1p2/2P2P2/1qNQ4/1P2NR2/1R5K b - -,g6h7
6k1/6p1/1pq2p1p/p1b1pQn1/2P4N/1P4P1/P3KP1P/4B3 w - -,f5d3
r1b2rk1/ppp2ppp/2n2q2/4p3/3P4/2PB1N2/PP3PPP/R2QK2R w KQ -,d4d5
3r1r2/5pk1/3p2pb/3N3p/P1p1P1n1/2P1PRP1/1P4KP/R7 w - -,h2h3
r1bqr1k1/1pp1bp1p/p1n1pnp1/8/3PN2P/2PB1N2/PPQ2PP1/R1B1R1K1 b - h3,f6e4
r4rk1/pp1b2pp/1qn2n2/3pb1N1/8/1N1B4/PP3PPP/R1BQR1K1 w - -,c1e3
r5k1/1b3pb1/1p2p1pp/1Nq5/2r1p3/3Q3P/P4PP1/BR2R1K1 w - -,d3d7
r2qkb1r/1bpn1ppp/p3pn2/1p6/3P4/1p3NP1/P1QNPPBP/R1B2RK1 w kq -,d2b3
4rr1k/1p5p/pbp1q3/3pPp2/1P2nP2/P1B2Q1P/6RK/1B1R4 w - -,c3d4
b2q1rk1/r2p2p1/ppnNpb1p/5p1P/2P5/P3P1B1/1PQ1BPP1/3RK2R b K -,d8e7
8/1prbp2k/p2Q2pp/3n1p2/1P6/4PN2/1R3PPP/5BK1 b - -,e7d6
8/7p/3p2pk/pP6/5P1q/6PK/7P/8 w - -,h3h4
7r/3Pk3/2B5/1P2p3/4PbP1/R5K1/8/8 w - -,g3g2
r1r5/1b3pkp/1n1pp1p1/2p3P1/1pPPP3/1P3P2/1K2B1P1/2NR3R w - -,d1d2
rnbr2kb/ppq2p1p/5Pp1/2p1p1B1/P1B3PP/2P2P2/1P6/R1Q1K1NR b KQ h3,e5e4
r4rk1/pp1n2pp/1qpbbp2/3ppn2/1P3P2/P2PPNP1/1BP3BP/RN2QRK1 w - -,d3d4
1q1bb1k1/1n3ppp/1N1p4/3Pp3/pP2P3/4B2P/3N1PP1/2Q3K1 w - -,d2b1
5r1k/4r2p/p2qB3/1pbP4/4Q3/2R5/1PP5/1K5R w - -,b2b4
r1b1r1k1/pp2q1p1/2pb3p/3P1p2/1P2p3/P1N1P2P/2QN1PP1/2R1R1K1 b - -,e7e5
r1b1kb1r/pp1p1ppp/n1p5/8/2P3n1/2N2PP1/PP1BP2P/R3KBNR b KQkq -,g4f6
r2qkb1r/pp3ppp/2n1pn2/3p4/2PP2b1/2N2N2/PP2BPPP/R1BQK2R w KQkq -,c4c5
