r7/2k3P1/5K2/8/5P2/8/p7/3R4 w - -,f6f7
rn1qk2r/1p3ppp/p1p1pn2/3p4/1bPP4/2NBPQ1P/PP3PP1/R1B1K2R w KQkq -,c1d2
r2qkbnr/pp3ppp/2bp4/4p1B1/4P3/2NQ1N2/PPP2PPP/R3K2R b KQkq -,f8e7
1nbq1rk1/r2nppbp/p5p1/1pPQ4/4P3/2N2N2/PP2BPPP/R1B1K2R w KQ -,c5c6
2kr2r1/ppp1R1pp/5p1n/8/8/5B1P/PBPb1PP1/1R4K1 b - -,b7b6
1qr1rbk1/3n1ppp/p1bp1n2/3N4/1pP1PP2/BP1QN3/P5BP/3RR2K w - -,a3b2
8/1p1b3p/2nkpb1p/3p3B/1P3P2/r3N1PP/8/2R1R1K1 w - -,g1g2
r3kb1r/pp1n1ppp/1q6/3p4/2pPbB2/5N2/PP2BPPP/2RQ1RK1 w kq -,f3d2
rn1r2k1/pp1bqpp1/4p2p/8/2BPNb2/P1R2N2/1P2QPPP/3R2K1 b - -,d7a4
2rbnrk1/p5pp/8/N1pnPp2/3p1P2/PP3R2/1B1N2PP/2R3K1 w - -,a5b7
8/p7/6P1/3K3k/2P5/2b5/p7/1B6 w - -,b1a2
3r2k1/Bpqnb1p1/p3b2p/P2npp2/N1r5/3N1P2/1P2B1PP/R1R3QK w - -,a4c5
8/5p2/4p2k/4P3/1Q1Pp3/pP2q1K1/P5P1/8 w - -,g3h2
3k4/5p2/p1nb1Npp/1p2p3/1P2P3/2PB3P/2K2PP1/8 w - -,c2b3
r1bqr1k1/ppp2ppp/4p3/n2p4/2PPn3/P1PBPN2/2Q2PPP/R1B2RK1 b - -,b7b6
1r4k1/1p5p/3p2p1/p1pP3r/P3P3/2N2P1q/1P2KQ2/R1B5 b - -,h3h1
1r5k/1p4bp/p1p1r3/8/PP6/1N2n1P1/2RB3P/4R2K b - -,b8e8
3r2k1/2R2ppp/4p3/pq1r4/Np1P1QPn/1P5P/1P3P2/3R2K1 b - -,f7f6
8/8/8/1pB4p/6p1/1P4P1/k4P1P/3Kb3 b - -,e1c3
8/R7/5p2/5k2/1r6/5K2/8/8 b - -,b4b3
rn4k1/pb3pp1/4p2p/2p5/8/4PN2/PP2BPPP/5RK1 b - -,b7d5
r7/3kb3/2n1pp2/3p1q2/n1pP3P/P1P2P1N/R4Q1P/4R1NK w - -,f2e3
6k1/3r1p2/1p1qpQp1/p6p/P1P4P/1P3RP1/5PK1/8 b - -,d6c6
8/4k3/5b2/R5p1/7r/5P2/4PK2/8 b - -,e7e6
r3k2r/p1p1bppp/2p5/8/8/2N5/PPb2PPP/R1B2RK1 w kq -,f1e1
r3kb1r/pp1bnp1p/1qn1p1p1/2ppP3/3P4/2P3PB/PP2NP1P/RNBQ1RK1 w kq -,d4c5
2n5/1bR1r1p1/p3kp1p/1p6/3KPB2/1P3P2/P1B3PP/8 w - -,d4c5
8/8/2p5/1pPp4/1P1P2kP/5p2/5K2/8 w - -,h4h5
5r2/5p1k/5Pp1/pprN3p/8/2P5/PP4PP/3R1R1K w - -,d5e7
1r1qrbk1/2p2pp1/pnB1p2p/1p2P3/3P4/P3B1P1/1PQ2P1P/3RR1K1 b - -,b6d5
8/pk6/2r3pK/7p/7P/8/6P1/R7 w - -,a1b1
8/3p4/2pk1q2/5ppp/2Q5/r3rPP1/4P2P/1R3RK1 b - -,d6e7
1k6/5bpp/2p2p2/4p3/4P2P/1r4PB/2K5/3R4 b - -,b3g3
r1b1k2r/p3qppp/1p1bpn2/2p5/2PP3Q/3B1N2/PP1B1PPP/2KR3R b kq -,c8b7
r4rk1/ppp1p2p/4P2b/3Ppp2/6n1/2N5/PP2BPPP/3RK2R w K -,e2g4
4Rrk1/3R2pp/1p6/8/8/2P5/r4P1P/6K1 w - -,e8e7
rq1r3k/1p2bp2/pnb1pNp1/4P2p/5B1Q/PB6/1P3PPP/2R1R1K1 w - h6,h4g5
8/6k1/2Rp2p1/1r2p3/p3P1P1/4K3/6P1/8 b - -,b5a5
1q4k1/2rb1pbp/1QnN2p1/p1P3N1/3p1P2/3Pr1P1/6BP/R4RK1 b - -,b8a7
2r2r1k/p6p/6p1/2pQRbq1/3p4/6N1/PPP3PP/R5K1 w - -,g3f5
8/1p3pk1/p3n3/Pr6/2r3P1/2P4P/R6K/R3B3 b - -,e6c5
8/k3N3/5n2/PK6/2B5/8/8/8 w - -,c4f1
5rk1/pp3r1p/n1pp1qp1/7n/1PPNPPb1/P2Q2P1/3N2B1/R4RK1 w - -,d4c2
r1b2rk1/1pq1bppp/p1np1n2/4p1B1/2B1P3/2N2N2/PPP1QPPP/R4RK1 b - -,c6a5
r5k1/p3bpp1/2q1p2p/2p5/4PBP1/5P2/PP2Q1KP/3R4 b - -,c5c4
2r1rbk1/3n1ppp/1p6/1Rn2PP1/p3p2P/B7/3N1PB1/3R2K1 b - -,c8c7
4b1k1/pp1n2pp/8/3pb3/3N2P1/1P5P/P1P1N3/2B3K1 w - -,c1f4
5rk1/6pp/p1p5/3p1r2/8/P6P/1PP1R1K1/4R3 b - -,h7h6
r5rk/1p5p/2p2q2/2P1b3/p3Pp2/Q4B1b/PP2R2P/R4N1K b - -,f6g5
r7/1r5p/2k3p1/3RN3/ppP1p2P/1P6/P3K3/8 b - -,c6c7
r3k2r/pp1nbppn/1qpp2p1/4p3/2PPP3/1QN1B3/PP2BPPP/R3K2R w KQkq -,d4d5
2r5/2rb1p2/3kp1p1/R1p4p/4PP1P/1PRB2P1/3K4/8 w - -,e4e5
3q2k1/p2n1pbp/1pr3p1/4p3/Np6/P2PP3/1B3PPP/3Q1RK1 w - -,a3b4
r3r1k1/1R3p1p/4b1p1/p2p4/P1pR1Q2/q1P1P2P/5PP1/3B2K1 b - -,a3c5
8/5kp1/pp2r3/7p/1PR5/2P4P/5KP1/8 w - h6,f2f3
2b5/5k2/1p1p1p2/1PpPp2P/2P1P2n/2N5/5K1P/B7 b - -,f6f5
r3kb1r/nppb1qpp/p3pP2/3p1n2/1P1P4/P4N2/1BP1BPPP/RN1Q1RK1 b kq -,f7f6
r3r3/5k2/pp1p2p1/2qP1p1p/2PP1RbP/P1Q3P1/6BK/1R6 b - -,c5c7
8/8/1n1r1pk1/2R3p1/p5Pp/P2N3P/5K2/8 w - -,c5c3
2b5/4kp2/2pr2r1/p3p3/P1B1P3/2P2PR1/2K5/6R1 b - -,g6g3
8/ppp5/3p1k1p/3P1b2/4r1p1/1P3PP1/P2RB1K1/8 b - -,g4f3
r2q1rk1/pp1bppbp/2np1np1/8/Q3P3/2PB1N1P/PP3PP1/RNB2RK1 w - -,a4c2
8/8/1kn2P1p/p6K/8/1p2R3/8/8 b - -,a5a4
8/2k2p2/1p5p/1P2PK1n/6p1/8/5B2/8 b - -,g4g3
3r4/8/P5k1/2p4p/2p5/2P3PP/6p1/R5K1 b - -,g6f5
rnbqk1nr/pp2ppbp/6p1/3p4/3P4/3B3P/PPP2PP1/RNBQK1NR w KQkq -,g1f3
5bk1/5p1p/2P1p1p1/q3P3/1N1p1P2/pn3Q2/6PP/3R3K b - -,f8b4
3r1rk1/1pq1ppb1/p5pp/2n1Nb2/3N1P2/2PpQ3/PP4PP/R2B1RK1 w - -,d1f3
4r1k1/1B3p2/p3pp1p/q1r1n3/8/P5P1/4QP1P/3R1RK1 w - -,e2h5
2r1r1k1/4bppp/pp1q4/2p1p3/P2n4/2NPBQPP/1PP1RPK1/R7 w - -,e3d4
r6r/pp4qk/n7/3P3p/8/P1N2Q2/1P3PPP/R4RK1 w - -,f3f5
2k4r/p1p3p1/1p2p3/2p1PnB1/7p/1PP2P1P/P4KP1/3R4 b - -,c7c6
4r1k1/2b3pp/p5q1/1p1p4/3PrpP1/1PP2Q1P/R2B1P2/R4K2 b - -,a6a5
r5k1/1pp3p1/1p1pb2p/4q3/2P1pr2/8/P1Q1BPPP/3R1RK1 w - -,g2g3
q7/3n2bk/2bNp1pp/2p1Pr2/p1Pp1BQP/6P1/1P3P1K/4R2B b - -,c6h1
5r2/4k3/p1r1P2p/1p1pPBn1/3P4/2P5/6K1/R4R2 b - -,g5e6
2Q5/pp1r4/k1b1p3/3p1p1p/2n4P/1RB3q1/2P3P1/K3R3 b - -,g3d6
8/ppk3pp/5p2/8/PP3P2/3n2PP/6K1/3B4 w - -,b4b5
r4rk1/1b2bppp/p1nppn2/q1p5/1pP1P3/1P3NP1/PBNPQPBP/R4RK1 w - -,d2d4
rr4k1/pRb1qp1p/2p3p1/3b1p2/Q2P4/4P1P1/3NBP1P/5RK1 w - -,f1b1
7k/1b4pp/3P4/p1Brp3/8/4R2P/8/4K3 w - -,e3b3
5k2/R7/p7/1p2N3/1P6/rbP1K3/8/8 b - -,a3a1
1k1b4/ppq5/2n1Q2p/1p5P/7p/P6P/8/R4R1K w - -,a1d1
6k1/p1bq1p1p/1p3np1/3pnN2/1P6/P3P1P1/1BQ2PBP/6K1 w - -,f5h4
