1R6/8/8/8/1Ppk4/3r4/5K2/8 b - -,d4c3
3r1rk1/p3bpnp/1q4p1/1p1pP3/8/3BB3/PPQ2PPP/2R1R1K1 b - -,d5d4
1r6/5k2/2p1bp2/p2p3p/3P3P/1BP2P2/P4KR1/8 w - -,f2e3
8/1p1q2k1/p1p3p1/4np1p/PPP1p2P/3rP1P1/2Q2PB1/5RK1 b - a3,d7e6
8/5k2/1p3np1/8/1P1p1P2/3B1K2/2P5/8 b - -,f7g7
r2k1b2/pp1n2p1/2p4r/8/R5Q1/1q2N3/3PPP1p/2B2R1K w - -,d2d3
k5rr/p1qNn3/Bpn2p2/3p4/QP1P2pp/2P5/5PPP/R4RK1 w - -,d7f6
4k2r/5p2/ppb1Nnrp/2q1P1pQ/2P3P1/1P2R1B1/7P/3R1K2 w - -,e6c5
r1b2rk1/pp4pp/1qn1pb2/2np4/8/2P1BN2/PPB2PPP/RN1Q1RK1 b - -,b6b2
R7/8/8/5r2/2p1k3/3p4/3K4/3B4 w - -,a8e8
br5k/3n3p/p2p1bp1/pP1Ppp2/2q5/1RN1BP2/3Q2PP/1R5K w - -,b5b6
8/2n2p2/2k4p/Pp1p1pp1/1N1P4/3K1PP1/7P/8 b - -,c6b7
8/1q3pk1/p4bpp/1p5r/P3Q2P/2Pr1PB1/1P2RPK1/R7 b - -,h5d5
r3k1nr/pp1q3p/3b2p1/2pP1p1B/3n4/4B2P/PP3PP1/RN1Q1RK1 b kq -,d6e5
4rrk1/pb2qpbp/1pn2np1/2pp1P2/3P4/2PBPQ2/PP2NR1P/R1B2NK1 b - -,f6e4
8/p3bp2/2p1bNk1/3p1pP1/3r3P/PB3P2/1PP5/1K5R w - -,f6e8
2r2rk1/p4ppp/1p1Rpn2/1P6/8/P3PB2/1P3PqP/3QK2R b K -,g2h3
2r3k1/6pp/8/5N2/8/b1PRKP2/6P1/8 b - -,g7g6
rn1qkb1r/pp3ppp/2p1bn2/4p3/3PP3/2PB1N2/PP4PP/RNBQK2R b KQkq -,b8d7
8/6p1/3r4/P3p3/4PkP1/5P2/R5K1/8 b - -,d6a6
3r1k2/2qrnpb1/1p2p2p/p1p1P1pP/P1P3P1/2P1RN2/4QP2/1B2R1K1 w - -,e2c2
r3k2r/p3nppp/n3p3/2p5/4P3/P2PBN2/5PPP/1R2K2R b Kkq -,e8g8
rn1q1rk1/p3nppp/bpp1p3/3p4/3PPQ1P/2N2P2/PPP1N1P1/2KR1B1R b - -,b8d7
3rr1nk/1p2q2p/1n1p1ppb/pP6/8/N1p2QBP/P1R2PP1/1N1R2K1 w - -,b1c3
r2qk2r/pp1nbp2/1n2p3/2pP1bp1/2P4p/1B3N1P/PP2NPP1/R1BQ1RK1 w kq -,b3c2
R7/1r1k4/2p1b1p1/2Bp3p/1P2p2P/2P3P1/3K1P2/8 w - -,d2e3
7k/pb1n2pp/8/1Pb1BQ2/1PB4q/7r/P5PP/R6K b - -,d7e5
k5r1/1p3pq1/p1p1bb2/P6p/R4P1P/2N1P1P1/1P5K/4Q2B w - -,a4a1
r4rk1/1p1qbppp/p1n1p3/2p5/P1B1n3/3P4/1PP2PPP/R1BQ1RK1 w - -,d3e4
r5k1/3b3p/4p1pP/1n1pPpN1/pBpP1P2/2P5/1KP3P1/R7 b - -,a8a6
r1bqkb1r/pp1n1ppp/2p1pn2/3p4/8/1P2PN2/PBPPBPPP/RN1QK2R w KQkq -,d2d4
8/6k1/3q2p1/5p2/8/6RP/6PK/8 w - -,h3h4
r4r1k/1p2q1p1/p2nB2p/2pP4/4p3/4R3/PPQ2PPP/5RK1 b - -,c5c4
r3k2r/1p2bp2/pqb1pn1p/6p1/8/P1NB2B1/1PP3PP/R2Q1R1K b kq -,b6e3
7k/bq4p1/7p/5p2/2B1PQ1P/6P1/5PK1/8 w - -,f4f5
2r1q1k1/p4pPp/1p6/1Nb2Q2/3p1R2/1P2r3/1PP3PP/R6K b - -,e3e5:a7a6
8/ppp5/7p/2k2B2/2n1pb2/7P/P3N3/5K2 w - -,f5c8
5k2/1p2bpp1/2r5/p1Pp2p1/1P6/P5PP/1B3PK1/4R3 w - -,b2g7
8/1R3pk1/8/6PK/1P2r2p/7P/8/8 w - -,b7b6
2r1kb1r/1q1p1pp1/p1b1p3/4Pn1p/1p2NP2/5B2/PPPQ1BPP/2R1R1K1 w k h6,e4g5
r4q1k/p1pnrpp1/1p2pb1p/8/3PN1PP/2P1B3/PPQ2P2/2KR3R b - g3,g7g6
4r3/8/6k1/3K1p2/5Bp1/8/8/2R5 b - -,e8d8
2qr2k1/5pp1/p1p3p1/PpPpr3/1P6/3RP2P/2Q2PP1/3R2K1 w - -,d3d4
3r2k1/r4p1p/2npb1p1/2q1p3/ppP1P2P/1P1Q2P1/P1N2PB1/3R1RK1 w - -,g1h2
8/4n3/3kpp2/1p4p1/1P1PK1P1/5P2/3B4/8 b - -,e7g6
8/5p2/6k1/1R6/5Kp1/r1P3P1/6P1/8 w - -,c3c4
r1br1bk1/pp3p2/2n1p1pp/4P3/3P4/3BB3/P2KNPPP/1RR5 w - -,f2f4
r2q1rk1/ppp2pbp/1nn1p1p1/8/3PP3/1QN1B3/PP2bPPP/3RK1NR w K -,g1e2
8/ppk2p2/2pq1n2/4Q2p/7P/3N4/PPP2PP1/1K6 w - -,b1c1
N2q1rk1/ppp2ppp/2n5/4p3/6P1/B1P2B2/P6P/R3K2R b KQ -,d8h4
r1b1r1k1/pp2ppbp/2np1np1/q7/2PNP3/2N1BP2/PP1QB1PP/R3K2R w KQ -,e1g1
8/3r1qk1/Pr1P1pp1/2R4p/2Q4P/6P1/5PK1/3R4 b - -,f7c4
8/5K2/6n1/7p/8/8/1pk4P/5R2 w - -,f7g6
r1bqk2r/pppp1pbn/6pp/4P3/2BQ4/8/PPP2PPP/RNB2RK1 w kq -,d4d3
r4rk1/pbpnq1pp/1p1pp3/5p2/1PPPn3/P3PN2/1BQ1BPPP/R4RK1 w - -,a1d1
2r1rnk1/4b1pn/p1bq1p1p/2p1pP2/2RpP1PP/1P1P1N1N/P2BQRB1/6K1 b - -,a6a5
r4rk1/1p4q1/p3Q3/1bp1p3/4P3/2P2B2/PP4PP/3R2K1 b - -,g8h7
1k2rr2/p1p3b1/1pq1b1p1/4n3/7R/2N1B3/PPQ1BP2/2KR4 b - -,e6f5
3r1r1k/p3b2p/3p1pp1/PPpRn3/2P2B2/1B6/6PP/5RK1 b - -,h8g7
5r2/p4p1p/2R5/P3kn2/4B3/8/4P2P/6K1 w - -,e4d3
1r4k1/5pbp/3p2p1/1p1PBP2/2p5/2P2Q1P/1q4P1/1B3R1K b - -,g7e5
8/5k2/8/3K4/7P/8/8/8 b - -,f7g6
2bn1rk1/5rpp/1q2p3/p2pP2P/1p1R1P2/1P2Q2B/P1P1N3/1K2R3 b - -,d8c6
8/5k2/2Np2p1/7p/4P3/3K1P1P/6P1/6b1 b - -,g6g5
3qr3/1p3p1k/p3b1pB/3p4/P1PP4/1r4P1/5P1P/2Q1RBK1 w - -,c4d5
8/4R3/8/p1KN3r/6r1/1k6/8/8 w - -,e7e3
6k1/3b2p1/2p4p/P2pBq2/1P6/2P3RP/5PK1/3Q4 b - -,f5e5
6r1/3k1p2/3PpP1p/p1pb2p1/Pp4PP/1P1B2K1/2PR4/8 b - h3,d7d6
r1b2rk1/1pqnbppp/2p1pn2/p2p4/2PP4/1P3NP1/PBQNPPBP/R4RK1 b - -,a5a4
1r4k1/8/2Bp1pp1/3P3p/2n1PP2/3p3P/5KP1/4R3 w - -,c6a4
6R1/p2r3p/P4p2/1k6/4P3/2p1KP1P/8/8 w - -,g8c8
r1bqk2r/pp1ppp1p/2n3pn/4P3/8/2N2N1P/PPP2PP1/R2QKB1R b KQkq -,e8g8
2rrn1k1/p4ppp/1p3b2/2pPp3/2Pn1P2/BPN4P/P2RN1P1/3R2K1 w - -,f4e5
2b1r1k1/r2n3p/1bp5/3p4/3N1p2/P3PN2/1P1B1PP1/2KR1B2 b - -,f4e3
q4r2/3k4/p3p2n/1pBbp3/1P2P3/P2Q3P/6r1/5R1K w - -,f1f8
8/5pp1/8/p3R2k/P7/1r6/4KPPP/8 b - -,h5g4
8/6k1/1nr2ppp/4p2P/4P1P1/4NP2/5K2/1R6 b - -,c6e6
1rbq1rk1/4ppbp/2ppn1p1/8/2P1PP2/1PN1B1P1/3Q2BP/1R3RK1 b - -,c6c5
3r1rk1/2R3bp/1p2bpp1/1p2p3/2n2P2/P2NN1P1/1P2PKBP/3R4 w - -,c7e7
2r2b1r/2k1pp2/p1pp1p2/5N1p/4P3/1P6/1PP2PPP/1K1RR3 b - -,e7e6
8/6n1/6k1/5p2/5P1K/1B4P1/8/8 w - -,b3a4
2kr1b1r/1ppn1ppp/p2q1n2/3Pp3/8/2N1B1PP/PPP1QPB1/2KR3R w - e6,d5e6
