2r3r1/8/1P6/2k2K2/P7/8/1Q6/8 b - -,g8f8
6k1/7p/5pp1/1N6/p1n1P3/Pp1K2P1/r2R1P1P/8 w - -,d2e2
8/7p/6k1/4pp2/8/4BP2/1b4KP/8 b - -,g6f6
r1bq1rk1/pp2ppbp/1n4p1/3n4/3P4/1BN2N2/PP3PPP/R1BQR1K1 w - -,f3e5
r1b1kb1r/1pqp1ppp/p1n1pn2/8/4P3/1NN1B1P1/PPP2P1P/R2QKB1R w KQkq -,f1g2
8/3k4/N1p1p3/P4p2/1p1P4/1P6/5K1r/R7 w - -,f2g3
r3k2r/p2npB1p/b2p1npQ/q1p5/1p1PP3/5P1N/PPP3PP/1NKR3R b kq -,e8f7
5k2/pp5p/2p3p1/4p1q1/1PRr1n2/PQ1P4/5PPP/5B1K b - -,f4d5
5r1k/7p/8/8/1R6/8/1bP3PP/5n1K b - -,f1e3
8/4b3/2B3p1/1K2kp1p/1P3P1P/4P3/8/8 b - f3,e5e6
4r1nr/pp1k4/2nbbp2/2p3pp/P2p4/N2P1NP1/1PPBRPBP/R4K2 w - h6,a1e1
q7/2p1k3/1p1bn1p1/1Pp1pp1p/4P2P/NQ1PB1P1/2P2PK1/8 w - -,f2f3
2r3k1/pq2bpp1/4pn1p/Q1np4/1pPN4/4BPP1/1P1NP1KP/3R4 w - -,c4d5
1rr3k1/3Rpp1p/2p3p1/2p5/p1P1PP2/1P4PP/P5B1/5K2 w - -,d7e7
Qqkr4/p4p2/5P1r/2p5/2P5/2p3P1/P4PBP/5RK1 w - -,a8c6
rnb2rk1/1pq2pbp/2p3p1/5p2/1P1P4/2N1PNP1/4BP1P/R2QK2R b KQ -,a8a1
1rbqnrk1/3nppbp/p2p2p1/PppPP3/5B2/2N2NP1/1PPQ1PBP/R3R1K1 b - -,b5b4
2r4k/3q2pp/1pbpP3/pn3p2/8/P2BP1B1/1Q3PPP/4R1K1 b - -,d7e8
4r1k1/p4ppp/2Q1b3/1r1p4/q7/1N3P1P/1PP2RP1/1K1R4 b - -,e8c8
r3q1k1/1p3ppp/p1p1rn2/2Qp4/NP1P2bn/P2BPP2/3N2PP/2R1R1K1 w - -,f3g4
rn2k1nr/pp3ppp/4p3/1qbpP3/8/P1P2N2/1P3PPP/RNBQK2R w KQkq -,b2b4
r1bq1rk1/pp2n1p1/2nbp2p/3p1p2/2P5/1N1BPNB1/PP3PPP/R2QK2R w KQ -,g3d6
8/6pk/p7/2R5/P7/6PK/1r5P/8 b - -,b2b6
r1b1k2r/p1qnbppp/2p1pn2/1p6/3P4/1BN2N2/PPPB1PPP/R2QR1K1 w kq -,d1e2
1rb2rk1/p1q1pp1p/3p1npQ/8/B1p1P3/2N2P2/PPP3PP/1R3RK1 b - -,c8e6
rnbqkbnr/pp3ppp/4p3/2pp4/2PP4/2N1P3/PP3PPP/R1BQKBNR b KQkq -,d5c4:g8f6:b8c6
8/pp1k4/2p1p3/1P2P3/2P4r/3K3p/7R/8 w - -,d3c3
r1bq1rk1/pppnbppp/4pn2/3p4/2PP4/5NP1/PP1NPPBP/R1BQ1RK1 b - -,b7b6:c7c5
3r4/p1p2pkp/1p2n1p1/6N1/8/1b4P1/P1P2PBP/4R1K1 w - -,g5f7
6r1/p4p2/2p1pk2/2B5/4R2R/2p2KP1/PbPr1P2/8 b - -,e6e5
2r2k2/2pn3p/1q4pP/1P2p1P1/p1Q1N3/3P1r2/5P2/KRR5 w - -,b1b4:c4b4
4rbk1/1p2n3/pN3n1p/B1pPp1p1/4P3/5QPq/PP3P1N/4R1K1 b - -,g8g7
6k1/8/5p1p/p3pp2/r4P2/P1R1P1P1/7P/6K1 w - -,g1f2
r2q1rk1/1b1nbppp/p3p3/2pn4/Pp6/1P2NNP1/2QPPPBP/R1B2RK1 w - -,e3c4
8/5ppp/3kp3/pp1n4/3P4/3N4/PPK2PPP/8 b - -,f7f6
2r3k1/pp2bp2/4qnp1/6P1/4p3/7P/PPK2PQ1/2BR3R w - -,c2b1
5b2/r4k1p/2p2Pp1/1qP5/2R2B2/3Q3P/p5PK/8 w - -,f4e5
r4rk1/pp2bppp/2n1pn2/3P3b/8/1PN1BN1P/1P2BPP1/R2R2K1 b - -,c6b4
2k4r/pbPp2pp/1n5q/2p5/2P1N3/1P1B4/PB4PP/1K1R3R b - -,b7e4
3r2k1/5r2/2q4p/2p1npp1/P3p3/2R1N1P1/Q3NP1P/6K1 b - -,g8g7
r2qk2r/ppp1n2p/3pp1p1/4b3/4P3/P1N5/1PP2PPP/R1BQ1RK1 w kq -,f2f4
r3kb1r/pp1n1ppp/2p1p3/2Pp1b2/3Pn3/1PN3P1/1P1NPPBP/R1B1K2R b KQkq -,e4c3
r2q1rk1/1pp2pb1/p1np1n1p/4p1p1/B3P1b1/2PP1NB1/PP1N1PPP/R2QR1K1 b - -,c6e7
2r5/4kp2/4p3/5p2/5P2/R6P/P1P1NbPK/8 w - -,a3f3
r3r1k1/1pq1bppp/3p1n2/pPp2P2/P3P3/2NP2Q1/2bB2PP/R3NR1K b - -,c2b3
6k1/3q1pp1/2n5/pp1bPp2/1b1p1Pr1/1P1P2N1/PB1R1Q1P/4N1K1 w - -,d2d1
2r5/p4p1R/1pkBpPp1/3pP3/P2P2p1/1n6/3K3P/8 w - -,d2d3
r1b1k2r/pp3ppp/2n1pn2/2q3N1/QbPp4/5B2/P4PPP/RNB2RK1 w kq -,a2a3
8/1p5p/p1k5/2R5/P1K2P2/6P1/6r1/8 b - -,c6d6
8/4k3/p3r3/1pP3P1/6K1/P4R2/8/8 b - -,e6c6
r2q1rk1/pb1nbppp/1p1ppn2/8/2PP4/1PN2NP1/P4PBP/R1BQ1RK1 w - -,f1e1
6k1/3nb2p/p1r1p1p1/2pp1q2/5P2/1PB2Q2/P1P3PP/3R1RK1 w - -,g2g4
r4rk1/1bq1bppp/p1n1p3/1pp1P1P1/5P2/2N1B3/PPP1Q1BP/2KRR3 w - -,c1b1
r1b1k2r/2q1bppp/p1nppn2/1p4P1/4PP2/1NNB4/PPPBQ2P/R3K2R b KQkq -,f6d7
1r3rk1/1bq2ppp/ppn1pb2/8/3p1P2/4BNP1/PPP1Q1BP/3R1R1K w - -,f3d4
r1bq1r1k/2p1n3/p2b1n1p/1p1p1pp1/PP1Pp3/1NP1P1P1/5PBP/1RBQ1RNK b - -,e7g6
r2qk2r/1pp1n1pp/p2bbp2/2p1p3/2N1P3/3PBN2/PPP1QPPP/R3K2R w KQkq -,c2c3
5nk1/3q4/pp2p1p1/5nN1/1PP2P1p/2Q1P3/P4N1P/6K1 b - -,f8h7
8/5p1k/5pbp/p6q/5P2/2R1K1Q1/2P5/8 b - -,h5d1
2q2r2/1r2Pp1k/5PNp/2n5/Pp6/6Q1/1P4PP/4R2K b - -,f7g6
r1bqk2r/pp1p1ppp/2n1p3/1Nb1P3/2P2PQ1/8/P1PB2PP/R3KB1R b KQkq -,e8g8
8/1p3kp1/p3p3/P1PpPpK1/b2P1N2/4P1P1/8/8 w - -,f4d3
8/8/8/8/5k2/4p2p/3bR1p1/6K1 b - -,f4e5
2k5/1p1b4/p3B3/2p3N1/1n5q/5P2/PP4P1/3R1R1K w - -,h1g1
1k1rr3/p1p1npp1/1p1q3p/PP1p4/2nP3P/1NPN4/2Q2PP1/R2K3R b - -,d6g6
2r1kbnr/1p1q1ppp/p1bp4/4p3/1Q2P3/2N1BN2/PPP2PPP/3R1RK1 b k -,b7b5
r1bqk2r/pp2ppbp/3p1np1/n7/3NP3/2N1B3/PPP1BPPP/R2Q1RK1 b kq -,e8g8
r2q1rk1/1p1n1pbp/p1b1p1p1/2PnP3/4N3/1Q3N2/PP2BPPP/R1B2RK1 b - -,d8c7
6k1/pB2qpp1/1p2p2p/2p1P3/2P5/1P1r2P1/P1Q2P1P/6K1 w - -,c2d3
2rr2k1/p1q1bpp1/1p2p2p/8/2P1N3/7P/PP2QPP1/3R1R1K w - -,b2b3
3R4/1b5p/6pk/2p1p3/r4p1P/P2B1P2/1P4P1/6K1 w - -,d8d7
3r2k1/1p2qppp/1P3nn1/QNp5/P1P1p3/6P1/4PPBP/3R2K1 w - -,a5e1
r2q1rk1/2p1ppbp/1np1b1p1/p7/3P1B2/Q1N1PN2/PP3PPP/R4RK1 b - -,b6c4
r1bqkb1r/pp3ppp/2n2n2/1Bpp4/5P2/2N2N2/PPPP2PP/R1BQK2R w KQkq -,d1e2
r6r/pp1bkpp1/2n1p2p/3pP3/q1pP4/P1P5/2PBBPPP/R1Q2RK1 w - -,c1b2
5r2/4Qpbk/6p1/3q3p/5B1P/6P1/1r2PP2/2R2RK1 w - -,c1c7
5k2/2b4p/4BBp1/8/2P3P1/7P/4qRK1/8 b - -,e2e6
4r1k1/pr5p/2bp2pR/3pp3/8/1P3P2/2PQ2PP/2K5 b - -,b7e7
r1b1k2r/pp3pp1/2n1p3/2p1P3/2BpN1np/3P1N2/PPP2PPP/R3R1K1 b kq -,h8h5
8/8/1p4p1/pP3k1n/P1PQ1p2/3P4/3K1P1q/R7 b - -,h5f6
3R4/6bk/2pB2p1/6r1/P3B2p/5P2/7K/5b2 w - -,f3f4
8/8/3kp3/1p2b1pp/8/1B3KPP/2P5/8 w - -,g3g4
8/p4rbk/1p4pp/2p2p2/P4Pq1/5nP1/1B1Q2KP/4R3 w - -,h2h3
2r2k2/4ppbp/6p1/2RP4/r5qP/3QB1P1/5P2/1R4K1 b - -,c8d8
