8/5N2/4p3/5p2/3n3R/4k3/6K1/1r6 b - -,b1b2
4r1k1/p3rp2/3p2p1/1ppP2P1/q1n1BB2/2P5/2Q5/R4RK1 b - -,a4c2
3k4/1p4Rp/4p1p1/1Bn4r/8/5K1P/6P1/8 w - -,f3e3
4rrk1/1bqnbpnp/1p2p1p1/pPp5/2PpPP2/3P1NP1/PBQN2BP/4RRK1 w - -,b2c1
2r3k1/1qr1b1pp/pn3p2/1pnpp3/4P1P1/PPPNQ2P/1B2RP2/1NR3K1 w - -,d3c5
6k1/1p3pp1/p1rnb2p/3p4/3P1NP1/3B1P2/PP3KP1/5R2 b - -,g7g5
8/3n1pk1/p7/5K2/4P1P1/4P3/P2b3P/8 w - -,g4g5
6k1/2pR4/4P1pp/4r3/5p2/4bP1P/P1B3PK/8 w - -,c2g6
3b4/3N2pk/5p1p/3p4/2p1b3/2B1P2P/1P3PP1/6K1 w - -,d7f8
r2q1rk1/ppp1ppbp/1nn1b1p1/8/3P4/2NQ1NP1/PP2PPBP/R1B2RK1 w - -,a2a3
3qnrk1/r1pp1p1p/1p4p1/p2PQ3/2R5/1P2P2P/P3BPP1/5RK1 w - -,f1c1
b5k1/6p1/2p2p1p/1pqp4/1n1P4/3N2P1/4PP1P/1N4K1 w - -,d3c5
8/8/1r3k2/6p1/R3K1P1/8/8/8 w - -,e4d5
2N5/5bkp/np3pp1/4p3/1P4P1/4PB1P/5P2/6K1 w - -,b4b5
r4rk1/1b1pnppp/p1q1p3/1pb5/4PP2/P1NB4/1PPBQ1PP/2KR3R w - -,h1f1
Q4b2/5pkp/2p3p1/P7/4q3/7P/5PP1/5RK1 w - -,a5a6
8/pp1bk1p1/1nnppr1r/8/3P4/P1N3Q1/1P3PPP/R4RK1 w - -,c3e4
r2q1rk1/ppp2pb1/2n1b1pp/4p3/1P1NP3/3P2P1/PB1N1PBP/R2QR1K1 b - -,c6d4
4rrk1/pppq1pBp/3b4/4P3/2Bn1n2/5P1P/PP3P1K/R2Q2R1 w - -,g7f6
8/p7/2P2k2/2p1r1p1/2P3p1/3B1pPr/PP3P2/R5K1 w - -,a1d1
3rk2r/4qppp/2b1pn2/p3Q1B1/Pp6/1B6/1PP2PPP/R3R1K1 b k -,h7h6
2k3r1/2p3p1/1p2bp2/p1p1n3/P1P1P1P1/1P2BPK1/1N6/3r1R2 w - -,f1d1
rnb1k2r/pp1p1ppp/2p2n2/8/1qP2B2/1Q4P1/P2NPP1P/R3KB1R b KQkq -,b4e7
r2r1nk1/1p2ppbp/2np2p1/8/1qRPP3/1B2BN2/5PPP/2RQ2K1 b - -,b4a3
4k3/p2r3p/P3r1p1/Rp1p4/1P1B1P2/2P2K1P/6P1/8 b - -,e8f7
r1bq1rk1/5pbp/2p1p1p1/1p6/NQBPn3/1P2PN2/P4PPP/2R1K2R w K b6,c4d3
4rrk1/pppb2p1/2np2qp/5p2/2PP1B1P/6P1/PP1QP1BK/3RR3 w - -,b2b4
2r2qk1/1p5n/p2p2pn/P2Pb3/1Q2N1P1/1R3BP1/4R3/6K1 b - -,c8c7
r1bq1rk1/pp1pppbp/5np1/2p5/B2nP3/2NP1N2/PPP2PPP/R1BQR1K1 b - -,d7d6
4r1k1/pp3nqp/2ppbbp1/5p2/2P1PP2/1P4PP/P1Q1N1BK/3R1R2 b - -,f5e4
1k5r/1p2R2p/p1p2P2/7P/8/8/1PqBBK2/5R2 b - -,c2d2
rn1q1rk1/p4ppp/1p1ppn2/8/2PN4/6P1/PPQ1PPKP/RN1R4 b - -,d8c8
8/8/8/2bR4/1pkn1p2/5P2/1K4P1/8 w - -,d5e5
7r/pQ3bk1/8/7p/8/8/2PK1P2/8 b - -,h5h4
3r1r1k/8/1Q1p2p1/4p2p/2P5/P3p1q1/1P2R1P1/5BK1 b - -,g3f4
2r2rk1/pb1nq1pp/1ppbp3/3nNp2/3P4/PP1BP3/1BQN1PPP/R4RK1 w - -,d2c4
5k2/1R4pp/4p3/4P3/K4PP1/8/7r/8 w - -,b7b8
1r1q1r2/5pkp/2Bp1Np1/pPnPn3/6P1/8/P3QR1P/5R1K w - -,f2f4
8/4R2p/6r1/3p4/3P4/4Pk1K/8/8 w - -,h3h4
8/1p2k2p/1pn3p1/5p1P/PP3P2/2rBP3/4K3/1R6 w - -,h5g6
1k6/pp5p/3bN2q/3p4/1P1P4/2P2B2/P3KPP1/3RR3 w - -,e2d3
r5k1/4rpBp/1p4p1/2Pp4/8/p6P/PP4KP/R2R4 b - -,g8g7
2q3k1/p5p1/1p1pQ3/1PrP4/P4Prp/6P1/7P/3R1RK1 b - -,g8h7
r1bq1rk1/1pp1n1b1/3p3p/3Nn1p1/1PP1p3/2N3P1/4PPBP/1RBQ1RK1 b - -,e5c4
r2qr1k1/p5p1/2bp4/2p2pnP/1pP1P2n/1P2QPN1/P5BP/1N1R1RK1 w - f6,b1d2
rnbqkbnr/pp3ppp/4p3/2ppP3/3P4/2PB4/PP1N1PPP/R1BQK1NR b KQkq -,b8c6
r1bq1rk1/pppn1pbp/3p1np1/4p3/2PP4/5NP1/PPQ1PPBP/RNBR2K1 b - -,d8e7:f8e8:e5d4
r1b2r2/pp4pk/3p1qnp/4p3/2B1Pp2/B1PP1P2/P3Q1PP/R4RK1 b - -,g6h4
8/8/7p/2R2Pk1/P7/5r2/3K4/8 w - -,a4a5
1r3rk1/p2nqpp1/1b2pnp1/8/2BP1P2/5Q1P/PP1BN1P1/R4RK1 b - -,e6e5
r2qk1nr/pp1bppb1/3p2p1/2pP3p/2P5/5NP1/PP2PPBP/R1BQ1RK1 w kq -,e2e4
4r3/1p3npk/2p4p/p2p3P/P2P2P1/1P3NP1/2R3K1/8 w - -,c2c5
8/2k5/2p5/7N/4p3/2P1P3/2B5/r6K w - -,h1g2
8/1k3p2/p1pnq3/4p1Q1/1P6/5BP1/5PK1/8 b - -,f7f6
8/8/8/3kp3/5p2/p1K2P2/5N2/8 w - -,f2e4
r5k1/3n1ppp/2B1pn2/2P5/1pb2B2/1Pp3P1/4PP1P/3R2K1 w - -,c6a8
r3r1k1/bpp1qpp1/p2p2n1/3P4/1P1PN2p/P3PQPP/1B3P1K/R4R2 w - -,e4c3
2r5/5Rk1/4b1pp/p1qNb3/4P3/1r1Q3P/6P1/5R1K b - -,e6f7
3r1k2/2R3p1/P2p1n1p/5p2/1P1p4/3B1P2/3N2PP/3n2K1 b - -,f6d5
2r3k1/5p2/p5p1/Pp1p4/5P1R/1bP3P1/3K2BP/8 w - -,f4f5
r2qk2r/p1pn1ppp/1p2pn2/3p4/3P4/P1P1PQ2/2P1NPPP/R1B1K2R b KQkq -,c7c5
r4rk1/p3n1b1/1pq3p1/4ppN1/2Pp3P/P2P1PP1/3BP1K1/1R1Q3R b - -,f8e8
r3k2r/p1qn1ppp/2p1b3/3pb3/3N4/3P2P1/P1P2PBP/1RBQR1K1 w kq -,d4e6
r3k2r/pp2ppbp/n5p1/8/Pp1P4/5N1P/1PPB1PP1/R3K2R w KQkq -,c2c3
5rk1/1pp1rpb1/p2p1np1/6p1/1PP1p1q1/P1N1P1P1/1BQP1PB1/3R1K2 b - -,f6d7
2r1k1r1/p2p3Q/3Bq3/2p1p3/2n5/8/P4PPP/3R1RK1 b - -,e6g6
8/pp6/2r5/1N6/PK2k3/1P6/8/8 b - -,a7a6
rnbqk2r/p3ppb1/2pp1npp/1p2P3/3P1P1B/2N5/PPPQ2PP/R3KBNR b KQkq -,d6e5
r2q1rk1/1b2bppp/ppn1pn2/2pp4/5P2/1P1PPN1P/PBPNB1P1/R2Q1RK1 w - -,g2g4
R7/8/P7/4pk2/5npp/r3B3/5P2/6K1 b - -,f5e4
r4rk1/pp4b1/6p1/3qppBp/1n5P/3P2P1/P3PP1K/1R1Q1R2 w - -,b1b4
r3n2r/ppp1k1b1/2n4p/1N1bpp2/2P3pP/4P1B1/PP3PP1/2KR1B1R w - -,c4d5
r2q1r2/5p1k/2p1pbpp/p2n4/Pn1PN3/1B3Q2/1P1B1PPP/R2R2K1 b - -,f6g7
3R4/8/4n2r/8/2k5/8/4K3/8 w - -,d8d7
8/4bpkp/4p1p1/3pP3/1p1P1P2/pPq2NP1/P4K1P/3Q4 w - -,d1d2
5rk1/p3bp2/7p/q5n1/6Q1/P1p1P3/1p3PPP/3R1RK1 w - -,h2h4
r1n2rk1/1R3p1p/p1n1pPp1/3p3P/5PP1/2N5/P1P1N3/5R1K b - -,g6h5
3r1rk1/1p1n1p1p/3Q1qp1/5N2/1p2P3/7P/PPP5/1K1R2R1 w - -,d6c7
1Q6/1p3kp1/6Np/7P/2b1P1P1/p4P2/5q1K/8 w - -,h2h1
7k/6p1/2p5/5q2/p7/Q1P3K1/8/8 b - -,f5e5
1q1rrbk1/1b1n1p1p/pp1ppnp1/8/2PNP3/1PN3PP/PB1Q1PBK/3RR3 w - -,h2g1
8/2p1r2k/1p1p1qp1/1P1P3p/3PpP1P/4R1P1/Q5K1/8 w - -,a2a4
3r4/p2r1k1p/1p2p1p1/3n4/3bBPPP/P4K2/1PR5/3RB3 b - -,d4f6
8/8/k3p3/2B1P3/p7/2p2K2/8/8 w - -,f3e3
