8/2k1N3/2B5/K7/P7/8/1r6/8 w - -,c6b5
3r2k1/p1r2ppp/3qb3/Q2P4/1R6/P7/5PPP/4RBK1 b - -,c7c5
5r1k/3p4/p3prpP/1pp1B1p1/1nP1R3/3P4/PP3PP1/R5K1 w - -,d3d4
5rk1/4b1pp/pn1pp3/q4pB1/P2P4/1PpQPN1P/5PP1/5RK1 b - -,e7g5
3r4/ppk1rpp1/1np1pn2/7p/2PPN2P/1B3P2/PP1R2P1/1K1R4 b - -,f6e4
r1b2rk1/1pq2ppp/p2ppn2/4n3/2P1P3/1PN4P/P1NQBPP1/3R1RK1 b - -,f6e8
2rr4/kq2bp2/ppp1p1p1/3nPn1p/3PNP1P/1Q4P1/PPRBNK2/2R5 b - -,d8d7
r3kb1r/ppqb1ppp/1nn1p3/1B6/3P4/2N2N2/PP3PPP/R1BQ1RK1 w kq -,d4d5
1k1r4/1p1n2p1/p2N1p2/3Pp2r/7p/PK2BPbP/1PR3P1/3R4 b - -,g3f4
5k2/1b3N1p/6p1/1ppn2N1/3q1P1K/3P2P1/3Q3P/8 b - f3,d5e7
r1b1nb1r/1p3k2/3p1q2/PNpPp3/2P1Pp1n/5Pp1/1QKBB1P1/R3N2R w - -,b5c3
4rrk1/1pb1q1pp/4b1P1/pPppNp2/P2pnB2/R2B1R2/2P3PP/4Q2K b - -,c7e5
3r1rk1/pp1qnppp/4p3/n1pP4/2P5/P1PQBB1P/5PP1/R2R2K1 b - -,b7b6
1k2r3/1pq2p2/1np2n1p/p1b1p1pb/P3P3/1PP2N2/2B1QPPP/BN1r1R1K w - -,f1d1
2r3k1/1bq2ppp/pp2p3/3n4/P1NP4/1Q3BP1/1P3PP1/2R3K1 w - -,c1c2
6k1/5ppp/1Nn5/p2p1P2/6P1/2P1P2P/5K2/8 b - -,g8f8
8/5pkp/3p4/3P1pPP/2P1pP2/3n4/2r1B3/4R2K w - -,e2d3
8/1r6/1B4kp/P5p1/4N3/5P2/b2N3K/8 b - -,a2d5
5k2/pp3p2/3p1p2/P2P1q2/2P1nP1p/6rP/1P1Q2B1/6RK w - -,g2e4
r2q1rk1/1p2bppp/p2pbn2/4n3/4PB2/1NN5/PPP1B1PP/R3QR1K w - -,a1d1
2r2rk1/pp1bppbp/1qnp1np1/8/2PN4/2N1P1PP/PP1BQPB1/R4RK1 w - -,d4c6
4k3/5p2/4n2N/1pb1p3/p3P3/2P2PP1/1P2K3/3R4 w - -,h6g4
r5k1/1pqb1pb1/p2p2p1/P1pP1nNp/5P2/2P3PP/1P1Q2BK/R3B3 b - -,a8e8
8/5pp1/3Q2kp/4p3/B3P3/5P2/7q/2K5 b - -,g6h5
r1b2rk1/pp2ppbp/q1n3P1/2p5/8/1QP2NP1/P2PPPB1/1RB1K2R b K -,h7g6
8/8/1B5K/4k3/R3P3/5n2/5Pr1/8 w - -,b6c7
4k2r/1pqrbppp/p1n1p1n1/2P1P3/QPP5/N2p1B1P/PB3PP1/3RR1K1 b k -,e8g8
2k2b2/2q1rrp1/2p3Rp/1pp1pP1N/4P3/1Q1P3P/1PP5/1K4R1 w - -,b3a3
r3k2r/p2bnppp/1q2p3/1p1n2N1/4P3/N5P1/PP3PBP/2RQ1RK1 b kq e3,d5b4
2r2rk1/4qpbp/p3p1p1/1p1pP1P1/3P4/1p3N2/P1PQ3P/3R1RK1 w - -,c2b3
6r1/p6k/Pp2pbrp/2p5/4P1p1/1PBP2P1/2P2PKR/5R2 w - -,c3f6
8/7p/7k/4pQ1P/p7/Pb4B1/1P1rK3/2b5 w - -,e2f1
5rk1/5p1p/p3p3/6P1/6r1/2R3b1/P5K1/3R4 w - -,c3g3
rnbqk2r/ppp1bp1p/5np1/3p2B1/3P4/2N1P3/PPQ2PPP/R3KBNR b KQkq -,c7c6
4r3/1b3n1p/3pk1p1/2p5/1p2P3/1P2RN1P/2PN1KP1/8 w - -,c2c3
8/1p1k1p1p/1np3p1/8/p2P1B2/Pb1B1P2/1P4PP/4K3 b - -,b3c4
8/8/1pk1pp1p/8/PPK3PP/8/8/8 w - -,c4d4
r1bqr1k1/pp1p1ppp/5n2/2p1b1P1/2BNp3/1P2P3/PBPP1P1P/R2QK2R w KQ c6,g5f6
4r3/1p1qppkp/p2p1np1/2rP4/P7/2P1R1PP/1P1Q1PB1/4R1K1 w - -,d2d4
k1r3r1/p1q3b1/P1b1p2p/3pPp2/3P1P2/1RPQ4/3N1PB1/1R4K1 w - f6,b3b7
1r4k1/2p3pp/2n2p2/p1Pp1n2/3P4/1rP2N2/R2B1PPP/4R1K1 w - -,h2h4
8/3r1p2/4p3/4P3/1P1B1kpp/2PR4/5PK1/8 b - -,f4e4
2r3k1/r4p2/4p1pp/1pp1P3/p7/6P1/2KBPPBP/R7 b - -,b5b4
3rk2r/1bp2pp1/p3p3/2B4p/PpP3nP/3q1PP1/1Q3PB1/2R1K2R b Kk -,g4e5
2Q5/p4k1p/1p2p1p1/8/8/2P4P/Pq4P1/7K w - -,c8c7
rnbqkb1r/1p2pp1p/p4np1/2pP4/2P5/2N5/PP3PPP/R1BQKBNR w KQkq -,c1e3
r4r1k/4bp1p/2b1p1p1/pqp1N2Q/4P3/1B3P2/1PP2RPP/3R2K1 w - -,h5h6
6r1/2P4p/2K3p1/4R3/5P2/6k1/8/8 w - -,c6d7
r4rk1/p4p1p/B1p1pb2/2Pp1bp1/8/2P1PN1P/5PPB/R3K2R b KQ -,f6c3
2brr1k1/2q1bpp1/2p1p2p/ppPn4/3P4/PP4P1/1BQR1PBP/2NR2K1 w - -,c1d3
8/5kb1/p5p1/6q1/1P2P3/P6Q/5PK1/8 w - -,g2f1
5r2/bb4kp/2Bp1q2/2nPp1p1/1N2Pp2/2R2P2/4Q1PP/5R1K w - -,f1a1
8/pp6/1bnkprpp/3r4/4R2P/5NPB/P3PPK1/2R5 w - -,e2e3
4r1k1/p1r2p1q/1p1pp1p1/6R1/P1P1Q2P/1P4R1/4PPK1/8 b - -,c7c5
r4rk1/1b2q1bp/5pp1/3pp3/pppP1PP1/2P1P2P/PP1QB2B/1K2R2R b - -,a4a3
r1b1k2r/ppppq1pp/2n2n2/8/2P2B2/2PQ1N2/P3PPPP/R3KB1R b KQkq -,e8g8:d7d6
r3k2r/3b1p2/3ppp1b/4qP1p/1p1QP3/pP1B4/P1P1N1PP/3RK2R b kq -,e5d4
8/1N6/p1n2pp1/3k3p/8/7P/3K1PP1/8 b - -,g6g5
r4rk1/pbq1bppp/2n1p3/1pp1P1N1/3p3P/1PBP2P1/P1PNQPB1/R3R1K1 b - -,d4c3
rnbqnrk1/pp3pbp/3p2p1/3Pp1P1/4P2P/2N5/PP2BP2/R1BQK1NR b KQ -,f7f5
2R5/8/5K2/2p1B3/2kp1P2/3b1r2/8/8 b - -,f3h3
3R2Q1/5p1p/2r4k/4rp2/8/P4P2/5KPq/3R4 w - -,d8d6
8/pp3p2/2pBnk2/6rp/2B5/2P2Pb1/PP1R4/5K2 w - -,d6g3
2r5/1b5p/p3k1p1/3p2P1/3K1P2/2PB4/1P6/R7 b - -,c8f8
4rrk1/ppp2ppp/1bn3b1/3N1Nq1/1PBP4/P2QP2P/7K/R4R2 b - -,g8h8
3n1bk1/p1q3p1/2r1p2p/3pPp2/1p1P1N1P/1Pr1B1P1/P2RQPK1/3R4 b - -,a7a5
6r1/1pp3rk/p2p1qpp/3PppR1/2P1P2P/2Pn1B2/P1K2PQ1/6R1 b - -,f5e4
2r3k1/5p2/1p1PpQ2/p1q3P1/P1PR4/1P6/7K/8 b - -,c5a3
8/6rk/5R2/1p3pp1/2p3P1/P2P3P/1PP2rK1/8 w - -,g2f2
2r2rk1/1bq1bpp1/pp1p1n1p/4p3/2P4N/1PN3P1/P2QPPBP/2RR2K1 b - -,b7g2
r2q4/1pp2p1k/p3b1rp/4Ppb1/5Q2/2N1BN1P/PP3P1K/R3R3 w - -,f3g5
8/p5pk/1p3p1p/4r3/PP6/3R1P2/7P/7K b - b3,e5e1
8/2pq1r1k/2Pp1n1p/3PpN2/4Pn2/6R1/2Q2BP1/6K1 b - -,d7c8
8/5p2/6PR/2K1k3/3p4/4n3/2r5/8 w - -,c5b5
2b2rk1/r4ppp/p1n1p3/1pNpP3/5P2/P1P5/1P1RB1PP/1K1R4 b - -,a7c7
3r1rk1/pp1qnpbp/6p1/2p5/3p4/P1PP2PP/1P2RPB1/R1BQ2K1 w - -,c3c4
8/PR3p2/4k1p1/8/r2P1KPP/8/8/8 w - -,f4g5
1r6/5p2/3Rp1k1/4B1P1/p1b1PP2/P3K3/8/8 w - -,d6e6
r7/4k3/2K5/8/P7/8/R7/8 b - -,e7d8
r4rk1/p2nqppp/1p6/3p3b/3p4/1Q2PN1P/PP1N1PP1/2R2RK1 w - -,f3d4
2rqb1k1/RR3pp1/2p1p2p/2Q5/3rP2P/5BP1/5PK1/8 w - -,f3h5
8/8/4p2N/4P1pP/kp1P4/1b1K1P2/6P1/8 w - -,h6g4
8/8/8/4KPpn/8/1k6/8/8 b - -,b3c4
r1bqk2r/pp4b1/n2p1ppn/2pPp2p/2P1P2P/2N1B2N/PP2BPP1/R2QK2R b KQkq -,c8d7
r5k1/1q2bp2/p3p1p1/Bp2Pn2/2p1NPQ1/P2r1R2/1P5P/4R1K1 b - -,e7h4
