8/6p1/p3rknp/2R1p3/4P1KP/2B5/1P6/8 b - -,g6h8
5r2/pQ3p2/5k1r/2pBq3/2P5/2p3P1/P4P1P/5RK1 w - -,b7a7
rnr2qk1/1b4b1/2pn2pp/pp6/3N1B2/P2B3P/1PQ2PP1/2R1R1K1 w - -,d4e6
3r4/4p2p/P1p1kpp1/1r6/1P3P2/2B1K1P1/4P2P/R7 b - -,d8a8
r4rk1/4qppp/pb2pn2/1p6/1P5Q/4PN2/PB3PPP/R2R2K1 w - -,f3g5
5k2/1p1R1ppp/pbr5/4pPB1/4P3/2P2BnP/1PK5/8 b - -,f7f6
2r1kbnr/pp1b1ppp/1q2p3/3pP3/1PNP4/P4N2/1B3PPP/R2QKB1R b KQk -,d5c4
5rk1/2r2pp1/7p/3Rp3/qbn4P/5PPB/4QB1K/3R4 b - -,c4b2
1r6/1n3k2/3p1pp1/p1pP4/2P1NPP1/1P6/2K5/7R b - -,f7g7
r1r3k1/p4n1p/4Nqp1/1bPPP3/2n5/P1R4B/R7/3Q2K1 b - -,f6e5
r4rk1/1p2bppp/p1nqpn2/7b/Q2P4/P1N1BN1P/1P2BPP1/R4RK1 w - -,b2b4
6k1/5pp1/2P1p2p/N2p3P/P7/4K3/2b5/8 b - -,c2a4
1r3r2/p2q1pkp/2n1b1p1/2pn4/1p3R2/3PN1P1/PPPQN1BP/5RK1 w - -,e3d5
2Q5/4r2p/p1nB2p1/1pPqp1k1/3p4/1P5P/P5PK/5R2 w - -,c8g4
4r1k1/1p1q2b1/3p2p1/2pPp1p1/p2nPp2/P2P2P1/1P3P1P/1R2RQK1 b - -,d4f3
r1bqkb1r/pp2pppp/2n2n2/3p4/3N4/1P6/PBP1PPPP/RN1QKB1R w KQkq -,e2e3
1r4k1/2Rp1ppp/p3p3/N7/P4P2/3Pb1P1/6KP/8 b - -,e3b6
4qrk1/2r1bp1p/p4np1/2Pp1p2/8/Q3PN1P/P2N1PP1/R1R3K1 b - -,e8c8
8/3r2k1/4p1Pp/pp2Pp1P/b1p2P2/P1P1p3/R1P1K3/4B3 w - -,a2b2
8/p1r1k3/6R1/K2P4/P2rB3/1P3P2/8/8 w - -,a5a6
2k5/1pp2p2/1p1p2qp/4rrp1/PP6/2P3QP/5PP1/R4RK1 w - -,a1a2
r1b1kbnr/pp3ppp/2p5/2n3B1/3NN3/2P5/PP3PPP/R3KB1R w KQkq -,e4c5
rn1qkb1r/ppp1ppp1/5nbp/3p4/3P1BPP/3BPP2/PPP5/RN1QK1NR b KQkq -,g6d3
r3rnk1/p1b1q1pp/1pp2p2/2Ppn3/NP1Q1B2/3N2PP/P3PPK1/3R1R2 b - -,f8e6
5rk1/6qp/pp6/1r6/n4PN1/6PP/P4Q1K/2R1R3 w - -,c1c2
r3r1k1/1b1pqp1p/6pb/2pP4/PnB5/4PN2/1P1Q1KPP/R2NR3 b - -,e7e4
r1bqkb1r/pp2pppp/2n2n2/2pp4/3P1B2/4PN2/PPPN1PPP/R2QKB1R w KQkq -,c2c3
4r1k1/5bpp/5p2/R2p4/8/4P1P1/5PBP/6K1 b - -,d5d4
3rr1k1/1p3p1p/1qp2pp1/p1Nn4/P2P2b1/RBP2P2/1P4PP/3QR1K1 b - -,g4c8
2r1k2r/2qbbppn/3pp2p/6P1/pp1NPP1P/4B2B/PPP2Q2/1K1R3R b k -,h7f8
8/p4k2/8/3N1p2/nPPK1Rb1/6P1/P3r3/8 b - -,e2d2
rn1qkbnr/ppp1pppp/3p4/8/3P2b1/4PN2/PPP2PPP/RNBQKB1R b KQkq -,b8d7:g8f6
r2q1rk1/p4ppp/2pbbn2/3p4/5B2/2NB1Q1P/PPP2PP1/3R1RK1 w - -,f1e1
2Rb4/1p3pk1/R3p1pp/3rP2P/1P1P2P1/8/5BK1/8 b - -,b7a6
rnr3k1/pp3pp1/7p/3P4/b1P5/1N6/P4PPP/2KR1B1R w - -,c1b2
8/pp3p2/8/5pk1/8/1K5N/P1P4R/3n4 b - -,g5g4
1r3rk1/p4ppb/2p1p2p/q2p3P/3P1PP1/P3Q3/1PPN4/2KR3R b - -,a5a4
8/2r4p/2pb1pp1/3k4/1P1P2P1/7P/2RN1PK1/8 b - -,d5d4
r3kb1r/pp1np1pp/1qp2n2/5bB1/2BPp3/2N4P/PPPQ2P1/2KR2NR b kq -,e8c8
8/1p3pkp/8/1P2p3/4q1p1/2Q3P1/3K1P1P/8 b - -,e4d5
4r2k/6p1/p6p/8/2q4P/4pQP1/PP2R1K1/8 w - -,e2e3
2rr2k1/q1pnpp1p/2R3p1/p2B4/Pp3PP1/1P1NP3/1b5P/3QR1K1 w - -,d3b2
6k1/8/1p3p2/p7/n2N4/3K2P1/7P/8 b - -,a4c5
2rq1rk1/pbbn1ppp/5n2/2pp4/8/P1N1PN2/1PQ1BPPP/R2RB1K1 w - -,b2b4
1qr3k1/p3bppp/4nn2/Nb2p3/1p2P3/1P2BP2/PN2B1PP/3RQ1K1 b - -,c8c3
5k2/5p1p/pBb3p1/2P1bN2/1P2p1P1/4K2P/5P2/8 w - -,f5d6
r3r1k1/2qn1ppp/p1b5/2Pp4/3B4/1R3P2/P1Q1B1PP/5RK1 w - -,c2d2
3rrbk1/pb3p1p/2p2p2/1p2nN2/4P3/4N3/PPR1BPPP/5RK1 b - -,g8h8
r1bk1b2/ppp1n3/2p5/5pQ1/4P2P/3P4/PqP2PP1/RN2K2R b KQ h3,b2a1
r1b1kbnr/1pp2ppp/p4q2/2p1p3/4P3/5N1P/PPPP1PP1/RNBQ1RK1 w kq -,c2c3
6k1/1p3ppp/p7/1b1B2P1/3P1PQ1/7K/PP3R1P/2q1r3 b - -,e1g1
1r3k2/1r3p2/pp1pb1pp/2p1p3/P1P1P1P1/1P1PNP2/3R1KP1/7R b - -,f8g7
k1r1b3/bp2qppp/p3pn2/4N3/8/1BP1BQ1P/PP3PP1/3rR1K1 w - -,e1d1
r3nrk1/1p1nq1p1/p2pN1bp/2pPp3/2P4P/2N2P2/PP1Q2P1/2KR1B1R b - -,f8f7
8/1Nn3Rp/2k1p2r/8/8/3B3b/1PP5/1K6 w - -,b7a5
2r3k1/1pr2pbp/1n1qp1p1/pP1p4/P1nP4/1Q1BPN1P/5PP1/R1R1B1K1 w - -,c1c2
r1bqkb1r/pp2nppp/2n1p3/2p5/4p3/3P1NP1/PPP1QPBP/RNB1K2R w KQkq -,d3e4
3rr1k1/1pp2ppp/p1nq4/5P1Q/3p4/1P6/PBPP2PP/R4RK1 b - -,f7f6
8/8/5k1p/1R5P/1p3r2/8/5PK1/8 w - -,g2g3
1b4r1/1R5p/4p3/p3P1P1/4kP1P/2P5/3B4/2K5 b - -,g8h8
8/1p1k1p1p/p5p1/P7/1Bn2K2/4P3/5P1P/8 b - -,f7f6
5r1k/1p2r2p/pbn1Bp2/7R/7R/1N3P2/PP3P1P/5K2 w - -,e6d5
8/7k/p2P4/4p3/2R1P3/1K3P2/r7/r5R1 b - -,a2a3
r1r3k1/3b1ppp/2p2qn1/p2p4/Pp1P4/3BP1NP/1PQ2PP1/1RR3K1 b - -,g6f8
r2r2k1/pp4b1/2p3pp/3n1p2/P3p2P/1nP3PN/1P2PPB1/1RB1R1K1 b - -,b3c1
2r3k1/1p5p/2qnpp2/p2p2p1/P2Pb1P1/1P2Q3/3NPPBP/5RK1 b - -,c6c3
5bk1/5p1p/2r2Bp1/1p6/1P2p3/2P3P1/5P1P/3R1K2 w - -,f6e5
2r1r1k1/pq3pbp/2p3p1/1b1p4/5B2/1P3BP1/P1RQPP1P/2R3K1 b - -,b5a6
8/8/3r2p1/4kp1p/R6P/6P1/5K2/8 b - -,d6c6
1brq2k1/p1n1nr1p/6pP/1P2p3/1P1p2B1/P2P4/Q2B1PP1/R3K2R b KQ -,e7f5
6r1/4p3/pBp1k3/Pp1bPp1p/3P1n1P/1P3P2/3N1R1K/8 w - -,b6a7
2r2rk1/pp2b1pp/2b1pp2/2npP3/3N1P2/2NPB3/PP4PP/1K1R3R w - -,e5f6
8/5k2/1P1p4/3Pb3/2P5/5p2/1P2rB1p/1R4K1 w - -,g1h1
r1bq1rk1/1pp1n1bp/p1np2p1/5p2/B2NP3/2P1B3/PP1N1PPP/R2Q1RK1 w - f6,e4f5
1rr3k1/6pp/1pqbpp2/p2p4/P2P1P2/1QP1PN1P/6P1/1RR3K1 b - -,c6c4
4knQ1/1q2p2r/r1p4p/pp1nP1p1/2pP4/5B2/PP1B1PPP/R4RK1 w - -,f3h5
r3k2r/1b1nbp2/p1q1p2p/Pp1pP3/2pP4/6B1/1P2B1PP/R2QNRK1 b kq -,h8h7
8/8/2r5/R6N/4k1P1/P5K1/3n4/8 w - -,g4g5
r4rk1/pp1bqp1n/3p1np1/2pP4/P1N1P2p/2N2P2/1P1QB1PP/R4RK1 b - -,f6h5
rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/5N1P/PPP1PPP1/RNBQKB1R w KQkq -,c1f4
r3k3/5p2/p3p2p/1p2P2n/3rNp1P/5P2/1P4P1/3R2K1 w - -,d1d4
1r3r2/pb4pk/1p1qp2p/3nNp2/P2P3Q/1BP3R1/5PPP/R5K1 w - -,b3d5
r1b1q3/ppp2rbk/5n1p/4pp2/2Pn3N/1P2N1P1/PB3PBP/R2Q1RK1 b - -,f6g8
8/3k1p2/3p2p1/1Pp1p2p/1nPnP3/4NPP1/1q2B2P/3Q2K1 w - -,e2f1
r4rk1/1b1n3p/p2b1qpQ/3Pp3/1pp1Pp2/5PP1/PPBBN2P/R4RK1 w - -,g1h1
r1b2rk1/5pbp/1qnpp1p1/p2pP3/3P1P2/1PBB1N2/P5PP/2R1QR1K w - -,f1f2
q2br1k1/5p2/1p4n1/p2pP3/1Pb5/P2N1BQP/7P/2N3RK b - -,g8f8
