8/1b2kp2/5P2/8/P3NKB1/1n5P/8/8 b - -,e7f8
3Rrk2/1p2rp2/p1pR2p1/P1P1Pb1p/2B2P1P/2K3P1/8/8 b - -,f8g7
r4r1k/pp3p1p/2q4P/6p1/5n2/P1N3P1/1P1Q1P2/1K1R3R b - -,f4e6
r1bqk2r/3nbppp/p1n1p3/1pppP3/3P1P2/2N1BN2/PPPQB1PP/R4RK1 b kq -,e8g8
rnbq1rk1/p3ppbp/5np1/3p4/2Pp4/4PN2/P2NBPPP/R1BQ1RK1 w - -,e3d4
2rq1rk1/4bppp/p4n2/np1pN1B1/3P4/P2Q4/BP3PPP/R3R1K1 w - -,a1d1
4B3/8/4rppk/3p1n2/3P1P1p/2R1P2P/6PK/8 w - -,e8f7
6k1/p3npbp/b1n1p1p1/2ppP3/5B2/P1PP2P1/1r1NRPBP/5NK1 w - -,c3c4
r7/ppq1p1k1/1n1p2r1/5p2/1n1Q4/2N5/PPP2PP1/2KR1B1R b - -,g7f7
1r3rk1/2pb1pqp/p1np2p1/1p2P1N1/3P4/1B6/PP1Q1PPP/2R1R1K1 w - -,g5f7
r2qr1k1/1pp2pbp/3p2p1/1Pn1n3/2PN4/p1N1P3/P1Q2PPP/B1RR2K1 w - -,c3d5
2r3k1/pb1r1ppp/1p2p3/2P5/8/P3PP2/1P4PP/2R1KB1R w K -,e3e4
6k1/1p1r1p1p/p3p1p1/Pr6/R1PP1R1P/6P1/5P2/6K1 b - -,b5b1
8/5k2/3r1np1/p3R2p/1pP2P1P/3K1BP1/P7/8 w - -,d3e3
r3rbk1/1bqn1p1p/ppnpp1p1/6P1/P3PP1Q/1NN2R2/1PP3BP/R1B3K1 b - -,f8g7
2q2r1k/1b1r1ppp/pB3n2/P3pN2/1b1pn3/2P2B2/1P2QPPP/R3R1K1 w - -,c3b4
3r1k1r/pbqnnpb1/1pppp1pp/8/1PPPPP2/2N1B1P1/P1RQN1BP/3R2K1 b - b3,c7b8
4r2r/pp1k1pp1/2pp3p/5P2/1PnPPB2/P7/2P3PP/3RR1K1 w - -,d1d3
r2q1rk1/pb3ppp/1p3b2/2n5/3Np1Q1/2N1P3/PP1B1PPP/2R2RK1 b - -,f6d4
8/3r1k2/4p1p1/1p1n1p2/1K1P3P/1P2PB2/8/7R w - -,f3d5
1r4k1/p2r1pbp/1p4p1/4p3/3p4/3P2P1/PP1BPPKP/R1R5 b - -,g7f8
1r3r1k/B2nNp1p/p2p1P2/1p4Pp/5P2/2PQnq2/PP6/K5R1 b - -,d7c5
4r1k1/pp1R3p/6p1/2B1b3/2b1N3/5r2/PP5P/2NK4 b - -,c4e6
8/2p3pp/2nb4/1p1k4/3P4/1PBK1N2/r3RPPP/8 b - -,a2e2
r2q1r1k/1pp3pp/p1n5/3p4/2B1bPP1/7P/PPPQ3R/2KR2B1 w - -,c4b3
r1b1k2r/ppp5/1n3qN1/2N2p2/1P2p1p1/P3P3/3P1PBb/2RQRK2 w kq -,g6h8
3rr1k1/2q1bpp1/p4Bp1/1ppp4/2P3P1/1P2R2P/P4PB1/3RQ1K1 b - -,g7f6
4r1k1/3Q1p2/1pp2r1p/3n4/1PBPp1pq/4P2P/PR3PP1/5R1K b - -,e8e6
2kr3r/p1p1qppp/2p2n2/8/2p1PB2/3P1R2/PPP3PP/R3Q1K1 b - -,c4d3
r2qr1k1/bpp2pp1/p2pbnnp/4p3/3PP3/1BP2NNP/PP3PP1/R1BQR1K1 w - -,b3c2
2bq1rk1/1pp1ppb1/1nn3pp/r7/p2P4/2N1PNPP/PP3PB1/1RBQR1K1 w - -,c1d2
8/4R3/1p2r1k1/3pB1p1/2rP2p1/4PK2/5P2/1R6 w - -,f3g4
3r2k1/6p1/4p2p/pR1n4/P2p2P1/5B1P/4PP2/4K3 w - -,f3d5
2rr2k1/1p2bppp/p1q2n2/2npBP2/P2Q4/2NB4/1PP3PP/3R1R1K w - -,d4h4
r3r1k1/4bppp/q2p1n2/p1p5/2P5/1P1RBQ1P/P4PP1/2KRN3 w - -,a2a4
5r1k/1p4p1/p6p/2Pp1r2/1P1Qp2P/P3P3/2R2P2/4KBq1 w - -,d4d2
r1b1r1k1/pp4pp/2n5/3p1p2/5P2/P2BB1R1/2PK3P/R7 b - -,d5d4
2r2rk1/1q1nbppp/p2pp3/8/Pp2P3/1P2BP2/2PRNQPP/R6K b - -,c8c7
8/1b2rn1k/p2pp1pP/1pq3b1/4P3/P1N4Q/1PPB2BP/5R1K w - -,h3d3
3r1rk1/1b2q1pp/pnp2p2/1p2p3/P2PP3/2P1N1P1/2Q2PBP/RR4K1 w - -,a4b5
8/1p1nkp2/p2p4/P2PpPP1/1P1b4/5B2/3B1r2/3K1R2 w - -,f1f2
r4bk1/pp3p1p/1np3p1/5N2/4r1P1/1P2P2P/1P1B1P2/2RR2K1 w - -,f5g3
rnbqkb1r/pp5p/2p2np1/5pB1/2pP4/2N2N2/PP2PP1P/R2QKBR1 w Qkq -,e2e4
r2qk2r/1b1nbppp/ppnpp3/8/2P1P3/NQN1B3/PP2BPPP/R4RK1 b kq -,d7c5
r3nr2/2q1np1k/p1p1bbpp/2B1p3/4P1P1/2N3NP/PP1Q1PB1/3R1RK1 w - -,b2b3
rn1qr1k1/6pp/4Pn2/1p6/Pbp5/2N1B2P/1P2BPP1/R2QK2R b KQ -,d8a5
6k1/1Bn2p2/4p1pb/4P2p/p1qpQ2P/P2N2P1/1P3PK1/8 w - -,b7c6
5r1k/1p2b1pp/3p4/1N6/p1r2P2/P1N1n1Pb/1PR1K2P/7R w - -,e2e3
4r2k/6bp/p2q1np1/n7/Pp1p1N2/1P3Q1P/1B3PP1/1B1R2K1 b - -,a5c6
2r2rk1/pb1nqppp/1p1b4/2ppN3/3PnP2/1P1BP3/PB1NQ1PP/3R1RK1 w - -,d2e4
5q2/5rk1/6pp/p2Pp3/Bp1nP3/4Q2P/P5PK/2R5 b - -,f8d8
r1bq1rk1/pp3pp1/2n2b1p/2p1p3/8/2PP1NP1/PP2QPBP/R1B2RK1 w - -,c1e3
r3r1k1/1b1n1p1p/pp1pp1p1/6bn/4PPq1/2NB4/PPPB1QPP/4RR1K w - -,f4g5
1rbqr1k1/2p2pp1/2n2n1p/1pbPp3/8/2PP1N1P/1PB2PP1/RNBQR1K1 b - -,f6d5
3r1n1k/2Q2Rp1/4p2p/p7/3q4/1B3P1P/P5PK/8 w - -,c7a5
2kr4/1b1n1p2/p5r1/1pppP1B1/3P3P/1P4PB/P6K/R4R2 b - -,d8f8
8/8/p5K1/1p3p2/4p1kP/2B5/2P2P2/8 w - -,h4h5
2r2rk1/pb2qppp/np3n2/2bpN3/3p4/PP1Q1NP1/1B2PPBP/2R2RK1 b - -,c5a3
r4rk1/4ppbp/pq3B2/1p1p1p2/3P4/P1P4P/1P1N1PP1/R2Q1RK1 b - -,g7f6
rnbqk1nr/pp2ppbp/3p2p1/2pP4/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,g8f6
rnbqkb1r/pp3ppp/2pp1n2/4p3/8/1P2P3/PBPPBPPP/RN1QK1NR w KQkq -,g1f3
r7/5p1p/2RP2p1/1R2k3/6b1/8/P6P/6K1 b - -,e5e6
8/5p1p/P7/3k2PP/1p3K2/8/2P1R3/5r2 w - -,f4e3
3r3r/1p3pbp/p1k3p1/2p5/4P3/8/PP1P1PPP/R1B1R1K1 b - -,h8e8
2b2b1k/3r1p1p/2p1pP2/7Q/2qB1P2/8/6PP/3R1R1K b - -,d7d4
5k2/n2q1rrp/1p1PR3/p1p2pP1/2Pp4/PP1B2P1/4Q1K1/4R3 b - -,g7g5
8/2b2ppp/8/3k4/1PN1p3/1P2K1P1/5P1P/8 b - -,g7g5
6qk/6p1/2p4p/8/p6P/Q1P3PK/8/8 b - -,g8e6
4k2r/1q1p1p2/p1r1p1p1/3pP2p/3R3P/P3Q1P1/1PP2P2/2K4R w k -,g3g4
5rk1/p2qb1p1/1p2p2p/1b1n1p2/3P4/5BPQ/PPrN1P1P/R1BR2K1 b - -,f8c8
2r3k1/pp3npp/3bq3/5p1b/3Pn3/2rBPN1P/PQ3PPN/3R1RK1 w - -,b2b5
r4rk1/1p2qpbp/6p1/1Qp2b2/p2p1B2/3P2P1/PP2PRBP/2R3K1 b - -,f5e6
r1b2r1k/1p4bp/p2p2p1/2p1p3/3PPp1q/1PP2QnP/PBN1BPP1/R3R1K1 w - -,e2d1
r3k2r/5pp1/pp5p/2p5/P2n1N1q/3P4/1PP2P1P/R3QR1K b kq -,e8f8
r2rqbk1/3n1p2/2p2npp/p1P1p3/P1Q1P3/1p2BN1P/1P1N1PP1/2RR2K1 b - -,d8b8
r5k1/1pp3p1/3p3p/2P1rR1P/1P2P1P1/5P2/6K1/2R5 b - -,e5f5
r4rk1/pb3pp1/4pn1p/1B6/3P3Q/1Nq5/P4PPP/R3R1K1 b - -,b7d5
1r2k2r/1b2bp2/1q2p3/1p2Pp1p/1P1N1P2/2PQ2P1/7P/R1B1K2R w KQk -,h1g1
4r1k1/1p3pp1/2p4p/Q4b1q/2P1p1n1/P3B1P1/1P1RPPBP/6K1 w - -,d2d8
8/4k3/1R5p/p1r2pp1/2P5/P1K2b1P/6P1/8 w - -,g2f3
8/2r2p2/p3b3/N1p1Pk2/2P5/4K3/P7/1R6 b - -,f5e5
2k5/p5N1/2p2p2/7p/P1r3p1/6Pn/5PKP/4R3 b - -,c8d7
8/1p3Rk1/1p1r1qp1/p4p1p/Pn1Pp3/1Q2P1P1/1P3P1P/2R2BK1 b - -,f6f7
3r4/1p6/p1n1pk2/3pb1p1/4R1B1/P5PP/NP3P2/4R1K1 b - -,d5e4
rnbqk2r/pppp1ppp/8/4P3/1bP1n3/5N2/PP1NPPPP/R1BQKB1R b KQkq -,b8c6:e8g8
r2qr1k1/pp2ppbp/1n3np1/3P1b2/3P1N2/1QN1B3/PP2BPPP/R3K2R w KQ -,a2a4
r2q1rk1/1pp1b1pp/2n1b3/p3pp2/n7/P2PBNP1/1P2PPBP/2RQ1RK1 w - -,d1a4
rnb1k2r/ppp1qp2/1b1p3p/3Pp3/2B1P1n1/2P1NN2/PP3PP1/R1BQR1K1 b kq -,h8g8
2k5/8/K1b5/8/1P3B2/P7/8/8 w - -,a6a5
